name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,migration_issues
"(-)-Camphene,tech.(sumofcamphene+fenchene)",,4/7/5794,CC1(C2CCC(C2)C1=C)C,C10H16,powder,0.88,136.234,157.5,33,,,organic_compound,,,,,,INVALID_CAS
"(1,2,2-Trimethylpropylcarbamoyl)benzoicacid",,4/8/3907,CC(C(C)(C)C)NC(=O)C1=CC=CC=C1C(=O)O,C14H19NO3,powder,,249.306,,,,,organic_compound,,,,,,INVALID_CAS
(1-Cyclohexen-1-yl)piperidine,,10/4/2981,C1CCN(CC1)C2=CCCCC2,C11H19N,liquid,1.1,165.275,262.2,,,,organic_compound,,,,,,INVALID_CAS
(1-Cyclopenten-1-yl)pyrrolidine,,7/4/7148,C1CCN(C1)C2=CCCC2,C9H15N,liquid,0.941,137.222,100,,,,organic_compound,,,,,,INVALID_CAS
(1-Pyrrolidinyl)piperidine,,7/9/5004,C1CCN(C1)C2CCNCC2,C9H20N2,powder,0.989,156.267,228.8,53,,,organic_compound,,,,,,INVALID_CAS
(1-Tetradecyl)trimethylammoniumchloride,,4/3/4574,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],C17H38ClN,powder,,291.943,,,,,organic_compound,,,,,,INVALID_CAS
(1R)-endo-(+)-Fenchylalcohol,,2/9/2217,CC1(C2CCC(C2)(C1O)C)C,C10H18O,powder,0.992,154.249,201,39,,,organic_compound,,,,,,INVALID_CAS
(2-Aminoethyl)morpholine,,3/1/2038,C1COCCN1CCN,C6H14N2O,liquid,1.1,130.188,202.6,24,,,organic_compound,,,,,,INVALID_CAS
(2-Chlorophenylcarbamoyl)benzoicacid,,12/7/6273,C1=CC=C(C(=C1)C(=O)NC2=CC=CC=C2Cl)C(=O)O,C14H10ClNO3,powder,1.43,275.687,380.4,,,,organic_compound,,,,,,INVALID_CAS
(2-Ethoxyphenoxy)ethylbromide,,3/8/3259,CCOC1=CC=CC=C1OCCBr,C10H13BrO2,powder,1.4,245.113,286.9,41,,,organic_compound,,,,,,INVALID_CAS
(2-Thienyl)butyricacid,,11/6/4653,C1=CSC(=C1)CCCC(=O)O,C8H10O2S,liquid,1.3,170.229,296.9,,,,organic_compound,,,,,,INVALID_CAS
(3-Aminopropyl)-4-methylpiperazine,,3/6/4572,CN1CCN(CC1)CCCN,C8H19N3,liquid,1,157.257,230,,,,organic_compound,,,,,,INVALID_CAS
(3-Chlorophenyl)biguanidehydrochloride,,5/5/2113,C1=CC(=CC(=C1)Cl)N=C(N)N=C(N)N,C8H11Cl2N5,powder,1.49,248.11,434.1,190,,,organic_compound,,,,,,INVALID_CAS
(3-Chloropropyl)trichlorosilane,,6/3/2550,C(C[Si](Cl)(Cl)Cl)CCl,C3H6Cl4Si,liquid,1.4,211.977,178.3,,,,organic_compound,,,,,,INVALID_CAS
"(4-Bromophenoxy)-N,N-dimethylethylamine",,7/9/2474,CNP1(=NP(=NP(=NP(=N1)(NC)N2CC2)(NC)NC)(NC)N3CC3)NC,C10H14BrNO,powder,1.4,244.128,286.7,,,,organic_compound,,,,,,INVALID_CAS
(4-Chlorobenzyl)pyridine,,11/4/4409,C1=CC(=CC=C1CC2=CC=NC=C2)Cl,C12H10ClN,liquid,1.16,203.667,123,28,,,organic_compound,,,,,,INVALID_CAS
(4-Chlorophenyl)ethanol,,10/4/3391,CCOCCOCCOC(=O)C,C8H9ClO,powder,1.3,156.609,240.6,,,,organic_compound,,,,,,INVALID_CAS
"(4-Chlorophenylsulfonyl)-3,5-dimethylpiperidine",,11/6/5344,CC1CC(CN(C1)S(=O)(=O)C2=CC=C(C=C2)Cl)C,C13H18ClNO2S,powder,1.215,287.806,391.4,,,,organic_compound,,,,,,INVALID_CAS
(4-Hydroxyphenyl)pentanoicacid,,8/4/4654,C1=CC(=CC=C1CCCCC(=O)O)O,C11H14O3,powder,1.178,194.227,401,116,,,organic_compound,,,,,,INVALID_CAS
(4-Nitrophenylazo)-2-naphthol,,10/2/6410,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,C16H11N3O3,powder,1.35,293.277,489.5,248,,,organic_compound,,,,,,INVALID_CAS
(6-Chloro-2-pyridyl)hydrazine,,3/3/5193,CCC1=CN=C(C=C1)CCO,C5H6ClN3,powder,1.5,143.574,308.6,118,,,organic_compound,,,,,,INVALID_CAS
(9-Fluorenyl)triphenylphosphoniumbromide,,7/8/7253,C1=CC=C(C=C1)[P+](C2C3=CC=CC=C3C4=CC=CC=C24)(C5=CC=CC=C5)C6=CC=CC=C6,C31H24BrP,powder,,507.4,,,,,organic_compound,,,,,,INVALID_CAS
(Chloromethyl)benzimidazole,,4/9/4857,C1=CC=C2C(=C1)NC(=N2)CCl,C8H7ClN2,powder,1.356,166.608,371,146,,,organic_compound,,,,,,INVALID_CAS
(n)-Camphor-10-sulfonicacid,,8/2/5872,CC1(C2CCC1(C(=O)C2)CS(=O)(=O)O)C,C10H16O4S,powder,1.4,232.297,,203,,,organic_compound,,,,,,INVALID_CAS
(p-Toluenesulfonyl)imidazole,,8/8/2232,CC1=CC=C(C=C1)S(=O)(=O)N2C=CN=C2,C10H10N2O2S,powder,1.4,222.26,409.1,76,,,organic_compound,,,,,,INVALID_CAS
(p-Tolyl)pyridine,,6/5/4467,COC1=C(C=C(C=C1)Cl)N,C12H11N,liquid,1.1,169.222,304.2,,,,organic_compound,,,,,,INVALID_CAS
(Phenylsulfonyl)acetophenone,,3/9/3406,C1=CC=C(C=C1)C(=O)CS(=O)(=O)C2=CC=CC=C2,C14H12O3S,powder,1.256,260.308,472,93,,,organic_compound,,,,,,INVALID_CAS
"(R)-(-)-1,3-Butanediol",,3/5/6290,CC(CCO)O,C4H10O2,liquid,1.005,90.121,207,0,,,organic_compound,,,,,,INVALID_CAS
"(R)-1-Phenylbutylamine,ChiPros(R),,ee",,1/2/6150,CCCC(C1=CC=CC=C1)N,C10H15N,powder,0.934,149.233,220,,,,organic_compound,,,,,,INVALID_CAS
(S)-(+)-2-Amino-1-propanol,,11/3/2749,CC(CO)N,C3H9NO,liquid,1,75.11,174.5,-2,,,organic_compound,,,,,,INVALID_CAS
(S)-(+)-2-Octanol,,6/8/6169,CCCCCCC(C)O,C8H18O,liquid,0.9,130.228,177.9,-38,,,organic_compound,,,,,,INVALID_CAS
"(S,S)-(-)-Hydrobenzoin",,10/2/2325,C1=CC=C(C=C1)C(C(C2=CC=CC=C2)O)O,C14H14O2,powder,1.193,214.26,373,146,,,organic_compound,,,,,,INVALID_CAS
(Trifluoromethoxy)phenylaceticacid,,7/5/4315,CC1=CC2=C(C=C1)C=CN2,C9H7F3O3,powder,1.5,220.145,260.6,85,,,organic_compound,,,,,,INVALID_CAS
(Trifluoromethyl)benzylamine,,1/9/3048,CC1=C(C=CC(=C1)Cl)N=NC(C(=O)C)C(=O)NC2=CC(=C(C=C2OC)Cl)OC,C8H8F3N,liquid,1.3,175.151,178.8,,,,organic_compound,,,,,,INVALID_CAS
(Trifluoromethyl)diphenylether,,2/4/2367,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(F)(F)F,C13H9F3O,liquid,1.23,238.205,180,,,,organic_compound,,,,,,INVALID_CAS
(Trifluoromethyl)phenylisocyanate,,12/3/2285,C1=CC=C(C(=C1)C(F)(F)F)N=C=O,C8H4F3NO,liquid,1.4,187.119,184.7,,,,organic_compound,,,,,,INVALID_CAS
(Trimethylsilyl)fluorene,,10/6/7385,CC1=C2CCC(=O)OC2(C3C(CC1)C(=C)C(=O)O3)C,C16H18Si,powder,1.02,238.4,329,95,,,organic_compound,,,,,,INVALID_CAS
"1,3,3-Tetramethyl-1,3-divinyldisilazane",,2/3/7691,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.C1=CC2=C(C(=C(C=C2S(=O)(=O)O)I)O)N=C1.C1=CC2=C(C(=C(C=C2S(=O)(=O)O)I)O)N=C1,C8H19NSi2,liquid,0.9,185.414,162.5,,,,organic_compound,,,,,,INVALID_CAS
"1,4,7,10,10-Hexamethyltriethylenetetramine",,10/1/3083,CN(C)CCN(C)CCN(C)CCN(C)C,C12H30N4,liquid,1,230.393,260.4,,,,organic_compound,,,,,,INVALID_CAS
1-Cyclohexanediaceticacid,,11/7/4355,C1CCC(CC1)(CC(=O)O)CC(=O)O,C10H16O4,powder,1.3,200.232,405.7,67,,,organic_compound,,,,,,INVALID_CAS
2'-Dichlorobenzilicacid,,12/3/3152,C1=CC=C(C(=C1)C(C2=CC=CC=C2Cl)(C(=O)O)O)Cl,C14H10Cl2O3,powder,1.469,297.133,480.6,160,,,organic_compound,,,,,,INVALID_CAS
2'-Dipyridyldisulfide,,3/9/2127,C1=CC=NC(=C1)SSC2=CC=CC=N2,C10H8N2S2,powder,1.4,220.31,356.1,56,,,organic_compound,,,,,,INVALID_CAS
2'-Thenil,,7/5/7333,CC(=O)OC1C2CCC3C1(CC(C4(C(C3(C)O)CC(C4(C)C)O)O)O)CC2(C)O,C10H6O2S2,powder,1.395,222.283,368.5,81,,,organic_compound,,,,,,INVALID_CAS
"2,4,4,6,8,8-Heptamethylnonane",,4/9/4390,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,C16H34,liquid,0.9,226.441,240,,,,organic_compound,,,,,,INVALID_CAS
"2,4-Triphenyl-1,4-butanedione",,1/4/4441,C1=CC=C(C=C1)C(CC(=O)C2=CC=CC=C2)C(=O)C3=CC=CC=C3,C22H18O2,powder,1.143,314.377,496.2,126,,,organic_compound,,,,,,INVALID_CAS
"2,7,8-Diepoxyoctane",,7/5/2426,C1C(O1)CCCCC2CO2,C8H14O2,liquid,0.997,142.196,240,,,,organic_compound,,,,,,INVALID_CAS
2-Bis(carboxymethylthio)ethane,,2/2/7244,C(CSCC(=O)O)SCC(=O)O,C6H10O4S2,powder,1.452,210.271,448.7,107,,,organic_compound,,,,,,INVALID_CAS
2-Bis(hydroxymethyl)propionicacid,,3/7/4767,CC(CO)(CO)C(=O)O,C5H10O4,powder,1.4,134.13,366.7,189,,,organic_compound,,,,,,INVALID_CAS
"2-Diisopropyl-1,3-dioxolane",,10/7/4421,CC(C)C1(OCCO1)C(C)C,C9H18O2,liquid,0.93,158.238,171,,,,organic_compound,,,,,,INVALID_CAS
"2-Dimethoxy-4,5-dinitrobenzene",,3/7/3395,CC(=O)O[Si](C)(C)C=C,C6H12O2Si,powder,1.416,144.244,410.4,131,,,organic_compound,,,,,,INVALID_CAS
"3',5-Triiodo-L-thyronine",,2/3/6893,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,C15H12I3NO4,powder,2.5,650.974,563.5,234,,,organic_compound,,,,,,INVALID_CAS
