Reaction Type,FG_sorted_norm,count
Hydrolysis,"ArBr, ArBr",408
Hydrolysis,"RCN, RCN",120
Hydrolysis,"ArCl, ArCl",96
Mitsunobu,"ArOH, ArOH",120
Negishi,"Alkyl-M, ArBr",432
Negishi,"ArCl, ArCl",384
Negishi,"Alkyl-M, ArCl",24
"Negishi, in-situ","Alkyl-Br, ArBr",1008
"Negishi, in-situ","Alkyl-I, ArBr",408
"Negishi, in-situ","ArBr, ArBr",144
"Negishi, in-situ","Alkyl-Br, ArCl",96
"Negishi, in-situ","ArBr, ArCl",96
Oxidation,"Alkyl-H acidic, Alkyl-H acidic",216
Oxidation,"ArNH2, ArNH2",48
Protection,"ArOH, ArOH",24
Reduction,"alkene, alkene",24
Reduction,"arene, arene",24
SNAr,"Alkyl-OH a-branch, Lactam",216
SNAr,"ArF, arom. NH",192
SNAr,"Alkyl-OH a-branch, ArF",96
SNAr,"ArF, RNH2",96
SNAr,"ArBr, ArOH",24
SNAr,"ArCl, RNH2 a-branch",24
Salt formation,"RNH2, RNH2",216
Salt formation,"R3N, R3N",180
Sandmeyer,"ArNH2, ArNH2",96
Sonogashira,"alkyne, ArBr",369
Stannylation,"ArBr, RSnR3",192
Stetter,"alkene, RCHO",288
Suzuki-Miyaura,"ArB(OR)2, ArCl",2656
Suzuki-Miyaura,"ArB(OR)2, ArBr",2282
Suzuki-Miyaura,"ArB(OH)2, ArBr",2024
Suzuki-Miyaura,"ArB(OH)2, ArCl",960
Suzuki-Miyaura,"alkeneB(OR)2, ArBr",792
Suzuki-Miyaura,"alkeneB(OR)2, ArCl",552
Suzuki-Miyaura,"ArB(OR)2, ArI",528
Suzuki-Miyaura,"Alkyl-B(OH)2, ArBr",312
Suzuki-Miyaura,"ArBr, ArBr",312
Suzuki-Miyaura,"ArBF3K, ArCl",240
Suzuki-Miyaura,"Alkyl-B(OR)2, ArCl",192
Suzuki-Miyaura,"alkene-Br, ArB(OH)2",192
Suzuki-Miyaura,"Alkyl-BF3K, ArCl",96
Suzuki-Miyaura,"ArB(OH)2, RCONHR",96
Suzuki-Miyaura,"ArBF3K, ArBr",96
Suzuki-Miyaura,"ArCl, ArCl",96
Suzuki-Miyaura,"alkeneB(OR)2, ArI",96
Suzuki-Miyaura,"Alkyl-B(OH)2, ArCl",24
Suzuki-Miyaura,"Alkyl-B(OR)2, ArBr",24
Suzuki-Miyaura,"ArBr, ArCl",24
"Suzuki-Miyaura, in situ","ArBr, ArCl",912
"Suzuki-Miyaura, in situ","ArBr, ArBr",288
"Suzuki-Miyaura, in situ","alkene-I, ArBr",96
Wittig,"R2CO, RCH2PPh3X",118
