Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent
Suzuki-Miyaura,5.59,-0.36,alkeneB(OR)2,ArBr,ArBr,alkeneB(OR)2,ArX*,RB*,(CyMPhos)PdCl2,CyMPhos,K2CO3,iPrOAc,water,,
Buchwald-Hartwig,0.0,-0.82,RCONH2,ArCl,ArCl,RCONH2,ArX*,Amide-type,meCgPPh Pd G3,meCgPPh,K2CO3,MeCN,,,
Buchwald-Hartwig,59.5,1.43,RCONH2,ArCl,ArCl,RCONH2,ArX*,Amide-type,TrixiePhos Pd G3,TrixiePhos,NaOtBu,PhMe,,,
CN-Coupling,57.35,1.29,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,AlphosPd)2cod,AlPhos,K3PO4,MeTHF,water,,
Buchwald-Hartwig,0.0,-0.72,ArBr,RNH2,ArBr,RNH2,ArX*,Aliphatic-amine,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K2CO3,MeCN,water,LiCl,
CH-Activation,0.0,-1.1,ArH,ArBr,ArBr,,ArX*,,dppfPdCl2,dppf,Li2CO3,DMI,water,KOPiv,
CH-Activation,0.0,-1.1,ArH,ArBr,ArBr,,ArX*,,XPhos Pd G2,XPhos,K2CO3,anisole,,,
CH-Activation,98.13,2.01,ArH,ArBr,ArBr,,ArX*,,XantPhosPdCl2,XantPhos,"K2CO3, NMI",anisole,,KOAc,
Suzuki-Miyaura,76.2,0.77,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,NaHCO3,iPrOAc,water,,
Suzuki-Miyaura,89.48,1.21,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Na2CO3,EtOH,water,,
Buchwald-Hartwig,0.0,-0.59,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,[Pd(allyl)(cataCXiumPOMeCy)]OTf,cataCXium-POMeCy,K2CO3,tAmOH,,,
Buchwald-Hartwig,1.32,-0.6,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,(R)-BINAP Pd(allyl)Cl,BINAP,Cs2CO3,tAmOH,,,
Buchwald-Hartwig,35.55,-0.61,R2NH,ArCl,ArCl,R2NH,ArX*,Aliphatic-amine,SPhos Pd(crotyl)Cl,SPhos,Cs2CO3,PhMe,,,
Buchwald-Hartwig,54.01,-0.96,ArCl,ArNHR,ArCl,ArNHR,ArX*,Aniline-type,SPhos Pd(crotyl)Cl,SPhos,Cs2CO3,PhMe,,,
Buchwald-Hartwig,29.99,-0.67,ArNHR,ArBr,ArBr,ArNHR,ArX*,Aniline-type,CyJohnPhos Pd G3,CyJohnPhos,Na2CO3,PhMe,,,
Buchwald-Hartwig,4.7,-0.92,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,QPhos Pd(crotyl)Cl,QPhos,NaOtBu,PhMe,,,
Buchwald-Hartwig,26.91,1.86,R2NH,ArBr,ArBr,R2NH,ArX*,Aliphatic-amine,PPh3)2PdCl2,PPh3,Cs2CO3,PhMe,,,
Buchwald-Hartwig,2.37,-1.45,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,AmPhos Pd(crotyl)Cl,AmPhos,Na2CO3,PhMe,,,
Buchwald-Hartwig,80.48,1.28,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,PhMe,,,
Buchwald-Hartwig,0.0,-0.39,R2NH,ArCl,ArCl,R2NH,ArX*,Aliphatic-amine,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Cs2CO3,PhMe,,,
Buchwald-Hartwig,2.22,-0.84,ArNHR,ArCl,ArCl,ArNHR,ArX*,Aniline-type,tBuXPhos Pd G3,tBuXPhos,Na2CO3,PhMe,,,
Buchwald-Hartwig,9.76,-0.24,Ar2NH,ArBr,ArBr,Ar2NH,ArX*,Aniline-type,SPhos Pd G2,SPhos,Cs2CO3,PhMe,,,
Buchwald-Hartwig,8.61,-0.06,Lactam,ArCl,ArCl,Lactam,ArX*,Amide-type,SPhos Pd G2,SPhos,Cs2CO3,PhMe,,,
Buchwald-Hartwig,14.1,-0.13,RCONH2,ArBr,ArBr,RCONH2,ArX*,Amide-type,SPhos Pd G2,SPhos,Cs2CO3,PhMe,,,
Condensation,40.92,0.64,Lactam,RNH2,,"Lactam, RNH2",,"Aliphatic-amine, Amide-type",,No Ligand,LiHMDS,PhMe,,,Diphenylchlorophosphate
Condensation,34.29,0.17,Lactam,RNH2,,"Lactam, RNH2",,"Aliphatic-amine, Amide-type",,No Ligand,LiOtBu,MeTHF,,,Diphenylchlorophosphate
Condensation,46.91,1.06,Lactam,RNH2,,"Lactam, RNH2",,"Aliphatic-amine, Amide-type",,No Ligand,KOtPent,MeCN,,,pyBOP
Buchwald-Hartwig,2.35,-0.33,R2NH,ArBr,ArBr,R2NH,ArX*,Aliphatic-amine,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,PhMe,,,
Suzuki-Miyaura,5.31,0.68,ArCl,alkeneB(OR)2,ArCl,alkeneB(OR)2,ArX*,RB*,XantPhosPdCl2,XantPhos,Na2CO3,iPrOAc,water,,
CO-Coupling,7.75,0.41,Alkyl-OH a-branch,ArBr,ArBr,ROH-a-branch,ArX*,ROH,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,Dioxane,,,
CO-Coupling,0.0,-0.79,Alkyl-OH a-branch,ArBr,ArBr,ROH-a-branch,ArX*,ROH,Copper(II)acetate,NN-Dibenzyloxamide,LiHMDS,Dioxane,,,
Buchwald-Hartwig,82.7,2.3,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Cs2CO3,PhMe,,,
Wittig,0.0,-0.4,RCH2PPh3X,R2CO,,,,,,No Ligand,KHMDS,MeCN,,,
CH-Activation,0.0,-0.47,ArH,ArBr,ArBr,,ArX*,,XantPhos Pd(allyl)Cl,XantPhos,"K2CO3, NMI",NMP,,KOPiv,
Amide-coupling,10.55,-0.82,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,THF,,,T3P
Amide-coupling,24.08,-0.41,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,THF,,,BOP-Cl
Amide-coupling,97.3,1.8,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,MeCN,,HONB,DIC
Buchwald-Hartwig,72.1,0.95,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,XPhos Pd G2,XPhos,NaOtBu,MeTHF,,,
Buchwald-Hartwig,0.0,-0.99,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,dpppPdCl2,dppp,KOtBu,iPrOH,,,
Buchwald-Hartwig,9.67,-1.29,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,cBridP Pd(allyl)Cl,cBridP,K3PO4,MeTHF,water,,
Buchwald-Hartwig,0.0,-0.82,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,SPhos Pd(crotyl)Cl,SPhos,K3PO4,Dioxane,water,,
CH-Activation,0.0,-1.01,ArH,alkyne,,alkyne,,Alkyne,(Ru(p-cymene)Cl2)2,No Ligand,,DMAc,,KOAc,
CH-Activation,26.98,0.09,ArH,alkyne,,alkyne,,Alkyne,(Ru(p-cymene)Cl2)2,No Ligand,,MeOH,water,KOAc,
Buchwald-Hartwig,15.83,-0.74,ArBr,RCONH2,ArBr,RCONH2,ArX*,Amide-type,dtbpfPdCl2,dtbpf,K3PO4,PhMe,water,,
Buchwald-Hartwig,38.87,-0.18,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhos Pd(allyl)Cl,XantPhos,"KHMDS, NMM",PhMe,,,
SNAr,0.0,-0.66,Alkyl-OH a-branch,Lactam,,"ROH-a-branch, Lactam",,"Amide-type, ROH",,No Ligand,KHMDS,DMAc,,,PyClOP
SNAr,7.85,0.02,Alkyl-OH a-branch,Lactam,,"ROH-a-branch, Lactam",,"Amide-type, ROH",,No Ligand,"LiHMDS, NaOtBu",iPrOAc,,,PyClOP
Buchwald-Hartwig,5.15,-0.7,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,BippyPhos Pd(allyl)OTf,BippyPhos,LiHMDS,PhMe,,,
Buchwald-Hartwig,8.6,-0.22,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,BippyPhos Pd(allyl)OTf,BippyPhos,NaOtBu,tAmOH,,,
Buchwald-Hartwig,0.0,-0.4,RNH2 a-branch,ArBr,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,BippyPhos Pd(allyl)OTf,BippyPhos,NaOtBu,tAmOH,,,
Condensation,53.55,1.13,enolether,enolether,,enol-ether,,Alkene,,No Ligand,NH3,PhMe,water,,
Condensation,6.26,-1.15,Alkyl-Cl,RNH2,Alkyl-Cl,RNH2,Alkyl-X,Aliphatic-amine,,No Ligand,Cs2CO3,MeCN,,"LiI, water",
Condensation,14.94,-0.79,Alkyl-Cl,RNH2,Alkyl-Cl,RNH2,Alkyl-X,Aliphatic-amine,,No Ligand,lutidine,PhMe,,water,
Condensation,0.0,-1.41,Alkyl-Cl,RNH2,Alkyl-Cl,RNH2,Alkyl-X,Aliphatic-amine,,No Ligand,NaHCO3,tAmOH,,water,
CH-Activation,31.13,1.25,ArH,ArI,ArI,,ArX*,,dtbpfPdCl2,dtbpf,K2CO3,nBuOAc,,KOPiv,
Buchwald-Hartwig,2.32,-0.5,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,tBuXPhos Pd G3,tBuXPhos,NaOtBu,PhMe,,,
Buchwald-Hartwig,1.14,-0.82,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,tBuXPhos Pd G3,tBuXPhos,NaOtBu,PhMe,,,
Buchwald-Hartwig,0.0,-0.56,ArCl,arom. NH,ArCl,arom-NH,ArX*,Aniline-type,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,PhMe,,water,
Buchwald-Hartwig,30.66,-0.88,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,Cu2O,No Ligand,Na2CO3,DMI,,water,
Buchwald-Hartwig,0.0,-1.9,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,Cu2O,No Ligand,K3PO4,tAmOH,,water,
Buchwald-Hartwig,67.58,0.35,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,Cu2O,No Ligand,DBU,BuOH,,water,
Buchwald-Hartwig,88.05,1.03,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,Cu2O,PMPBO,DBU,BuOH,DMSO,,
CN-Coupling,13.93,-1.21,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,Cu2O,trans-NN-Dimethylcyclohexane-12-diamine,K3PO4,tAmOH,,,
CN-Coupling,33.02,-0.44,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Na2CO3,DMC,,,
CN-Coupling,22.64,-0.86,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuBr,trans-NN-Dimethylcyclohexane-12-diamine,K2HPO4,iPrOH,,TBAB,
CN-Coupling,83.62,1.59,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,K2CO3,tAmOH,,TBAB,
CN-Coupling,8.3,-1.43,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,PMPBO,K2CO3,BuOH,,,
CN-Coupling,36.42,-0.3,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,,,
CN-Coupling,21.09,-0.92,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,Copper(I) thiophene-2-carboxylate,trans-NN-Dimethylcyclohexane-12-diamine,Na2CO3,tAmOH,,,
CN-Coupling,34.78,-0.37,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,,,
Suzuki-Miyaura,57.13,-0.47,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,tAmOH,,,
Suzuki-Miyaura,89.28,-0.25,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,XantPhos Pd(allyl)Cl,XantPhos,Na2CO3,tAmOH,water,,
Suzuki-Miyaura,53.59,0.46,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,XantPhos Pd(allyl)Cl,XantPhos,K2CO3,tAmOH,water,,
Suzuki-Miyaura,36.43,-1.41,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,XantPhos Pd(allyl)Cl,XantPhos,K2CO3,tAmOH,water,,
Buchwald-Hartwig,0.0,-0.4,ArBr,R2NH a-branch,ArBr,R2NH-a-branch,ArX*,Aliphatic-amine,P(Cy3) Pd G3,P(Cy)3,Cs2CO3,PhMe,,,
Buchwald-Hartwig,29.58,-2.04,ArCl,ArNH2,ArCl,ArNH2,ArX*,Aniline-type,(R)-BINAP Pd(allyl)Cl,BINAP,K2CO3,Dioxane,,,
Suzuki-Miyaura,13.73,0.4,ArBr,alkeneB(OR)2,ArBr,alkeneB(OR)2,ArX*,RB*,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,tAmOH,water,,
Condensation,2.74,-0.99,Thiourea,RCHO,,,,,,No Ligand,NaHCO3,tAmOH,,water,
Buchwald-Hartwig,0.0,-0.71,ArNH2,ArCl,ArCl,ArNH2,ArX*,Aniline-type,CyJohnPhos Pd G3,CyJohnPhos,DBU,tAmOH,,,
CO-Coupling,0.0,-0.37,ArBr,ArOH,"ArBr, ArOH",ArOH,"ArOH, ArX*",ArOH,CuI,No Ligand,Cs2CO3,Dioxane,,,
Suzuki-Miyaura,39.93,0.59,alkeneB(OR)2,ArBr,ArBr,alkeneB(OR)2,ArX*,RB*,XantPhosPdCl2,XantPhos,K3PO4,tAmOH,water,,
Suzuki-Miyaura,69.01,0.73,alkeneB(OR)2,ArBr,ArBr,alkeneB(OR)2,ArX*,RB*,XantPhosPdCl2,XantPhos,K3PO4,tAmOH,water,,
Suzuki-Miyaura,37.78,0.45,ArI,ArB(OR)2,,ArB(OR)2,,ArB*,XantPhosPdCl2,XantPhos,K2CO3,Dioxane,,water,
Buchwald-Hartwig,24.83,1.08,ArI,ArNHR,ArI,ArNHR,ArX*,Aniline-type,rac-BINAP Pd G3,BINAP,Cs2CO3,MeTHF,,,
Buchwald-Hartwig,5.73,-0.25,ArI,ArNHR,ArI,ArNHR,ArX*,Aniline-type,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,KOH,MeTHF,water,,
Suzuki-Miyaura,9.33,-0.97,ArBr,ArBF3K,ArBr,ArBF3K,ArX*,ArB*,cPhos Pd G3,cPhos,,tAmOH,water,,
Suzuki-Miyaura,29.88,-0.58,ArBr,ArB(OH)2,ArBr,,ArX*,,AmPhos2PdCl2,AmPhos,K2CO3,anisole,water,,
Amide-coupling,0.0,-0.82,RCO2H or M,RNH2,,"RCO2H, RNH2",,"Aliphatic-amine, Acyl-source",,No Ligand,DBU,DCM,,,EDC
Buchwald-Hartwig,0.0,-0.77,ArOSO2R,RNH2,ArOSO2R,RNH2,ArX*,Aliphatic-amine,XPhos Pd G2,XPhos,Cs2CO3,MeTHF,,water,
Buchwald-Hartwig,48.37,0.92,RNH2,ArOSO2R,ArOSO2R,RNH2,ArX*,Aliphatic-amine,XPhos Pd G2,XPhos,Cs2CO3,MeTHF,,water,
Buchwald-Hartwig,6.49,2.13,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhos Pd(allyl)Cl,XantPhos,NaOtBu,Dioxane,,water,
Borylation-C-H,3.97,0.22,ArH,ArH,,,,,[Ir(cod)OMe]2,"4,7-(MeO)2-Phen",,MeTHF,,,
Buchwald-Hartwig,3.5,-0.24,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,NaHCO3,tAmOH,,,
Buchwald-Hartwig,0.0,-0.33,ArBr,arom. NH,ArBr,arom-NH,ArX*,Aniline-type,CuI,"1,10-Phenanthroline",K2CO3,NMI,,,
Buchwald-Hartwig,1.83,-0.87,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,SPhos Pd G4,SPhos,K3PO4,tAmOH,water,,
Amide-coupling,40.52,-0.84,R2NH a-branch,RCO2H or M,,"R2NH-a-branch, RCO2H",,"Aliphatic-amine, Acyl-source",,No Ligand,NMM,TBME,,HOPO,T3P
Amide-coupling,86.48,0.8,R2NH a-branch,RCO2H or M,,"R2NH-a-branch, RCO2H",,"Aliphatic-amine, Acyl-source",,No Ligand,,MeCN,xylenes,HOPO,DIC
Amide-coupling,97.54,1.19,R2NH a-branch,RCO2H or M,,"R2NH-a-branch, RCO2H",,"Aliphatic-amine, Acyl-source",,No Ligand,,MeTHF,MIBK,HOPO,DIC
Amide-coupling,61.85,0.43,RNH2,RNH2,,RNH2,,Aliphatic-amine,,No Ligand,NMM,MeCN,,,T3P
Buchwald-Hartwig,4.0,-0.53,ArBr,RCONH2,ArBr,RCONH2,ArX*,Amide-type,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,Cs2CO3,Dioxane,,water,
Hydration,2.46,-0.34,RCN,RCN,,,,,,No Ligand,K2CO3,iPrOH,water,,
Suzuki-Miyaura,35.26,0.91,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,K3PO4,tAmOH,water,,
Buchwald-Hartwig,7.28,-0.75,ArNH2,ArCl,ArCl,ArNH2,ArX*,Aniline-type,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,tAmOH,,,
Buchwald-Hartwig,14.25,0.32,ArBr,arom. NH,ArBr,arom-NH,ArX*,Aniline-type,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,MeCN,water,,
Amide-coupling,32.17,-0.48,ArNH2,RCO2H or M,,"ArNH2, RCO2H",,"Aniline-type, Acyl-source",,No Ligand,,THF,,HOSu,DIC
Amide-coupling,24.64,-0.71,ArNH2,RCO2H or M,,"ArNH2, RCO2H",,"Aniline-type, Acyl-source",,No Ligand,,MeCN,,Imidazole,DIC
CN-Coupling,3.86,-0.95,arom. NH,ArBr,ArBr,arom-NH,ArX*,Aniline-type,CuI,"N,N-Dimethylethylenediamine",Cs2CO3,DMF,,,
Buchwald-Hartwig,0.0,-0.44,ArCl,R2NH a-branch,ArCl,R2NH-a-branch,ArX*,Aliphatic-amine,AlphosPd)2cod,AlPhos,KHMDS,PhMe,,,
Glycosidation,30.67,-0.29,Alkyl-OH primary,RCO2R,,ROH-primary,,ROH,,No Ligand,,DCE,,,
Glycosidation,58.48,0.97,Alkyl-OH primary,RCO2R,,ROH-primary,,ROH,,No Ligand,,DCE,,,
Buchwald-Hartwig,26.0,-0.44,arom. NH,ArBr,ArBr,arom-NH,ArX*,Aniline-type,CuI,"N,N-Dimethylethylenediamine",Cs2CO3,DMF,,,
Buchwald-Hartwig,57.7,0.53,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,AmPhos Pd(crotyl)Cl,AmPhos,KHMDS,PhMe,,,
Suzuki-Miyaura,0.0,-0.68,ArB(OH)2,RCONHR,,ArB(OH)2,,ArB*,dtbpfPdCl2,dtbpf,"Na2CO3, NaOtBu",DMF,water,,PyOxim
Buchwald-Hartwig,86.68,1.43,ArBr,RNH2 a-branch,,RNH2-a-branch,,Aliphatic-amine,AlphosPd)2cod,AlPhos,NaOtBu,Dioxane,,,
Hydrolysis,16.51,-0.06,ArBr,ArBr,ArBr,,ArX*,,tBuXPhos Pd G3,tBuXPhos,KOH,MeTHF,water,,
Hydrolysis,43.17,1.01,ArBr,ArBr,ArBr,,ArX*,,RockPhos Pd G3,RockPhos,KOH,tAmOH,water,,
Deprotection,30.74,-1.08,Protecting Group,Protecting Group,,,,,,No Ligand,,acetone,,,
Deprotection,75.34,0.53,Protecting Group,Protecting Group,,,,,,No Ligand,,Dioxane,,,
Condensation,11.9,2.05,ROC(O)NR2,RNH2 a-branch,,"RNH2-a-branch, Carbamate",,"Aliphatic-amine, Amide-type",,No Ligand,lutidine,MeTHF,,,PyBrOP
Amide-coupling,90.99,1.68,RCO2H or M,RNH2 a-branch,,"RCO2H, RNH2-a-branch",,"Aliphatic-amine, Acyl-source",,No Ligand,lutidine,MeCN,,HOSu,DIC
Amide-coupling,77.16,1.32,RCO2H or M,RNH2 a-branch,,"RCO2H, RNH2-a-branch",,"Aliphatic-amine, Acyl-source",,No Ligand,DIPEA,,,HOSu,EDC
Suzuki-Miyaura,74.07,1.02,alkeneB(OR)2,ArBr,ArBr,alkeneB(OR)2,ArX*,RB*,dtbpfPdCl2,dtbpf,Cs2CO3,iPrOAc,,,
Stannylation,100.0,5.31,ArBr,RSnR3,ArBr,,ArX*,,P(Cy)3 Pd(crotyl)Cl,P(Cy)3,,Dioxane,,KOAc,
Stannylation,0.0,-0.54,ArBr,RSnR3,ArBr,,ArX*,,P(Cy)3 Pd(crotyl)Cl,P(Cy)3,,Dioxane,,KOAc,
Buchwald-Hartwig,6.85,-0.55,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,anisole,,water,
Buchwald-Hartwig,2.76,-0.76,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,,No Ligand,lutidine,TFE,,,
Buchwald-Hartwig,0.0,-0.52,ArBr,RNH2,ArBr,RNH2,ArX*,Aliphatic-amine,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,MeCN,,,
Buchwald-Hartwig,0.0,-0.21,RNH2,ArBr,ArBr,RNH2,ArX*,Aliphatic-amine,N-XantPhos Pd G3,N-XantPhos,K3PO4,MeCN,water,,
Buchwald-Hartwig,39.4,-0.04,RNH2 a-branch,ArBr,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,AmPhos Pd(crotyl)Cl,AmPhos,CsOH.H2O,PhMe,,,
CO-Coupling,22.32,1.07,ArOH,ArBr,"ArBr, ArOH",ArOH,"ArOH, ArX*",ArOH,CuI,"N,N-Dimethylethylenediamine",Cs2CO3,Dioxane,,,
Amide-coupling,0.64,-1.52,R2NH,RCO2H or M,,"R2NH, RCO2H",,"Aliphatic-amine, Acyl-source",,No Ligand,DBU,DMF,,,EDC
CN-Coupling,0.0,-0.5,arom. NH,ArBr,ArBr,arom-NH,ArX*,Aniline-type,MorDalphos Pd G3,MorDalphos,K3PO4,MeCN,water,,
Condensation,1.39,-0.69,ArNH2,RSO2Cl,,ArNH2,,Aniline-type,,No Ligand,NaOtBu,TPGS-750M,,,
Condensation,43.75,1.0,ArNH2,RSO2Cl,,ArNH2,,Aniline-type,,No Ligand,lutidine,MeCN,,,
Condensation,3.49,-0.6,ArNH2,RSO2Cl,,ArNH2,,Aniline-type,,No Ligand,TMEDA,MeCN,,,
CO-Coupling,0.0,-0.3,ArBr,Alkyl-OH a-branch,ArBr,ROH-a-branch,ArX*,ROH,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,,,
Suzuki-Miyaura,26.23,-1.55,ArBr,Alkyl-B(OH)2,ArBr,Alkyl-B(OH)2,ArX*,RB*,cataCXiumA Pd G3,CataCXiumA,Ag2O,Dioxane,,,
Deprotection,1.04,-0.38,Protecting Group,Protecting Group,,,,,,No Ligand,,acetone,,,
Suzuki-Miyaura,16.78,1.35,ArB(OH)2,ArBr,ArBr,ArB(OH)2,ArX*,ArB*,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,tAmOH,water,,
Suzuki-Miyaura,14.97,1.09,ArB(OH)2,ArBr,ArBr,ArB(OH)2,ArX*,ArB*,dppfPdCl2,dppf,K3PO4,PhMe,water,,
Amide-coupling,0.51,-0.68,RCO2H or M,ArNH2,,"ArNH2, RCO2H",,"Aniline-type, Acyl-source",,No Ligand,NMM,DMI,,HOSu,DIC
Amide-coupling,3.42,-0.53,RCO2H or M,ArNH2,,"ArNH2, RCO2H",,"Aniline-type, Acyl-source",,No Ligand,Li2CO3,iPrOAc,,,MsCl
Amide-coupling,9.1,-0.26,RCO2H or M,ArNH2,,"ArNH2, RCO2H",,"Aniline-type, Acyl-source",,No Ligand,"NEt3, NMI",THF,,,PivCl
SNAr,2.61,-1.12,ArF,arom. NH,ArF,arom-NH,ArX*,Aniline-type,,No Ligand,Li2CO3,tAmOH,,,
SNAr,0.0,-1.29,ArF,arom. NH,ArF,arom-NH,ArX*,Aniline-type,,No Ligand,lutidine,EtOAc,,,
Arylation-acidic-C-H,2.34,-0.31,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,SPhos Pd(crotyl)Cl,SPhos,NaOtBu,Dioxane,,,
Arylation-acidic-C-H,0.0,-0.46,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,BrettPhos Pd(crotyl)OTf,BrettPhos,K3PO4,DMSO,water,,
Arylation-acidic-C-H,2.15,-0.32,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,BrettPhos Pd(crotyl)OTf,BrettPhos,K3PO4,DMSO,water,,
Arylation-acidic-C-H,19.41,0.25,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,SPhos Pd(crotyl)Cl,SPhos,NaOtBu,Dioxane,,,
Arylation-acidic-C-H,0.0,-0.6,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NaH,PhMe,,,
CO-Coupling,0.0,-0.55,ArOH,ArBr,"ArBr, ArOH",ArOH,"ArOH, ArX*",ArOH,Copper(II)acetate,trans-Hyp,DBU,Propionitrile,,,
CO-Coupling,34.97,0.59,ArOH,ArI,"ArI, ArOH",ArOH,"ArOH, ArX*",ArOH,CuI,NN-Dibenzyloxamide,Cs2CO3,MeCN,,,
CO-Coupling,0.0,-1.14,ArOH,ArI,"ArI, ArOH",ArOH,"ArOH, ArX*",ArOH,CuI,diphenethyloxamide,K3PO4,DMSO,water,,
CO-Coupling,40.48,0.86,ArOH,ArI,"ArI, ArOH",ArOH,"ArOH, ArX*",ArOH,Copper(II)acetate,trans-Hyp,DBU,MeCN,,,
CO-Coupling,34.7,0.57,ArOH,ArI,"ArI, ArOH",ArOH,"ArOH, ArX*",ArOH,Cu(MeCN)4BF4,"N,N-Dimethylglycine hydrochloride",K3PO4,BuOH,water,,
Suzuki-Miyaura,37.64,0.63,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos2PdCl2,AmPhos,K3PO4,DMI,water,,
