Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent
Buchwald-Hartwig,21.2,-0.08,R2NH,ArBr,ArBr,R2NH,ArX*,Aliphatic-amine,Pd2dba3.CHCl3,"cBRIDP, Missing",Cs2CO3,Dioxane,,water,
CH-Activation,0.0,-0.47,ArH,ArBr,ArBr,,ArX*,,XantPhosPdCl2,XantPhos,"K3PO4, NMI",anisole,,KOPiv,
Amide-coupling,2.76,-1.05,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,iPrOAc,,HOBt,EDC
Amide-coupling,7.0,-0.92,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,iPrOAc,,HOBt,BOP-Cl
Amide-coupling,1.97,-1.08,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,THF,,HOSu,DIC
Amide-coupling,99.13,1.86,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,THF,,HOSu,DIC
Buchwald-Hartwig,94.47,1.56,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,NaOtBu,PhMe,,,
Buchwald-Hartwig,0.0,-0.99,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,NaOtBu,TBME,,,
Buchwald-Hartwig,71.0,0.92,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,NaOtBu,cyclohexane,TBME,,
CH-Activation,4.02,-1.38,ArH,ArH,,,,,XantPhosPdCl2,XantPhos,"Cs2CO3, NMI",anisole,,"KOPiv, water",
Buchwald-Hartwig,0.0,-0.53,ArBr,Lactam,ArBr,Lactam,ArX*,Amide-type,XantPhos Pd(allyl)Cl,XantPhos,NaOtBu,PhMe,,,
Suzuki-Miyaura,58.48,0.7,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K3PO4,iPrOAc,water,,
Suzuki-Miyaura,72.14,1.29,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dppfPdCl2,dppf,K3PO4,iPrOAc,water,,
Buchwald-Hartwig,12.1,0.56,ArBr,R2CNR,ArBr,,ArX*,,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,,water,
Buchwald-Hartwig,10.36,-1.27,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,dppfPdCl2,dppf,Cs2CO3,MeTHF,,,
Suzuki-Miyaura,15.29,-0.7,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,Cs2CO3,MeTHF,,water,
Buchwald-Hartwig,77.12,1.76,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,tAmOH,water,,
CH-Activation,0.0,-1.01,ArH,alkyne,,alkyne,,Alkyne,(Ru(p-cymene)Cl2)2,No Ligand,,tAmOH,,water,
CH-Activation,44.35,0.8,ArH,alkyne,,alkyne,,Alkyne,(Ru(p-cymene)Cl2)2,No Ligand,,acetone,,"HFIP, KOAc",
CH-Activation,9.83,-0.61,ArH,alkyne,,alkyne,,Alkyne,"(Ru(p-cymene)Cl2)2, Copper(II)acetate",No Ligand,,PhMe,,HFIP,
CH-Activation,30.31,0.23,ArH,alkyne,,alkyne,,Alkyne,(Ru(p-cymene)Cl2)2,No Ligand,,PhMe,,HFIP,
CH-Activation,60.99,1.49,ArH,alkyne,,alkyne,,Alkyne,(Ru(p-cymene)Cl2)2,No Ligand,,PhMe,,HFIP,
Buchwald-Hartwig,0.0,-0.29,ArCl,arom. NH,ArCl,arom-NH,ArX*,Aniline-type,BrettPhos Pd(crotyl)OTf,BrettPhos,Cs2CO3,PhMe,,water,
Buchwald-Hartwig,0.0,-1.32,ArBr,RCONH2,ArBr,RCONH2,ArX*,Amide-type,cBridP Pd(allyl)Cl,cBridP,Cs2CO3,PhMe,,water,
Buchwald-Hartwig,72.8,1.35,ArBr,RCONH2,ArBr,RCONH2,ArX*,Amide-type,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,MeTHF,water,,
Buchwald-Hartwig,87.13,1.59,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,RuPhos Pd G4,RuPhos,"NaOtBu, NMM",Dioxane,,,
SNAr,0.0,-0.66,Alkyl-OH a-branch,Lactam,,"ROH-a-branch, Lactam",,"Amide-type, ROH",,No Ligand,DBU,DCM,,,PyBrOP
SNAr,31.4,2.05,Alkyl-OH a-branch,Lactam,,"ROH-a-branch, Lactam",,"Amide-type, ROH",,No Ligand,"DBU, NaOtBu",PhMe,,,PyBrOP
Suzuki-Miyaura,38.87,1.06,ArI,ArB(OR)2,ArI,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,PhMe,,water,
Suzuki-Miyaura,0.0,-1.07,ArI,ArB(OR)2,ArI,ArB(OR)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,Cs2CO3,tAmOH,,water,
Reduction,77.02,0.77,alkene,alkene,,alkene,,Alkene,Strykers reagent,Josiphos SL-J002-1,,PhMe,,tAmOH,
Deoxyfluorination,16.55,-1.01,Alkyl-OH a-branch,Alkyl-OH a-branch,,ROH-a-branch,,ROH,,No Ligand,,DCM,,DBU,
Deoxyfluorination,67.09,0.78,Alkyl-OH a-branch,Alkyl-OH a-branch,,ROH-a-branch,,ROH,,No Ligand,,DCM,,Et3N.3HF,
Buchwald-Hartwig,17.55,0.18,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,dppf Pd G3,dppf,NaOtBu,PhMe,,,
Buchwald-Hartwig,50.6,0.58,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,,,
Buchwald-Hartwig,16.28,0.62,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,dppf Pd G3,dppf,NaOtBu,PhMe,,,
Buchwald-Hartwig,0.0,-0.4,RNH2 a-branch,ArBr,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,dppf Pd G3,dppf,NaOtBu,PhMe,,,
Condensation,38.49,0.37,enolether,enolether,,enol-ether,,Alkene,,No Ligand,NH3,PhMe,,water,
Condensation,19.14,-0.61,Alkyl-Cl,RNH2,Alkyl-Cl,RNH2,Alkyl-X,Aliphatic-amine,,No Ligand,K3PO4,EtOH,water,"TBAB, water",
Condensation,63.08,1.2,Alkyl-Cl,RNH2,Alkyl-Cl,RNH2,Alkyl-X,Aliphatic-amine,,No Ligand,NMM,MeTHF,,water,
CH-Activation,43.44,2.02,ArH,ArI,ArI,,ArX*,,XantPhosPdCl2,XantPhos,K2CO3,DMI,,KOAc,
Buchwald-Hartwig,0.0,-0.92,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,SPhos Pd(crotyl)Cl,SPhos,K3PO4,Dioxane,water,,
SNAr,71.37,1.77,Lactam,Alkyl-OH a-branch,,"ROH-a-branch, Lactam",,"Amide-type, ROH",,No Ligand,"DBU, NaOtBu",THF,,,PyBrOP
Buchwald-Hartwig,0.0,-0.6,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,,water,
Buchwald-Hartwig,0.0,-0.6,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,PhMe,water,,
Buchwald-Hartwig,0.0,-0.87,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,,water,
Buchwald-Hartwig,3.77,-0.72,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,PhMe,water,,
Buchwald-Hartwig,1.55,-0.21,ArCl,arom. NH,ArCl,arom-NH,ArX*,Aniline-type,AlphosPd)2cod,AlPhos,K3PO4,PhMe,,water,
Buchwald-Hartwig,0.0,-0.85,arom. NH,ArBr,ArBr,arom-NH,ArX*,Aniline-type,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,PhMe,water,,
Buchwald-Hartwig,0.0,-1.05,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,PhMe,water,,
Buchwald-Hartwig,100.0,1.42,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,CuI,No Ligand,K3PO4,DMSO,,water,
Buchwald-Hartwig,95.74,1.28,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,CuI,No Ligand,K3PO4,DMSO,,water,
Buchwald-Hartwig,75.29,0.6,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,Cu2O,No Ligand,K3PO4,PrOH,water,water,
Buchwald-Hartwig,93.87,1.22,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,Cu2O,No Ligand,K3PO4,BuOH,DMSO,,
CN-Coupling,78.52,1.38,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,PhMe,,,
CN-Coupling,63.09,0.77,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,NaOtBu,PhMe,,,
CN-Coupling,0.0,-1.76,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,MeTHF,,water,
CN-Coupling,84.01,1.6,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,tAmOH,,TBAB,
CN-Coupling,95.74,2.08,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,K2CO3,tAmOH,,TBAB,
CN-Coupling,5.26,-1.55,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,No Ligand,K2CO3,tAmOH,,,
CN-Coupling,54.31,0.41,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,,,
CN-Coupling,50.79,0.27,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuBr,trans-NN-Dimethylcyclohexane-12-diamine,DBU,THF,,TBAB,
CN-Coupling,41.03,-0.12,ROC(O)NR2,ArI,ArI,Carbamate,ArX*,Amide-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,,,
Suzuki-Miyaura,75.8,0.34,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,Cs2CO3,PhMe,,,
Suzuki-Miyaura,89.04,-0.29,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,Na2CO3,PhMe,water,,
Suzuki-Miyaura,54.96,0.53,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,K2CO3,PhMe,water,,
Suzuki-Miyaura,7.76,-2.39,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,K2CO3,PhMe,water,,
Buchwald-Hartwig,0.0,-0.4,ArBr,R2NH a-branch,ArBr,R2NH-a-branch,ArX*,Aliphatic-amine,rac-BINAP Pd G3,BINAP,LiHMDS,PhMe,,,
Buchwald-Hartwig,91.65,0.69,ArCl,ArNH2,ArCl,ArNH2,ArX*,Aniline-type,BrettPhos Pd(crotyl)OTf,BrettPhos,KOAc,Dioxane,,,
Buchwald-Hartwig,64.37,-0.51,ArCl,ArNH2,ArCl,ArNH2,ArX*,Aniline-type,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,KOAc,PhMe,,TBAB,
Buchwald-Hartwig,76.32,0.02,ArCl,ArNH2,ArCl,ArNH2,ArX*,Aniline-type,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,PhMe,water,,
Buchwald-Hartwig,92.08,0.71,ArCl,ArNH2,ArCl,ArNH2,ArX*,Aniline-type,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,MeCN,water,,
Buchwald-Hartwig,94.03,0.8,ArCl,ArNH2,ArCl,ArNH2,ArX*,Aniline-type,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,MeCN,water,,
Buchwald-Hartwig,91.44,0.68,ArCl,ArNH2,ArCl,ArNH2,ArX*,Aniline-type,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,MeCN,water,,
Suzuki-Miyaura,6.97,-0.26,ArBr,alkeneB(OR)2,ArBr,alkeneB(OR)2,ArX*,RB*,PPh3)2PdCl2,PPh3,K3PO4,PhMe,water,,
Suzuki-Miyaura,0.0,-0.94,ArBr,alkeneB(OR)2,ArBr,alkeneB(OR)2,ArX*,RB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,PhMe,water,,
Buchwald-Hartwig,9.72,0.86,ArNH2,ArCl,ArCl,ArNH2,ArX*,Aniline-type,BrettPhos Pd(crotyl)OTf,BrettPhos,K2CO3,PhMe,,,
