Reaction Type,FG1,FG2,n_rows,n_eln,top_coupling_reagent,top_catalyst,top_ligand,top_base,top_solvent,top_additive,ReactionType_Detailed,ReactionType_SubtypeTag
Buchwald-Hartwig,ArBr,RNH2,1032,9,,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Cs2CO3,tAmOH,LiCl,Buchwald-Hartwig: aryl bromide × primary alkyl amine,Buchwald-Hartwig__ArBr + RNH2
Buchwald-Hartwig,ArBr,arom. NH,924,11,,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,tAmOH,,Buchwald-Hartwig: aryl bromide × aromatic N–H (heteroaryl/aryl NH),Buchwald-Hartwig__ArBr + arom. NH
Buchwald-Hartwig,ArCl,arom. NH,922,13,,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,Dioxane,water,Buchwald-Hartwig: aryl chloride × aromatic N–H (heteroaryl/aryl NH),Buchwald-Hartwig__ArCl + arom. NH
Buchwald-Hartwig,ArBr,Lactam,696,5,,CuI,tBuBrettPhos,DBU,Dioxane,,Buchwald-Hartwig: aryl bromide × lactam (cyclic amide),Buchwald-Hartwig__ArBr + Lactam
Buchwald-Hartwig,ArCl,R2NH,544,6,,QPhos Pd(crotyl)Cl,QPhos,NaOtBu,PhMe,CsF,Buchwald-Hartwig: aryl chloride × secondary alkyl amine,Buchwald-Hartwig__ArCl + R2NH
Buchwald-Hartwig,ArCl,RCONH2,504,2,,dppfPdCl2,dppf,K2CO3,tAmOH,,Buchwald-Hartwig: aryl chloride × primary amide,Buchwald-Hartwig__ArCl + RCONH2
Buchwald-Hartwig,ArCl,R2NH a-branch,480,6,,triisobutylphosphatrane Pd G6,triisobutylphosphatrane,NaOtBu,PhMe,,Buchwald-Hartwig: aryl chloride × α-branched secondary alkyl amine,Buchwald-Hartwig__ArCl + R2NH a-branch
Buchwald-Hartwig,ArBr,ArNHR,456,4,,BrettPhos Pd(crotyl)OTf,CataCXiumA,NaOtBu,tAmOH,,Buchwald-Hartwig: aryl bromide × secondary aryl amine (Ar–NHR),Buchwald-Hartwig__ArBr + ArNHR
Buchwald-Hartwig,Ar2NH,ArBr,384,2,,QPhos Pd(crotyl)Cl,Me4tBuXPhos,LiHMDS,PhMe,,Buchwald-Hartwig: diaryl amine (Ar2NH) × aryl bromide,Buchwald-Hartwig__Ar2NH + ArBr
Buchwald-Hartwig,ArCl,ArNHR,384,4,,(R)-BINAP Pd(allyl)Cl,QPhos,Na2CO3,PhMe,,Buchwald-Hartwig: aryl chloride × secondary aryl amine (Ar–NHR),Buchwald-Hartwig__ArCl + ArNHR
