Reaction Type,FG1,FG2,n_rows,n_eln,top_coupling_reagent,top_catalyst,top_ligand,top_base,top_solvent,top_additive,ReactionType_Detailed,ReactionType_SubtypeTag
Hydration,RCN,RCN,96,1,,,No Ligand,Na2CO3,anisole,TBAHS,Hydration of nitrile,Hydration__RCN
Hydrodehalogenation,ArCl,ArCl,216,2,,Pd/C,Missing,,EtOH,water,Hydrodehalogenation of aryl chloride,Hydrodehalogenation__ArCl
Hydrolysis,ArBr,ArBr,408,3,,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,KOH,tAmOH,B(OH)3,Hydrolysis of aryl bromide,Hydrolysis__ArBr
Hydrolysis,RCN,RCN,120,1,,,No Ligand,NMI,EtOH,BF3.OEt2,Hydrolysis of nitrile,Hydrolysis__RCN
Hydrolysis,ArCl,ArCl,96,1,,BippyPhos Pd(allyl)OTf,BippyPhos,K3PO4,tAmOH,water,Hydrolysis of aryl chloride,Hydrolysis__ArCl
Mitsunobu,ArOH,ArOH,120,1,POCl3,,No Ligand,DIPEA,THF,,Mitsunobu (substrate: phenol (Ar–OH)),Mitsunobu__ArOH
Negishi,Alkyl-M,ArBr,432,3,,meCgPPh Pd G3,No Ligand,,MeTHF,LiCl,Negishi: alkyl organometallic (R–M) × aryl bromide,Negishi__Alkyl-M + ArBr
Negishi,ArCl,ArCl,384,2,,XPhos Pd G2,XPhos,,PhMe,Potassium 2-ethylhexanoate,Negishi (substrate: aryl chloride),Negishi__ArCl
Negishi,Alkyl-M,ArCl,24,1,,dppfPdCl2,dppf,,PhMe,Potassium 2-ethylhexanoate,Negishi: alkyl organometallic (R–M) × aryl chloride,Negishi__Alkyl-M + ArCl
"Negishi, in-situ",Alkyl-Br,ArBr,1008,2,,AmPhos2PdCl2,AmPhos,TMEDA,Brij 35,TMEDA,"Negishi, in-situ: alkyl bromide × aryl bromide","Negishi, in-situ__Alkyl-Br + ArBr"
"Negishi, in-situ",Alkyl-I,ArBr,408,5,,"Cu2O, Ni(OAc)2",Me4phen,,water,"TMEDA, TPGS-750M","Negishi, in-situ: alkyl iodide × aryl bromide","Negishi, in-situ__Alkyl-I + ArBr"
"Negishi, in-situ",ArBr,ArBr,144,2,,AmPhos2PdCl2,AmPhos,TMEDA,Brij 35,Sodium octanoate,"Negishi, in-situ (substrate: aryl bromide)","Negishi, in-situ__ArBr"
"Negishi, in-situ",Alkyl-Br,ArCl,96,1,,Ni(COD)(DQ),Weix 2-pyridyl-N-cyanocarboxamidine,,DMAc,NaI,"Negishi, in-situ: alkyl bromide × aryl chloride","Negishi, in-situ__Alkyl-Br + ArCl"
"Negishi, in-situ",ArBr,ArCl,96,1,,cBridP Pd(allyl)Cl,cBridP,,Brij 35,"Octanoic acid, TMSCl","Negishi, in-situ: aryl bromide × aryl chloride","Negishi, in-situ__ArBr + ArCl"
Oxidation,Alkyl-H acidic,Alkyl-H acidic,216,1,,,No Ligand,KOH,THF,"Brij 35, Sodium octanoate",Oxidation of acidic C–H (enolizable / activated methylene),Oxidation__Alkyl-H acidic
Oxidation,ArNH2,ArNH2,48,1,,,No Ligand,,MeCN,Na2WO4,Oxidation of primary aryl amine (aniline-type),Oxidation__ArNH2
Protection,ArOH,ArOH,24,1,,,No Ligand,DIPEA,acetone,PMBCl,Protection of phenol (Ar–OH),Protection__ArOH
Reduction,alkene,alkene,24,1,,Strykers reagent,Josiphos SL-J002-1,,PhMe,tAmOH,Reduction of alkene,Reduction__alkene
Reduction,arene,arene,24,1,,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,MeTHF,"AcOH, Brij 35",Reduction of arene (aromatic ring),Reduction__arene
SNAr,Alkyl-OH a-branch,Lactam,216,2,PyBrOP,,No Ligand,NaOtBu,THF,,SNAr: α-branched alcohol (secondary/tertiary) × lactam (cyclic amide),SNAr__Alkyl-OH a-branch + Lactam
SNAr,ArF,arom. NH,192,1,,,No Ligand,Cs2CO3,MeTHF,,SNAr: aryl fluoride × aromatic N–H (heteroaryl/aryl NH),SNAr__ArF + arom. NH
SNAr,Alkyl-OH a-branch,ArF,96,1,,,No Ligand,TMG,DMSO,LiCl,SNAr: α-branched alcohol (secondary/tertiary) × aryl fluoride,SNAr__Alkyl-OH a-branch + ArF
SNAr,ArF,RNH2,96,1,,,No Ligand,DBU,DMSO,LiBF4,SNAr: aryl fluoride × primary alkyl amine,SNAr__ArF + RNH2
SNAr,ArBr,ArOH,24,1,,CuI,PMPBO,K3PO4,DMSO,,SNAr: aryl bromide × phenol (Ar–OH),SNAr__ArBr + ArOH
SNAr,ArCl,RNH2 a-branch,24,1,,,No Ligand,K3PO4,MeCN,,SNAr: aryl chloride × α-branched primary alkyl amine,SNAr__ArCl + RNH2 a-branch
Salt formation,RNH2,RNH2,216,1,,,No Ligand,,EtOH,,Salt formation of primary alkyl amine,Salt formation__RNH2
Salt formation,R3N,R3N,180,1,,,No Ligand,,methylcyclohexane,,Salt formation of tertiary amine,Salt formation__R3N
Sandmeyer,ArNH2,ArNH2,96,1,,CuF2,No Ligand,,Propionitrile,amyl nitrite,Sandmeyer (substrate: primary aryl amine (aniline-type)),Sandmeyer__ArNH2
Sonogashira,alkyne,ArBr,369,5,,"Cu(MeCN)4BF4, XPhos Pd(crotyl)Cl",XPhos,NEt3,DMF,TBAC,Sonogashira: alkyne × aryl bromide,Sonogashira__ArBr + alkyne
Stannylation,ArBr,RSnR3,192,1,,P(Cy)3 Pd(crotyl)Cl,P(Cy)3,,Dioxane,LiCl,Stannylation: aryl bromide × organostannane (R–SnR3),Stannylation__ArBr + RSnR3
Stetter,alkene,RCHO,288,2,,thiazolium-NHC*HCl,No Ligand,NEt3,EtOH,ZnCl2,Stetter: alkene × aldehyde,Stetter__RCHO + alkene
Suzuki-Miyaura,ArB(OR)2,ArCl,2656,17,,dtbpfPdCl2,dtbpf,K3PO4,tAmOH,Potassium 2-ethylhexanoate,"Suzuki-Miyaura: aryl boronate ester (e.g., Bpin) × aryl chloride",Suzuki-Miyaura__ArB(OR)2 + ArCl
Suzuki-Miyaura,ArB(OR)2,ArBr,2282,30,,dtbpfPdCl2,No Ligand,K3PO4,tAmOH,TBAB,"Suzuki-Miyaura: aryl boronate ester (e.g., Bpin) × aryl bromide",Suzuki-Miyaura__ArB(OR)2 + ArBr
Suzuki-Miyaura,ArB(OH)2,ArBr,2024,24,,dtbpfPdCl2,dtbpf,K3PO4,tAmOH,Potassium 2-ethylhexanoate,Suzuki-Miyaura: aryl boronic acid × aryl bromide,Suzuki-Miyaura__ArB(OH)2 + ArBr
Suzuki-Miyaura,ArB(OH)2,ArCl,960,10,,dtbpfPdCl2,AmPhos,K3PO4,THF,water,Suzuki-Miyaura: aryl boronic acid × aryl chloride,Suzuki-Miyaura__ArB(OH)2 + ArCl
Suzuki-Miyaura,alkeneB(OR)2,ArBr,792,9,,dtbpfPdCl2,dtbpf,K3PO4,tAmOH,Octanoic acid,Suzuki-Miyaura: vinyl boronate ester × aryl bromide,Suzuki-Miyaura__ArBr + alkeneB(OR)2
Suzuki-Miyaura,alkeneB(OR)2,ArCl,552,5,,dtbpfPdCl2,dtbpf,K2CO3,Brij 35,Sodium octanoate,Suzuki-Miyaura: vinyl boronate ester × aryl chloride,Suzuki-Miyaura__ArCl + alkeneB(OR)2
Suzuki-Miyaura,ArB(OR)2,ArI,528,5,,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Cs2CO3,tAmOH,water,"Suzuki-Miyaura: aryl boronate ester (e.g., Bpin) × aryl iodide",Suzuki-Miyaura__ArB(OR)2 + ArI
Suzuki-Miyaura,Alkyl-B(OH)2,ArBr,312,3,,CataCXiumA Pd(allyl)Cl,CataCXiumA,K3PO4,PhMe,water,Suzuki-Miyaura: alkyl boronic acid × aryl bromide,Suzuki-Miyaura__Alkyl-B(OH)2 + ArBr
Suzuki-Miyaura,ArBr,ArBr,312,2,,cataCXiumA Pd G3,CataCXiumA,"K3PO4, Potassium 2-ethylhexanoate",tAmOH,TBAB,Suzuki-Miyaura (substrate: aryl bromide),Suzuki-Miyaura__ArBr
Suzuki-Miyaura,ArBF3K,ArCl,240,2,,dppfPdCl2,XPhos,Na2CO3,EtOH,Brij 35,Suzuki-Miyaura: aryl trifluoroborate × aryl chloride,Suzuki-Miyaura__ArBF3K + ArCl
Suzuki-Miyaura,Alkyl-B(OR)2,ArCl,192,1,,SPhos Pd(crotyl)Cl,SPhos,K3PO4,Dioxane,Potassium 2-ethylhexanoate,"Suzuki-Miyaura: alkyl boronate ester (e.g., Bpin) × aryl chloride",Suzuki-Miyaura__Alkyl-B(OR)2 + ArCl
Suzuki-Miyaura,alkene-Br,ArB(OH)2,192,1,,SPhos Pd(crotyl)Cl,AmPhos,K3PO4,tAmOH,Potassium 2-ethylhexanoate,Suzuki-Miyaura: vinyl bromide × aryl boronic acid,Suzuki-Miyaura__ArB(OH)2 + alkene-Br
Suzuki-Miyaura,Alkyl-BF3K,ArCl,96,1,,SPhos Pd(crotyl)Cl,SPhos,KOH,tAmOH,Potassium 2-ethylhexanoate,Suzuki-Miyaura: alkyl trifluoroborate × aryl chloride,Suzuki-Miyaura__Alkyl-BF3K + ArCl
Suzuki-Miyaura,ArB(OH)2,RCONHR,96,1,PyClOP,dtbpfPdCl2,dtbpf,"DBU, Na2CO3",iPrOAc,,Suzuki-Miyaura: aryl boronic acid × secondary amide,Suzuki-Miyaura__ArB(OH)2 + RCONHR
Suzuki-Miyaura,ArBF3K,ArBr,96,1,,AmPhos2PdCl2,AmPhos,K2CO3,PhMe,,Suzuki-Miyaura: aryl trifluoroborate × aryl bromide,Suzuki-Miyaura__ArBF3K + ArBr
Suzuki-Miyaura,ArCl,ArCl,96,1,,SPhos Pd(crotyl)Cl,SPhos,K3PO4,PhMe,Potassium 2-ethylhexanoate,Suzuki-Miyaura (substrate: aryl chloride),Suzuki-Miyaura__ArCl
Suzuki-Miyaura,alkeneB(OR)2,ArI,96,1,,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,Dioxane,TBAB,Suzuki-Miyaura: vinyl boronate ester × aryl iodide,Suzuki-Miyaura__ArI + alkeneB(OR)2
Suzuki-Miyaura,Alkyl-B(OH)2,ArCl,24,1,,cataCXiumA Pd G3,CataCXiumA,K3PO4,iPrOAc,,Suzuki-Miyaura: alkyl boronic acid × aryl chloride,Suzuki-Miyaura__Alkyl-B(OH)2 + ArCl
Suzuki-Miyaura,Alkyl-B(OR)2,ArBr,24,1,,dtbpfPdCl2,dtbpf,K3PO4,PhMe,Potassium 2-ethylhexanoate,"Suzuki-Miyaura: alkyl boronate ester (e.g., Bpin) × aryl bromide",Suzuki-Miyaura__Alkyl-B(OR)2 + ArBr
Suzuki-Miyaura,ArBr,ArCl,24,1,,dtbpfPdCl2,dtbpf,"K3PO4, Potassium 2-ethylhexanoate",iPrOAc,,Suzuki-Miyaura: aryl bromide × aryl chloride,Suzuki-Miyaura__ArBr + ArCl
"Suzuki-Miyaura, in situ",ArBr,ArCl,912,2,,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,K3PO4,THF,"Brij 35, Octanoic acid","Suzuki-Miyaura, in situ: aryl bromide × aryl chloride","Suzuki-Miyaura, in situ__ArBr + ArCl"
"Suzuki-Miyaura, in situ",ArBr,ArBr,288,5,,dppfPdCl2,dppf,K3PO4,TBME,iPrOH,"Suzuki-Miyaura, in situ (substrate: aryl bromide)","Suzuki-Miyaura, in situ__ArBr"
"Suzuki-Miyaura, in situ",alkene-I,ArBr,96,1,,"CuI, XPhos Pd(crotyl)Cl",AmPhos,,DMSO,Potassium 2-ethylhexanoate,"Suzuki-Miyaura, in situ: vinyl iodide × aryl bromide","Suzuki-Miyaura, in situ__ArBr + alkene-I"
Wittig,R2CO,RCH2PPh3X,118,2,,,No Ligand,KOtPent,THF,,Wittig: ketone × phosphonium salt (Wittig reagent precursor),Wittig__R2CO + RCH2PPh3X
