"ELN_ID","PLATENUMBER","Coordinate","AREA_TOTAL_REDUCED","Base","Catalyst","Solvent","Ligand","Additive","Coupling Reagent","Secondary Solvent","Tertiary Solvent","Reaction Type","FG A","FG B","FG_sorted","z-Score","output_column"
"ELN032036-045",2,"A1",3.24,"Cs2CO3","Pd2dba3.CHCl3","Dioxane","cBRIDP, Missing","water",,,,"Buchwald-Hartwig","ArBr","R2NH","ArBr, R2NH",0.57,"24 h at 100 °C"
"ELN032036-047",1,"A1",21.2,"Cs2CO3","Pd2dba3.CHCl3","Dioxane","cBRIDP, Missing","water",,,,"Buchwald-Hartwig","R2NH","ArBr","ArBr, R2NH",-0.08,"18 h at 80 °C"
"ELN032036-050",1,"A1",0,"K3PO4, NMI","XantPhosPdCl2","anisole","XantPhos","KOPiv",,,,"CH-Activation","ArH","ArBr","ArBr, ArH",-0.47,
"ELN032036-051",1,"A1",2.76,"NMM",,"iPrOAc","No Ligand","HOBt","EDC",,,"Amide coupling","RCO2H or M","RCO2H or M","RCO2H or M, RCO2H or M",-1.05,"0.17 h at 25 °C"
"ELN032036-051",2,"A1",7,"NMM",,"iPrOAc","No Ligand","HOBt","BOP-Cl",,,"Amide coupling","RCO2H or M","RCO2H or M","RCO2H or M, RCO2H or M",-0.92,"0.17 h at 25 °C"
"ELN032036-051",3,"A1",1.97,"NMM",,"THF","No Ligand","HOSu","DIC",,,"Amide coupling","RCO2H or M","RCO2H or M","RCO2H or M, RCO2H or M",-1.08,"2 h at 25 °C"
"ELN032036-051",4,"A1",99.13,"NMM",,"THF","No Ligand","HOSu","DIC",,,"Amide coupling","RCO2H or M","RCO2H or M","RCO2H or M, RCO2H or M",1.86,"72 h at 25 °C"
"ELN032036-053",1,"A1",94.47,"NaOtBu","XantPhosPdCl2","PhMe","XantPhos",,,,,"Buchwald-Hartwig","ArBr","R2NH","ArBr, R2NH",1.56,"1 h at 60 °C"
"ELN032036-053",2,"A1",0,"NaOtBu","XantPhosPdCl2","TBME","XantPhos",,,,,"Buchwald-Hartwig","ArBr","R2NH","ArBr, R2NH",-0.99,
"ELN032036-053",3,"A1",71,"NaOtBu","XantPhosPdCl2","cyclohexane","XantPhos",,,"TBME",,"Buchwald-Hartwig","ArBr","R2NH","ArBr, R2NH",0.92,"1 h at 50 °C"
"ELN032036-054",1,"A1",4.02,"Cs2CO3, NMI","XantPhosPdCl2","anisole","XantPhos","KOPiv, water",,,,"CH-Activation","ArH","ArH","ArH, ArH",-1.38,"22 h at 150 °C"
"ELN032036-055",1,"A1",0,"NaOtBu","XantPhos Pd(allyl)Cl","PhMe","XantPhos",,,,,"Buchwald-Hartwig","ArBr","Lactam","ArBr, Lactam",-0.53,
"ELN032036-056",1,"A1",58.48,"K3PO4","dtbpfPdCl2","iPrOAc","dtbpf",,,"water",,"Suzuki-Miyaura","ArBr","ArB(OH)2","ArB(OH)2, ArBr",0.7,"2 h at 60 °C"
"ELN032036-056",2,"A1",72.14,"K3PO4","dppfPdCl2","iPrOAc","dppf",,,"water",,"Suzuki-Miyaura","ArBr","ArB(OH)2","ArB(OH)2, ArBr",1.29,"2 h at 60 °C"
"ELN032036-058",1,"A1",12.1,"Cs2CO3","XantPhos Pd(allyl)Cl","PhMe","XantPhos","water",,,,"Buchwald-Hartwig","ArBr","R2CNR","ArBr, R2CNR",0.56,"17 h at 80 °C"
"ELN032036-061",1,"A1",10.36,"Cs2CO3","dppfPdCl2","MeTHF","dppf",,,,,"Buchwald-Hartwig","ArNH2","ArBr","ArBr, ArNH2",-1.27,"20 h at 80 °C"
"ELN032036-065",1,"A1",15.29,"Cs2CO3","PPh3)2PdCl2","MeTHF","PPh3","water",,,,"Suzuki-Miyaura","ArBr","ArB(OR)2","ArB(OR)2, ArBr",-0.7,"3 h at 60 °C"
