Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent
C_N_Coupling,0.43,-0.78,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,(R)-Binap,NaOtBu,tAmOH,,,
C_N_Coupling,0.0,-0.64,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,PPBO,K3PO4,PhMe,water,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,NN-Dibenzyloxamide,Cs2CO3,DMSO,,,
C_N_Coupling,17.37,0.38,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,NN-Dibenzyloxamide,Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,NN-Dibenzyloxamide,CsF,Dioxane,,,
C_N_Coupling,16.33,0.31,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,(R)-Binap,Cs2CO3,DMSO,,,
C_N_Coupling,0.0,-0.64,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,No Ligand,K3PO4,PhMe,water,,
C_N_Coupling,10.43,-0.1,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,(R)-Binap,Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,(R)-Binap,CsF,Dioxane,,,
C_N_Coupling,16.07,0.29,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BTMO,NaOtBu,tAmOH,,,
C_N_Coupling,27.72,1.09,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BTMO,Cs2CO3,DMSO,,,
C_N_Coupling,18.67,0.47,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BTMO,Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BTMO,CsF,Dioxane,,,
C_N_Coupling,21.39,0.66,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,NN-Dibenzyloxamide,NaOtBu,tAmOH,,,
C_N_Coupling,6.01,-0.4,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"1,10-Phenanthroline",NaOtBu,tAmOH,,,
C_N_Coupling,0.14,-0.64,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,PPBO,K3PO4,MeTHF,water,,
C_N_Coupling,15.76,0.27,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"N,N-Dimethylethylenediamine",Cs2CO3,DMSO,,,
C_N_Coupling,10.22,-0.11,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"N,N-Dimethylethylenediamine",Cs2CO3,DMF,,,
C_N_Coupling,1.45,-0.71,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"N,N-Dimethylethylenediamine",CsF,Dioxane,,,
C_N_Coupling,24.42,0.87,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"1,10-Phenanthroline",Cs2CO3,DMSO,,,
C_N_Coupling,0.69,-0.62,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,No Ligand,K3PO4,MeTHF,water,,
C_N_Coupling,15.19,0.23,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"1,10-Phenanthroline",Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"1,10-Phenanthroline",CsF,Dioxane,,,
C_N_Coupling,13.79,0.14,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BTMPO,NaOtBu,tAmOH,,,
C_N_Coupling,9.16,-0.18,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BTMPO,Cs2CO3,DMSO,,,
C_N_Coupling,15.68,0.27,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BTMPO,Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BTMPO,CsF,Dioxane,,,
C_N_Coupling,14.07,0.16,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"N,N-Dimethylethylenediamine",NaOtBu,tAmOH,,,
C_N_Coupling,34.11,1.53,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"1,3-Bis(2,4,6-trimethylphenyl)imidazolinium chloride",NaOtBu,tAmOH,,,
C_N_Coupling,0.0,-0.64,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,PPBO,KOH,PhMe,water,,
C_N_Coupling,16.78,0.34,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,NN-Dimethyloxamide,Cs2CO3,DMSO,,,
C_N_Coupling,21.85,0.69,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,NN-Dimethyloxamide,Cs2CO3,DMF,,,
C_N_Coupling,3.99,-0.54,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,NN-Dimethyloxamide,CsF,Dioxane,,,
C_N_Coupling,18.44,0.46,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"1,3-Bis(2,4,6-trimethylphenyl)imidazolinium chloride",Cs2CO3,DMSO,,,
C_N_Coupling,0.0,-0.64,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,No Ligand,KOH,PhMe,water,,
C_N_Coupling,2.89,-0.61,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"1,3-Bis(2,4,6-trimethylphenyl)imidazolinium chloride",Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"1,3-Bis(2,4,6-trimethylphenyl)imidazolinium chloride",CsF,Dioxane,,,
C_N_Coupling,2.84,-0.62,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,diphenethyloxamide,NaOtBu,tAmOH,,,
C_N_Coupling,16.03,0.29,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,diphenethyloxamide,Cs2CO3,DMSO,,,
C_N_Coupling,9.56,-0.15,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,diphenethyloxamide,Cs2CO3,DMF,,,
C_N_Coupling,1.06,-0.74,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,diphenethyloxamide,CsF,Dioxane,,,
C_N_Coupling,26.61,1.02,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,NN-Dimethyloxamide,NaOtBu,tAmOH,,,
C_N_Coupling,43.94,2.21,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,2-Isobutyrylcyclohexanone,NaOtBu,tAmOH,,,
C_N_Coupling,0.0,-0.64,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,PPBO,KOH,tAmOH,water,,
C_N_Coupling,9.25,-0.18,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,PMPBO,Cs2CO3,DMSO,,,
C_N_Coupling,19.57,0.53,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,PMPBO,Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,PMPBO,CsF,Dioxane,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,2-Isobutyrylcyclohexanone,Cs2CO3,DMSO,,,
C_N_Coupling,0.0,-0.64,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,No Ligand,KOH,tAmOH,water,,
C_N_Coupling,6.68,-0.35,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,2-Isobutyrylcyclohexanone,Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,2-Isobutyrylcyclohexanone,CsF,Dioxane,,,
C_N_Coupling,33.74,1.51,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,DL-Proline,NaOtBu,tAmOH,,,
C_N_Coupling,16.6,0.33,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,DL-Proline,Cs2CO3,DMSO,,,
C_N_Coupling,25.93,0.97,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,DL-Proline,Cs2CO3,DMF,,,
C_N_Coupling,19.82,0.55,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,DL-Proline,CsF,Dioxane,,,
C_N_Coupling,37.29,1.75,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,PMPBO,NaOtBu,tAmOH,,,
C_N_Coupling,6.83,-0.34,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"4,7-(MeO)2-Phen",NaOtBu,tAmOH,,,
C_N_Coupling,0.0,-0.64,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,PPBO,NaOtBu,PhMe,,,
C_N_Coupling,13.99,0.15,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,PPBO,Cs2CO3,DMSO,,,
C_N_Coupling,5.3,-0.45,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,PPBO,Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,PPBO,CsF,Dioxane,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"4,7-(MeO)2-Phen",Cs2CO3,DMSO,,,
C_N_Coupling,8.58,-0.35,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,No Ligand,NaOtBu,PhMe,,,
C_N_Coupling,0.31,-0.79,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"4,7-(MeO)2-Phen",Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"4,7-(MeO)2-Phen",CsF,Dioxane,,,
C_N_Coupling,49.43,2.59,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,DMPAO,NaOtBu,tAmOH,,,
C_N_Coupling,3.17,-0.59,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,DMPAO,Cs2CO3,DMSO,,,
C_N_Coupling,11.05,-0.05,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,DMPAO,Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,DMPAO,CsF,Dioxane,,,
C_N_Coupling,49.77,2.61,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,PPBO,NaOtBu,tAmOH,,,
C_N_Coupling,2.12,-0.67,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,8-Quinolol,NaOtBu,tAmOH,,,
C_N_Coupling,0.0,-0.64,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,PPBO,K2CO3,tAmOH,,,
C_N_Coupling,26.99,1.04,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,Salicylaldoxime,Cs2CO3,DMSO,,,
C_N_Coupling,20.66,0.61,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,Salicylaldoxime,Cs2CO3,DMF,,,
C_N_Coupling,0.94,-0.75,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,Salicylaldoxime,CsF,Dioxane,,,
C_N_Coupling,9.76,-0.14,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,8-Quinolol,Cs2CO3,DMSO,,,
C_N_Coupling,2.54,-0.56,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,No Ligand,K2CO3,tAmOH,,,
C_N_Coupling,14.8,0.21,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,8-Quinolol,Cs2CO3,DMF,,,
C_N_Coupling,1.4,-0.72,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,8-Quinolol,CsF,Dioxane,,,
C_N_Coupling,4.6,-0.5,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,MNBO,NaOtBu,tAmOH,,,
C_N_Coupling,2.57,-0.64,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,MNBO,Cs2CO3,DMSO,,,
C_N_Coupling,20.65,0.61,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,MNBO,Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,MNBO,CsF,Dioxane,,,
C_N_Coupling,2.19,-0.66,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,Salicylaldoxime,NaOtBu,tAmOH,,,
C_N_Coupling,10.49,-0.09,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BHMPO,NaOtBu,tAmOH,,,
C_N_Coupling,0.0,-0.64,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,PPBO,K2CO3,MeTHF,,,
C_N_Coupling,17.29,0.38,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"trans-1,2-Diaminocyclohexane",Cs2CO3,DMSO,,,
C_N_Coupling,11.45,-0.02,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"trans-1,2-Diaminocyclohexane",Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"trans-1,2-Diaminocyclohexane",CsF,Dioxane,,,
C_N_Coupling,18.49,0.46,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BHMPO,Cs2CO3,DMSO,,,
C_N_Coupling,2.14,-0.57,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,No Ligand,K2CO3,MeTHF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BHMPO,Cs2CO3,DMF,,,
C_N_Coupling,0.87,-0.75,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BHMPO,CsF,Dioxane,,,
C_N_Coupling,14.01,0.15,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"N,N-Dimethylglycine hydrochloride",NaOtBu,tAmOH,,,
C_N_Coupling,17.24,0.37,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"N,N-Dimethylglycine hydrochloride",Cs2CO3,DMSO,,,
C_N_Coupling,13.5,0.12,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"N,N-Dimethylglycine hydrochloride",Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"N,N-Dimethylglycine hydrochloride",CsF,Dioxane,,,
C_N_Coupling,18.88,0.49,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,"trans-1,2-Diaminocyclohexane",NaOtBu,tAmOH,,,
C_N_Coupling,23.1,0.78,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BPMPO,NaOtBu,tAmOH,,,
C_N_Coupling,0.09,-0.64,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,PPBO,LiHMDS,MeTHF,,,
C_N_Coupling,0.98,-0.74,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,DMSO,,,
C_N_Coupling,4.07,-0.53,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,DMF,,,
C_N_Coupling,1.85,-0.68,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,trans-NN-Dimethylcyclohexane-12-diamine,CsF,Dioxane,,,
C_N_Coupling,4.89,-0.48,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BPMPO,Cs2CO3,DMSO,,,
C_N_Coupling,0.0,-0.64,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,Cu(MeCN)4BF4,No Ligand,LiHMDS,MeTHF,,,
C_N_Coupling,15.74,0.27,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BPMPO,Cs2CO3,DMF,,,
C_N_Coupling,0.0,-0.81,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,BPMPO,CsF,Dioxane,,,
C_N_Coupling,9.93,-0.13,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,NFO,NaOtBu,tAmOH,,,
C_N_Coupling,6.57,-0.36,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,NFO,Cs2CO3,DMSO,,,
C_N_Coupling,15.06,0.22,ArBr,ArNH2,ArBr,ArNH2,ArX*,Aniline-type,CuI,NFO,Cs2CO3,DMF,,,
