Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent
Suzuki,89.04,-0.29,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,Na2CO3,PhMe,water,,
Suzuki,90.89,-0.17,ArBr,alkeneB(OR)2,ArBr,alkeneB(OR)2,ArX*,RB*,PPh3)2PdCl2,PPh3,K3PO4,iPrOH,water,,
Suzuki,100.0,1.99,alkeneB(OR)2,ArBr,ArBr,alkeneB(OR)2,ArX*,RB*,PPh3)2PdCl2,PPh3,K3PO4,EtOH,PhMe,,
Suzuki,87.3,2.29,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,dppfPdCl2,dppf,K2CO3,THF,water,Sodium octanoate,
Suzuki,96.7,1.26,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,K3PO4,PhMe,water,MeOH,
Suzuki,80.23,1.19,ArCl,alkeneB(OR)2,ArCl,alkeneB(OR)2,ArX*,RB*,dtbpfPdCl2,dtbpf,K3PO4,iPrOAc,water,Potassium 2-ethylhexanoate,
Suzuki,92.97,1.91,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,K3PO4,MeTHF,water,,
Suzuki,93.07,1.92,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,PEPPSI-IPENT,IPENT,K3PO4,PhMe,water,LiCl,
Suzuki,95.67,0.65,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,PhMe,water,MeOH,
Suzuki,87.56,1.25,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dcypfPdCl2,dcypf,K3PO4,tAmOH,water,TBAC,
Suzuki,86.25,1.41,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,PhMe,,MeOH,
Suzuki,93.4,1.9,ArCl,ArBF3K,ArCl,ArBF3K,ArX*,ArB*,dppfPdCl2,dppf,Na2CO3,EtOH,water,Brij 35,
Suzuki,90.41,0.84,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,PEPPSI-IPENT,IPENT,K3PO4,PhMe,water,,
