Catalyst,Ligand,Base,Solvent,Num_Experiments,Avg_Yield,Median_Yield,Max_Yield,Min_Yield,Avg_ZScore,Max_ZScore,Min_ZScore
CuI,2-Isobutyrylcyclohexanone,Cs2CO3,DMF,1,6.68,6.68,6.68,6.68,-0.35,-0.35,-0.35
CuI,NFO,Cs2CO3,DMSO,1,6.57,6.57,6.57,6.57,-0.36,-0.36,-0.36
CuI,"1,10-Phenanthroline",NaOtBu,tAmOH,1,6.01,6.01,6.01,6.01,-0.4,-0.4,-0.4
CuI,PPBO,Cs2CO3,DMF,1,5.3,5.3,5.3,5.3,-0.45,-0.45,-0.45
CuI,BPMPO,Cs2CO3,DMSO,1,4.89,4.89,4.89,4.89,-0.48,-0.48,-0.48
CuI,MNBO,NaOtBu,tAmOH,1,4.6,4.6,4.6,4.6,-0.5,-0.5,-0.5
CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,DMF,1,4.07,4.07,4.07,4.07,-0.53,-0.53,-0.53
CuI,NN-Dimethyloxamide,CsF,Dioxane,1,3.99,3.99,3.99,3.99,-0.54,-0.54,-0.54
CuI,DMPAO,Cs2CO3,DMSO,1,3.17,3.17,3.17,3.17,-0.59,-0.59,-0.59
CuI,"1,3-Bis(2,4,6-trimethylphenyl)imidazolinium chloride",Cs2CO3,DMF,1,2.89,2.89,2.89,2.89,-0.61,-0.61,-0.61
CuI,diphenethyloxamide,NaOtBu,tAmOH,1,2.84,2.84,2.84,2.84,-0.62,-0.62,-0.62
CuI,MNBO,Cs2CO3,DMSO,1,2.57,2.57,2.57,2.57,-0.64,-0.64,-0.64
Cu(MeCN)4BF4,No Ligand,K2CO3,tAmOH,1,2.54,2.54,2.54,2.54,-0.56,-0.56,-0.56
CuI,Salicylaldoxime,NaOtBu,tAmOH,1,2.19,2.19,2.19,2.19,-0.66,-0.66,-0.66
Cu(MeCN)4BF4,No Ligand,K2CO3,MeTHF,1,2.14,2.14,2.14,2.14,-0.57,-0.57,-0.57
CuI,8-Quinolol,NaOtBu,tAmOH,1,2.12,2.12,2.12,2.12,-0.67,-0.67,-0.67
CuI,trans-NN-Dimethylcyclohexane-12-diamine,CsF,Dioxane,1,1.85,1.85,1.85,1.85,-0.68,-0.68,-0.68
CuI,"N,N-Dimethylethylenediamine",CsF,Dioxane,1,1.45,1.45,1.45,1.45,-0.71,-0.71,-0.71
CuI,8-Quinolol,CsF,Dioxane,1,1.4,1.4,1.4,1.4,-0.72,-0.72,-0.72
CuI,diphenethyloxamide,CsF,Dioxane,1,1.06,1.06,1.06,1.06,-0.74,-0.74,-0.74
CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,DMSO,1,0.98,0.98,0.98,0.98,-0.74,-0.74,-0.74
CuI,Salicylaldoxime,CsF,Dioxane,1,0.94,0.94,0.94,0.94,-0.75,-0.75,-0.75
CuI,BHMPO,CsF,Dioxane,1,0.87,0.87,0.87,0.87,-0.75,-0.75,-0.75
Cu(MeCN)4BF4,No Ligand,K3PO4,MeTHF,1,0.69,0.69,0.69,0.69,-0.62,-0.62,-0.62
CuI,(R)-Binap,NaOtBu,tAmOH,1,0.43,0.43,0.43,0.43,-0.78,-0.78,-0.78
CuI,"4,7-(MeO)2-Phen",Cs2CO3,DMF,1,0.31,0.31,0.31,0.31,-0.79,-0.79,-0.79
Cu(MeCN)4BF4,PPBO,K3PO4,MeTHF,1,0.14,0.14,0.14,0.14,-0.64,-0.64,-0.64
Cu(MeCN)4BF4,PPBO,LiHMDS,MeTHF,1,0.09,0.09,0.09,0.09,-0.64,-0.64,-0.64
CuI,"4,7-(MeO)2-Phen",CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,BHMPO,Cs2CO3,DMF,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,BPMPO,CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,"1,3-Bis(2,4,6-trimethylphenyl)imidazolinium chloride",CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,2-Isobutyrylcyclohexanone,Cs2CO3,DMSO,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,2-Isobutyrylcyclohexanone,CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,(R)-Binap,CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
Cu(MeCN)4BF4,No Ligand,KOH,tAmOH,1,0.0,0.0,0.0,0.0,-0.64,-0.64,-0.64
Cu(MeCN)4BF4,PPBO,K2CO3,tAmOH,1,0.0,0.0,0.0,0.0,-0.64,-0.64,-0.64
Cu(MeCN)4BF4,PPBO,K2CO3,MeTHF,1,0.0,0.0,0.0,0.0,-0.64,-0.64,-0.64
Cu(MeCN)4BF4,PPBO,K3PO4,PhMe,1,0.0,0.0,0.0,0.0,-0.64,-0.64,-0.64
Cu(MeCN)4BF4,PPBO,KOH,PhMe,1,0.0,0.0,0.0,0.0,-0.64,-0.64,-0.64
Cu(MeCN)4BF4,PPBO,KOH,tAmOH,1,0.0,0.0,0.0,0.0,-0.64,-0.64,-0.64
Cu(MeCN)4BF4,PPBO,NaOtBu,PhMe,1,0.0,0.0,0.0,0.0,-0.64,-0.64,-0.64
Cu(MeCN)4BF4,No Ligand,LiHMDS,MeTHF,1,0.0,0.0,0.0,0.0,-0.64,-0.64,-0.64
Cu(MeCN)4BF4,No Ligand,KOH,PhMe,1,0.0,0.0,0.0,0.0,-0.64,-0.64,-0.64
Cu(MeCN)4BF4,No Ligand,K3PO4,PhMe,1,0.0,0.0,0.0,0.0,-0.64,-0.64,-0.64
CuI,"4,7-(MeO)2-Phen",Cs2CO3,DMSO,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,"1,10-Phenanthroline",CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,BTMO,CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,BTMPO,CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,DMPAO,CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,NFO,CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,"N,N-Dimethylglycine hydrochloride",CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,MNBO,CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,NN-Dibenzyloxamide,Cs2CO3,DMSO,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,PPBO,CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,PMPBO,CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,NN-Dibenzyloxamide,CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
CuI,"trans-1,2-Diaminocyclohexane",CsF,Dioxane,1,0.0,0.0,0.0,0.0,-0.81,-0.81,-0.81
