Dataset entry number,ReactionClass,SCREEN_ID,NOTEBOOK_ID,REACTION_ID,KeyWord_STD,ReactionGroup,RXN_SMILES,PCAT_CMPD_ID,PRODUCT_STRUCTURE,Product_Yield_PCT_Area_UV,Product_UV_Analysis_Wavelength_nm,Product_Yield_Mass_Ion_Count,Product_Selectivity,Solvent_1_Name,Reaction_T,Reaction_Time_hrs,Catalyst_1_eq,Catalyst_1_ID[1],catalyst_1_ID_1_SMILES,Catalyst_1_ID[2],catalyst_1_ID_2_SMILES,Catalyst_1_Short_Hand,Catalyst_2_eq,Catalyst_2_ID[1],catalyst_2_ID_1_SMILES,Catalyst_2_ID[2],catalyst_2_ID_2_SMILES,Catalyst_2_Short_Hand,Reactant_1_eq,Reactant_1_ID,Reactant_1_SMILES,Reactant_2_eq,Reactant_2_ID,reactant_2_SMILES,Reactant_3_eq,Reactant_3_ID,reactant_3_SMILES,Reagent_1_eq,Reagent_1_ID,Reagent_1_Short_Hand,Reagent_2_eq,Reagent_2_ID,Reagent_2_Short_Hand,yie_react
18700,Alkylation,SCRN_11,00119131-2953,RKB-04072203,ALKYLATION,Lewis Acid Base Screening,[F:1][c:2]1[c:11]([c:7]2[cH:6][c:4]([Br:5])[cH:3]1)[nH:10][n:9][cH:8]2.[CH3:12]OS(OC)(=O)=O>>[CH3:12][n:10]1[c:11]([c:7]2[cH:8][n:9]1)[c:2]([F:1])[cH:3][c:4]([Br:5])[cH:6]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,12,280.0,15475.02539,51.97155833,Toluene,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD10567040,CsOPiv,,,,12__MFCD18381159__MFCD00008416__
4238,Alkylation,SCRN_11,00119131-2953,RKB-04072254,ALKYLATION,Lewis Acid Base Screening,[F:1][c:2]1[c:11]([c:7]2[cH:6][c:4]([Br:5])[cH:3]1)[nH:10][n:9][cH:8]2.[CH3:12]OS(OC)(=O)=O>>[CH3:12][n:10]1[c:11]([c:7]2[cH:8][n:9]1)[c:2]([F:1])[cH:3][c:4]([Br:5])[cH:6]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,73,280.0,2375942.887,0.0203,MeCN,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00090479,LiOBut,,,,73__MFCD18381159__MFCD00008416__
6813,Alkylation,SCRN_11,00119131-2953,RKB-04072294,ALKYLATION,Lewis Acid Base Screening,[F:1][c:2]1[c:11]([c:7]2[cH:6][c:4]([Br:5])[cH:3]1)[nH:10][n:9][cH:8]2.[CH3:12]OS(OC)(=O)=O>>[CH3:12][n:10]1[c:11]([c:7]2[cH:8][n:9]1)[c:2]([F:1])[cH:3][c:4]([Br:5])[cH:6]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,6,280.0,233468.8057,0,THF,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00006493,PMP,,,,6__MFCD18381159__MFCD00008416__
6814,Alkylation,SCRN_11,00119131-2953,RKB-04072295,ALKYLATION,Lewis Acid Base Screening,[CH3:1]OS(OC)(=O)=O.[F:2][c:3]1[c:12]([c:8]2[cH:7][c:5]([Br:6])[cH:4]1)[nH:11][n:10][cH:9]2>>[CH3:1][n:11]1[c:12]([c:8]2[cH:9][n:10]1)[c:3]([F:2])[cH:4][c:5]([Br:6])[cH:7]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,6,280.0,754.2771606,0,THF,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00043208,TBOAc,,,,6__MFCD18381159__MFCD00008416__
5622,Alkylation,SCRN_11,00119131-2953,RKB-04072326,ALKYLATION,Lewis Acid Base Screening,[CH3:1]OS(OC)(=O)=O.[F:2][c:3]1[c:12]([c:8]2[cH:7][c:5]([Br:6])[cH:4]1)[nH:11][n:10][cH:9]2>>[CH3:1][n:11]1[c:12]([c:8]2[cH:9][n:10]1)[c:3]([F:2])[cH:4][c:5]([Br:6])[cH:7]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,66,280.0,2226905.531,18.91919295,MeCN,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00003548,NaOH(aq.),,,,66__MFCD18381159__MFCD00008416__
10832,Alkylation,SCRN_11,00119131-2953,RKB-04072335,ALKYLATION,Lewis Acid Base Screening,[F:1][c:2]1[c:11]([c:7]2[cH:6][c:4]([Br:5])[cH:3]1)[nH:10][n:9][cH:8]2.[CH3:12]OS(OC)(=O)=O>>[CH3:12][n:10]1[c:11]([c:7]2[cH:8][n:9]1)[c:2]([F:1])[cH:3][c:4]([Br:5])[cH:6]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,4,280.0,109931.9133,0,DMF,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00006224,2FPy,1.0,,,4__MFCD18381159__MFCD00008416__
5836,Alkylation,SCRN_11,00119131-2953,RKB-04072354,ALKYLATION,Lewis Acid Base Screening,[CH3:1]OS(OC)(=O)=O.[F:2][c:3]1[c:12]([c:8]2[cH:7][c:5]([Br:6])[cH:4]1)[nH:11][n:10][cH:9]2>>[CH3:1][n:11]1[c:12]([c:8]2[cH:9][n:10]1)[c:3]([F:2])[cH:4][c:5]([Br:6])[cH:7]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,64,280.0,684066.2969,1.154878196,MeCN,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00011747,TBAF,,,,64__MFCD18381159__MFCD00008416__
10845,Alkylation,SCRN_11,00119131-2953,RKB-04072365,ALKYLATION,Lewis Acid Base Screening,[F:1][c:2]1[c:11]([c:7]2[cH:6][c:4]([Br:5])[cH:3]1)[nH:10][n:9][cH:8]2.[CH3:12]OS(OC)(=O)=O>>[CH3:12][n:10]1[c:11]([c:7]2[cH:8][n:9]1)[c:2]([F:1])[cH:3][c:4]([Br:5])[cH:6]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,4,280.0,66238.05469,0,DMF,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,Blank,Blank,1.0,,,4__MFCD18381159__MFCD00008416__
13277,Alkylation,SCRN_11,00119131-2953,RKB-04072369,ALKYLATION,Lewis Acid Base Screening,[CH3:1]OS(OC)(=O)=O.[F:2][c:3]1[c:12]([c:8]2[cH:7][c:5]([Br:6])[cH:4]1)[nH:11][n:10][cH:9]2>>[CH3:1][n:11]1[c:12]([c:8]2[cH:9][n:10]1)[c:3]([F:2])[cH:4][c:5]([Br:6])[cH:7]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,3,280.0,4953.911133,0,tAmOH,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00011383,K2HPO4,,,,3__MFCD18381159__MFCD00008416__
5963,Alkylation,SCRN_11,00119131-2953,RKB-04072378,ALKYLATION,Lewis Acid Base Screening,[F:1][c:2]1[c:11]([c:7]2[cH:6][c:4]([Br:5])[cH:3]1)[nH:10][n:9][cH:8]2.[CH3:12]OS(OC)(=O)=O>>[CH3:12][n:9]1[n:10][c:11]([c:7]2[cH:8]1)[c:2]([F:1])[cH:3][c:4]([Br:5])[cH:6]2,PF-07225329,Cn1cc2cc(Br)cc(F)c2n1,63,280.0,38166.72266,-8.794017623,tAmOH,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00214188,P1-t-Bu-tris,,,,63__MFCD18381159__MFCD00008416__
13296,Alkylation,SCRN_11,00119131-2953,RKB-04072405,ALKYLATION,Lewis Acid Base Screening,[F:1][c:2]1[c:11]([c:7]2[cH:6][c:4]([Br:5])[cH:3]1)[nH:10][n:9][cH:8]2.[CH3:12]OS(OC)(=O)=O>>[CH3:12][n:10]1[c:11]([c:7]2[cH:8][n:9]1)[c:2]([F:1])[cH:3][c:4]([Br:5])[cH:6]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,3,280.0,4372.856934,0,tAmOH,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00006305,4Medtpby,,,,3__MFCD18381159__MFCD00008416__
13298,Alkylation,SCRN_11,00119131-2953,RKB-04072407,ALKYLATION,Lewis Acid Base Screening,[CH3:1]OS(OC)(=O)=O.[F:2][c:3]1[c:12]([c:8]2[cH:7][c:5]([Br:6])[cH:4]1)[nH:11][n:10][cH:9]2>>[CH3:1][n:11]1[c:12]([c:8]2[cH:9][n:10]1)[c:3]([F:2])[cH:4][c:5]([Br:6])[cH:7]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,3,280.0,1708.047974,0,tAmOH,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00006895,Hexamine,,,,3__MFCD18381159__MFCD00008416__
13300,Alkylation,SCRN_11,00119131-2953,RKB-04072409,ALKYLATION,Lewis Acid Base Screening,[F:1][c:2]1[c:11]([c:7]2[cH:6][c:4]([Br:5])[cH:3]1)[nH:10][n:9][cH:8]2.[CH3:12]OS(OC)(=O)=O>>[CH3:12][n:10]1[c:11]([c:7]2[cH:8][n:9]1)[c:2]([F:1])[cH:3][c:4]([Br:5])[cH:6]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,3,280.0,71458.64844,0,THF,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00003920,PS,,,,3__MFCD18381159__MFCD00008416__
13302,Alkylation,SCRN_11,00119131-2953,RKB-04072411,ALKYLATION,Lewis Acid Base Screening,[CH3:1]OS(OC)(=O)=O.[F:2][c:3]1[c:12]([c:8]2[cH:7][c:5]([Br:6])[cH:4]1)[nH:11][n:10][cH:9]2>>[CH3:1][n:11]1[c:12]([c:8]2[cH:9][n:10]1)[c:3]([F:2])[cH:4][c:5]([Br:6])[cH:7]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,3,280.0,8522.262695,0,Toluene,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00006305,4Medtpby,,,,3__MFCD18381159__MFCD00008416__
7080,Alkylation,SCRN_11,00119131-2953,RKB-04072422,ALKYLATION,Lewis Acid Base Screening,[F:1][c:2]1[c:11]([c:7]2[cH:6][c:4]([Br:5])[cH:3]1)[nH:10][n:9][cH:8]2.[CH3:12]OS(OC)(=O)=O>>[CH3:12][n:10]1[c:11]([c:7]2[cH:8][n:9]1)[c:2]([F:1])[cH:3][c:4]([Br:5])[cH:6]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,59,280.0,1878946.969,10.32128371,MeCN,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00009835,NaHMDS,,,,59__MFCD18381159__MFCD00008416__
16492,Alkylation,SCRN_11,00119131-2953,RKB-04072463,ALKYLATION,Lewis Acid Base Screening,[F:1][c:2]1[c:11]([c:7]2[cH:6][c:4]([Br:5])[cH:3]1)[nH:10][n:9][cH:8]2.[CH3:12]OS(OC)(=O)=O>>[CH3:12][n:10]1[c:11]([c:7]2[cH:8][n:9]1)[c:2]([F:1])[cH:3][c:4]([Br:5])[cH:6]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,2,280.0,36132.31641,0,DMF,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00014148,Ag3PO4,1.0,,,2__MFCD18381159__MFCD00008416__
7553,Alkylation,SCRN_11,00119131-2953,RKB-04072488,ALKYLATION,Lewis Acid Base Screening,[F:1][c:2]1[c:11]([c:7]2[cH:6][c:4]([Br:5])[cH:3]1)[nH:10][n:9][cH:8]2.[CH3:12]OS(OC)(=O)=O>>[CH3:12][n:10]1[c:11]([c:7]2[cH:8][n:9]1)[c:2]([F:1])[cH:3][c:4]([Br:5])[cH:6]2,PF-07225965,Cn1ncc2cc(Br)cc(F)c12,55,280.0,1044193.141,17.64300399,tAmOH,25.0,18.0,,,,,,,0.0625,,,,,,1.0,MFCD18381159,c12c(cc(cc1F)Br)cn[nH]2,,MFCD00008416,S(OC)(OC)(=O)=O,1.0,,,3.0,MFCD00010960,CsF,,,,55__MFCD18381159__MFCD00008416__
