canonical_reaction_smiles,reaction_display_label_detailed,original_reaction_type,detected_reaction_family,detection_status
CC(C)(C)OC(=O)N1CCC(n2cncc2-c2ccc(O)cc2)CC1.CN.O=C(O)c1cccc(S(=O)(=O)Cl)c1>>CNC(=O)c1cccc(S(=O)(=O)Oc2ccc(-c3cncn3C3CCN(C(=O)OC(C)(C)C)CC3)cc2)c1,(Ar1–C(O)OH + Ar2–OH) OR (Ar–C(O)OH + R–NH2) OR (Ar–S(O)2Cl + R–NH2) →,Amide_formation,,ambiguous_reactants
CC(C)CC(N)C(=O)O.NC(N)=S>>CC(C)CC1NC(=S)NC1=O,(R–C(O)OH + Alkenyl–NH2) OR (intramolecular R1–C(O)OH / R2–NH2) →,Amide_formation,,ambiguous_reactants
COc1ccc(CC2(Cc3ccc(OCc4ccccc4)cc3)NC(=O)N(C)C2=O)cc1.O=C(O)C(F)(F)F>>COc1ccc(CC2(Cc3ccc(O)cc3)NC(=O)N(C)C2=O)cc1,,Amide_formation,,unavailable
Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(OCc2ccccc2)c(C(C)C)c1.NC1COC1>>Cc1cc(OCC(=O)NC2COC2)cc(C)c1Cc1ccc(O)c(C(C)C)c1,R1–C(O)OH + R2–NH2 →,Amide_formation,,reactant_only
COc1cc(NC(C)CCCN)c2ncccc2c1-c1ccccc1.O=C(O)C1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3>>COc1cc(NCCCCNC(=O)C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)c2ncccc2c1-c1ccc(F)cc1,(R1–C(O)OH + Ar–NH–R2) OR (R1–C(O)OH + R2–NH2) →,Amide_formation,,ambiguous_reactants
CONC(=O)c1ccc(Cl)cc1.O=C(O)C(=O)c1ccc(Cl)cc1>>CON1C(=O)c2ccc(Cl)cc2C1(O)c1ccc(Cl)cc1,(Ar1–Cl + Ar2–H) OR (Ar–Cl + R–C(O)–NHR) OR (intramolecular Ar–Cl / Ar–H) OR (intramolecular Ar–Cl / R–C(O)–NHR) →,Amide_formation,,ambiguous_reactants
Nc1ncccc1Br.O=C(O)[C@@H]1CCCN1>>O=C1Nc2ncccc2N2CCC[C@@H]12,Event 1: C–N substitution; edits: C–Br bond cleavage; C–N bond formation; N–H loss | Event 2: C–N substitution; edits: C–O bond cleavage; C–N bond formation; N–H loss,Amide_formation,,multi_event
Nc1ccccc1N.O=C(O)CCc1ccco1.O=C1Nc2ccccc2C1=O>>O=C(CCc1ccco1)Nc1ccccc1-c1nc2ccccc2[nH]c1=O,(R2N–C(O)–C(HeteroAr)=O + Ar–NH2) OR (R–C(O)OH + Ar–NH2) →,Amide_formation,,ambiguous_reactants
COC(=O)c1ccc(F)c(N)c1.COc1cc(/C=C/C(=O)O)cc(OC)c1OC>>COc1cc(/C=C/C(=O)Nc2cc(C(=O)O)ccc2F)cc(OC)c1OC,(Alkenyl–C(O)OH + Ar–NH2) OR (Ar1–F + Ar2–H) OR (intramolecular Ar–F / Ar–H) OR (intramolecular Ar–F / Ar–NH2) →,Amide_formation,,ambiguous_reactants
COC(=O)[C@H](CSCCCC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21.Nc1ccccc1>>O=C(CCCSC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O)Nc1ccccc1,R–C(O)OH + Ar–NH2 →,Amide_formation,,reactant_only
Cl.N=C(NC(=O)OCc1ccccc1)NC(=O)c1ccc(C2CCNCC2)c(C(F)(F)F)c1.O=C(O)c1ccccn1>>N=C(N)NC(=O)c1ccc(C2CCN(C(=O)c3ccccn3)CC2)c(C(F)(F)F)c1,(HeteroAr–C(O)OH + Alkenyl–NH) OR (HeteroAr–C(O)OH + R1R2–NH) →,Amide_formation,,ambiguous_reactants
CC(C)(C)OC(=O)N1C[C@H](O)C[C@H]1C(=O)O.NCc1ccc(Br)cc1C(F)(F)F.O=CO>>Cl.O=C(NCc1ccc(Br)cc1C(F)(F)F)[C@@H]1C[C@@H](O)CN1,(Ar–Br + R–OH) OR (Other–C(O)OH + R–NH2) OR (Other–C(O)OH + R–OH) OR (R1–C(O)OH + R2–NH2) OR (intramolecular Ar–Br / Ar–H) OR (intramolecular Ar–Br / R–NH2) OR (intramolecular R1–C(O)OH / R2–OH) →,Amide_formation,,ambiguous_reactants
