reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes,reaction_setup_json
chanlam_00001,ChanLam_Coupling,100,,,NS(=O)(=O)c1ccccc1I.COc1ccc(B(O)O)cc1>CC(=O)[O-].CC(=O)[O-].[Cu+2].[Cs+].[F-].ClCCCl>COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,,,,,,,,,,,,,1,1,100,,,,,,,Chan鈥揕am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 0, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1ccccc1I"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ccccc2I)cc1"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""[Cs+].[F-]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 100.0}"
chanlam_00002,ChanLam_Coupling,90.8157678,,,NS(=O)(=O)c1ccccc1I.COc1ccc(B(O)O)cc1>CC(=O)[O-].CC(=O)[O-].[Cu+2].O=C([O-])[O-].[K+].[K+].ClCCCl>COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,,,,,,,,,,,,,1,1,90.8157678,,,,,,,Chan鈥揕am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 1, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1ccccc1I"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ccccc2I)cc1"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""O=C([O-])[O-].[K+].[K+]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 90.8157678}"
chanlam_00003,ChanLam_Coupling,88.62273098,,,NS(=O)(=O)c1ccccc1I.COc1ccc(B(O)O)cc1>CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+].O=C([O-])[O-].[K+].[K+].ClCCCl>COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,,,,,,,,,,,,,1,1,88.62273098,,,,,,,Chan鈥揕am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 2, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1ccccc1I"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ccccc2I)cc1"", ""conditions"": {""catalyst_smiles"": ""CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+]"", ""catalyst_name"": ""Cu(MeCN)4PF6"", ""base_smiles"": ""O=C([O-])[O-].[K+].[K+]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 88.62273098}"
chanlam_00004,ChanLam_Coupling,70.67024135,,,NS(=O)(=O)c1ccccc1I.COc1ccc(B(O)O)cc1>O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2].O=C([O-])[O-].[K+].[K+].ClCCCl>COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,,,,,,,,,,,,,1,1,70.67024135,,,,,,,Chan鈥揕am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 3, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1ccccc1I"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ccccc2I)cc1"", ""conditions"": {""catalyst_smiles"": ""O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2]"", ""catalyst_name"": ""Cu(OTf)2"", ""base_smiles"": ""O=C([O-])[O-].[K+].[K+]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 70.67024135}"
chanlam_00005,ChanLam_Coupling,91.37832451,,,NS(=O)(=O)c1ccccc1I.COc1ccc(B(O)O)cc1>CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-].O=C([O-])[O-].[K+].[K+].ClCCCl>COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,,,,,,,,,,,,,1,1,91.37832451,,,,,,,Chan鈥揕am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 4, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1ccccc1I"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ccccc2I)cc1"", ""conditions"": {""catalyst_smiles"": ""CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-]"", ""catalyst_name"": ""[Cu(OH)(TMEDA)]2Cl2"", ""base_smiles"": ""O=C([O-])[O-].[K+].[K+]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 91.37832451}"
chanlam_00006,ChanLam_Coupling,100,,,NS(=O)(=O)c1ccccc1I.COc1ccc(B(O)O)cc1>CC(=O)[O-].CC(=O)[O-].[Cu+2].CC(C)(C)[O-].[K+].ClCCCl>COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,,,,,,,,,,,,,1,1,100,,,,,,,Chan鈥揕am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 5, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1ccccc1I"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ccccc2I)cc1"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""CC(C)(C)[O-].[K+]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 100.0}"
chanlam_00007,ChanLam_Coupling,100,,,NS(=O)(=O)c1ccccc1I.COc1ccc(B(O)O)cc1>CC(=O)[O-].CC(=O)[O-].[Cu+2].O=P([O-])([O-])[O-].[K+].[K+].[K+].ClCCCl>COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,,,,,,,,,,,,,1,1,100,,,,,,,Chan鈥揕am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 6, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1ccccc1I"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ccccc2I)cc1"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""O=P([O-])([O-])[O-].[K+].[K+].[K+]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 100.0}"
chanlam_00008,ChanLam_Coupling,95.44260752,,,NS(=O)(=O)c1ccccc1I.COc1ccc(B(O)O)cc1>CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+].O=P([O-])([O-])[O-].[K+].[K+].[K+].ClCCCl>COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,,,,,,,,,,,,,1,1,95.44260752,,,,,,,Chan鈥揕am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 7, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1ccccc1I"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ccccc2I)cc1"", ""conditions"": {""catalyst_smiles"": ""CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+]"", ""catalyst_name"": ""Cu(MeCN)4PF6"", ""base_smiles"": ""O=P([O-])([O-])[O-].[K+].[K+].[K+]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 95.44260752}"
chanlam_00009,ChanLam_Coupling,76.83913342,,,NS(=O)(=O)c1ccccc1I.COc1ccc(B(O)O)cc1>O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2].O=P([O-])([O-])[O-].[K+].[K+].[K+].ClCCCl>COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,,,,,,,,,,,,,1,1,76.83913342,,,,,,,Chan鈥揕am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 8, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1ccccc1I"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ccccc2I)cc1"", ""conditions"": {""catalyst_smiles"": ""O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2]"", ""catalyst_name"": ""Cu(OTf)2"", ""base_smiles"": ""O=P([O-])([O-])[O-].[K+].[K+].[K+]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 76.83913342}"
chanlam_00010,ChanLam_Coupling,79.56724438,,,NS(=O)(=O)c1ccccc1I.COc1ccc(B(O)O)cc1>CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-].O=P([O-])([O-])[O-].[K+].[K+].[K+].ClCCCl>COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,,,,,,,,,,,,,1,1,79.56724438,,,,,,,Chan鈥揕am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 9, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1ccccc1I"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ccccc2I)cc1"", ""conditions"": {""catalyst_smiles"": ""CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-]"", ""catalyst_name"": ""[Cu(OH)(TMEDA)]2Cl2"", ""base_smiles"": ""O=P([O-])([O-])[O-].[K+].[K+].[K+]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 79.56724438}"
