name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,,
2-Methylnicotinic acid,,3222-56-8,Cc1ncccc1C(=O)O,C7H7NO2,powder,1.194,137.136,309.906,228,0,0,organic_compound,,,,,,,
2-Bromo-4'-nitroacetophenone,,99-81-0,O=C(CBr)c1ccc([N+](=O)[O-])cc1,C8H6BrNO3,powder,1.671,244.042,325.2,94,0,0,organic_compound,,,,,,,
alpha-Bromo-m-tolunitrile,,28188-41-2,N#Cc1cccc(CBr)c1,C8H6BrN,powder,1.51,196.044,271.5,92,0,0,organic_compound,,,,,,,
4-Phenylbutyric Acid,,1821-12-1,O=C(O)CCCc1ccccc1,C10H12O2,powder,1.095,164.2011,290.7,49,0,0,organic_compound,,,,,,,
Tritylamine,,5824-40-8,NC(c1ccccc1)(c1ccccc1)c1ccccc1,C19H17N,powder,,259.345,369.3,100,0,0,organic_compound,,,,,,,
尾-phenylethylamine,,64-04-0,NCCc1ccccc1,C8H11N,liquid,0.962,121.1796,196.455,-60,0,0,organic_compound,,,,,,,
geranic acid,,459-80-3,CC(C)=CCCC(C)=CC(=O)O,C10H16O2,liquid,,168.2328,295.3,,0,0,organic_compound,,,,,,,
2-Iodobenzaldehyde,,26260-02-6,O=Cc1ccccc1I,C7H5IO,powder,1.883,232.0185,266.3,36,0,0,organic_compound,,,,,,,
o-Cresol,,95-48-7,Cc1ccccc1O,C7H8O,liquid,1.04,108.1378,191,30,0,0,organic_compound,,,,,,,
Methyl 3-aminothiophene-2-carboxylate,,22288-78-4,COC(=O)c1sccc1N,C6H7NO2S,powder,1.319,157.19,334.6,64,0,0,organic_compound,,,,,,,
4-Nitrobenzenesulfonyl chloride,,98-74-8,O=[N+]([O-])c1ccc(S(=O)(=O)Cl)cc1,C6H4ClNO4S,powder,1.606,221.618,349.7,75,0,0,organic_compound,,,,,,,
Hydroquinone,,123-31-9,Oc1ccc(O)cc1,C6H6O2,powder,1.32,110.1106,469.7,170,0,0,organic_compound,,,,,,,
3-Amino-1-propanol,,156-87-6,NCCCO,C3H9NO,liquid,0.982,75.1097,187.5,10,0,0,organic_compound,,,,,,,
2-Chlorobenzenesulfonyl chloride,,2905-23-9,O=S(=O)(Cl)c1ccccc1Cl,C6H4Cl2O2S,liquid,1.529,211.066,290.8,,0,0,organic_compound,,,,,,,
3-Trifluoromethoxy-phenylhydrazine hydrochloride,,133115-55-6,NNc1cccc(OC(F)(F)F)c1,C7H8ClF3N2O,liquid,1.408,228.599,226.8,,0,0,organic_compound,,,,,,,
4-Cyano-3-fluorophenylboronic acid,,843663-18-3,N#Cc1ccc(B(O)O)cc1F,C7H5BFNO2,liquid,1.35,164.93,354.4,,0,0,organic_compound,,,,,,,
4-Acetylbenzonitrile,,1443-80-7,CC(=O)c1ccc(C#N)cc1,C9H7NO,powder,1.11,145.158,293.3,56,0,0,organic_compound,,,,,,,
sudan I,,842-07-9,Oc1ccc2ccccc2c1N=Nc1ccccc1,C16H12N2O,powder,1.175,248.2793,443.653,131,0,0,organic_compound,,,,,,,
4-morpholinophenylboronic acid,,186498-02-2,OB(O)c1ccc(N2CCOCC2)cc1,C10H14BNO3,powder,1.243,207.034,425.9,126,0,0,organic_compound,,,,,,,
3-Phenyl-2-propyn-1-ol,,1504-58-1,OCC#Cc1ccccc1,C9H8O,liquid,1.09,132.1592,241.8,,0,0,organic_compound,,,,,,,
tert-Butyl carbazate,,870-46-2,CC(C)(C)OC(=O)NN,C5H12N2O2,powder,1.02,132.161,230.154,37,0,0,organic_compound,,,,,,,
(3-bromo-5-methoxyphenyl)boronic acid,,849062-12-0,COc1cc(Br)cc(B(O)O)c1,C7H8BBrO3,liquid,1.61,230.852,367.9,,0,0,organic_compound,,,,,,,
4-(4-bromophenyl)morpholine,,30483-75-1,Brc1ccc(N2CCOCC2)cc1,C10H12BrNO,powder,1.433,242.112,341.198,114,0,0,organic_compound,,,,,,,
4-nitrophenylboronic acid,,24067-17-2,O=[N+]([O-])c1ccc(B(O)O)cc1,C6H6BNO4,powder,1.4,166.927,373.7,285,0,0,organic_compound,,,,,,,
Bromoacetonitrile,,590-17-0,N#CCBr,C2H2BrN,liquid,1.761,119.948,154.5,,0,0,organic_compound,,,,,,,
Pyridine-4-methanol,,586-95-8,OCc1ccncc1,C6H7NO,powder,1.131,109.1259,285.1,53,0,0,organic_compound,,,,,,,
"4,4,5,5-tetramethyl-2-(4-methylphenyl)-1,3,2-dioxaborolane",,195062-57-8,Cc1ccc(B2OC(C)(C)C(C)(C)O2)cc1,C13H19BO2,powder,,218.1,,53.3,0,0,organic_compound,,,,,,,
Thioxanthen-9-one,,492-22-8,O=c1c2ccccc2sc2ccccc12,C13H8OS,powder,1.309,212.267,375.1,211,0,0,organic_compound,,,,,,,
Methyl Trifluoromethanesulfonate,,333-27-7,COS(=O)(=O)C(F)(F)F,C2H3F3O3S,liquid,1.558,164.104,96.499,,0,0,organic_compound,,,,,,,
Trifluoroacetic anhydride,,407-25-0,O=C(OC(=O)C(F)(F)F)C(F)(F)F,C4F6O3,liquid,1.641,210.0314,39.5,-63.5,0,0,organic_compound,,,,,,,
"3,5-Dichlorobenzaldehyde",,10203-08-4,O=Cc1cc(Cl)cc(Cl)c1,C7H4Cl2O,powder,1.4,175.012,241.1,60,0,0,organic_compound,,,,,,,
4-Methoxybenzylchloride,,824-94-2,COc1ccc(CCl)cc1,C8H9ClO,liquid,1.109,156.609,243.6,-1,0,0,organic_compound,,,,,,,
"1H-Pyrrolo[2,3-b]pyridine",,271-63-6,c1cnc2[nH]ccc2c1,C7H6N2,powder,1.242,118.1359,273.8,103,0,0,organic_compound,,,,,,,
4-Cyanobenzaldehyde,,105-07-7,N#Cc1ccc(C=O)cc1,C8H5NO,powder,,131.1314,133,100,0,0,organic_compound,,,,,,,
"2,4,6-Trimethylstyrene",,769-25-5,C=Cc1c(C)cc(C)cc1C,C11H14,liquid,0.89,146.2289,207.2,,0,0,organic_compound,,,,,,,
4-Nitrothiophenol,,1849-36-1,O=[N+]([O-])c1ccc(S)cc1,C6H5NO2S,powder,,155.174,281.9,72,0,0,organic_compound,,,,,,,
DL-pyroglutamic acid,,149-87-1,O=C1CCC(C(=O)O)N1,C5H7NO3,powder,1.38,129.114,453.1,180,0,0,organic_compound,,,,,,,
Allyl Phenyl Sulfone,,16212-05-8,C=CCS(=O)(=O)c1ccccc1,C9H10O2S,liquid,1.143,182.239,324.7,,0,0,organic_compound,,,,,,,
Triethylsilane,,617-86-7,CC[SiH](CC)CC,C6H15Si,liquid,0.728,115.2688,107,,0,0,organic_compound,,,,,,,
4-Fluorothiophenol,,371-42-6,Fc1ccc(S)cc1,C6H5FS,powder,1.203,128.167,162.3,43,0,0,organic_compound,,,,,,,
4-(Trimethylsilyl)phenylboronic Acid,,17865-11-1,C[Si](C)(C)c1ccc(B(O)O)cc1,C9H15BO2Si,powder,1.01,194.111,294.4,173,0,0,organic_compound,,,,,,,
Triisopropylsilane,,6485-79-6,CC(C)[Si](C(C)C)C(C)C,C9H21Si,liquid,0.7726,157.3485,177.8,,0,0,organic_compound,,,,,,,
Phenyl Chloroformate,,1885-14-9,O=C(Cl)Oc1ccccc1,C7H5ClO2,liquid,1.283,156.566,186.5,-28,0,0,organic_compound,,,,,,,
6-bromo-3H-isobenzofuran-1-one,,19477-73-7,O=C1OCc2ccc(Br)cc21,C8H5BrO2,liquid,1.743,213.028,362.44,,0,0,organic_compound,,,,,,,
4-Methoxy-3-nitroaniline,,577-72-0,COc1ccc(N)cc1[N+](=O)[O-],C7H8N2O3,liquid,1.318,168.15,356.9,,0,0,organic_compound,,,,,,,
Indole,,120-72-9,c1ccc2[nH]ccc2c1,C8H7N,powder,1.149,117.1479,253,51,0,0,organic_compound,,,,,,,
Menthol,,2216-51-5,CC1CCC(C(C)C)C(O)C1,C10H20O,powder,,156.2652,212,41,0,0,organic_compound,,,,,,,
NaBHOAc3-80%,STAB-80%,56553-60-7,CC(=O)O[B-](OC(C)=O)OC(C)=O,C6H9BNaO6,powder,0.5,210.933,,114,0,0,organic_compound,,,,,,,
N-Benzyl-p-anisidine,,17377-95-6,COc1ccc(NCc2ccccc2)cc1,C14H15NO,liquid,1.101,213.275,348.7,,0,0,organic_compound,,,,,,,
4'-(Methylthio)acetophenone,,1778-09-2,CSc1ccc(C(C)=O)cc1,C9H10OS,powder,1.035,166.24,219.991,80,0,0,organic_compound,,,,,,,
4'-Dimethylaminoacetophenone,,2124-31-4,CC(=O)c1ccc(N(C)C)cc1,C10H13NO,liquid,1.026,163.2163,282.9,,0,0,organic_compound,,,,,,,
9-Fluorenone,,486-25-9,O=C1c2ccccc2-c2ccccc21,C13H8O,powder,1.244,180.202,341.5,81,0,0,organic_compound,,,,,,,
"4,4'-Bis(diethylamino)benzophenone",,90-93-7,CCN(CC)c1ccc(C(=O)c2ccc(N(CC)CC)cc2)cc1,C21H28N2O,powder,1.048,324.4598,475.7,93,0,0,organic_compound,,,,,,,
4'-Hydroxyacetophenone,,99-93-4,CC(=O)c1ccc(O)cc1,C8H8O2,powder,1.14,136.1479,313,107,0,0,organic_compound,,,,,,,
"4,4'-Dihydroxybenzophenone",,611-99-4,O=C(c1ccc(O)cc1)c1ccc(O)cc1,C13H10O3,powder,1.302,214.2167,444.8,217,0,0,organic_compound,,,,,,,
"3',4'-(Methylenedioxy)acetophenone",,3162-29-6,CC(=O)c1ccc2c(c1)OCO2,C9H8O3,powder,1.242,164.158,294.6,86,0,0,organic_compound,,,,,,,
Methyl 4-acetylbenzoate,,3609-53-8,COC(=O)c1ccc(C(C)=O)cc1,C10H10O3,liquid,1.121,178.1846,295.6,,0,0,organic_compound,,,,,,,
4'-Fluoroacetophenone,,403-42-9,CC(=O)c1ccc(F)cc1,C8H7FO,liquid,1.32,138.139,180.6,4,0,0,organic_compound,,,,,,,
11-Bromo-1-undecanol,,1611-56-9,OCCCCCCCCCCCBr,C11H23BrO,powder,1.137,251.204,349.6,42,0,0,organic_compound,,,,,,,
acridone,,578-95-0,O=c1c2ccccc2[nH]c2ccccc12,C13H9NO,powder,1.231,195.2167,355.004,360,0,0,organic_compound,,,,,,,
4-Chloro-4'-fluorobutyrophenone,,3874-54-2,O=C(CCCCl)c1ccc(F)cc1,C10H10ClFO,liquid,1.183,200.637,299.1,5,0,0,organic_compound,,,,,,,
4'-Methoxyacetophenone,,100-06-1,COc1ccc(C(C)=O)cc1,C9H10O2,powder,1.035,150.1745,256.4,36,0,0,organic_compound,,,,,,,
4'-Benzyloxyacetophenone,,54696-05-8,CC(=O)c1ccc(OCc2ccccc2)cc1,C15H14O2,powder,1.1,226.2705,378.6,91,0,0,organic_compound,,,,,,,
cyclohexyl methyl ketone,,823-76-7,CC(=O)C1CCCCC1,C8H14O,liquid,0.916,126.1962,181.5,,0,0,organic_compound,,,,,,,
4-Fluorothioanisole,,371-15-3,CSc1ccc(F)cc1,C7H7FS,liquid,1.13,142.194,184.8,,0,0,organic_compound,,,,,,,
"2',6'-Dichloro-3'-fluoroacetophenone",,290835-85-7,CC(=O)c1c(Cl)ccc(F)c1Cl,C8H5Cl2FO,liquid,1.388,207.029,216,,0,0,organic_compound,,,,,,,
Thiomorpholine,,123-90-0,C1CSCCN1,C4H9NS,liquid,1.026,103.186,170,,0,0,organic_compound,,,,,,,
"3,5-Dimethylacetophenone",,5379-16-8,CC(=O)c1cc(C)cc(C)c1,C10H12O,liquid,0.965,148.2017,98,20,0,0,organic_compound,,,,,,,
"1,2-Diiodoethane",,624-73-7,ICCI,C2H4I2,powder,2.841,281.8621,206,80,0,0,organic_compound,,,,,,,
4'-Isopropylacetophenone,,645-13-6,CC(=O)c1ccc(C(C)C)cc1,C11H14O,liquid,0.948,162.2283,254.6,,0,0,organic_compound,,,,,,,
3-Acetylindole,,703-80-0,CC(=O)c1c[nH]c2ccccc12,C10H9NO,powder,1.193,159.1846,333.9,185,0,0,organic_compound,,,,,,,
Pentafluorothiophenol,,771-62-0,Fc1c(F)c(F)c(S)c(F)c1F,C6HF5S,liquid,1.5,200.129,143,-24,0,0,organic_compound,,,,,,,
3'-(Trifluoromethyl)acetophenone,,349-76-8,CC(=O)c1cccc(C(F)(F)F)c1,C9H7F3O,liquid,1.554,188.1465,296.4,,0,0,organic_compound,,,,,,,
3-Butyn-1-ol,,927-74-2,C#CCCO,C4H6O,liquid,0.924,70.0898,130.1,-63.6,0,0,organic_compound,,,,,,,
4-methylbenzenethiol,,106-45-6,Cc1ccc(S)cc1,C7H8S,powder,,124.203,195,40,0,0,organic_compound,,,,,,,
Methyltriphenylphosphonium bromide,,1779-49-3,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1,C19H18BrP,powder,,357.224,,230,0,0,organic_compound,,,,,,,
5-Chloroisatin,,17630-76-1,O=C1Nc2ccc(Cl)cc2C1=O,C8H4ClNO2,powder,1.519,181.576,,254,0,0,organic_compound,,,,,,,
Ethyl (triphenylphosphoranylidene)acetate,,1099-45-2,CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1,C22H21O2P,powder,1.15,348.3747,490.4,124,0,0,organic_compound,,,,,,,
2-Mercaptopyridine,,2637-34-5,S=c1cccc[nH]1,C5H5NS,powder,1.2,111.165,184.9,127,0,0,organic_compound,,,,,,,
Formic acid,,64-18-6,O=CO,CH2O2,liquid,1.22,46.0254,101,8,0,0,organic_compound,,,,,,,
"1,1-Dimethoxy-2-propanone",,6342-56-9,COC(OC)C(C)=O,C5H10O3,liquid,0.973,118.1311,145,-57,0,0,organic_compound,,,,,,,
Tributyl borate,,688-74-4,CCCCOB(OCCCC)OCCCC,C12H27BO3,liquid,0.859,230.152,230.6,-70,0,0,organic_compound,,,,,,,
Triphenylmethyl mercaptan,,3695-77-0,SC(c1ccccc1)(c1ccccc1)c1ccccc1,C19H16S,powder,1.119,276.395,403.8,103,0,0,organic_compound,,,,,,,
Terephthalaldehydic Acid,,619-66-9,O=Cc1ccc(C(=O)O)cc1,C8H6O3,powder,,150.1314,332.6,247,0,0,organic_compound,,,,,,,
Phloroglucinol,,108-73-6,Oc1cc(O)cc(O)c1,C6H6O3,powder,1.488,126.11,331.1,215,0,0,organic_compound,,,,,,,
5-Methylisatin,,608-05-9,Cc1ccc2c(c1)C(=O)C(=O)N2,C9H7NO2,powder,1.301,161.1574,,180,0,0,organic_compound,,,,,,,
Benzoic anhydride,,93-97-0,O=C(OC(=O)c1ccccc1)c1ccccc1,C14H10O3,powder,1.211,226.2274,360,38,0,0,organic_compound,,,,,,,
5-Iodoanthranilic Acid,,5326-47-6,Nc1ccc(I)cc1C(=O)O,C7H6INO2,powder,,263.0325,383.2,219,0,0,organic_compound,,,,,,,
2-Amino-4-fluorobenzoic acid,,446-32-2,Nc1cc(F)ccc1C(=O)O,C7H6FNO2,powder,1.45,155.1264,207,188,0,0,organic_compound,,,,,,,
(2-amino-5-bromophenyl)methanol,,20712-12-3,Nc1ccc(Br)cc1CO,C7H8BrNO,liquid,1.66,202.049,329.556,,0,0,organic_compound,,,,,,,
(2-amino-6-chlorophenyl)methanol,,39885-08-0,Nc1cccc(Cl)c1CO,C7H8ClNO,liquid,1.341,157.598,324.2,,0,0,organic_compound,,,,,,,
Phenol,PhOH,108-95-2,Oc1ccccc1,C6H6O,powder,1.07,94.1112,182,40,0,0,organic_compound,,,,,,,
Resorcinol,,108-46-3,Oc1cccc(O)c1,C6H6O2,powder,1.275,110.1106,280,109,0,0,organic_compound,,,,,,,
3-Chloro-4-methylphenol,,615-62-3,Cc1ccc(O)cc1Cl,C7H7ClO,liquid,1.228,142.583,228,,0,0,organic_compound,,,,,,,
2-Amino-5-methylbenzoic acid,,2941-78-8,Cc1ccc(N)c(C(=O)O)c1,C8H9NO2,powder,,151.1626,316.6,174,0,0,organic_compound,,,,,,,
"Sodium 3-oxo-3H-benzo[d]isothiazol-2-ide 1,1-dioxide",,128-44-9,O=C1NS(=O)(=O)c2ccccc21,C7H4NNaO3S,liquid,,205.166,438.9,300,0,0,organic_compound,,,,,,,
6-Formylindole,,1196-70-9,O=Cc1ccc2cc[nH]c2c1,C9H7NO,powder,,145.158,,127,0,0,organic_compound,,,,,,,
"7-methyl-1H-indole-2,3-dione",,1127-59-9,Cc1cccc2c1NC(=O)C2=O,C9H7NO2,liquid,1.301,161.1574,,,0,0,organic_compound,,,,,,,
2-Chlorobenzonitrile,,873-32-5,N#Cc1ccccc1Cl,C7H4ClN,powder,1.23,137.566,232.8,43,0,0,organic_compound,,,,,,,
Methyl 4-iodobenzoate,,619-44-3,COC(=O)c1ccc(I)cc1,C8H7IO2,powder,1.753,262.0445,276.1,112,0,0,organic_compound,,,,,,,
methyl 2-(3-hydroxyphenyl)acetate,,42058-59-3,COC(=O)Cc1cccc(O)c1,C9H10O3,liquid,1.181,166.1739,277.7,,0,0,organic_compound,,,,,,,
4-Methylmorpholine N-Oxide,,7529-22-8,C[N+]1([O-])CCOCC1,C5H11NO2,powder,,117.1463,,180,0,0,organic_compound,,,,,,,
copper(1+) ion tetrakis(acetonitrile) tetrafluoroborate,,15418-29-8,CC#N.CC#N.CC#N.CC#N.F[B-](F)(F)F.[Cu+],C8H12BCuF4N4,liquid,,314.558,,,0,0,metal_catalyst,,,,,,,
Anisic acid-in-Tol-10%,,100-09-4,COc1ccc(C(=O)O)cc1,C8H8O3,liquid,1.385,152.15,275,181,0,0,organic_compound,,,,,,,
4-Chlorobenzyl bromide,,622-95-7,Clc1ccc(CBr)cc1,C7H6BrCl,powder,1.57,205.48,227.1,48,0,0,organic_compound,,,,,,,
1-(Bromomethyl)naphthalene,,3163-27-7,BrCc1cccc2ccccc12,C11H9Br,liquid,1.444,221.093,326,,0,0,organic_compound,,,,,,,
4-Iodoanisole,,696-62-8,COc1ccc(I)cc1,C7H7IO,powder,1.727,234.0344,239,46,0,0,organic_compound,,,,,,,
alpha-Bromo-p-xylene,,104-81-4,Cc1ccc(CBr)cc1,C8H9Br,powder,1.368,185.061,225,33,0,0,organic_compound,,,,,,,
2-Aminophenylboronic acid,,5570-18-3,Nc1ccccc1B(O)O,C6H8BNO2,liquid,1.14,136.944,,,0,0,organic_compound,,,,,,,
4-Chlorophenol,,106-48-9,Oc1ccc(Cl)cc1,C6H5ClO,powder,1.103,128.556,213,41,0,0,organic_compound,,,,,,,
2-(Trifluoromethyl)benzaldehyde,,447-61-0,O=Cc1ccccc1C(F)(F)F,C8H5F3O,liquid,1.293,174.1199,194.3,-40,0,0,organic_compound,,,,,,,
Ethyl Phenylpropiolate,,2216-94-6,CCOC(=O)C#Cc1ccccc1,C11H10O2,liquid,1.09,174.1959,265,,0,0,organic_compound,,,,,,,
3-Methoxybenzaldehyde,,591-31-1,COc1cccc(C=O)c1,C8H8O2,liquid,1.088,136.1479,230.8,,0,0,organic_compound,,,,,,,
1-(4-fluorophenyl)-3-phenylprop-2-en-1-one,,399-10-0,O=C(C=Cc1ccccc1)c1ccc(F)cc1,C15H11FO,liquid,1.166,226.2456,358,,0,0,organic_compound,,,,,,,
4-(tert-Butyl)benzylbromide,,18880-00-7,CC(C)(C)c1ccc(CBr)cc1,C11H15Br,liquid,1.223,227.141,270.2,8,0,0,organic_compound,,,,,,,
"3,4,5-Trimethoxybenzaldehyde",,86-81-7,COc1cc(C=O)cc(OC)c1OC,C10H12O4,powder,1.133,196.1999,311.4,73,0,0,organic_compound,,,,,,,
diethyl maleate,,141-05-9,CCOC(=O)C=CC(=O)OCC,C8H12O4,liquid,1.068,172.1785,214,-10,0,0,organic_compound,,,,,,,
p-Anisaldehyde,,123-11-5,COc1ccc(C=O)cc1,C8H8O2,liquid,1.088,136.1479,248,-1,0,0,organic_compound,,,,,,,
Acrylonitrile,,107-13-1,C=CC#N,C3H3N,liquid,0.797,53.0626,77.3,-83,0,0,organic_compound,,,,,,,
Ethyl acrylate,,140-88-5,C=CC(=O)OCC,C5H8O2,liquid,0.92,100.1158,186.348,-71,0,0,organic_compound,,,,,,,
delta-Valerolactam,,675-20-7,O=C1CCCCN1,C5H9NO,powder,1.001,99.1311,256,35,0,0,organic_compound,,,,,,,
2-phenylpropionaldehyde,,93-53-8,CC(C=O)c1ccccc1,C9H10O,liquid,0.98,134.1751,202.3,,0,0,organic_compound,,,,,,,
"3,3-Dimethyl-2-butanone",,75-97-8,CC(=O)C(C)(C)C,C6H12O,liquid,0.801,100.1589,110.7,-52.5,0,0,organic_compound,,,,,,,
"4,4,4-Trifluoro-1-(2-furyl)-1,3-butanedione",,326-90-9,O=C(CC(=O)C(F)(F)F)c1ccco1,C8H5F3O3,liquid,1.391,206.1187,,,0,0,organic_compound,,,,,,,
"Benzoyl-1,1,1-trifluoroacetone",,326-06-7,O=C(CC(=O)C(F)(F)F)c1ccccc1,C10H7F3O2,powder,1.34,216.1566,240.9,37,0,0,organic_compound,,,,,,,
2-Bromo-6-fluorobenzonitrile,,79544-27-7,N#Cc1c(F)cccc1Br,C7H3BrFN,powder,1.69,200.008,254.6,58,0,0,organic_compound,,,,,,,
1-Benzyl-4-(hydroxymethyl)piperidine,,67686-01-5,OCC1CCN(Cc2ccccc2)CC1,C13H19NO,liquid,1.056,205.2961,312.2,,0,0,organic_compound,,,,,,,
1-Benzylpyrrolidin-3-yl-methanol,,5731-17-9,OCC1CCN(Cc2ccccc2)C1,C12H17NO,liquid,,191.2695,,,0,0,organic_compound,,,,,,,
1-cbz-4-hydroxymethylpiperidine,,122860-33-7,O=C(OCc1ccccc1)N1CCC(CO)CC1,C14H19NO3,liquid,1.162,249.3056,396.4,,0,0,organic_compound,,,,,,,
Cyclohexanemethanol,,100-49-2,OCC1CCCCC1,C7H14O,liquid,0.913,114.1855,181.1,,0,0,organic_compound,,,,,,,
Trimethylacetaldehyde,,630-19-3,CC(C)(C)C=O,C5H10O,liquid,0.794,86.1323,77.5,6,0,0,organic_compound,,,,,,,
Benzyl 4-oxo-1-piperidinecarboxylate,,19099-93-5,O=C1CCN(C(=O)OCc2ccccc2)CC1,C13H15NO3,powder,1.212,233.2631,384.1,38,0,0,organic_compound,,,,,,,
"N,N'-bis(salicylidene)ethylenediamine cobalt salt",,14167-18-1,[Co+2].[O-]c1ccccc1C=NCCN=Cc1ccccc1[O-],C16H16CoN2O2,liquid,,327.2436,498.2,,0,0,metal_catalyst,,,,,,,
cyclohexylphenylacetonitrile,,3893-23-0,N#CC(c1ccccc1)C1CCCCC1,C14H17N,powder,1.019,199.2915,322.5,49,0,0,organic_compound,,,,,,,
3-Chlorobenzoic acid,,535-80-8,O=C(O)c1cccc(Cl)c1,C7H5ClO2,powder,1.496,156.566,281.3,154,0,0,organic_compound,,,,,,,
N-(formylmethyl)phthalimide,,2913-97-5,O=CCN1C(=O)c2ccccc2C1=O,C10H7NO3,liquid,1.376,189.1675,324.3,,0,0,organic_compound,,,,,,,
2-phenyl-1-propanol,,1123-85-9,CC(CO)c1ccccc1,C9H12O,liquid,0.994,136.191,232.22,-37,0,0,organic_compound,,,,,,,
Cobalt 2-ethylhexanoate,,136-52-7,CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Co+2],C16H30CoO4,liquid,,345.3402,,,0,0,metal_catalyst,,,,,,,
9-Fluorenemethanol,,24324-17-2,OCC1c2ccccc2-c2ccccc21,C14H12O,powder,1.175,196.2445,363.9,104,0,0,organic_compound,,,,,,,
Fluoxetine hydrochloride,,59333-67-4,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,C17H19ClF3NO,liquid,1.254,345.787,569.2,,0,0,organic_compound,,,,,,,
Tetrafluoroisophthalonitrile,,2377-81-3,N#Cc1c(F)c(F)c(F)c(C#N)c1F,C8F4N2,powder,1.54,200.0926,212.5,78,0,0,organic_compound,,,,,,,
"sulfone,phenyl-trifluoromethyl",,426-58-4,O=S(=O)(c1ccccc1)C(F)(F)F,C7H5F3O2S,liquid,,210.174,,,0,0,organic_compound,,,,,,,
(3-(methoxycarbonyl)phenyl)boronic acid,,99769-19-4,COC(=O)c1cccc(B(O)O)c1,C8H9BO4,powder,1.25,179.966,359.9,187,0,0,organic_compound,,,,,,,
4-Ethynylbenzonitrile,,3032-92-6,C#Cc1ccc(C#N)cc1,C9H5N,liquid,1.08,127.1427,230.2,,0,0,organic_compound,,,,,,,
4-Bromomethylbiphenyl,,2567-29-5,BrCc1ccc(-c2ccccc2)cc1,C13H11Br,powder,1.341,247.13,333.4,86,0,0,organic_compound,,,,,,,
epsilon-Caprolactone monomer,,502-44-3,O=C1CCCCCO1,C6H10O2,liquid,1.03,114.1424,235.3,-1,0,0,organic_compound,,,,,,,
Benzyl chloroformate,,501-53-1,O=C(Cl)OCc1ccccc1,C8H7ClO2,liquid,1.195,170.593,103,,0,0,organic_compound,,,,,,,
2-(4-Chlorophenyl)-3-methylbutyryl chloride,,51631-50-6,CC(C)C(C(=O)Cl)c1ccc(Cl)cc1,C11H12Cl2O,liquid,1.195,231.118,290.6,,0,0,organic_compound,,,,,,,
2-Thiophenecarbonyl chloride,,5271-67-0,O=C(Cl)c1cccs1,C5H3ClOS,liquid,1.31,146.595,546,,0,0,organic_compound,,,,,,,
3-butyn-2-ol,,2028-63-9,C#CC(C)O,C4H6O,liquid,0.919,70.0898,104,12,0,0,organic_compound,,,,,,,
Phenyl Vinyl Sulfide,,1822-73-7,C=CSc1ccccc1,C8H8S,liquid,1.03,136.214,199.1,,0,0,organic_compound,,,,,,,
4-Octyne,,1942-45-6,CCCC#CCCC,C8H14,liquid,0.765,110.1968,131.5,,0,0,organic_compound,,,,,,,
Bis(2-Methoxyethyl)Aminosulfur Trifluoride,,202289-38-1,COCCN(CCOC)S(F)(F)F,C6H14F3NO2S,liquid,1.19,221.241,256.3,,0,0,organic_compound,,,,,,,
Triisopropylsilylacetylene,,89343-06-6,C#C[Si](C(C)C)(C(C)C)C(C)C,C11H22Si,liquid,0.79,182.3779,230.7,,0,0,organic_compound,,,,,,,
Triphenylphosphine Sulfide,,3878-45-3,S=P(c1ccccc1)(c1ccccc1)c1ccccc1,C18H15PS,powder,1.2,294.35,428.7,162,0,0,organic_compound,,,,,,,
4'-Methylacetanilide,,103-89-9,CC(=O)Nc1ccc(C)cc1,C9H11NO,powder,1.075,149.1897,307.765,148,0,0,organic_compound,,,,,,,
cinnamonitrile,,1885-38-7,N#CC=Cc1ccccc1,C9H7N,liquid,1.043,129.1586,263.8,18,0,0,organic_compound,,,,,,,
Cinnamaldehyde,,104-55-2,O=CC=Cc1ccccc1,C9H8O,liquid,1.034,132.1592,246.8,-7.5,0,0,organic_compound,,,,,,,
3-Butyn-2-one,,1423-60-5,C#CC(C)=O,C4H4O,liquid,0.902,68.074,85,,0,0,organic_compound,,,,,,,
Coumarin,,91-64-5,O=c1ccc2ccccc2o1,C9H6O2,powder,1.248,146.1427,298,68,0,0,organic_compound,,,,,,,
Dibenzoyl peroxide,,94-36-0,O=C(OOC(=O)c1ccccc1)c1ccccc1,C14H10O4,powder,,242.2268,,104,0,0,organic_compound,,,,,,,
纬-Butyrolactone,纬-butalactone,96-48-0,O=C1CCCO1,C4H6O2,liquid,1.413,86.0892,358.8,-45,0,0,organic_compound,,,,,,,
Dimethylzinc,,544-97-8,[CH3-].[CH3-].[Zn+2],C2H6Zn,liquid,,95.478,,,0,0,metal_catalyst,,,,,,,
1-Phenyl-1-trimethylsilyloxyethylene,,13735-81-4,C=C(O[Si](C)(C)C)c1ccccc1,C11H16OSi,liquid,0.914,192.3296,213.5,,0,0,organic_compound,,,,,,,
Perfluorobutyl iodide,,423-39-2,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,C4F9I,liquid,2.127,345.9329,67.4,-88,0,0,organic_compound,,,,,,,
