name,smiles,motif_count,motifs,alt_motifs,error
Bromobenzene,Brc1ccccc1,1,Ar-Br,Ar-X,
Chlorobenzene,Clc1ccccc1,1,Ar-Cl,Ar-X,
Iodobenzene,Ic1ccccc1,1,Ar-I,Ar-X,
Fluorobenzene,Fc1ccccc1,1,Ar-F,Ar-X,
4-Bromobenzonitrile,Brc1ccc(C#N)cc1,2,Ar-CN / Ar-Br,Ar-X,
4-Bromoanisole,Brc1ccc(OC)cc1,2,Ar-OR / Ar-Br,CH3-OR / Alkyl-OR / Ar-X,
4-Bromonitrobenzene,Brc1ccc([N+](=O)[O-])cc1,2,Ar-NO2 / Ar-Br,Ar-NR2 / Ar-X,
4-Bromobenzotrifluoride,Brc1ccc(C(F)(F)F)cc1,2,Ar-CF3 / Ar-Br,Ar-R / Alkyl-F / Alkyl-X / Ar-X,
"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,3,Ar-Br / Ar-Br / Ar-Br,Ar-X / Ar-X / Ar-X,
"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,2,Ar-Cl / Ar-Cl,Ar-X / Ar-X,
2-Bromotoluene,Brc1ccccc1C,2,Ar-R / Ar-Br,Ar-X,
"3,5-Dimethylbromobenzene",Brc1cc(C)cc(C)c1,3,Ar-R / Ar-R / Ar-Br,Ar-X,
Pentamethylbromobenzene,Brc1c(C)c(C)c(C)c(C)c1C,6,Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-Br,Ar-X,
2-Bromonaphthalene,Brc1ccc2ccccc2c1,1,Ar-Br,Ar-X,
2-Chloronaphthalene,Clc1ccc2ccccc2c1,1,Ar-Cl,Ar-X,
1-Bromonaphthalene,Brc1cccc2c1cccc2,1,Ar-Br,Ar-X,
4-Bromopyridine,Brc1ccncc1,2,Ar-Br / Pyridine,Ar-X,
3-Bromopyridine,Brc1cccnc1,2,Ar-Br / Pyridine,Ar-X,
2-Bromopyridine,Brc1ccccn1,2,Ar-Br / Pyridine,Ar-X,
4-Chloropyridine,Clc1ccncc1,2,Ar-Cl / Pyridine,Ar-X,
5-Bromopyrimidine,Brc1cnccn1,2,Ar-Br / Pyrimidine,Ar-X,
2-Bromothiophene,Brc1cccs1,2,Ar-Br / Thiophene,Ar-X,
2-Bromofuran,Brc1ccco1,2,Ar-Br / Furan,Ar-X,
3-Bromopyrrole,Brc1cc[nH]c1,3,Ar-Br / AromN-H / Pyrrole,Ar-X,
