feature,importance
cat__additive_Urea,4.575785810509445e-05
cat__additive_NA,3.944411220908226e-05
num__sulf_HBD,0.0
num__bor_aryl_electronic_avg,0.0
num__bor_fraction_csp3,0.0
num__bor_HBD,0.0
cat__ligand_NA,0.0
num__bor_motif_count,0.0
num__bor_aryl_steric_max,0.0
num__bor_aromatic_ring_count,0.0
num__bor_alkyl_steric_max,0.0
cat__other_reagent_NA,0.0
cat__reductant_NA,0.0
cat__oxidant_NA,0.0
cat__condensation_agent_NA,0.0
cat__acid_NA,0.0
bor_motif_vec__ar-b(oh)2,0.0
sulf_fg_vec__nucleophile_n_present,0.0
bor_fg_vec__ar-b*_reactant,0.0
bor_fg_vec__boron_present,0.0
