material_id,condition_core_id,condition_group_id,centroid_similarity,assignment_margin,assignment_status,observation_count,exact_recipe_id_count,core_display,solvent_cross_reference,additive_cross_reference,other_context_cross_reference,complete_condition_display,assignment_reason,parse_warnings
CMAT1:0d0293fcc8de33a360f5b5953e1ff6f60e73a9b9cffcc65dfb1af612b5fb724a,CCOREPOC1:8f11876b6f0383869fbb65faacd3225917655cf4b93268280300b3190ea268ee,CGPOC2:a2bd81d36b7becd7009dfb46eb484f6b132f98309b223fee54cc16eb8bae6036,0.977731,0.00896,review,1,1,TMSOK [base]; AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand],proh,,,TMSOK [base]; AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand]; PrOH [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d029f7dccb2adb47c9188dfefab3e99838e9bd52a64d49df31dc21aa83225cc,CCOREPOC1:bcfe847c700b607ef5ea1d869b3101d9de0735900355300a482a5b4dd65afbf8,CGPOC2:f8eaa3867ad073d9f2b1e7e9767343e6d8a52a6367822bfe9785c00927981066,0.947276,0.062783,supported,1,1,K2CO3 [base]; dtbpfPdCl2 [catalyst]; dtbpf [ligand],nbuoac + water,,,K2CO3 [base]; dtbpfPdCl2 [catalyst]; dtbpf [ligand]; nBuOAc [solvent]; water [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d0473ada0f2cd47d377bc94ebd906428c5e6ef7409f1a89db49d08b5c8a056c,CCOREPOC1:1bd58fcb27c78323d0e60bf3ad869d23e612b87d2fa207489b626548360fe573,CGPOC2:245626a2dc791a69daf4d009af68175a7be128b0d4107be7348c965a1610e9f9,0.981499,0.018252,review,1,1,Cs2CO3 [base]; [Pd(allyl)(Ad-BippyPhos)]OTf [catalyst]; Ad-BippyPhos [ligand],phme,,,Cs2CO3 [base]; [Pd(allyl)(Ad-BippyPhos)]OTf [catalyst]; Ad-BippyPhos [ligand]; PhMe [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d04ecd28a348314d414780786138279a6239b4458d1a0afd488ed0328cc1640,CCOREPOC1:ca9a549bfee81fd3b292f5b837f2c05f3ef3323f2ec373e1f7f1ddbbfac1b610,CGPOC2:04c858ed0e12dafc25ce9f74b60c8afc9124ed2ef16c812ee09ed28a29adaa2d,0.938346,0.068214,supported,1,1,DIPEA [base]; JosiphosSL-J009-1 Pd G3 [catalyst]; JosiphosSL-J009-1 [ligand],dmi,,,DIPEA [base]; JosiphosSL-J009-1 Pd G3 [catalyst]; JosiphosSL-J009-1 [ligand]; DMI [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d09ba937c80428dbc75a194850f95b8ff9ede2923793cd03ec64c174de1aa23,CCOREPOC1:d546b1f7a06197e8f84bcd63499e210ed22efcec4836feadcf64d79fc9e084cf,CGPOC2:b70c9f6b0bcb3a4b68950e1dd6741db5b8cc15a8808dd08b4f3ddfed921e74d5,0.949242,0.066856,supported,8,4,Cs2CO3 [base]; (DiMeIHept Cl) Pd(cinnamyl)Cl [catalyst]; DiMeIHept Cl [ligand],dioxane,,,Cs2CO3 [base]; (DiMeIHept Cl) Pd(cinnamyl)Cl [catalyst]; DiMeIHept Cl [ligand]; Dioxane [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d09ffde3f7ed77a535fb81cb9e36f23315b1ff5887913f6b6bb558a672cd94b,CCOREPOC1:ea6162797df79dad77a8f51e67fcea09c1f253a22720a479472d442ae22d9806,CGPOC2:79a76907672465e8a5a4d7ffcd1477654254c984cb3edab70d8c3a026da3e5e6,0.927127,0.034508,provisional,1,1,Cs2CO3 [base]; (CyMPhos)PdCl2 [catalyst]; CyMPhos [ligand],dmi,tbab,,TBAB [additive]; Cs2CO3 [base]; (CyMPhos)PdCl2 [catalyst]; CyMPhos [ligand]; DMI [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d0cbc7471b907cacb41a3ef41d5bc7b5eb4320f7422df9ee915c5721cdf9395,CCOREPOC1:303bbbebb8b192de26f8abcd97a4a4010c591ef5fb09ab3208a76f6b1b661833,CGPOC2:4b31d62d21f65c3313b33bdf5a18424f9cf4166e8c37ec1dff6fb0045e6c8f73,0.999562,0.010125,review,2,2,NMM [base]; EDC [coupling_reagent],tpgs-750m,hosu,,HOSu [additive]; NMM [base]; EDC [coupling_reagent]; TPGS-750M [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d105eb41678b63c04ebbe8bdba23375c9956023378449c795d286cd3ec8d1f4,CCOREPOC1:5df4839c071da7a478467caf17d1b6fd81ea4912bcd663c96dcc7759f2fae0b0,CGPOC2:f635431829dc4e78e98f6e38819be685db8e122946602936cbfb40e991bf4c2d,0.997762,0.007173,review,1,1,"NEt3, pyridine [base]; CDT [coupling_reagent]",thf,,,"NEt3, pyridine [base]; CDT [coupling_reagent]; THF [solvent]; No ligand",LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d1273b86d9fbbfba4c008a988f876f3309aa95b16c60bc831257a4f8cbd5e39,CCOREPOC1:3e551e750b30e63b4887b2e36f006246a86137a7e214d7ce06020132d495e6b0,CGPOC2:01afe02364420d1b12169d99de8003970ea9fc96bf9cf2be78e16c8995b60136,0.99976,0.05304,supported,1,1,Cs2CO3 [base]; XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand],dmso + water,potassium 2-ethylhexanoate,,Potassium 2-ethylhexanoate [additive]; Cs2CO3 [base]; XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; DMSO [solvent]; water [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d13c40abb727f08939c8913f6a8422da117fa5c83dfd9222264d6de3587dcbf,CCOREPOC1:c5aeb22539dff3850eb6d5468b809fa40b57420f84f4fceb73d34a11eb454752,CGPOC2:1cd211d57dd7692a0bbdd4bb9ea40e6f84180d8a448378b79516bc1cc729eaee,0.968464,0.071002,supported,1,1,NaOtBu [base]; XPhos Pd(crotyl)Cl [catalyst]; XPhos [ligand],propionitrile,,,NaOtBu [base]; XPhos Pd(crotyl)Cl [catalyst]; XPhos [ligand]; Propionitrile [solvent],LEARNED_DECISIVE_CORE_GROUP,
