CC(C)n1nc(CN)c2C(C)CCc12	JFFMXVOUKLDKSQ-UHFFFAOYSA-N	Heterocycle5_polyHet,Heterocycle5_polyHet,HeteroBenzylamine_primary	1.0	HeteroBenzylamine_primary	Benzyl_amine_primary	Amine
CCc1nn(c(N)c1C(C)C)c2cnccc2Cl	AYQLQZWLFHIXDG-UHFFFAOYSA-N	X-Chloride_Het6,Heterocycle5_polyHet,Heterocycle5_polyHet,Heterocycle6_1N,Amine_Primary_Het5	1.0	Amine_Primary_Het5	Amine_Heteroaromatic	Amine
CCOC(=O)Cc1ccc(N)c(c1I)[N+](=O)[O-]	CUSFWSPUBCILBY-UHFFFAOYSA-N	X-Iodide_Phe,EsterAcyclic,Nitro_Aromatic,Amine_Primary_Phe	1.0	Amine_Primary_Phe	Amine_Aromatic	Amine
Cn1ncc(Cl)c1-c1cc(C(=O)NC(CN)Cc2cccc(F)c2)sc1Cl	AFJRDFWMXUECEW-UHFFFAOYSA-N	X-Fluoride_Phe,X-Chloride_Het5,X-Chloride_Het5,Amide,Heterocycle5_polyHet,Heterocycle5_polyHet,Heterocycle5_S,Amine_Primary_SaturatedAliphatic	1.0	Amine_Primary_SaturatedAliphatic	Amine_Aliphatic	Amine
CN(C)CCCn1nc(C)c(CN)c1N	GVOTYUSWOZTOCO-UHFFFAOYSA-N	Heterocycle5_polyHet,Heterocycle5_polyHet,HeteroBenzylamine_primary,Amine_Primary_Het5,AliphaticTertiaryAmine	2.0	Amine_Primary_Het5	Amine_Heteroaromatic	Amine
CCc1cc(ccn1)n2nc(C3CCC3)c(CN)c2N	ITJIBEYLPBOVRJ-UHFFFAOYSA-N	Heterocycle5_polyHet,Heterocycle5_polyHet,Heterocycle6_1N,HeteroBenzylamine_primary,Amine_Primary_Het5	2.0	Amine_Primary_Het5	Amine_Heteroaromatic	Amine
Cc1ccc(Cl)c(Cn2nc(C)c(C3CCC3)c2N)c1	ZDLLIFRCFGNSJS-UHFFFAOYSA-N	X-Chloride_Phe,Heterocycle5_polyHet,Heterocycle5_polyHet,Amine_Primary_Het5	1.0	Amine_Primary_Het5	Amine_Heteroaromatic	Amine
CC(C)(N)[C@@H]1CCNC1	NPHAGMZXMINCCX-ZCFIWIBFSA-N	Amine_Primary_SaturatedAliphatic,Amine_CyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	2.0	Amine_CyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	Amine_Aliphatic	Amine
CC(C)C(C)NC1CCCCC1	RWKJGJABTAHECS-UHFFFAOYSA-N	Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	1.0	Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	Amine_Aliphatic	Amine
NCCS(=N)(=O)c1ccc(Br)cc1	DJUQSXHNYSQPLQ-UHFFFAOYSA-N	X-Bromide_Phe,Amine_Primary_SaturatedAliphatic	1.0	Amine_Primary_SaturatedAliphatic	Amine_Aliphatic	Amine
