name,aliases,roles,mention_count,source_columns,reconciliation_status
BMPO,BMPO,ligand,12,Ligand,unresolved
BnOH,BnOH,solvent,44,Solvent,unresolved
Boc2O,Boc2O,additive,8,Additive,unresolved
bphen,bphen,ligand,6,Ligand,unresolved
BPMPO,BPMPO,ligand,81,Ligand,unresolved
BPPO,BPPO,ligand,64,Ligand,unresolved
BrettPhos Pd(crotyl)OTf,BrettPhos Pd(crotyl)OTf,catalyst,838,Catalyst,unresolved
BrettPhos Pd G4,BrettPhos Pd G4,catalyst,12,Catalyst,unresolved
bridged tBuPhosphinito,bridged tBuPhosphinito,ligand,93,Ligand,unresolved
bridged tBuPhosphinito PdCl2,bridged tBuPhosphinito PdCl2,catalyst,93,Catalyst,unresolved
Brij 30,Brij 30,additive,20,Additive,unresolved
Brij 35,Brij 35,additive | solvent,2284,Additive | Secondary Solvent | Solvent,unresolved
BTMO,BTMO,ligand,186,Ligand,unresolved
BuOH,BuOH,solvent,450,Solvent,unresolved
cataCXium-POMeCy,cataCXium-POMeCy,ligand,17,Ligand,unresolved
CataCXiumA Pd(allyl)Cl,CataCXiumA Pd(allyl)Cl,catalyst,917,Catalyst,unresolved
cataCXiumA Pd G3,cataCXiumA Pd G3,catalyst,419,Catalyst,unresolved
cataCXiumA Pd G6 Br)2,cataCXiumA Pd G6 Br)2,catalyst,248,Catalyst,unresolved
cBridP,cBridP | cBRIDP,ligand,860,Ligand,unresolved
cBridP Pd(allyl)Cl,cBridP Pd(allyl)Cl,catalyst,832,Catalyst,unresolved
CDT,CDT,coupling_reagent,76,Coupling Reagent,unresolved
collidine,collidine,base,2,Base,unresolved
Coolade,Coolade,solvent,56,Secondary Solvent | Solvent,unresolved
CPhos-Hybrid,CPhos-Hybrid,ligand,17,Ligand,unresolved
cPhos Pd G3,cPhos Pd G3,catalyst,206,Catalyst,unresolved
CsOH.H2O,CsOH.H2O,base,396,Base,unresolved
Cu(MeCN)4BF4,Cu(MeCN)4BF4,additive | catalyst,1072,Additive | Catalyst,unresolved
CuSO4 anhydrous,CuSO4 anhydrous,additive | catalyst,12,Additive | Catalyst,unresolved
CX31,CX31,catalyst,40,Catalyst,unresolved
CyJohnPhos Pd G3,CyJohnPhos Pd G3,catalyst,125,Catalyst,unresolved
CyMPhos,CyMPhos,ligand,159,Ligand,unresolved
(CyMPhos)PdCl2,(CyMPhos)PdCl2,catalyst,159,Catalyst,unresolved
CyPAd-DalPhos)NiCl(oTol),CyPAd-DalPhos)NiCl(oTol),catalyst,16,Catalyst,unresolved
Cyrene,Cyrene,solvent,32,Solvent,unresolved
Davy's Reagent,Davy's Reagent,additive,22,Additive,unresolved
Davy's Reagent p-tolyl,Davy's Reagent p-tolyl,additive,16,Additive,unresolved
dcypf,dcypf,ligand,220,Ligand,unresolved
dcypfPdCl2,dcypfPdCl2,catalyst,220,Catalyst,unresolved
DEAD,DEAD,coupling_reagent,12,Coupling Reagent,unresolved
di-IodobisP(tBu)3 Pd2,di-IodobisP(tBu)3 Pd2,catalyst,12,Catalyst,unresolved
DiMeIHept Cl,DiMeIHept Cl,ligand,1065,Ligand,unresolved
(DiMeIHept Cl) Pd(cinnamyl)Cl,(DiMeIHept Cl) Pd(cinnamyl)Cl,catalyst,1065,Catalyst,unresolved
diphenethyloxamide,diphenethyloxamide,ligand,206,Ligand,unresolved
DMC,DMC,solvent,78,Secondary Solvent | Solvent,unresolved
DMF dimethylacetal,DMF dimethylacetal,coupling_reagent | solvent,36,Coupling Reagent | Solvent,unresolved
DMPU,DMPU,additive | solvent,86,Additive | Secondary Solvent | Solvent,unresolved
DMTMM,DMTMM,coupling_reagent,10,Coupling Reagent,unresolved
DMTMM BF4,DMTMM BF4,coupling_reagent,12,Coupling Reagent,unresolved
DPEPhos Pd(allyl)Cl,DPEPhos Pd(allyl)Cl,catalyst,634,Catalyst,unresolved
DPEPhosPdCl2,DPEPhosPdCl2,catalyst,93,Catalyst,unresolved
dppbenz,dppbenz,ligand,24,Ligand,unresolved
dppbPdCl2,dppbPdCl2,catalyst,46,Catalyst,unresolved
dppdtbpf,dppdtbpf,ligand,253,Ligand,unresolved
dppdtbpf)PdCl2,dppdtbpf)PdCl2,catalyst,253,Catalyst,unresolved
dppf Pd G3,dppf Pd G3,catalyst,640,Catalyst,unresolved
dpppPdCl2,dpppPdCl2,catalyst,272,Catalyst,unresolved
DSC,DSC,coupling_reagent,16,Coupling Reagent,unresolved
dtbpfPdCl2,dtbpfPdCl2,catalyst,2308,Catalyst,unresolved
EPhosPd G6 Br,EPhosPd G6 Br,catalyst,170,Catalyst,unresolved
Et2Zn,Et2Zn,additive,12,Additive,unresolved
Et3N.3HF,Et3N.3HF,additive,36,Additive,unresolved
Ethanedithiol,Ethanedithiol,additive,16,Additive,unresolved
Ethanolamine,Ethanolamine,base,8,Base,unresolved
Etyhl cyclohexanone-2-carboxylate,Etyhl cyclohexanone-2-carboxylate,ligand,20,Ligand,unresolved
Formamide,Formamide,solvent,30,Secondary Solvent | Solvent,unresolved
FPhos,FPhos,ligand,112,Ligand,unresolved
FPhos Pd G6 OTES,FPhos Pd G6 OTES,catalyst,112,Catalyst,unresolved
Glorius-NHC*HClO4,Glorius-NHC*HClO4,catalyst,24,Catalyst,unresolved
GPhos Pd G6 Br,GPhos Pd G6 Br,catalyst,364,Catalyst,unresolved
GPhos Pd G6 TES,GPhos Pd G6 TES,catalyst,180,Catalyst,unresolved
HCOOH,HCOOH,solvent,28,Solvent,unresolved
heptane,heptane,solvent,23,Secondary Solvent | Solvent,unresolved
HONB,HONB,additive,48,Additive,unresolved
HOPS,HOPS,additive,108,Additive,unresolved
IBCF,IBCF,coupling_reagent,24,Coupling Reagent,unresolved
IHept Cl,IHept Cl,ligand,326,Ligand,unresolved
IPent,IPent,ligand,688,Ligand,unresolved
IPENT Cl,IPENT Cl,ligand,1235,Ligand,unresolved
IPent Pd(tBuInd)Cl],IPent Pd(tBuInd)Cl],catalyst,262,Catalyst,unresolved
iPr AuCl,iPr AuCl,catalyst,8,Catalyst,unresolved
IPr Pd(tBuInd)Cl,IPr Pd(tBuInd)Cl,catalyst,86,Catalyst,unresolved
iPrMgCl.LiCl,iPrMgCl.LiCl,base,12,Base,unresolved
[Ir(cod)OMe]2,[Ir(cod)OMe]2,catalyst,72,Catalyst,unresolved
Jackie CPhos,Jackie CPhos,ligand,298,Ligand,unresolved
Jackie CPhos Pd G4,Jackie CPhos Pd G4,catalyst,298,Catalyst,unresolved
JackiePhos Pd G3,JackiePhos Pd G3,catalyst,300,Catalyst,unresolved
Josiphos SL-J002-1,Josiphos SL-J002-1,ligand,4,Ligand,unresolved
JosiphosSL-J009-1,JosiphosSL-J009-1,ligand,1139,Ligand,unresolved
K2HPO4,K2HPO4,base,250,Base,unresolved
KOPiv,KOPiv,additive | base,768,Additive | Base,unresolved
KOtPent,KOtPent,base,538,Base,unresolved
KPF6,KPF6,additive,16,Additive,unresolved
LiBF4,LiBF4,additive,12,Additive,unresolved
LiOH anh,LiOH anh,base,52,Base,unresolved
LiOH.H2O,LiOH.H2O,base,44,Base,unresolved
LiOTMS,LiOTMS,base,114,Base,unresolved
Me2phen,Me2phen,ligand,32,Ligand,unresolved
Me2Zn,Me2Zn,additive,12,Additive,unresolved
