schema_version,reaction_id,source_row_number,admission_tier,admission_reasons,reaction_smiles,evidence_quality,named_family,reaction_label,yield_pct,temperature_c,time_h,condition_recipe_id,conditions_complete,catalyst_cas,reagent_cas,solvent_cas,electrophile_label,electrophile_context,electrophile_handle,electrophile_steric_class,electrophile_electronic_class,electrophile_flags,transfer_label,transfer_context,transfer_handle,transfer_steric_class,transfer_electronic_class,transfer_flags,spectator_group_ids,family_environment_json,spectator_groups_json,reference,notes
1.0,31-032-CAS-10794104,2,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,Nc1ccccc1N.OCc1ccc(Br)cc1.OB(O)c1cccc2ccccc12>>c1ccc2c(-c3ccc(-c4nc5ccccc5[nH]4)cc3)cccc2c1,reactant_grammar_only,,,83.0,,,COND1:catalyst=7440-05-3|reagent=1066-33-7|solvent=7732-18-5,True,7440-05-3,1066-33-7,7732-18-5,,,,,,,,,,,,,,,[],"European Journal of Organic Chemistry (2015), 2015(34), 7427-7432","green chemistry, green chemistry-solvent"
1.0,31-056-CAS-16214902,3,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,ClC(Cl)Cl.Cc1cccc(I)c1.OB(O)c1ccc2ccccc2c1>>Cc1cccc(C(=O)c2ccc3ccccc3c2)c1,reactant_grammar_only,,,80.0,,,COND1:catalyst=7758-94-3|reagent=21351-79-1+497-19-8+75-98-9+7681-82-5|solvent=25322-68-3,True,7758-94-3,21351-79-1|497-19-8|75-98-9|7681-82-5,25322-68-3,,,,,,,,,,,,,,,[],"Green Chemistry (2016), 18(21), 5782-5787","green chemistry-catalyst, Suzuki-Miyaura reaction, selective carbonylation, in-situ generated reactant (CO), sealed vial used, alternative preparation shown"
1.0,31-056-CAS-16218981,4,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,OB(O)c1ccccc1.COc1ccc(I)cc1.Cl[13CH](Cl)Cl>>COc1ccc([13C](=O)c2ccccc2)cc1,reactant_grammar_only,,,85.0,,,COND1:catalyst=7758-94-3|reagent=21351-79-1+497-19-8+75-98-9+7681-82-5|solvent=25322-68-3,True,7758-94-3,21351-79-1|497-19-8|75-98-9|7681-82-5,25322-68-3,,,,,,,,,,,,,,,[],"Green Chemistry (2016), 18(21), 5782-5787","green chemistry-catalyst, Suzuki-Miyaura reaction, selective carbonylation, in-situ generated reactant (13CO), sealed vial used"
1.0,31-085-CAS-20735380,6,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,COS(=O)(=O)c1ccc(C)cc1.Ic1cccc2ccccc12.CC(C)(C)OC(=O)n1ccc2c(B3OC(C)(C)C(C)(C)O3)cccc21>>Cc1ccc2ccccc2c1-c1cccc2c1ccn2C(=O)OC(C)(C)C,reactant_grammar_only,,,85.0,,,COND1:catalyst=3375-31-3+603-35-0|reagent=534-17-8+95-11-4|solvent=108-88-3,True,3375-31-3|603-35-0,534-17-8|95-11-4,108-88-3,,,,,,,,,,,,,,,[],"Journal of the American Chemical Society (2019), 141(40), 15986-15993","chemoselective, Catellani type methylation terminated by Suzuki coupling"
1.0,31-086-CAS-20024316,7,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,O=C(Cl)c1ccc(Cl)cc1.Brc1cccs1.COc1ccc(B(O)O)cc1>>COc1ccc(-c2ccc(C(O)c3ccc(Cl)cc3)s2)cc1,reactant_grammar_only,,,86.0,,,COND1:catalyst=72287-26-4|reagent=16940-66-2+584-08-7+7446-70-0|solvent=123-91-1+67-56-1+75-09-2+7732-18-5,True,72287-26-4,16940-66-2|584-08-7|7446-70-0,123-91-1|67-56-1|75-09-2|7732-18-5,,,,,,,,,,,,,,,[],"Organic Letters (2019), 21(9), 3028-3033","Friedel-Crafts reaction in stage 1;suzuki coupling in stage 3, literature preparation"
1.0,31-113-CAS-19252821,8,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,COC(=O)c1cc(I)ccc1O.OB(O)c1ccccc1COc1cccc(C(F)(F)F)c1>>O=C(O)c1ccc(-c2ccccc2COc2cccc(C(F)(F)F)c2)cc1O,reactant_grammar_only,,,72.0,,,COND1:catalyst=3375-31-3+603-35-0|reagent=584-08-7+7647-01-0|solvent=67-64-1+68-12-2+7732-18-5,True,3375-31-3|603-35-0,584-08-7|7647-01-0,67-64-1|68-12-2|7732-18-5,,,,,,,,,,,,,,,[],"Journal of Medicinal Chemistry (2018), 61(16), 7144-7167","microwave irradiation, Suzuki-Miyaura cross-coupling reaction"
1.0,31-113-CAS-23264995,9,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,OB(O)c1ccccc1.O=Cc1ccc(Br)cc1F>>O=Cc1cc(-c2ccccc2)ccc1F,reactant_grammar_only,,,77.0,,,COND1:catalyst=14221-01-3|reagent=497-19-8|solvent=108-88-3+64-17-5+7732-18-5,True,14221-01-3,497-19-8,108-88-3|64-17-5|7732-18-5,,,,,,,,,,,,,,,[],"Organic Letters (2021), 23(5), 1594-1599","sealed flask used, Suzuki coupling"
1.0,31-130-CAS-14142373,10,review,incomplete_condition_identity|missing_suzuki_family_environment|not_verified_as_suzuki_miyaura,Brc1cccnc1.CC1(C)OB(c2ccc([Sn](C)(C)C)s2)OC1(C)C>>CC1(C)OB(c2ccc(-c3cccnc3)s2)OC1(C)C,exact_product_reconstruction,,HeteroAr–Br + HeteroAr–SnR3 → HeteroAr–HeteroAr,81.0,,,COND1:catalyst=3375-31-3+657408-07-6|reagent=unknown|solvent=108-88-3,False,3375-31-3|657408-07-6,,108-88-3,,,,,,,,,,,,,ether|heteroaryl_nitrogen,,"[{""atom_indices"": [5], ""chemist_label"": ""HetAr–N"", ""component_index"": 0, ""graph_distance"": 2, ""group_id"": ""heteroaryl_nitrogen"", ""nearest_reactive_site_id"": ""mol0:atom1:site0"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""], ""unchanged_evidence"": ""exact_product_reconstruction_event_exclusion""}, {""atom_indices"": [3], ""chemist_label"": ""R–O–R"", ""component_index"": 1, ""graph_distance"": 4, ""group_id"": ""ether"", ""nearest_reactive_site_id"": ""mol0:atom8:site1"", ""tags"": [""hydrogen_bond_acceptor"", ""metal_binding""], ""unchanged_evidence"": ""exact_product_reconstruction_event_exclusion""}, {""atom_indices"": [14], ""chemist_label"": ""R–O–R"", ""component_index"": 1, ""graph_distance"": 4, ""group_id"": ""ether"", ""nearest_reactive_site_id"": ""mol0:atom8:site1"", ""tags"": [""hydrogen_bond_acceptor"", ""metal_binding""], ""unchanged_evidence"": ""exact_product_reconstruction_event_exclusion""}]","Organic Letters (2012), 14(22), 5644-5647","chemoselective, Stille reaction"
1.0,31-170-CAS-17966145,13,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,Cc1ccc(O)cc1.Clc1ccnc2cc(Br)ccc12.CC(C)(C)OC(=O)N1CCC(n2cc(B3OC(C)(C)C(C)(C)O3)cn2)CC1>>Cc1ccc(Oc2ccnc3cc(-c4cnn(C5CCNCC5)c4)ccc23)cc1,reactant_grammar_only,,,53.0,,,COND1:catalyst=72287-26-4|reagent=534-17-8+584-08-7+76-05-1|solvent=108-88-3+68-12-2+75-09-2+7732-18-5,True,72287-26-4,534-17-8|584-08-7|76-05-1,108-88-3|68-12-2|75-09-2|7732-18-5,,,,,,,,,,,,,,,[],"Journal of Medicinal Chemistry (2017), 60(22), 9205-9221",Suzuki coupling (stage 2)
1.0,31-177-CAS-13833158,15,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,Cc1cccc(Br)n1.OB(O)/C=C/c1ccccc1>>Cc1cccc(/C=C/c2ccccc2)n1,reactant_grammar_only,,,75.0,,,COND1:catalyst=1771693-10-7+3375-31-3|reagent=584-08-7|solvent=64-17-5+7732-18-5,True,1771693-10-7|3375-31-3,584-08-7,64-17-5|7732-18-5,,,,,,,,,,,,,,,[],"European Journal of Organic Chemistry (2015), 2015(16), 3558-3567",Suzuki-Miyaura cross coupling
