reaction_type,reaction_category,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive
Suzuki_Miyaura,,16.64,0.82,Ar-B(OR)2,Ar-Cl,cataCXiumA Pd G6 Br)2,CataCXiumA,NaHCO3,"tAmOH, water",
Suzuki_Miyaura,,2.66,-0.08,RCH2-B(OH)2,Ar-Cl,cataCXiumA Pd G3,CataCXiumA,K2CO3,"tAmOH, water",
Cyclization,,0,-0.41,R-Ester,R-Ester,,No Ligand,NaOtBu,THF,TBD
Cyclization,,0,-0.41,R-Ester,R-Ester,,No Ligand,,MeCN,TBD
Cn_Coupling,C-N Coupling,0,-0.42,AromN-H,Ar-Br,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"anisole, water",
Cn_Coupling,C-N Coupling,0,-0.37,Ar-Br,AromN-H,Cu(MeCN)4BF4,"N,N-Dimethylglycine hydrochloride",NaBHT,anisole,
Cn_Coupling,C-N Coupling,0,-0.53,Ar-Br,R-NH2,MorDalPhos Pd G6 Br,MorDalphos,KHMDS,Dioxane,
Cn_Coupling,C-N Coupling,27.16,2.82,Ar-Br,R-NH2,CuI,DL-Proline,NaOtBu,tAmOH,
Alkylation,,0.87,-0.14,R-H-acidic,Ar-Br,QPhos Pd(crotyl)Cl,QPhos,LiHMDS,PhMe,LiBr
Suzuki_Miyaura,,100,1.97,Ar-Cl,alkyl-bf3k,SPhos Pd(crotyl)Cl,SPhos,K2CO3,"THF, water",
Co_Coupling,,7.31,-0.36,Ar-Br,R2CH-OH,Cu(MeCN)4BF4,BPMPO,NaOtBu,tAmOH,
Co_Coupling,,0,-0.71,Ar-Br,R2CH-OH,Cu(MeCN)4BF4,MNBO,NaOtBu,tAmOH,
Co_Coupling,,9.67,-0.25,Ar-Br,R2CH-OH,AlPhosPd G6 Br,AlPhos,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,0,-0.38,Any-CONHR,RCH2-B(OH)2,Copper(II)acetate,"trans-1,2-Diaminocyclohexane",Na2CO3,MeCN,
Cn_Coupling,C-N Coupling,0,-0.34,Any-CONHR,R-Br,Cu(MeCN)4BF4,"N,N-Dimethylglycine",DBU,DMSO,
C_H_Activation,C-H Activation,0,-0.49,Ar-I,Ar-H,XantPhosPdCl2,XantPhos,K2CO3,DMI,AdCOOH
Sonogashira,,71.42,1.78,R-CCH,Ar-Br,"Copper(I) thiophene-2-carboxylate, dppf Pd G3",dppf,Cs2CO3,MeCN,
C_H_Activation,C-H Activation,9.68,-0.64,Ar-Br,Ar-H,dppbPdCl2,dppb,KOPiv,DMAc,
Suzuki_In_Situ,,14.39,-0.71,Ar-Br,Ar-Br,CataCXiumA Pd(allyl)Cl,CataCXiumA,"K3PO4, KOPiv","PhMe, water",iPrOH
Suzuki_In_Situ,,0.53,-1.12,Ar-Br,Ar-Br,CataCXiumA Pd(allyl)Cl,CataCXiumA,,TBME,"iPrOH, KOPiv"
Co_Coupling,,0,-0.5,RCH2-OH,Ar-Br,FPhos Pd G6 OTES,FPhos,NaOtBu,PhMe,
Suzuki_Miyaura,,17.17,-0.6,Ar-Br,Ar-B(OH)2,SPhos Pd(crotyl)Cl,SPhos,Cs2CO3,tAmOH,water
Suzuki_Miyaura,,2.61,-1.42,Ar-Br,Ar-B(OH)2,SPhos Pd(crotyl)Cl,SPhos,Cs2CO3,tAmOH,water
Negishi,,13.96,2.76,R-Mg,Ar-Br,AmPhos2PdCl2,AmPhos,,cyclohexane,
Suzuki_Miyaura,,74.25,0.65,Ar-B(OR)2,Ar-Br,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Na2CO3,"Dioxane, water",
Suzuki_Miyaura,,0.22,-2.41,Ar-B(OR)2,Ar-Br,meCgPPh Pd G3,meCgPPh,K2CO3,"tAmOH, water",
Heck,,0,-0.88,Any-Alkene,Ar-Br,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,N-Methyldicyclohexylamin,Propionitrile,
Heck,,9.98,0,Any-Alkene,Ar-Br,BippyPhos Pd(allyl)OTf,BippyPhos,"DBU, TBD",tAmOH,
Heck,,30.77,1.84,Any-Alkene,Ar-Br,BippyPhos Pd(allyl)OTf,BippyPhos,"N-Methyldicyclohexylamin, TBD",MeTHF,TBAB
Heck,,25.58,1.38,Any-Alkene,Ar-Br,BippyPhos Pd(allyl)OTf,BippyPhos,"N-Methyldicyclohexylamin, TBD",THF,TBAB
Condensation,,0.75,-0.23,Ar-NH2,R-SO2Cl,,No Ligand,TMG,MeCN,
Condensation,,6.46,-0.48,R-SO2Cl,Ar-NH2,,No Ligand,pyridine,THF,
Condensation,,0,-0.56,R-SO2Cl,Ar-NH2,,No Ligand,pyridine,THF,
Suzuki_Miyaura,,4.49,-0.74,Alkenyl-B(OR)2,Ar-Br,Pd-PEPPSI-IPent Cl 3-chloropyridine,IPENT Cl,K2CO3,"iPrOAc, water",
Cn_Coupling,C-N Coupling,21.9,0.01,R-CONH2,Ar-Cl,rac-BINAP Pd G3,BINAP,K2CO3,MeCN,
Cn_Coupling,C-N Coupling,14.1,-0.29,R-CONH2,Ar-Cl,Cu(MeCN)4BF4,NFO,K2CO3,tAmOH,
Cn_Coupling,C-N Coupling,64.71,1.63,R-CONH2,Ar-Cl,RockPhos Pd G3,RockPhos,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,10.7,-0.48,Ar-Br,R-CONH2,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,tAmOH,
Cn_Coupling,C-N Coupling,8.3,-0.36,Ar-NH2,Ar-Br,P(tBu)3 Pd G2,P(tBu)3,K3PO4,"MeTHF, water",
Cn_Coupling,C-N Coupling,0,-0.72,Ar-Br,R-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,KOH,"iPrOH, water",LiCl
C_H_Activation,C-H Activation,0,-1.1,Ar-H,Ar-Br,PPh3)2PdCl2,PPh3,K2CO3,"DMI, water",KOPiv
C_H_Activation,C-H Activation,28.12,-0.21,Ar-H,Ar-Br,SPhos Pd(crotyl)Cl,SPhos,K2CO3,anisole,KOPiv
C_H_Activation,C-H Activation,96.88,1.97,Ar-H,Ar-Br,XantPhosPdCl2,XantPhos,"K2CO3, NMI",anisole,KOAc
Suzuki_Miyaura,,0,-0.13,Ar-B(OH)2,Ar-Cl,,No Ligand,Cs2CO3,,18-crown-6
Suzuki_Miyaura,,20.41,-1.06,Ar-Br,Ar-B(OR)2,dppf Pd G3,dppf,Na2CO3,"iPrOAc, water",
Suzuki_Miyaura,,47.23,-0.18,Ar-Br,Ar-B(OR)2,PPh3)2PdCl2,PPh3,Na2CO3,"EtOH, water",
Cn_Coupling,C-N Coupling,85.14,1.87,Ar-NH2,Ar-Br,[Pd(allyl)(Ad-BrettPhos)]OTf,Ad-BrettPhos,K2CO3,tAmOH,
Cn_Coupling,C-N Coupling,0.9,-0.61,Ar-Br,R-NHR,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,tAmOH,
Cn_Coupling,C-N Coupling,28.73,-0.84,R-NHR,Ar-Cl,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,
Cn_Coupling,C-N Coupling,83.16,0.9,Ar-Cl,Ar-NHR,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,
Cn_Coupling,C-N Coupling,18.01,-1.13,Ar-NHR,Ar-Br,PPh3)2PdCl2,PPh3,Na2CO3,PhMe,
Cn_Coupling,C-N Coupling,38.91,0.78,Ar-Br,R-NHR,XPhos Pd G2,XPhos,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,31.46,2.24,R-NHR,Ar-Br,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,
Cn_Coupling,C-N Coupling,0.63,-1.51,Ar-Br,R2CH-NH2,PPh3)2PdCl2,PPh3,Na2CO3,PhMe,
Cn_Coupling,C-N Coupling,45.1,0.04,Ar-Br,R2CH-NH2,MorDalphos Pd G3,MorDalphos,Cs2CO3,PhMe,
Cn_Coupling,C-N Coupling,0,-0.39,R-NHR,Ar-Cl,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,
Cn_Coupling,C-N Coupling,4.95,-0.74,Ar-NHR,Ar-Cl,QPhos Pd(crotyl)Cl,QPhos,Na2CO3,PhMe,
Cn_Coupling,C-N Coupling,33.89,0.89,Ar-NR2,Ar-Br,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,
Cn_Coupling,C-N Coupling,3.47,-0.3,Any-CONHR,Ar-Cl,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,
Cn_Coupling,C-N Coupling,1.16,-0.67,R-CONH2,Ar-Br,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,
Condensation,,34.04,0.15,Any-CONHR,R-NH2,,No Ligand,LiHMDS,PhMe,IBCF
Condensation,,2.51,-2.06,Any-CONHR,R-NH2,,No Ligand,LiOtBu,THF,Diphenylchlorophosphate
Condensation,,25.87,-0.42,Any-CONHR,R-NH2,,No Ligand,KOtPent,NMP,pyBOP
Cn_Coupling,C-N Coupling,0.89,-0.43,R-NHR,Ar-Br,dtbpfPdCl2,dtbpf,NaOtBu,PhMe,
Suzuki_Miyaura,,0.64,-0.26,Ar-Cl,Alkenyl-B(OR)2,PPh3)2PdCl2,PPh3,Na2CO3,"iPrOAc, water",
Co_Coupling,,2.44,-0.41,R2CH-OH,Ar-Br,SPhos Pd(crotyl)Cl,SPhos,Cs2CO3,Dioxane,
Co_Coupling,,0,-0.79,R2CH-OH,Ar-Br,Copper(II)acetate,trans-NN-Dimethylcyclohexane-12-diamine,LiHMDS,Dioxane,
Cn_Coupling,C-N Coupling,60,1.3,AromN-H,Ar-Cl,[Pd(allyl)(JohnPhos)]OTf,JohnPhos,Cs2CO3,PhMe,
Wittig,,0,-0.4,rch2pph3x,r2co,,No Ligand,KHMDS,cyclohexane,
C_H_Activation,C-H Activation,0,-0.47,Ar-H,Ar-Br,XantPhos Pd(allyl)Cl,XantPhos,"Cs2CO3, NMI",NMP,KOPiv
Amide_Formation,,66.46,0.87,R-CO2H,R-CO2H,,No Ligand,NMM,THF,"HOSu, EDC"
Amide_Formation,,91.49,1.63,R-CO2H,R-CO2H,,No Ligand,NMM,THF,"HOSu, DIC"
Amide_Formation,,43.16,0.17,R-CO2H,R-CO2H,,No Ligand,NMM,iPrOH,"HONB, DIC"
Cn_Coupling,C-N Coupling,77.03,1.08,Ar-Br,R-NHR,JackiePhos Pd G3,JackiePhos,NaOtBu,MeTHF,
Cn_Coupling,C-N Coupling,0.34,-0.98,Ar-Br,R-NHR,dpppPdCl2,dppp,KOtBu,MeTHF,
Cn_Coupling,C-N Coupling,22.6,-0.91,Ar-NH2,Ar-Br,QPhos Pd(crotyl)Cl,QPhos,K3PO4,"MeTHF, water",
Cn_Coupling,C-N Coupling,0,-0.82,Ar-Br,Ar-NH2,tBuXPhos Pd G3,tBuXPhos,K3PO4,"Dioxane, water",
C_H_Activation,C-H Activation,0,-1.01,Ar-H,R-CCH,(Ru(p-cymene)Cl2)2,No Ligand,,DMAc,KOAc
C_H_Activation,C-H Activation,30.51,0.24,Ar-H,R-CCH,(Ru(p-cymene)Cl2)2,No Ligand,,"MeOH, TFE","KOAc, TFE"
Cn_Coupling,C-N Coupling,25.42,-0.39,Ar-Br,R-CONH2,[Pd(allyl)(AlPhos)]OTf,AlPhos,K3PO4,"PhMe, water",
Cn_Coupling,C-N Coupling,50.5,0.24,Ar-Br,R-NHR,SPhos Pd(crotyl)Cl,SPhos,"KHMDS, NMM",PhMe,
Snar,,52.24,3.85,R2CH-OH,Any-CONHR,,No Ligand,NaOtBu,DCM,PyClOP
Snar,,30.27,1.95,R2CH-OH,Any-CONHR,,No Ligand,"NaOtBu, NaOtPent",iPrOAc,PyBrOP
Cn_Coupling,C-N Coupling,10.6,-0.31,Ar-Cl,R2CH-NH2,APhos Pd G3,APhos,LiHMDS,PhMe,
Cn_Coupling,C-N Coupling,10.91,0.03,Ar-Cl,R2CH-NH2,APhos Pd G3,APhos,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,0,-0.4,R2CH-NH2,Ar-Br,APhos Pd G3,APhos,NaOtBu,tAmOH,
Condensation,,53.6,1.14,enolether,Any-OR,,No Ligand,NH3,PhMe,
Condensation,,4.8,-1.21,R-Cl,R-NH2,,No Ligand,DBU,MeCN,"TBAB, water"
Condensation,,52.44,0.76,R-Cl,R-NH2,,No Ligand,lutidine,MeTHF,water
Condensation,,59.17,1.04,R-Cl,R-NH2,,No Ligand,DIPEA,tAmOH,
C_H_Activation,C-H Activation,8.3,-0.18,Ar-H,Ar-I,dtbpfPdCl2,dtbpf,K2CO3,anisole,KOAc
Cn_Coupling,C-N Coupling,0,-0.6,AromN-H,Ar-Cl,SPhos Pd(crotyl)Cl,SPhos,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,0,-0.87,AromN-H,Ar-Cl,SPhos Pd(crotyl)Cl,SPhos,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,0,-0.56,Ar-Cl,AromN-H,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,water
Cn_Coupling,C-N Coupling,19.01,-1.27,Ar-Br,R2CH-NH2,CuO,No Ligand,Na2CO3,DMI,water
Cn_Coupling,C-N Coupling,69.24,0.4,Ar-Br,R2CH-NH2,Cu2O,No Ligand,K3PO4,DMSO,water
Cn_Coupling,C-N Coupling,82.44,0.84,Ar-Br,R2CH-NH2,Cu2O,No Ligand,DBU,PrOH,water
Cn_Coupling,C-N Coupling,3.3,-1.79,Ar-Br,R2CH-NH2,Cu2O,No Ligand,"DBU, K3PO4","DMSO, ethylene glycol",
Cn_Coupling,C-N Coupling,89.36,1.07,Ar-Br,R2CH-NH2,Cu2O,dtbpy,K3PO4,"BuOH, DMSO",
Cn_Coupling,C-N Coupling,65.55,0.86,R-Carbamate,Ar-I,Cu2O,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,MeCN,
Cn_Coupling,C-N Coupling,36.4,-0.3,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Na2CO3,PhMe,
Cn_Coupling,C-N Coupling,78.31,1.38,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,K2CO3,iPrOAc,water
Cn_Coupling,C-N Coupling,57.08,0.52,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,iPrOH,TBAB
Cn_Coupling,C-N Coupling,47.28,0.13,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,K2CO3,tAmOH,TBAB
Cn_Coupling,C-N Coupling,4.85,-1.57,R-Carbamate,Ar-I,CuI,dtbpy,K2CO3,tAmOH,
Cn_Coupling,C-N Coupling,49.34,0.21,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,
Cn_Coupling,C-N Coupling,83.52,1.59,R-Carbamate,Ar-I,Copper(II) acetate monohydrate,trans-NN-Dimethylcyclohexane-12-diamine,K2CO3,tAmOH,
Cn_Coupling,C-N Coupling,51.26,0.29,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,
Suzuki_Miyaura,,39.23,-1.24,Ar-Br,Ar-B(OH)2,SPhos Pd(crotyl)Cl,SPhos,Cs2CO3,tAmOH,
Suzuki_Miyaura,,91.69,0.19,Ar-Br,Ar-B(OH)2,SPhos Pd(crotyl)Cl,SPhos,Na2CO3,"tAmOH, water",
Suzuki_Miyaura,,21.18,-1.08,Ar-Br,Ar-B(OH)2,SPhos Pd(crotyl)Cl,SPhos,K2CO3,"tAmOH, water",
Suzuki_Miyaura,,100,0.77,Ar-Br,Ar-B(OH)2,SPhos Pd(crotyl)Cl,SPhos,K2CO3,"tAmOH, water",
Cn_Coupling,C-N Coupling,0,-0.4,Ar-Br,R2CH-NHR,MorDalphos Pd G3,MorDalphos,Cs2CO3,PhMe,
Cn_Coupling,C-N Coupling,83.46,0.33,Ar-Cl,Ar-NH2,rac-BINAP Pd G3,BINAP,K2CO3,Dioxane,
Suzuki_Miyaura,,4.64,-0.49,Ar-Br,Alkenyl-B(OR)2,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"tAmOH, water",
Condensation,,12.14,0.22,thiourea,R-CHO,,No Ligand,DIPEA,tAmOH,
Condensation,,17.57,0.91,thiourea,R-CHO,,No Ligand,NMM,"anisole, MeCN",water
Cn_Coupling,C-N Coupling,0,-0.71,Ar-NH2,Ar-Cl,CyJohnPhos Pd G3,CyJohnPhos,DBU,Dioxane,
Co_Coupling,,0,-0.37,Ar-Br,Ar-OH,BippyPhos Pd(allyl)OTf,BippyPhos,Cs2CO3,Dioxane,
Suzuki_Miyaura,,47.58,1.15,Alkenyl-B(OR)2,Ar-Br,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"tAmOH, water",
Suzuki_Miyaura,,82.42,1.2,Alkenyl-B(OR)2,Ar-Br,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"tAmOH, water",
Suzuki_Miyaura,,14.88,-0.46,Ar-I,Ar-B(OR)2,dpppPdCl2,dppp,K2CO3,Dioxane,water
Cn_Coupling,C-N Coupling,0.32,-0.62,Ar-I,Ar-NHR,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,0,-0.64,Ar-I,Ar-NHR,meCgPPh Pd G3,meCgPPh,KOH,"MeTHF, water",
Suzuki_Miyaura,,20.53,-0.5,Ar-Br,Ar-BF3K,P(tBu)(Cy)2)2PdCl2,P(tBu)(Cy)2,,"tAmOH, water",
Suzuki_Miyaura,,0,-1.73,Ar-Br,Ar-B(OH)2,AmPhos2PdCl2,AmPhos,K3PO4,"tAmOH, water",
Amide_Formation,,1.39,-0.74,R-CO2H,R-NH2,,No Ligand,DBU,DCM,HATU
Cn_Coupling,C-N Coupling,0,-0.77,Ar-OSO2R,R-NH2,BrettPhos Pd(crotyl)OTf,BrettPhos,Cs2CO3,MeTHF,water
Cn_Coupling,C-N Coupling,55.05,1.17,R-NH2,Ar-OSO2R,BrettPhos Pd(crotyl)OTf,BrettPhos,Cs2CO3,MeTHF,water
Cn_Coupling,C-N Coupling,15.01,5.48,Ar-Br,R-NHR,BippyPhos Pd(allyl)OTf,BippyPhos,NaOtBu,PhMe,water
C_H_Borylation,,1.88,-0.13,Ar-H,Ar-H,[Ir(cod)OMe]2,bpy,,MeTHF,
Cn_Coupling,C-N Coupling,3.24,-0.29,AromN-H,Ar-Cl,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,K3PO4,tAmOH,
Cn_Coupling,C-N Coupling,0,-0.33,Ar-Br,AromN-H,CuI,Salicylaldoxime,K2CO3,NMI,
Cn_Coupling,C-N Coupling,1.02,-0.91,Ar-NH2,Ar-Br,QPhos Pd(crotyl)Cl,QPhos,K3PO4,"tAmOH, water",
Amide_Formation,,26.39,-1.35,R2CH-NHR,R-CO2H,,No Ligand,NMM,TBME,"HOBt, EDC"
Amide_Formation,,85.82,0.78,R2CH-NHR,R-CO2H,,No Ligand,,"PhMe, xylenes","HOPO, DIC"
Amide_Formation,,82.59,0.66,R2CH-NHR,R-CO2H,,No Ligand,,"chlorobenzene, MIBK","HOPO, DIC"
Amide_Formation,,31.34,-0.65,R-NH2,R-NH2,,No Ligand,NMM,MeCN,"HOPO, EDC"
Cn_Coupling,C-N Coupling,0,-0.67,Ar-Br,R-CONH2,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,Dioxane,water
Hydration,,0,-0.51,R-CN,R-CN,,No Ligand,K2CO3,"THF, water",
Suzuki_Miyaura,,1.37,-1.22,Ar-Cl,Ar-B(OR)2,dtbpfPdCl2,dtbpf,Na2CO3,"tAmOH, water",
Cn_Coupling,C-N Coupling,0,-0.94,Ar-NH2,Ar-Cl,AmPhos Pd(crotyl)Cl,AmPhos,Na2CO3,PhMe,
Cn_Coupling,C-N Coupling,0,-0.49,Ar-Br,AromN-H,XPhos Pd(crotyl)Cl,XPhos,K3PO4,"MeCN, water",
Amide_Formation,,43.53,-0.13,Ar-NH2,R-CO2H,,No Ligand,NMM,THF,"HOSu, CDI"
Amide_Formation,,20.62,-0.84,Ar-NH2,R-CO2H,,No Ligand,,MeCN,DIC
Cn_Coupling,C-N Coupling,5.57,-0.77,AromN-H,Ar-Br,CuI,BTMPO,Cs2CO3,DMF,
Cn_Coupling,C-N Coupling,0,-0.44,Ar-Cl,R2CH-NHR,PEPPSI-IPENT,IPENT,KHMDS,PhMe,
Cn_Coupling,C-N Coupling,1,-0.33,Ar-Cl,R2CH-NHR,cBridP Pd(allyl)Cl,cBridP,Cs2CO3,MeCN,
Glycosidation,,24.65,-0.56,RCH2-OH,R-Ester,,No Ligand,,DCE,
Glycosidation,,35.49,-0.07,RCH2-OH,R-Ester,,No Ligand,,DCE,
Cn_Coupling,C-N Coupling,23.07,-0.65,AromN-H,Ar-Br,CuI,BTMPO,Cs2CO3,DMF,
Cn_Coupling,C-N Coupling,34.08,-0.37,Ar-Br,R2CH-NH2,cataCXiumA Pd G3,CataCXiumA,KHMDS,PhMe,
Suzuki_Miyaura,,3.8,0.56,Ar-B(OH)2,R-CONHR,dtbpfPdCl2,dtbpf,"DBU, Na2CO3","DMF, water",PyBrOP
Cn_Coupling,C-N Coupling,67.27,0.66,Ar-Br,R2CH-NH2,BippyPhos Pd(allyl)OTf,BippyPhos,NaOtBu,Dioxane,
Hydrolysis,,27.24,0.37,Ar-Br,Ar-Br,tBuXPhos Pd G3,tBuXPhos,LiOH.H2O,NMP,water
Hydrolysis,,0,-0.72,Ar-Br,Ar-Br,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,KOH,"tAmOH, water",
Condensation,,42.99,8.09,R-Carbamate,R2CH-NH2,,No Ligand,DBU,Dioxane,PyBrOP
Amide_Formation,,74.02,1.24,R-CO2H,R2CH-NH2,,No Ligand,NMM,anisole,"HOSu, DIC"
Amide_Formation,,5.37,-0.56,R-CO2H,R2CH-NH2,,No Ligand,DIPEA,,"HOPO, T3P"
Suzuki_Miyaura,,72.63,0.96,Alkenyl-B(OR)2,Ar-Br,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"iPrOAc, water",
Stannylation,,13.89,0.27,Ar-Br,R-Sn,P(Cy)3 Pd(crotyl)Cl,P(Cy)3,,Dioxane,LiCl
Stannylation,,0,-0.54,Ar-Br,R-Sn,P(Cy)3 Pd(crotyl)Cl,P(Cy)3,,Dioxane,LiCl
Cn_Coupling,C-N Coupling,18.7,0.05,Ar-Cl,R2CH-NH2,cBridP Pd(allyl)Cl,cBridP,Cs2CO3,anisole,water
Cn_Coupling,C-N Coupling,48.68,1.58,Ar-Cl,R2CH-NH2,,No Ligand,lutidine,NMP,
Cn_Coupling,C-N Coupling,0,-0.52,Ar-Br,R-NH2,SPhos Pd(crotyl)Cl,SPhos,Cs2CO3,MeCN,
Cn_Coupling,C-N Coupling,0,-0.21,R-NH2,Ar-Br,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"MeCN, water",
Cn_Coupling,C-N Coupling,33.68,-0.21,R2CH-NH2,Ar-Br,XPhos Pd G2,XPhos,CsOH.H2O,PhMe,
Co_Coupling,,0,-0.66,Ar-OH,Ar-Br,CuI,BTMPO,Cs2CO3,Dioxane,
Amide_Formation,,34.53,0.16,R-NHR,R-CO2H,,No Ligand,DBU,DMF,HATU
Cn_Coupling,C-N Coupling,0,-0.5,AromN-H,Ar-Br,cBridP Pd(allyl)Cl,cBridP,K3PO4,"MeCN, water",
Condensation,,0,-0.74,Ar-NH2,R-SO2Cl,,No Ligand,NaOtBu,acetone,
Condensation,,41.53,0.91,Ar-NH2,R-SO2Cl,,No Ligand,Dabco,THF,
Condensation,,73.18,2.17,Ar-NH2,R-SO2Cl,,No Ligand,TMP,MeCN,
Co_Coupling,,49.7,3.21,Ar-Br,R2CH-OH,RockPhos Pd G3,RockPhos,Cs2CO3,PhMe,
Suzuki_Miyaura,,14.76,-2.04,Ar-Br,RCH2-B(OH)2,AlphosPd)2cod,AlPhos,Ag2O,Dioxane,
Suzuki_Miyaura,,4.49,-0.43,Ar-B(OH)2,Ar-Br,cBridP Pd(allyl)Cl,cBridP,K3PO4,"tAmOH, water",
Suzuki_Miyaura,,5.1,-0.34,Ar-B(OH)2,Ar-Br,DPEPhos Pd(allyl)Cl,DPEPhos,K3PO4,"PhMe, water",
Amide_Formation,,0.99,-0.65,R-CO2H,Ar-NH2,,No Ligand,lutidine,THF,"HOSu, DIC"
Amide_Formation,,4.4,-0.49,R-CO2H,Ar-NH2,,No Ligand,Li2CO3,acetone,MsCl
Amide_Formation,,0,-0.7,R-CO2H,Ar-NH2,,No Ligand,,DMC,PivCl
Amide_Formation,,21.53,0.35,R-CO2H,Ar-NH2,,No Ligand,"NEt3, NMI",THF,PivCl
Snar,,32.02,0.72,Ar-F,AromN-H,,No Ligand,Li2CO3,NMP,
Snar,,5.56,-0.94,Ar-F,AromN-H,,No Ligand,DIPEA,EtOAc,
Arylation_Acidic_C_H,,1.54,-0.36,Ar-Br,R-H-acidic,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,NaOtBu,Dioxane,
Arylation_Acidic_C_H,,0,-0.46,Ar-Br,R-H-acidic,RuPhos Pd(crotyl)Cl,RuPhos,K3PO4,"DMSO, water",
Arylation_Acidic_C_H,,0.9,-0.4,Ar-Br,R-H-acidic,RuPhos Pd(crotyl)Cl,RuPhos,K3PO4,"DMSO, water",
Arylation_Acidic_C_H,,2.84,-0.48,Ar-Br,R-H-acidic,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,NaOtBu,Dioxane,
Arylation_Acidic_C_H,,0,-0.6,Ar-Br,R-H-acidic,cBridP Pd(allyl)Cl,cBridP,NaH,PhMe,
Co_Coupling,,0,-0.55,Ar-OH,Ar-Br,CuO,trans-Hyp,K2CO3,Propionitrile,
Co_Coupling,,42.08,0.94,Ar-OH,Ar-I,CuI,bpy,Cs2CO3,MeCN,
Co_Coupling,,28.73,0.28,Ar-OH,Ar-I,CuI,diphenethyloxamide,K2CO3,DMSO,
Co_Coupling,,2.08,-1.04,Ar-OH,Ar-I,CuO,trans-Hyp,K2CO3,MeCN,
Co_Coupling,,37.62,0.72,Ar-OH,Ar-I,Cu2O,"N,N-Dimethylglycine hydrochloride",K3PO4,"Dioxane, water",
Co_Coupling,,35.03,0.59,Ar-OH,Ar-I,Cu(MeCN)4BF4,NN-Dibenzyloxamide,K3PO4,"Propionitrile, water",
Suzuki_Miyaura,,32.52,0.38,Ar-Cl,Ar-B(OR)2,AmPhos2PdCl2,AmPhos,Cs2CO3,MeCN,
Suzuki_Miyaura,,1.36,-1.11,Ar-Cl,Ar-B(OR)2,meCgPPh Pd G3,meCgPPh,KOH,"iPrOH, PhMe",Potassium 2-ethylhexanoate
C_H_Activation,C-H Activation,0,-0.82,Ar-H,Ar-Cl,XantPhosPdCl2,XantPhos,"K2CO3, KOPiv",DMAc,
C_H_Activation,C-H Activation,11.33,0.11,Ar-H,Ar-Cl,XantPhos Pd G2,XantPhos,K2CO3,"anisole, water","Potassium 2-ethylhexanoate, TBAC"
C_H_Activation,C-H Activation,4.23,-0.47,Ar-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,K2HPO4,"Dioxane, water","Potassium 2-ethylhexanoate, TBAB"
Heck,,0,-0.76,Ar-Cl,Any-Alkene,Me4tBuXPhos Pd G3,Me4tBuXPhos,DBU,DMI,TBAC
