reaction_type,reaction_category,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive
Amide_Formation,,7,-0.92,R-CO2H,R-CO2H,,No Ligand,NMM,iPrOAc,"HOBt, BOP-Cl"
Amide_Formation,,1.97,-1.08,R-CO2H,R-CO2H,,No Ligand,NMM,THF,"HOSu, DIC"
Amide_Formation,,99.13,1.86,R-CO2H,R-CO2H,,No Ligand,NMM,THF,"HOSu, DIC"
Cn_Coupling,C-N Coupling,94.47,1.56,Ar-Br,R-NHR,XantPhosPdCl2,XantPhos,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,0,-0.99,Ar-Br,R-NHR,XantPhosPdCl2,XantPhos,NaOtBu,TBME,
Cn_Coupling,C-N Coupling,71,0.92,Ar-Br,R-NHR,XantPhosPdCl2,XantPhos,NaOtBu,"cyclohexane, TBME",
C_H_Activation,C-H Activation,4.02,-1.38,Ar-H,Ar-H,XantPhosPdCl2,XantPhos,"Cs2CO3, NMI",anisole,"KOPiv, water"
Cn_Coupling,C-N Coupling,0,-0.53,Ar-Br,Any-CONHR,XantPhos Pd(allyl)Cl,XantPhos,NaOtBu,PhMe,
Suzuki_Miyaura,,58.48,0.7,Ar-Br,Ar-B(OH)2,dtbpfPdCl2,dtbpf,K3PO4,"iPrOAc, water",
Suzuki_Miyaura,,72.14,1.29,Ar-Br,Ar-B(OH)2,dppfPdCl2,dppf,K3PO4,"iPrOAc, water",
Cn_Coupling,C-N Coupling,12.1,0.56,Ar-Br,r2cnr,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,water
Cn_Coupling,C-N Coupling,10.36,-1.27,Ar-NH2,Ar-Br,dppfPdCl2,dppf,Cs2CO3,MeTHF,
Suzuki_Miyaura,,15.29,-0.7,Ar-Br,Ar-B(OR)2,PPh3)2PdCl2,PPh3,Cs2CO3,MeTHF,water
,C-N Coupling,77.12,1.76,Ar-Br,Ar-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"tAmOH, water",
C_H_Activation,C-H Activation,0,-1.01,Ar-H,R-CCH,(Ru(p-cymene)Cl2)2,No Ligand,,tAmOH,water
C_H_Activation,C-H Activation,44.35,0.8,Ar-H,R-CCH,(Ru(p-cymene)Cl2)2,No Ligand,,acetone,"HFIP, KOAc"
C_H_Activation,C-H Activation,9.83,-0.61,Ar-H,R-CCH,"(Ru(p-cymene)Cl2)2, Copper(II)acetate",No Ligand,,PhMe,HFIP
C_H_Activation,C-H Activation,30.31,0.23,Ar-H,R-CCH,(Ru(p-cymene)Cl2)2,No Ligand,,PhMe,HFIP
C_H_Activation,C-H Activation,60.99,1.49,Ar-H,R-CCH,(Ru(p-cymene)Cl2)2,No Ligand,,PhMe,HFIP
Cn_Coupling,C-N Coupling,0,-0.29,Ar-Cl,AromN-H,BrettPhos Pd(crotyl)OTf,BrettPhos,Cs2CO3,PhMe,water
Cn_Coupling,C-N Coupling,0,-1.32,Ar-Br,R-CONH2,cBridP Pd(allyl)Cl,cBridP,Cs2CO3,PhMe,water
Cn_Coupling,C-N Coupling,72.8,1.35,Ar-Br,R-CONH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"MeTHF, water",
Cn_Coupling,C-N Coupling,87.13,1.59,Ar-Br,R-NHR,RuPhos Pd G4,RuPhos,"NaOtBu, NMM",Dioxane,
Snar,,0,-0.66,R2CH-OH,Any-CONHR,,No Ligand,DBU,DCM,PyBrOP
Snar,,31.4,2.05,R2CH-OH,Any-CONHR,,No Ligand,"DBU, NaOtBu",PhMe,PyBrOP
Suzuki_Miyaura,,38.87,1.06,Ar-I,Ar-B(OR)2,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,PhMe,water
Suzuki_Miyaura,,0,-1.07,Ar-I,Ar-B(OR)2,PPh3)2PdCl2,PPh3,Cs2CO3,tAmOH,water
