reaction_id,yield,z_score,reactant_1,reactant_2,reactant_3,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Minisci,83,-1.48,Ar-Cl,R2CH-CO2H,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,Clc1ccc2c(Cl)ccnc2c1.O=C(O)C1CCCC1>>Clc1ccc2c(Cl)cc(C3CCCC3)nc2c1,Pyridine / Quinoline / Cl,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,89,-0.21,Ar-Cl,R2CH-CO2H,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,Clc1ccc2c(Cl)ccnc2c1.O=C(O)C1CCCCCC1>>Clc1ccc2c(Cl)cc(C3CCCCCC3)nc2c1,Pyridine / Quinoline / Cl,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,88,-0.42,R2CH-CO2H,Ar-Cl,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,CC(C)C(=O)O.Clc1ccc2c(Cl)ccnc2c1>>CC(C)c1cc(Cl)c2ccc(Cl)cc2n1,Pyridine / Quinoline / Cl,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,97,1.48,Ar-Cl,R2CH-CO2H,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,Clc1ccc2c(Cl)ccnc2c1.CCCC(C)C(=O)O>>CCCC(C)c1cc(Cl)c2ccc(Cl)cc2n1,Pyridine / Quinoline / Cl,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,93,0.71,R3C-CO2H,Ar-Cl,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,CC(C)(C)C(=O)O.Clc1ccc2c(Cl)ccnc2c1>>CC(C)(C)c1cc(Cl)c2ccc(Cl)cc2n1,Pyridine / Quinoline / Cl,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,73,-0.71,Ar-Cl,R3C-CO2H,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,Clc1ccc2c(Cl)ccnc2c1.CCC(C)(C)C(=O)O>>CCC(C)(C)c1cc(Cl)c2ccc(Cl)cc2n1,Pyridine / Quinoline / Cl,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,86,0.0,R2CH-CO2H,Ar-Cl,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,O=C(O)C1CCCCC1.Clc1ccnc2ccccc12>>Clc1cc(C2CCCCC2)nc2ccccc12,Quinoline / Cl,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,93,0.0,R2CH-CO2H,Ar-Ar,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,O=C(O)C1CCCCC1.c1ccc(-c2ccc3ccccc3n2)cc1>>c1ccc(-c2cc(C3CCCCC3)c3ccccc3n2)cc1,Pyridine / Quinoline,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,80,0.11,R2CH-CO2H,Ar-Alkyl,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,O=C(O)C1CCCCC1.Cc1ccnc2ccccc12>>Cc1cc(C2CCCCC2)nc2ccccc12,Quinoline,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,82,0.14,Ar-Alkyl,R2CH-CO2H,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,Cc1ccc2ccccc2n1.O=C(O)C1CCCCC1>>Cc1cc(C2CCCCC2)c2ccccc2n1,Pyridine / Quinoline,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
