reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Chlorination_SOCl2_oxalyl_chloride,Unknown,OCC(O)CO>>OC(CCl)CCl,|RCH2-OH -> RCH2-Cl | bond_formed: C-Cl; C-Cl | bond_formed_labeled: C-Cl; C-Cl | bond_broken: C-O | spectators: R2CH-OH,RCH2-OH,,,RCH2-Cl,,,,,,,TMSCl/AcOH,,,,OH,"RSC Advances (2014), 4(86), 46319-46326",79,-0.71
Chlorination_SOCl2_oxalyl_chloride,Unknown,Cc1nc(C)c(CO)nc1C>>Cc1nc(C)c(CCl)nc1C.Cl,|Bn-OH -> Bn-Cl|Inorganic | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|Pyrimidine,Bn-OH,,,Bn-Cl|Inorganic,,,,,,,,,7719-09-7,DCM,Pyrimidine,"Medicinal Chemistry (Sharjah, United Arab Emirates) (2014), 10(1), 81-89",100,0.0
Chlorination_SOCl2_oxalyl_chloride,Unknown,Oc1ccccc1>>Clc1ccccc1,|Ar-OH -> Ar-Cl | bond_formed: C(ar)-Cl | bond_formed_labeled: C(ar)-Cl | bond_broken: C(ar)-O,Ar-OH,,,Ar-Cl,,,,,,,,,Phosphorus pentachloride/824-72-6,,,"Synthetic Communications (2016), 46(19), 1619-1624",75,-0.7
Chlorination_SOCl2_oxalyl_chloride,Unknown,Oc1ccccc1Cl>>Clc1ccccc1Cl,|Ar-OH -> Ar-Cl | bond_formed: C(ar)-Cl | bond_formed_labeled: C(ar)-Cl | bond_broken: C(ar)-O | spectators: Ar-Cl,Ar-OH,,,Ar-Cl,,,,,,,,,Phosphorus pentachloride/824-72-6,,Cl,"Synthetic Communications (2016), 46(19), 1619-1624",76,0.71
Chlorination_SOCl2_oxalyl_chloride,Unknown,COc1ccccc1O>>COc1ccccc1Cl,|Ar-OH -> Ar-Cl | bond_formed: C(ar)-Cl | bond_formed_labeled: C(ar)-Cl | bond_broken: C(ar)-O | spectators: Ar-OR,Ar-OH,,,Ar-Cl,,,,,,,,,Phosphorus pentachloride/824-72-6,,OR,"Synthetic Communications (2016), 46(19), 1619-1624",74,-0.71
Chlorination_SOCl2_oxalyl_chloride,Unknown,O=[N+]([O-])c1ccc(O)cc1>>O=[N+]([O-])c1ccc(Cl)cc1,|Ar-OH -> Ar-Cl | bond_formed: C(ar)-Cl | bond_formed_labeled: C(ar)-Cl | bond_broken: C(ar)-O | spectators: Ar-NO2,Ar-OH,,,Ar-Cl,,,,,,,,,Phosphorus pentachloride/824-72-6,,NO2,"Synthetic Communications (2016), 46(19), 1619-1624",79,0.0
Chlorination_SOCl2_oxalyl_chloride,Unknown,N#Cc1ccccc1O>>N#Cc1ccccc1Cl,|Ar-OH -> Ar-Cl | bond_formed: C(ar)-Cl | bond_formed_labeled: C(ar)-Cl | bond_broken: C(ar)-O | spectators: Ar-CN,Ar-OH,,,Ar-Cl,,,,,,,,,Phosphorus pentachloride/824-72-6,,CN,"Synthetic Communications (2016), 46(19), 1619-1624",76,0.0
Chlorination_SOCl2_oxalyl_chloride,Unknown,O=Cc1ccc(CO)o1>>O=Cc1ccc(CCl)o1,|Bn-OH -> Bn-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-CHO|Furan|HeteroAr-H,Bn-OH,,,Bn-Cl,,,,,,,,POCl3,,DMF,Furan / CHO / HeteroAr,"Synthesis (1992), (6), 541-2",92,0.0
Chlorination_SOCl2_oxalyl_chloride,Esterification,OCC(O)CO.O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]>>O=C(OC(CCl)CCl)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-].O=C(OCC(Cl)CCl)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],|Ar-CO2H|R2CH-OH|RCH2-OH -> Ar-CO2R | bond_formed: C-C(ar); C-C(ar); C-C(ar); C(ar)-N; N-O; N-O; C-Cl | bond_formed_labeled: C-C(ar); C-C(ar); C-C(ar); C(ar)-N; N-O; N-O; C-Cl | spectators: Ar-NO2,RCH2-OH|R2CH-OH,Ar-CO2H,,Ar-CO2R|R2CH-Cl|RCH2-Cl,,,,,,,TMSCl,,,,NO2,"Tetrahedron (2009), 65(50), 10370-10376",80,0.0
Chlorination_SOCl2_oxalyl_chloride,Unknown,COc1ccc(CO)c(OC)c1>>COc1ccc(CCl)c(OC)c1,|Bn-OH -> Bn-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-OR,Bn-OH,,,Bn-Cl,,,Et3N,,,,,,16605-03-1/26085-02-9/67-72-1,THF/DCM,OR,"Monatshefte fuer Chemie (2016), 147(9), 1575-1582",99,0.98
Chlorination_SOCl2_oxalyl_chloride,Unknown,O=[N+]([O-])c1ccc(CO)cc1>>O=[N+]([O-])c1ccc(CCl)cc1,|Bn-OH -> Bn-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-NO2,Bn-OH,,,Bn-Cl,,,Et3N,,,,,,16605-03-1/26085-02-9/67-72-1,THF/DCM,NO2,"Monatshefte fuer Chemie (2016), 147(9), 1575-1582",99,0.66
Chlorination_SOCl2_oxalyl_chloride,Unknown,COc1cc(CO)cc(OC)c1>>COc1cc(CCl)cc(OC)c1,|Bn-OH -> Bn-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-OR,Bn-OH,,,Bn-Cl,,,Et3N,,,,,,16605-03-1/26085-02-9/67-72-1,THF/DCM,OR,"Monatshefte fuer Chemie (2016), 147(9), 1575-1582",80,-1.13
Chlorination_SOCl2_oxalyl_chloride,Unknown,OC(c1ccc(Cl)cc1)c1ccc(Cl)cc1>>Clc1ccc(C(Cl)c2ccc(Cl)cc2)cc1,|R2CH-OH -> R2CH-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|Ar-Cl,R2CH-OH,,,R2CH-Cl,,,Et3N,,,,,,16605-03-1/26085-02-9/67-72-1,THF/DCM,Cl,"Monatshefte fuer Chemie (2016), 147(9), 1575-1582",96,1.08
Chlorination_SOCl2_oxalyl_chloride,Unknown,CCCCCCCCCCCCCCCCO>>CCCCCCCCCCCCCCCCCl,|RCH2-OH -> RCH2-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O,RCH2-OH,,,RCH2-Cl,,,Et3N,,,,,,16605-03-1/26085-02-9/67-72-1,THF/DCM,,"Monatshefte fuer Chemie (2016), 147(9), 1575-1582",99,0.95
Chlorination_SOCl2_oxalyl_chloride,Unknown,CCCCCCCCCCCCCCC(C)O>>CCCCCCCCCCCCCCC(C)Cl,|R2CH-OH -> R2CH-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O,R2CH-OH,,,R2CH-Cl,,,Et3N,,,,,,16605-03-1/26085-02-9/67-72-1,THF/DCM,,"Monatshefte fuer Chemie (2016), 147(9), 1575-1582",98,1.07
Chlorination_SOCl2_oxalyl_chloride,Unknown,OCc1ccc(Cl)cc1>>ClCc1ccc(Cl)cc1,|Bn-OH -> Bn-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Cl,Bn-OH,,,Bn-Cl,,,,,,,,,"Aluminumchloride,anhydrous,ReagentGrade",Dioxane,Cl,"International Journal of Organic Chemistry (2012), 2(1), 21-25",82,-1.1
