reaction_id,detected_reaction_type,reaction_smiles,yield,z_score,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,Reaction_Key
suzuki_miyaura_sample500,c_h_arylation,COc1cc2c(cc1OC)B(O)OCC2.COc1ccc2cc(Cl)ncc2c1OC>>COc1cc(CCO)c(-c2cc3ccc(OC)c(OC)c3cn2)cc1OC,88,0.89,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,OB1OCCc2cc3c(cc21)OCO3.Clc1cc2ccc3c(c2cn1)OCO3>>OCCc1cc2c(cc1-c1cc3ccc4c(c3cn1)OCO4)OCO2,84,0.28,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,COc1ccc(COc2cc3c(cc2OC)B(O)OCC3)cc1.Clc1cc2ccc3c(c2cn1)OCO3>>COc1ccc(COc2cc(CCO)c(-c3cc4ccc5c(c4cn3)OCO5)cc2OC)cc1,73,-1.37,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,COc1ccc(COc2cc3c(cc2OC)B(O)OCC3)cc1.COc1ccc(COc2ccc3cc(Cl)ncc3c2OC)cc1>>COc1ccc(COc2cc(CCO)c(-c3cc4ccc(OCc5ccc(OC)cc5)c(OC)c4cn3)cc2OC)cc1,72,-1.52,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,COc1cc2c(cc1OC)B(O)OCC2.COc1ccc(COc2c(OC)ccc3cc(Cl)ncc23)cc1>>COc1ccc(COc2c(OC)ccc3cc(-c4cc(OC)c(OC)cc4CCO)ncc23)cc1,75,-1.07,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,OB1OCCc2cc3c(cc21)OCO3.COc1ccc(COc2c(OC)ccc3c(C)c(Cl)ncc23)cc1>>COc1ccc(COc2c(OC)ccc3c(C)c(-c4cc5c(cc4CCO)OCO5)ncc23)cc1,85,0.43,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,COc1ccc(COc2cc3c(cc2OC)B(O)OCC3)cc1.COc1ccc(COc2c(OC)ccc3cc(Cl)ncc23)cc1>>COc1ccc(COc2cc(CCO)c(-c3cc4ccc(OC)c(OCc5ccc(OC)cc5)c4cn3)cc2OC)cc1,75,-1.07,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,COc1ccc(COc2cc3c(cc2OC)CCOB3O)cc1.COc1ccc2cc(Cl)ncc2c1OC>>COc1ccc(COc2cc(-c3cc4ccc(OC)c(OC)c4cn3)c(CCO)cc2OC)cc1,85,0.43,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,COc1cc2c(cc1OC)B(O)OCC2.COc1ccc2c(C)c(Cl)ncc2c1OC>>COc1cc(CCO)c(-c2ncc3c(OC)c(OC)ccc3c2C)cc1OC,92,1.49,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,OB1OCCc2cc3c(cc21)OCO3.COc1ccc2c(C)c(Cl)ncc2c1OC>>COc1ccc2c(C)c(-c3cc4c(cc3CCO)OCO4)ncc2c1OC,94,1.79,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
