Dataset entry number,ReactionClass,SCREEN_ID,NOTEBOOK_ID,REACTION_ID,KeyWord_STD,ReactionGroup,RXN_SMILES,PCAT_CMPD_ID,PRODUCT_STRUCTURE,Product_Yield_PCT_Area_UV,Product_UV_Analysis_Wavelength_nm,Product_Yield_Mass_Ion_Count,Product_Selectivity,Solvent_1_Name,Reaction_T,Reaction_Time_hrs,Catalyst_1_eq,Catalyst_1_ID[1],catalyst_1_ID_1_SMILES,Catalyst_1_ID[2],catalyst_1_ID_2_SMILES,Catalyst_1_Short_Hand,Catalyst_2_eq,Catalyst_2_ID[1],catalyst_2_ID_1_SMILES,Catalyst_2_ID[2],catalyst_2_ID_2_SMILES,Catalyst_2_Short_Hand,Reactant_1_eq,Reactant_1_ID,Reactant_1_SMILES,Reactant_2_eq,Reactant_2_ID,reactant_2_SMILES,Reactant_3_eq,Reactant_3_ID,reactant_3_SMILES,Reagent_1_eq,Reagent_1_ID,Reagent_1_Short_Hand,Reagent_2_eq,Reagent_2_ID,Reagent_2_Short_Hand,yie_react
20869,Alkylation,SCRN_141,00119131-1883,RKB-03616796,ALKYLATION,Lewis Acid Base Screening,[F:1][c:2]1[c:8](Cl)[n:7][c:6]([N:9]2[CH2:14][CH2:13][O:12][CH2:11][CH2:10]2)[n:5][c:3]1[Cl:4].[CH3:15][C:16]([O:19][C:20]([N:22]1[CH2:29][C:25]([CH2:27][OH:28])([NH2:26])[CH2:24][CH2:23]1)=[O:21])([CH3:18])[CH3:17]>>[CH3:15][C:16]([O:19][C:20]([N:22]1[CH2:29][C:25]([NH:26][c:8]2[c:2]([F:1])[c:3]([Cl:4])[n:5][c:6]([N:9]3[CH2:14][CH2:13][O:12][CH2:11][CH2:10]3)[n:7]2)([CH2:27][OH:28])[CH2:24][CH2:23]1)=[O:21])([CH3:18])[CH3:17],PF-06859465,CC(C)(C)OC(=O)N1CCC(CO)(C1)Nc2nc(nc(Cl)c2F)N3CCOCC3,1,310.0,82959.60156,0,Toluene,110.0,18.0,,,,,,,,,,,,,1.0,PF-06741833,n1c(c(c(nc1N1CCOCC1)Cl)F)Cl,,PF-06825902,C1[C@@](CN(C1)C(OC(C)(C)C)=O)(CO)N,,,,,MFCD00005953,Pyridine,,,,1__PF-06741833__PF-06825902__
20870,Alkylation,SCRN_141,00119131-1883,RKB-03616797,ALKYLATION,Lewis Acid Base Screening,[CH3:1][C:2]([O:5][C:6]([N:8]1[CH2:15][C:11]([CH2:13][OH:14])([NH2:12])[CH2:10][CH2:9]1)=[O:7])([CH3:4])[CH3:3].[F:16][c:17]1[c:23](Cl)[n:22][c:21]([N:24]2[CH2:29][CH2:28][O:27][CH2:26][CH2:25]2)[n:20][c:18]1[Cl:19]>>[CH3:1][C:2]([O:5][C:6]([N:8]1[CH2:15][C:11]([NH:12][c:23]2[c:17]([F:16])[c:18]([Cl:19])[n:20][c:21]([N:24]3[CH2:29][CH2:28][O:27][CH2:26][CH2:25]3)[n:22]2)([CH2:13][OH:14])[CH2:10][CH2:9]1)=[O:7])([CH3:4])[CH3:3],PF-06859465,CC(C)(C)OC(=O)N1CCC(CO)(C1)Nc2nc(nc(Cl)c2F)N3CCOCC3,1,310.0,130289.3984,0,MeCN,110.0,18.0,,,,,,,,,,,,,1.0,PF-06741833,n1c(c(c(nc1N1CCOCC1)Cl)F)Cl,,PF-06825902,C1[C@@](CN(C1)C(OC(C)(C)C)=O)(CO)N,,,,,MFCD00003403,Ag2CO3,,,,1__PF-06741833__PF-06825902__
17324,Alkylation,SCRN_142,00119131-1899,RKB-03618402,ALKYLATION,Lewis Acid Base Screening,F[c:1]1[cH:9][c:7]([Cl:8])[c:4]([CH:5]=[O:6])[cH:3][cH:2]1.[cH:10]1[n:14][n:13][nH:12][cH:11]1>>[Cl:8][c:7]1[c:4]([CH:5]=[O:6])[cH:3][cH:2][c:1]([n:13]2[n:14][cH:10][cH:11][n:12]2)[cH:9]1,PF-04594271,Clc1cc(ccc1C=O)n2nccn2,17,220.0,90417.10156,1.094236879,Toluene,80.0,18.0,,,,,,,,,,,,,1.0,PF-01041529,c1(c(cc(cc1)F)Cl)C=O,,PF-01171573,c1cnn[nH]1,,,,,MFCD10567040,CsOPiv,,,,17__PF-01041529__PF-01171573__
17325,Alkylation,SCRN_142,00119131-1899,RKB-03618403,ALKYLATION,Lewis Acid Base Screening,[cH:1]1[n:5][n:4][nH:3][cH:2]1.F[c:6]1[cH:14][c:12]([Cl:13])[c:9]([CH:10]=[O:11])[cH:8][cH:7]1>>[Cl:13][c:12]1[c:9]([CH:10]=[O:11])[cH:8][cH:7][c:6]([n:4]2[n:5][cH:1][cH:2][n:3]2)[cH:14]1,PF-04594271,Clc1cc(ccc1C=O)n2nccn2,17,220.0,90110.6875,1.128093661,Toluene,25.0,18.0,,,,,,,,,,,,,1.0,PF-01041529,c1(c(cc(cc1)F)Cl)C=O,,PF-01171573,c1cnn[nH]1,,,,,MFCD00008261,LiHMDS,,,,17__PF-01041529__PF-01171573__
8889,Alkylation,SCRN_16,00119131-1771,RKB-03604899,ALKYLATION,Lewis Acid Base Screening,[O-:1][N+:2]([c:4]1[c:9](F)[cH:8][cH:7][cH:6][cH:5]1)=[O:3].[CH3:10][CH:11]([c:13]1[cH:18][n:17][cH:16][cH:15][cH:14]1)[OH:12].C[SiH]1O[SiH](C)O[SiH](C)O[SiH](C)O[SiH](C)O1>>[CH3:10][CH:11]([c:13]1[cH:18][n:17][cH:16][cH:15][cH:14]1)[O:12][c:9]2[c:4]([N+:2]([O-:1])=[O:3])[cH:5][cH:6][cH:7][cH:8]2,PF-06842448,CC(Oc1ccccc1[N+](=O)[O-])c2cccnc2,5,310.0,779632.375,,Dioxane,20.0,18.0,,,,,,,,,,,,,1.0,MFCD00007048,c1(c(cccc1)F)[N+](=O)[O-],,MFCD01691686,c1(cccnc1)C(C)O,1.2,MFCD00053531,[Si]1(O[Si](O[Si](O[Si](O[Si](O1)C)C)C)C)C,,MFCD00145114,P4-t-Bu,,,,5__MFCD00007048__MFCD01691686__MFCD00053531
11010,Alkylation,SCRN_16,00119131-1771,RKB-03604900,ALKYLATION,Lewis Acid Base Screening,C[SiH]1O[SiH](C)O[SiH](C)O[SiH](C)O[SiH](C)O1.[CH3:1][CH:2]([c:4]1[cH:9][n:8][cH:7][cH:6][cH:5]1)[OH:3].[O-:10][N+:11]([c:13]1[c:18](F)[cH:17][cH:16][cH:15][cH:14]1)=[O:12]>>[CH3:1][CH:2]([c:4]1[cH:9][n:8][cH:7][cH:6][cH:5]1)[O:3][c:18]2[c:13]([N+:11]([O-:10])=[O:12])[cH:14][cH:15][cH:16][cH:17]2,PF-06842448,CC(Oc1ccccc1[N+](=O)[O-])c2cccnc2,4,310.0,1178757.75,,Dioxane,60.0,18.0,,,,,,,,,,,,,1.0,MFCD00007048,c1(c(cccc1)F)[N+](=O)[O-],,MFCD01691686,c1(cccnc1)C(C)O,1.2,MFCD00053531,[Si]1(O[Si](O[Si](O[Si](O[Si](O1)C)C)C)C)C,,MFCD00145114,P4-t-Bu,,,,4__MFCD00007048__MFCD01691686__MFCD00053531
16713,Alkylation,SCRN_16,00119131-1771,RKB-03604903,ALKYLATION,Lewis Acid Base Screening,[SiH2](c1ccccc1)c2ccccc2.[CH3:1][CH:2]([c:4]1[cH:9][n:8][cH:7][cH:6][cH:5]1)[OH:3].[O-:10][N+:11]([c:13]1[c:18](F)[cH:17][cH:16][cH:15][cH:14]1)=[O:12]>>[CH3:1][CH:2]([c:4]1[cH:9][n:8][cH:7][cH:6][cH:5]1)[O:3][c:18]2[c:13]([N+:11]([O-:10])=[O:12])[cH:14][cH:15][cH:16][cH:17]2,PF-06842448,CC(Oc1ccccc1[N+](=O)[O-])c2cccnc2,2,310.0,999451.25,,Dioxane,60.0,18.0,,,,,,,,,,,,,1.0,MFCD00007048,c1(c(cccc1)F)[N+](=O)[O-],,MFCD01691686,c1(cccnc1)C(C)O,1.2,MFCD00003002,c1([Si]c2ccccc2)ccccc1,,MFCD00145114,P4-t-Bu,,,,2__MFCD00007048__MFCD01691686__MFCD00003002
16714,Alkylation,SCRN_16,00119131-1771,RKB-03604904,ALKYLATION,Lewis Acid Base Screening,[O-:1][N+:2]([c:4]1[c:9](F)[cH:8][cH:7][cH:6][cH:5]1)=[O:3].[CH3:10][CH:11]([c:13]1[cH:18][n:17][cH:16][cH:15][cH:14]1)[OH:12].[SiH2](c1ccccc1)c2ccccc2>>[CH3:10][CH:11]([c:13]1[cH:18][n:17][cH:16][cH:15][cH:14]1)[O:12][c:9]2[c:4]([N+:2]([O-:1])=[O:3])[cH:5][cH:6][cH:7][cH:8]2,PF-06842448,CC(Oc1ccccc1[N+](=O)[O-])c2cccnc2,2,310.0,928766.6875,,Dioxane,20.0,18.0,,,,,,,,,,,,,1.0,MFCD00007048,c1(c(cccc1)F)[N+](=O)[O-],,MFCD01691686,c1(cccnc1)C(C)O,1.2,MFCD00003002,c1([Si]c2ccccc2)ccccc1,,MFCD00145114,P4-t-Bu,,,,2__MFCD00007048__MFCD01691686__MFCD00003002
47037,Alkylation,SCRN_16,00119131-1771,RKB-03604906,ALKYLATION,Lewis Acid Base Screening,[O-:1][N+:2]([c:4]1[c:9](F)[cH:8][cH:7][cH:6][cH:5]1)=[O:3].[CH3:10][CH:11]([c:13]1[cH:18][n:17][cH:16][cH:15][cH:14]1)[OH:12].c1ccc([SiH](c2ccccc2)c3ccccc3)cc1>>[CH3:10][CH:11]([c:13]1[cH:18][n:17][cH:16][cH:15][cH:14]1)[O:12][c:9]2[c:4]([N+:2]([O-:1])=[O:3])[cH:5][cH:6][cH:7][cH:8]2,PF-06842448,CC(Oc1ccccc1[N+](=O)[O-])c2cccnc2,0,310.0,0.0,,Dioxane,20.0,18.0,,,,,,,,,,,,,1.0,MFCD00007048,c1(c(cccc1)F)[N+](=O)[O-],,MFCD01691686,c1(cccnc1)C(C)O,1.2,MFCD00003003,[Si](c1ccccc1)(c1ccccc1)c1ccccc1,,MFCD00043143,BEMP,,,,0__MFCD00007048__MFCD01691686__MFCD00003003
46761,Alkylation,SCRN_16,00119131-1771,RKB-03604907,ALKYLATION,Lewis Acid Base Screening,[O-:1][N+:2]([c:4]1[c:9](F)[cH:8][cH:7][cH:6][cH:5]1)=[O:3].[CH3:10][CH:11]([c:13]1[cH:18][n:17][cH:16][cH:15][cH:14]1)[OH:12].C[Si]([SiH]([Si](C)(C)C)[Si](C)(C)C)(C)C>>[CH3:10][CH:11]([c:13]1[cH:18][n:17][cH:16][cH:15][cH:14]1)[O:12][c:9]2[c:4]([N+:2]([O-:1])=[O:3])[cH:5][cH:6][cH:7][cH:8]2,PF-06842448,CC(Oc1ccccc1[N+](=O)[O-])c2cccnc2,0,310.0,642.7329712,,Dioxane,20.0,18.0,,,,,,,,,,,,,1.0,MFCD00007048,c1(c(cccc1)F)[N+](=O)[O-],,MFCD01691686,c1(cccnc1)C(C)O,1.2,MFCD00077893,[Si]([Si]([Si](C)(C)C)[Si](C)(C)C)(C)(C)C,,MFCD00043143,BEMP,,,,0__MFCD00007048__MFCD01691686__MFCD00077893
