identifier,source_field,resolution_status,match_kind,substance_id,canonical_name,role_ids,family_ids,coverage_category,coverage_flags,occurrence_count,dataset_count,datasets,dataset_occurrences_json,reaction_count,reaction_ids
121-44-8,reagent_cas,resolved,exact_cas,cas:121-44-8,Triethylamine,base|solvent,amines_tertiary|tertiary_amines_aliphatic,multiple_roles,MULTIPLE_POSSIBLE_ROLES,125,5,amide_formation|c_n_coupling|c_o_coupling|c_s_coupling|suzuki_miyaura,"{""amide_formation"": 63, ""c_n_coupling"": 26, ""c_o_coupling"": 7, ""c_s_coupling"": 20, ""suzuki_miyaura"": 9}",125,31-022-CAS-15971888|31-084-CAS-18516302|31-170-CAS-18366042|31-170-CAS-22928709|31-171-CAS-14653862|31-171-CAS-1530484|31-171-CAS-16080397|31-171-CAS-16485339|31-171-CAS-16546851|31-171-CAS-17409862|31-171-CAS-18365812|31-171-CAS-18365821|31-171-CAS-18365829|31-171-CAS-18496428|31-171-CAS-21101867|31-171-CAS-22421281|31-171-CAS-22704453|31-172-CAS-22012873|31-172-CAS-22070348|31-172-CAS-22797034|31-179-CAS-15476376|31-179-CAS-16249488|31-179-CAS-16686634|31-179-CAS-17939986|31-179-CAS-18702642|31-179-CAS-19761278|31-179-CAS-21589202|31-353-CAS-12966589|31-367-CAS-11398007|31-367-CAS-12880234|31-367-CAS-16046452|31-367-CAS-16130766|31-367-CAS-16968687|31-367-CAS-17730056|31-367-CAS-18566992|31-367-CAS-18978773|31-367-CAS-19029533|31-367-CAS-19276889|31-367-CAS-19297555|31-367-CAS-19932958|31-367-CAS-20156018|31-367-CAS-20266145|31-367-CAS-20321023|31-367-CAS-20415535|31-367-CAS-20565105|31-367-CAS-20734263|31-367-CAS-20820636|31-367-CAS-20877287|31-367-CAS-21488335|31-367-CAS-21800735|31-367-CAS-22617388|31-367-CAS-23338923|31-367-CAS-23518566|31-367-CAS-2390685|31-367-CAS-3409646|31-367-CAS-5038758|31-367-CAS-5059769|31-367-CAS-7777502|31-367-CAS-7808260|31-367-CAS-8720184|31-367-CAS-9217315|31-614-CAS-24017950|31-614-CAS-24138744|31-614-CAS-24414157|31-614-CAS-24638739|31-614-CAS-24723901|31-614-CAS-24922890|31-614-CAS-27384966|31-614-CAS-30040155|31-614-CAS-31176395|31-614-CAS-31176404|31-614-CAS-31429976|31-614-CAS-31429978|31-614-CAS-31591618|31-614-CAS-32143587|31-614-CAS-32534532|31-614-CAS-32534560|31-614-CAS-32534577|31-614-CAS-32750096|31-614-CAS-32861438|31-614-CAS-33684566|31-614-CAS-34403490|31-614-CAS-34403501|31-614-CAS-34427293|31-614-CAS-34427301|31-614-CAS-34481980|31-614-CAS-34501436|31-614-CAS-34869957|31-614-CAS-35035125|31-614-CAS-35035135|31-614-CAS-35035173|31-614-CAS-35443505|31-614-CAS-35655096|31-614-CAS-35765973|31-614-CAS-36515367|31-614-CAS-36547663|31-614-CAS-36839163|31-614-CAS-36887022|31-614-CAS-36888793|31-614-CAS-37078630|31-614-CAS-37163959|31-614-CAS-37388551|31-614-CAS-38052856|31-614-CAS-38257151|31-614-CAS-38843525|31-614-CAS-38898116|31-614-CAS-39154025|31-614-CAS-39508622|31-614-CAS-39508635|31-614-CAS-39585653|31-614-CAS-39885323|31-614-CAS-40114562|31-614-CAS-40131684|31-614-CAS-40267976|31-614-CAS-40458800|31-614-CAS-40485220|31-614-CAS-40485240|31-614-CAS-40730039|31-614-CAS-40762454|31-614-CAS-40815110|31-614-CAS-41318844|31-614-CAS-41367307|31-614-CAS-42338506|31-614-CAS-44350948|31-614-CAS-44703361
14221-01-3,catalyst_cas,resolved,exact_cas,cas:14221-01-3,Tetrakis(triphenylphosphine)palladium,metal_catalyst|organic_compound,pd_phosphine_complexes,multiple_roles,MULTIPLE_POSSIBLE_ROLES|GENERIC_AND_SPECIFIC_ROLES,112,4,c_n_coupling|c_o_coupling|c_s_coupling|suzuki_miyaura,"{""c_n_coupling"": 1, ""c_o_coupling"": 1, ""c_s_coupling"": 2, ""suzuki_miyaura"": 108}",112,31-113-CAS-23264995|31-170-CAS-22928709|31-171-CAS-6137409|31-172-CAS-23511453|31-177-CAS-18742813|31-177-CAS-19014554|31-177-CAS-23411071|31-177-CAS-525188|31-179-CAS-1059145|31-179-CAS-11251924|31-179-CAS-11372242|31-179-CAS-1196468|31-179-CAS-12801412|31-179-CAS-13204492|31-179-CAS-14104426|31-179-CAS-14703585|31-179-CAS-15573091|31-179-CAS-15728030|31-179-CAS-16439484|31-179-CAS-16830584|31-179-CAS-16875392|31-179-CAS-16943790|31-179-CAS-16943812|31-179-CAS-17107579|31-179-CAS-17854363|31-179-CAS-18003572|31-179-CAS-18023421|31-179-CAS-18346123|31-179-CAS-18409420|31-179-CAS-19010287|31-179-CAS-19252908|31-179-CAS-19322719|31-179-CAS-19472726|31-179-CAS-19472729|31-179-CAS-19478620|31-179-CAS-19493095|31-179-CAS-19496656|31-179-CAS-19583779|31-179-CAS-19857021|31-179-CAS-20071856|31-179-CAS-20322754|31-179-CAS-20661205|31-179-CAS-21142053|31-179-CAS-21558392|31-179-CAS-22692799|31-179-CAS-22759676|31-179-CAS-22811280|31-179-CAS-23021915|31-179-CAS-23126701|31-179-CAS-23161101|31-179-CAS-23711114|31-179-CAS-23874386|31-179-CAS-2575901|31-179-CAS-3437079|31-179-CAS-4498093|31-179-CAS-4676569|31-179-CAS-4727168|31-179-CAS-5128832|31-179-CAS-5410047|31-179-CAS-5909077|31-179-CAS-6414476|31-179-CAS-6621081|31-179-CAS-6660716|31-179-CAS-681435|31-179-CAS-8873017|31-614-CAS-24378134|31-614-CAS-24622906|31-614-CAS-24890731|31-614-CAS-24903322|31-614-CAS-30040986|31-614-CAS-31130185|31-614-CAS-31443334|31-614-CAS-31592248|31-614-CAS-31690582|31-614-CAS-31907475|31-614-CAS-31996851|31-614-CAS-32187822|31-614-CAS-32861369|31-614-CAS-33919902|31-614-CAS-34501155|31-614-CAS-34998412|31-614-CAS-35121979|31-614-CAS-35265953|31-614-CAS-35310286|31-614-CAS-36484722|31-614-CAS-36830416|31-614-CAS-36995435|31-614-CAS-38067703|31-614-CAS-38070797|31-614-CAS-38107346|31-614-CAS-38137156|31-614-CAS-38357834|31-614-CAS-38360594|31-614-CAS-38944309|31-614-CAS-40113835|31-614-CAS-40245431|31-614-CAS-40267976|31-614-CAS-40593552|31-614-CAS-40723765|31-614-CAS-40832715|31-614-CAS-41108415|31-614-CAS-41113758|31-614-CAS-41873727|31-614-CAS-42145598|31-614-CAS-42235822|31-614-CAS-42560819|31-614-CAS-42787839|31-614-CAS-44007142|31-614-CAS-44357902|31-614-CAS-45241847|31-614-CAS-46212397|31-614-CAS-46865432
79-37-8,reagent_cas,resolved,exact_cas,cas:79-37-8,"Oxalylchloride,2Msoln.indichloromethane",condensation_agent|organic_compound,acyl_halide_fluoride_generators,multiple_roles,MULTIPLE_POSSIBLE_ROLES|GENERIC_AND_SPECIFIC_ROLES,22,2,amide_formation|c_s_coupling,"{""amide_formation"": 21, ""c_s_coupling"": 1}",22,31-352-CAS-13721263|31-367-CAS-15043704|31-367-CAS-16722890|31-367-CAS-19175085|31-367-CAS-19276889|31-367-CAS-19297848|31-367-CAS-19314915|31-367-CAS-19972667|31-367-CAS-20565105|31-367-CAS-20820636|31-367-CAS-21488335|31-367-CAS-22607730|31-367-CAS-8720184|31-614-CAS-24638739|31-614-CAS-30040155|31-614-CAS-32020179|31-614-CAS-34047267|31-614-CAS-35443505|31-614-CAS-36547663|31-614-CAS-37102821|31-614-CAS-38843434|31-614-CAS-40578361
110-86-1,reagent_cas,resolved,exact_cas,cas:110-86-1,Pyridine,base|solvent,amines_tertiary|aromatic_tertiary_amines,multiple_roles,MULTIPLE_POSSIBLE_ROLES,21,5,amide_formation|c_n_coupling|c_o_coupling|c_s_coupling|suzuki_miyaura,"{""amide_formation"": 10, ""c_n_coupling"": 2, ""c_o_coupling"": 2, ""c_s_coupling"": 6, ""suzuki_miyaura"": 1}",21,31-170-CAS-16296113|31-170-CAS-16296115|31-171-CAS-3467500|31-171-CAS-6398026|31-171-CAS-8222492|31-172-CAS-13318707|31-367-CAS-19175085|31-367-CAS-19314915|31-367-CAS-19972667|31-367-CAS-19993771|31-614-CAS-24353535|31-614-CAS-28229946|31-614-CAS-30667091|31-614-CAS-31816454|31-614-CAS-35436471|31-614-CAS-37102821|31-614-CAS-37870457|31-614-CAS-38296081|31-614-CAS-39570244|31-614-CAS-40578361|31-614-CAS-40881121
1122-58-3,catalyst_cas,resolved,exact_cas,cas:1122-58-3,DMAP,additive|base,lewis_acid_promoters|nucleophilic_catalyst_bases,multiple_roles,MULTIPLE_POSSIBLE_ROLES,21,2,amide_formation|c_s_coupling,"{""amide_formation"": 20, ""c_s_coupling"": 1}",21,31-171-CAS-14108897|31-309-CAS-1172682|31-365-CAS-23556784|31-367-CAS-11239826|31-367-CAS-16443458|31-367-CAS-17254137|31-367-CAS-17254193|31-367-CAS-19175085|31-367-CAS-20266145|31-367-CAS-20323680|31-367-CAS-20461186|31-367-CAS-20596524|31-367-CAS-23898953|31-367-CAS-2541930|31-367-CAS-3409646|31-367-CAS-4189135|31-367-CAS-8487007|31-614-CAS-24422955|31-614-CAS-35766225|31-614-CAS-36422920|31-614-CAS-41532621
67-63-0,solvent_cas,resolved,exact_cas,cas:67-63-0,iPrOH,additive|solvent,alcohols_secondary|fluoride_sources_activators,multiple_roles,MULTIPLE_POSSIBLE_ROLES,14,4,c_n_coupling|c_o_coupling|c_s_coupling|suzuki_miyaura,"{""c_n_coupling"": 8, ""c_o_coupling"": 2, ""c_s_coupling"": 1, ""suzuki_miyaura"": 3}",14,31-171-CAS-1356928|31-172-CAS-24410002|31-179-CAS-11251924|31-179-CAS-11733201|31-614-CAS-26170807|31-614-CAS-31922239|31-614-CAS-35649254|31-614-CAS-36738486|31-614-CAS-36748415|31-614-CAS-37164780|31-614-CAS-38122495|31-614-CAS-40831570|31-614-CAS-46765518|31-614-CAS-46765522
76-05-1,reagent_cas,resolved,exact_cas,cas:76-05-1,TFA,additive|solvent,carboxylic_acids|fluoride_sources_activators,multiple_roles,MULTIPLE_POSSIBLE_ROLES,14,5,amide_formation|c_n_coupling|c_o_coupling|c_s_coupling|suzuki_miyaura,"{""amide_formation"": 3, ""c_n_coupling"": 4, ""c_o_coupling"": 1, ""c_s_coupling"": 2, ""suzuki_miyaura"": 4}",14,31-043-CAS-10545072|31-170-CAS-17966145|31-171-CAS-14108897|31-179-CAS-5909077|31-574-CAS-10779078|31-614-CAS-24753506|31-614-CAS-31745256|31-614-CAS-31922239|31-614-CAS-33466469|31-614-CAS-35315258|31-614-CAS-35315263|31-614-CAS-36286250|31-614-CAS-39585653|31-614-CAS-40834003
110-86-1,solvent_cas,resolved,exact_cas,cas:110-86-1,Pyridine,base|solvent,amines_tertiary|aromatic_tertiary_amines,multiple_roles,MULTIPLE_POSSIBLE_ROLES,13,3,amide_formation|c_o_coupling|c_s_coupling,"{""amide_formation"": 4, ""c_o_coupling"": 6, ""c_s_coupling"": 3}",13,31-043-CAS-10545072|31-170-CAS-15979078|31-170-CAS-17053118|31-170-CAS-2130042|31-170-CAS-7785841|31-171-CAS-10232103|31-171-CAS-471706|31-171-CAS-4995740|31-367-CAS-1158577|31-367-CAS-19088682|31-614-CAS-34199427|31-614-CAS-37692246|31-614-CAS-38296081
127-08-2,reagent_cas,resolved,exact_cas,cas:127-08-2,KOAc,additive|base,carboxylate_promoters_ch_activation|inorg_carboxylates,multiple_roles,MULTIPLE_POSSIBLE_ROLES,11,3,c_n_coupling|c_s_coupling|suzuki_miyaura,"{""c_n_coupling"": 1, ""c_s_coupling"": 2, ""suzuki_miyaura"": 8}",11,31-142-CAS-13764478|31-142-CAS-5904867|31-179-CAS-18104339|31-614-CAS-24358067|31-614-CAS-25019182|31-614-CAS-25310502|31-614-CAS-31328985|31-614-CAS-31329038|31-614-CAS-37956909|31-614-CAS-38098368|31-614-CAS-42088106
142-71-2,catalyst_cas,resolved,exact_cas,cas:142-71-2,Copper(II) acetate,metal_catalyst|oxidant,cu_ii_salts|metal_salt_reoxidants,multiple_roles,MULTIPLE_POSSIBLE_ROLES,11,2,c_n_coupling|c_o_coupling,"{""c_n_coupling"": 10, ""c_o_coupling"": 1}",11,31-172-CAS-22843700|31-614-CAS-24353535|31-614-CAS-24518533|31-614-CAS-30667091|31-614-CAS-31373990|31-614-CAS-31949873|31-614-CAS-32274126|31-614-CAS-33904659|31-614-CAS-35206410|31-614-CAS-39585653|31-614-CAS-47080661
