identifier,source_field,resolution_status,match_kind,substance_id,canonical_name,role_ids,family_ids,coverage_category,coverage_flags,occurrence_count,dataset_count,datasets,dataset_occurrences_json,reaction_count,reaction_ids
98327-87-8,catalyst_cas,unresolved,,,,,,missing_substance,,11,4,c_n_coupling|c_o_coupling|c_s_coupling|suzuki_miyaura,"{""c_n_coupling"": 7, ""c_o_coupling"": 1, ""c_s_coupling"": 1, ""suzuki_miyaura"": 2}",11,31-170-CAS-23116497|31-171-CAS-13533981|31-614-CAS-31822971|31-614-CAS-32171069|31-614-CAS-33602719|31-614-CAS-33602755|31-614-CAS-35049014|31-614-CAS-36695210|31-614-CAS-39012750|31-614-CAS-44818276|31-614-CAS-44818293
7440-05-3,catalyst_cas,unresolved,,,,,,missing_substance,,9,3,amide_formation|c_s_coupling|suzuki_miyaura,"{""amide_formation"": 3, ""c_s_coupling"": 3, ""suzuki_miyaura"": 3}",9,31-032-CAS-10794104|31-049-CAS-19164898|31-171-CAS-9230399|31-179-CAS-7630953|31-353-CAS-12966589|31-367-CAS-10578307|31-614-CAS-24401932|31-614-CAS-35298888|31-614-CAS-46433882
1309573-60-1,reagent_cas,unresolved,,,,,,missing_substance,,6,3,amide_formation|c_s_coupling|suzuki_miyaura,"{""amide_formation"": 2, ""c_s_coupling"": 3, ""suzuki_miyaura"": 1}",6,31-179-CAS-20985184|31-367-CAS-11064923|31-367-CAS-636773|31-614-CAS-24633254|31-614-CAS-24633273|31-614-CAS-24633279
2043952-58-3,catalyst_cas,unresolved,,,,,,missing_substance,,6,1,c_o_coupling,"{""c_o_coupling"": 6}",6,31-614-CAS-35849225|31-614-CAS-35849249|31-614-CAS-41256852|31-614-CAS-41256856|31-614-CAS-41256857|31-614-CAS-45798268
7647-10-1,catalyst_cas,unresolved,,,,,,missing_substance,,5,2,c_n_coupling|suzuki_miyaura,"{""c_n_coupling"": 1, ""suzuki_miyaura"": 4}",5,31-179-CAS-17762508|31-179-CAS-9604428|31-614-CAS-31922239|31-614-CAS-32408024|31-614-CAS-40103012
94928-86-6,catalyst_cas,unresolved,,,,,,missing_substance,,5,2,c_o_coupling|c_s_coupling,"{""c_o_coupling"": 1, ""c_s_coupling"": 4}",5,31-170-CAS-21785744|31-171-CAS-16449304|31-171-CAS-16449315|31-614-CAS-32984667|31-614-CAS-32984674
2978746-68-6,catalyst_cas,unresolved,,,,,,missing_substance,,4,1,c_o_coupling,"{""c_o_coupling"": 4}",4,31-614-CAS-37560046|31-614-CAS-37560053|31-614-CAS-37560065|31-614-CAS-37560092
12408-02-5,reagent_cas,unresolved,,,,,,missing_substance,,3,2,amide_formation|c_s_coupling,"{""amide_formation"": 1, ""c_s_coupling"": 2}",3,31-171-CAS-12222233|31-171-CAS-7970908|31-367-CAS-19088682
1415656-45-9,catalyst_cas,unresolved,,,,,,missing_substance,,3,1,c_s_coupling,"{""c_s_coupling"": 3}",3,31-171-CAS-23174375|31-171-CAS-23174958|31-171-CAS-23175567
1798782-27-0,catalyst_cas,unresolved,,,,,,missing_substance,,3,1,c_s_coupling,"{""c_s_coupling"": 3}",3,31-614-CAS-44104689|31-614-CAS-44104692|31-614-CAS-44104705
