identifier,source_field,resolution_status,match_kind,substance_id,canonical_name,role_ids,family_ids,coverage_category,coverage_flags,occurrence_count,dataset_count,datasets,dataset_occurrences_json,reaction_count,reaction_ids
13965-03-2,catalyst_cas,resolved,exact_cas,cas:13965-03-2,Bis(triphenylphosphine) Palladium (II) Chloride,organic_compound,,generic_only,,35,2,c_n_coupling|suzuki_miyaura,"{""c_n_coupling"": 1, ""suzuki_miyaura"": 34}",35,31-179-CAS-11066769|31-179-CAS-11160124|31-179-CAS-11733201|31-179-CAS-15414113|31-179-CAS-15658587|31-179-CAS-15695708|31-179-CAS-16005853|31-179-CAS-16249488|31-179-CAS-16450877|31-179-CAS-17325378|31-179-CAS-17459047|31-179-CAS-17939986|31-179-CAS-18610954|31-179-CAS-18736851|31-179-CAS-19188634|31-179-CAS-19188642|31-179-CAS-19196621|31-179-CAS-19205867|31-179-CAS-19283124|31-179-CAS-19283141|31-179-CAS-19367617|31-179-CAS-20406155|31-179-CAS-20615600|31-179-CAS-2263804|31-179-CAS-23137099|31-179-CAS-23211598|31-179-CAS-6887856|31-614-CAS-31393334|31-614-CAS-31922542|31-614-CAS-32145160|31-614-CAS-35116412|31-614-CAS-38098368|31-614-CAS-40911805|31-614-CAS-43640030|31-614-CAS-44582565
95464-05-4,catalyst_cas,resolved,exact_cas,cas:95464-05-4,"1,1'-Bis(diphenylphosphino)ferrocene-palladium(II)dichloridedichloromethanecomplex",organic_compound,,generic_only,,18,2,c_n_coupling|suzuki_miyaura,"{""c_n_coupling"": 1, ""suzuki_miyaura"": 17}",18,31-142-CAS-13764478|31-179-CAS-19024034|31-179-CAS-19953401|31-179-CAS-20385915|31-179-CAS-21544610|31-179-CAS-22486138|31-179-CAS-22486147|31-179-CAS-23222634|31-179-CAS-9032143|31-614-CAS-24349135|31-614-CAS-31497159|31-614-CAS-31703241|31-614-CAS-34997706|31-614-CAS-36258058|31-614-CAS-36258170|31-614-CAS-39559597|31-614-CAS-39885126|31-614-CAS-40674310
1892-57-5,reagent_cas,resolved,exact_cas,cas:1892-57-5,EDC,organic_compound,,generic_only,,9,1,amide_formation,"{""amide_formation"": 9}",9,31-367-CAS-17623712|31-367-CAS-18971916|31-367-CAS-22617388|31-367-CAS-22895761|31-367-CAS-23211131|31-614-CAS-24422955|31-614-CAS-31176395|31-614-CAS-31176404|31-614-CAS-39019626
7803-57-8,reagent_cas,resolved,exact_cas,cas:7803-57-8,hydrazine hydrate,other_reagent,,generic_only,,7,3,c_n_coupling|c_o_coupling|c_s_coupling,"{""c_n_coupling"": 5, ""c_o_coupling"": 1, ""c_s_coupling"": 1}",7,31-170-CAS-22724922|31-171-CAS-9556197|31-172-CAS-23141142|31-172-CAS-24410002|31-614-CAS-32086536|31-614-CAS-38454185|31-614-CAS-40336886
108-75-8,reagent_cas,resolved,exact_cas,cas:108-75-8,"2,4,6-Trimethylpyridine",organic_compound,,generic_only,,4,2,amide_formation|c_o_coupling,"{""amide_formation"": 3, ""c_o_coupling"": 1}",4,31-170-CAS-21849342|31-367-CAS-12825327|31-367-CAS-20540680|31-367-CAS-4522020
7772-98-7,reagent_cas,resolved,exact_cas,cas:7772-98-7,"Sodiumthiosulfate,0.01NStandardizedSolution",other_reagent,,generic_only,,4,3,amide_formation|c_n_coupling|suzuki_miyaura,"{""amide_formation"": 1, ""c_n_coupling"": 1, ""suzuki_miyaura"": 2}",4,31-614-CAS-24890652|31-614-CAS-35425052|31-614-CAS-35764119|31-614-CAS-44226909
110-05-4,reagent_cas,resolved,exact_cas,cas:110-05-4,Di-tert-butyl peroxide,organic_compound,,generic_only,,3,1,c_n_coupling,"{""c_n_coupling"": 3}",3,31-614-CAS-33910057|31-614-CAS-33910063|31-614-CAS-33910076
119-61-9,catalyst_cas,resolved,exact_cas,cas:119-61-9,Benzophenone,organic_compound,,generic_only,,3,1,c_o_coupling,"{""c_o_coupling"": 3}",3,31-614-CAS-41256852|31-614-CAS-41256856|31-614-CAS-41256857
123-31-9,reagent_cas,resolved,exact_cas,cas:123-31-9,Hydroquinone,organic_compound,,generic_only,,3,1,suzuki_miyaura,"{""suzuki_miyaura"": 3}",3,31-179-CAS-17931395|31-179-CAS-17931398|31-179-CAS-17931441
541-41-3,reagent_cas,resolved,exact_cas,cas:541-41-3,ethyl chloroformate,organic_compound,,generic_only,,3,1,amide_formation,"{""amide_formation"": 3}",3,31-367-CAS-17730056|31-367-CAS-19297555|31-614-CAS-33684566
