identifier,source_field,resolution_status,match_kind,substance_id,canonical_name,role_ids,family_ids,coverage_category,coverage_flags,occurrence_count,dataset_count,datasets,dataset_occurrences_json,reaction_count,reaction_ids
68-12-2,catalyst_cas,resolved,exact_cas,cas:68-12-2,"N,N-Dimethylformamide",solvent,amides_dipolar_aprotic,role_conflict,,16,2,amide_formation|c_s_coupling,"{""amide_formation"": 15, ""c_s_coupling"": 1}",16,31-352-CAS-13721263|31-367-CAS-16722890|31-367-CAS-19175085|31-367-CAS-19297848|31-367-CAS-19972667|31-367-CAS-20820636|31-367-CAS-21488335|31-367-CAS-22607730|31-367-CAS-8720184|31-614-CAS-24638739|31-614-CAS-30040155|31-614-CAS-32020179|31-614-CAS-34047267|31-614-CAS-36547663|31-614-CAS-38843434|31-614-CAS-40578361
7647-01-0,catalyst_cas,resolved,exact_cas,cas:7647-01-0,Hydrochloric Acid,acid,mineral_acids,role_conflict,,4,2,amide_formation|c_n_coupling,"{""amide_formation"": 1, ""c_n_coupling"": 3}",4,31-367-CAS-7628551|31-614-CAS-34167441|31-614-CAS-35649254|31-614-CAS-37344679
13400-13-0,catalyst_cas,resolved,exact_cas,cas:13400-13-0,Cesium fluoride,base,fluoride_sources_activators,role_conflict,,2,1,c_o_coupling,"{""c_o_coupling"": 2}",2,31-170-CAS-23583101|31-170-CAS-23583989
148893-10-1,catalyst_cas,resolved,exact_cas,cas:148893-10-1,HATU,condensation_agent,aminium_uronium_guanidinium,role_conflict,,2,1,amide_formation,"{""amide_formation"": 2}",2,31-367-CAS-3926254|31-367-CAS-8369370
25322-68-3,catalyst_cas,resolved,exact_cas,cas:25322-68-3,Poly(ethylene glycol) 400,solvent,glycol_ethers_polyols,role_conflict,,2,1,c_s_coupling,"{""c_s_coupling"": 2}",2,31-171-CAS-7946800|31-614-CAS-38843434
534-17-8,catalyst_cas,resolved,exact_cas,cas:534-17-8,Cesium carbonate,base,inorg_carbonates_bicarbonate,role_conflict,,2,1,c_n_coupling,"{""c_n_coupling"": 2}",2,31-614-CAS-31822971|31-614-CAS-32143615
7732-18-5,catalyst_cas,resolved,exact_cas,cas:7732-18-5,Water,solvent,water,role_conflict,,2,2,c_o_coupling|suzuki_miyaura,"{""c_o_coupling"": 1, ""suzuki_miyaura"": 1}",2,31-614-CAS-23930990|31-614-CAS-43158335
7789-23-3,catalyst_cas,resolved,exact_cas,cas:7789-23-3,Potassium Fluoride,base,fluoride,role_conflict,,2,1,c_s_coupling,"{""c_s_coupling"": 2}",2,31-171-CAS-16513184|31-171-CAS-16513196
104-15-4,catalyst_cas,resolved,exact_cas,cas:104-15-4,p-Toluenesulfonic acid,acid,sulfonic_acids,role_conflict,,1,1,c_o_coupling,"{""c_o_coupling"": 1}",1,31-614-CAS-41495599
121-44-8,catalyst_cas,resolved,exact_cas,cas:121-44-8,Triethylamine,base|solvent,amines_tertiary|tertiary_amines_aliphatic,role_conflict,MULTIPLE_POSSIBLE_ROLES,1,1,c_o_coupling,"{""c_o_coupling"": 1}",1,31-614-CAS-24289816
125700-67-6,catalyst_cas,resolved,exact_cas,cas:125700-67-6,TBTU,condensation_agent,aminium_uronium_guanidinium,role_conflict,,1,1,amide_formation,"{""amide_formation"": 1}",1,31-367-CAS-20321023
1310-73-2,catalyst_cas,resolved,exact_cas,cas:1310-73-2,Sodium hydroxide,base,hydroxides,role_conflict,,1,1,c_s_coupling,"{""c_s_coupling"": 1}",1,31-614-CAS-35040883
25952-53-8,catalyst_cas,resolved,exact_cas,cas:25952-53-8,EDCCl (1-ethyl'?'?3--imethylaminopropyl)carbodiimide hydrochloride),condensation_agent,carbodiimides,role_conflict,,1,1,amide_formation,"{""amide_formation"": 1}",1,31-367-CAS-20319994
280-57-9,catalyst_cas,resolved,exact_cas,cas:280-57-9,Dabco,base,tertiary_amines_aliphatic,role_conflict,,1,1,c_s_coupling,"{""c_s_coupling"": 1}",1,31-111-CAS-22400241
4039-32-1,catalyst_cas,resolved,exact_cas,cas:4039-32-1,Lithium hexamethyldisilazide,base,metal_amides_silylamides,role_conflict,,1,1,c_n_coupling,"{""c_n_coupling"": 1}",1,31-172-CAS-23270564
497-19-8,catalyst_cas,resolved,exact_cas,cas:497-19-8,Sodium carbonate,base,inorg_carbonates_bicarbonate,role_conflict,,1,1,c_n_coupling,"{""c_n_coupling"": 1}",1,31-614-CAS-31064518
67579-81-1,catalyst_cas,resolved,exact_cas,cas:67579-81-1,"trans-N,N'-dimethyl-1,2-cyclohexanediamine",base,diamine,role_conflict,,1,1,c_n_coupling,"{""c_n_coupling"": 1}",1,31-614-CAS-40674310
7087-68-5,catalyst_cas,resolved,exact_cas,cas:7087-68-5,"N,N-Diisopropylethylamine",base,tertiary_amines_aliphatic,role_conflict,,1,1,amide_formation,"{""amide_formation"": 1}",1,31-614-CAS-33066367
7664-41-7,solvent_cas,resolved,exact_cas,cas:7664-41-7,NH3,base,ammonia_aqueous,role_conflict,,1,1,c_s_coupling,"{""c_s_coupling"": 1}",1,31-171-CAS-10781026
7778-53-2,catalyst_cas,resolved,exact_cas,cas:7778-53-2,Tripotassium phosphate,base,inorg_phosphates,role_conflict,,1,1,c_o_coupling,"{""c_o_coupling"": 1}",1,31-614-CAS-37155790
