source_reaction_type,reactive_site_1_normalized_label,reactive_site_2_normalized_label,reactive_site_1_display_label,reactive_site_2_display_label,yield_pct,z_score,catalyst,ligand,base,primary_solvent,secondary_solvent,tertiary_solvent,additive,coupling_reagent,procedure_text,reactive_site_1_source_label,reactive_site_1_signature,reactive_site_1_center_class,reactive_site_1_attachment_class,reactive_site_1_alpha_branched,reactive_site_1_qualifier_scope,reactive_site_1_mapping_status,reactive_site_2_source_label,reactive_site_2_signature,reactive_site_2_center_class,reactive_site_2_attachment_class,reactive_site_2_alpha_branched,reactive_site_2_qualifier_scope,reactive_site_2_mapping_status
Buchwald-Hartwig,R-C(O)-NH2,Ar-Br,R–C(O)–NH₂,Ar–Br,22.57,0.22,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,,20 h at 25 °C,RCONH2,XH|N|H2|C(O)R,primary,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Condensation,Lactam,R-NH2,Lactam,R–NH₂,45.57,0.96,,No Ligand,NaOtBu,PhMe,,,,PyBrOP,14 h at 25 °C,Lactam,,,,,,unresolved,RNH2,XH|N|H2|Alkyl,primary,,,,canonical
Condensation,Lactam,R-NH2,Lactam,R–NH₂,22.07,-0.69,,No Ligand,NaOtBu,TBME,,,,PyBrOP,"15 h at 25 °C, then 0 h at 60 °C",Lactam,,,,,,unresolved,RNH2,XH|N|H2|Alkyl,primary,,,,canonical
Condensation,Lactam,R-NH2,Lactam,R–NH₂,29.83,-0.14,,No Ligand,NaOtPent,NMP,,,,pyBOP,18 h at 25 °C,Lactam,,,,,,unresolved,RNH2,XH|N|H2|Alkyl,primary,,,,canonical
Suzuki-Miyaura,Ar-Cl,Alkenyl-B(OR)2,Ar–Cl,Alkenyl–B(OR)₂,0,-0.39,PPh3)2PdCl2,PPh3,K3PO4,PhMe,water,,,,,ArCl,LG|Ar|Cl,,,,,canonical,alkeneB(OR)2,TM|Alkenyl|B(OR)2,,,,,canonical
CO-Coupling,R-OH,Ar-Br,R–OH (α-C branched),Ar–Br,1.65,-0.53,[Pd(allyl)(Ad-BippyPhos)]OTf,Ad-BippyPhos,Cs2CO3,PhMe,,,,,18 h at 25 °C,Alkyl-OH a-branch,XH|O|H1|Alkyl,,,true,attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
CO-Coupling,R-OH,Ar-Br,R–OH (α-C branched),Ar–Br,0,-0.79,CuI,trans-NN-Dimethylcyclohexane-12-diamine,NaOtBu,Dioxane,,,,,,Alkyl-OH a-branch,XH|O|H1|Alkyl,,,true,attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
CO-Coupling,R-OH,Ar-Br,R–OH (α-C branched),Ar–Br,18.4,2.06,Copper(II)acetate,NN-Dibenzyloxamide,K3PO4,MeCN,,,,,24 h at 100 °C,Alkyl-OH a-branch,XH|O|H1|Alkyl,,,true,attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
CO-Coupling,R-OH,Ar-Br,R–OH (α-C branched),Ar–Br,11.42,0.98,Copper(II)acetate,diphenethyloxamide,K3PO4,DMF,,,water,,24 h at 25 °C,Alkyl-OH a-branch,XH|O|H1|Alkyl,,,true,attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,AromN-H,Ar-Cl,AromN–H,Ar–Cl,19.18,-0.52,XantPhosPdCl2,XantPhos,Cs2CO3,Dioxane,,,,,14 h at 25 °C,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Wittig,R2CO,RCH2PPh3X,R2CO,RCH2PPh3X,30.87,-0.77,,No Ligand,LiHMDS,PhMe,,,,,0.17 h at 25 °C,R2CO,,,,,,unresolved,RCH2PPh3X,,,,,,unresolved
Buchwald-Hartwig,Ar-Br,R1R2-NH,Ar–Br,R¹R²–NH,3.24,0.57,Pd2dba3.CHCl3,"cBRIDP, Missing",Cs2CO3,Dioxane,,,water,,24 h at 100 °C,ArBr,LG|Ar|Br,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH,Ar–Br,21.2,-0.08,Pd2dba3.CHCl3,"cBRIDP, Missing",Cs2CO3,Dioxane,,,water,,18 h at 80 °C,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
CH-Activation,ArH,Ar-Br,ArH,Ar–Br,0,-0.47,XantPhosPdCl2,XantPhos,"K3PO4, NMI",anisole,,,KOPiv,,,ArH,,,,,,unresolved,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,Ar-Br,R1R2-NH,Ar–Br,R¹R²–NH,94.47,1.56,XantPhosPdCl2,XantPhos,NaOtBu,PhMe,,,,,1 h at 60 °C,ArBr,LG|Ar|Br,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
Buchwald-Hartwig,Ar-Br,R1R2-NH,Ar–Br,R¹R²–NH,0,-0.99,XantPhosPdCl2,XantPhos,NaOtBu,TBME,,,,,,ArBr,LG|Ar|Br,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
Buchwald-Hartwig,Ar-Br,R1R2-NH,Ar–Br,R¹R²–NH,71,0.92,XantPhosPdCl2,XantPhos,NaOtBu,cyclohexane,TBME,,,,1 h at 50 °C,ArBr,LG|Ar|Br,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
Buchwald-Hartwig,Ar-Br,Lactam,Ar–Br,Lactam,0,-0.53,XantPhos Pd(allyl)Cl,XantPhos,NaOtBu,PhMe,,,,,,ArBr,LG|Ar|Br,,,,,canonical,Lactam,,,,,,unresolved
Suzuki-Miyaura,Ar-Br,Ar-B(OH)2,Ar–Br,Ar–B(OH)₂,58.48,0.7,dtbpfPdCl2,dtbpf,K3PO4,iPrOAc,water,,,,2 h at 60 °C,ArBr,LG|Ar|Br,,,,,canonical,ArB(OH)2,TM|Ar|B(OH)2,,,,,canonical
Suzuki-Miyaura,Ar-Br,Ar-B(OH)2,Ar–Br,Ar–B(OH)₂,72.14,1.29,dppfPdCl2,dppf,K3PO4,iPrOAc,water,,,,2 h at 60 °C,ArBr,LG|Ar|Br,,,,,canonical,ArB(OH)2,TM|Ar|B(OH)2,,,,,canonical
Buchwald-Hartwig,Ar-Br,R2CNR,Ar–Br,R2CNR,12.1,0.56,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,,,water,,17 h at 80 °C,ArBr,LG|Ar|Br,,,,,canonical,R2CNR,,,,,,unresolved
Buchwald-Hartwig,Ar-NH2,Ar-Br,Ar–NH₂,Ar–Br,10.36,-1.27,dppfPdCl2,dppf,Cs2CO3,MeTHF,,,,,20 h at 80 °C,ArNH2,XH|N|H2|Ar,primary,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Suzuki-Miyaura,Ar-Br,Ar-B(OR)2,Ar–Br,Ar–B(OR)₂,15.29,-0.7,PPh3)2PdCl2,PPh3,Cs2CO3,MeTHF,,,water,,3 h at 60 °C,ArBr,LG|Ar|Br,,,,,canonical,ArB(OR)2,TM|Ar|B(OR)2,,,,,canonical
Buchwald-Hartwig,Ar-Br,Ar-NH2,Ar–Br,Ar–NH₂,77.12,1.76,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,tAmOH,water,,,,11 h at 80 °C,ArBr,LG|Ar|Br,,,,,canonical,ArNH2,XH|N|H2|Ar,primary,,,,canonical
CH-Activation,ArH,alkyne,ArH,alkyne,0,-1.01,(Ru(p-cymene)Cl2)2,No Ligand,,tAmOH,,,water,,,ArH,,,,,,unresolved,alkyne,,,,,,unresolved
CH-Activation,ArH,alkyne,ArH,alkyne,44.35,0.8,(Ru(p-cymene)Cl2)2,No Ligand,,acetone,,,"HFIP, KOAc",,24 h at 80 °C,ArH,,,,,,unresolved,alkyne,,,,,,unresolved
CH-Activation,ArH,alkyne,ArH,alkyne,9.83,-0.61,"(Ru(p-cymene)Cl2)2, Copper(II)acetate",No Ligand,,PhMe,,,HFIP,,21.5 h at 80 °C,ArH,,,,,,unresolved,alkyne,,,,,,unresolved
CH-Activation,ArH,alkyne,ArH,alkyne,30.31,0.23,(Ru(p-cymene)Cl2)2,No Ligand,,PhMe,,,HFIP,,22.5 h at 80 °C,ArH,,,,,,unresolved,alkyne,,,,,,unresolved
CH-Activation,ArH,alkyne,ArH,alkyne,60.99,1.49,(Ru(p-cymene)Cl2)2,No Ligand,,PhMe,,,HFIP,,24 h at 80 °C,ArH,,,,,,unresolved,alkyne,,,,,,unresolved
Buchwald-Hartwig,Ar-Cl,AromN-H,Ar–Cl,AromN–H,0,-0.29,BrettPhos Pd(crotyl)OTf,BrettPhos,Cs2CO3,PhMe,,,water,,,ArCl,LG|Ar|Cl,,,,,canonical,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical
Buchwald-Hartwig,Ar-Br,R-C(O)-NH2,Ar–Br,R–C(O)–NH₂,0,-1.32,cBridP Pd(allyl)Cl,cBridP,Cs2CO3,PhMe,,,water,,,ArBr,LG|Ar|Br,,,,,canonical,RCONH2,XH|N|H2|C(O)R,primary,,,,canonical
Buchwald-Hartwig,Ar-Br,R-C(O)-NH2,Ar–Br,R–C(O)–NH₂,72.8,1.35,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,MeTHF,water,,,,5.75 h at 60 °C,ArBr,LG|Ar|Br,,,,,canonical,RCONH2,XH|N|H2|C(O)R,primary,,,,canonical
Buchwald-Hartwig,Ar-Br,R1R2-NH,Ar–Br,R¹R²–NH,87.13,1.59,RuPhos Pd G4,RuPhos,"NaOtBu, NMM",Dioxane,,,,,2 h at 60 °C,ArBr,LG|Ar|Br,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
SNAr,R-OH,Lactam,R–OH (α-C branched),Lactam,0,-0.66,,No Ligand,DBU,DCM,,,,PyBrOP,,Alkyl-OH a-branch,XH|O|H1|Alkyl,,,true,attached_alkyl,qualified,Lactam,,,,,,unresolved
SNAr,R-OH,Lactam,R–OH (α-C branched),Lactam,31.4,2.05,,No Ligand,"DBU, NaOtBu",PhMe,,,,PyBrOP,0.08 h at 30 °C,Alkyl-OH a-branch,XH|O|H1|Alkyl,,,true,attached_alkyl,qualified,Lactam,,,,,,unresolved
Suzuki-Miyaura,Ar-I,Ar-B(OR)2,Ar–I,Ar–B(OR)₂,38.87,1.06,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,PhMe,,,water,,"0.6 h at 40 °C, then 18.4 h at 60 °C",ArI,LG|Ar|I,,,,,canonical,ArB(OR)2,TM|Ar|B(OR)2,,,,,canonical
Suzuki-Miyaura,Ar-I,Ar-B(OR)2,Ar–I,Ar–B(OR)₂,0,-1.07,PPh3)2PdCl2,PPh3,Cs2CO3,tAmOH,,,water,,,ArI,LG|Ar|I,,,,,canonical,ArB(OR)2,TM|Ar|B(OR)2,,,,,canonical
Buchwald-Hartwig,Ar-Cl,R-NH2,Ar–Cl,R–NH₂ (α-C branched),17.55,0.18,dppf Pd G3,dppf,NaOtBu,PhMe,,,,,2 h at 80 °C,ArCl,LG|Ar|Cl,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Cl,R-NH2,Ar–Cl,R–NH₂ (α-C branched),50.6,0.58,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,,,,,2 h at 80 °C,ArCl,LG|Ar|Cl,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Cl,R-NH2,Ar–Cl,R–NH₂ (α-C branched),16.28,0.62,dppf Pd G3,dppf,NaOtBu,PhMe,,,,,"3 h at 60 °C, then 17 h at 80 °C",ArCl,LG|Ar|Cl,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,R-NH2,Ar-Br,R–NH₂ (α-C branched),Ar–Br,0,-0.4,dppf Pd G3,dppf,NaOtBu,PhMe,,,,,,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Condensation,R-Cl,R-NH2,R–Cl,R–NH₂,19.14,-0.61,,No Ligand,K3PO4,EtOH,water,,"TBAB, water",,22 h at 85 °C,Alkyl-Cl,LG|Alkyl|Cl,,,,,canonical,RNH2,XH|N|H2|Alkyl,primary,,,,canonical
Condensation,R-Cl,R-NH2,R–Cl,R–NH₂,63.08,1.2,,No Ligand,NMM,MeTHF,,,water,,3 h at 85 °C,Alkyl-Cl,LG|Alkyl|Cl,,,,,canonical,RNH2,XH|N|H2|Alkyl,primary,,,,canonical
CH-Activation,ArH,Ar-I,ArH,Ar–I,43.44,2.02,XantPhosPdCl2,XantPhos,K2CO3,DMI,,,KOAc,,20 h at 90 °C,ArH,,,,,,unresolved,ArI,LG|Ar|I,,,,,canonical
Buchwald-Hartwig,Ar-NH2,Ar-Br,Ar–NH₂,Ar–Br,0,-0.92,SPhos Pd(crotyl)Cl,SPhos,K3PO4,Dioxane,water,,,,,ArNH2,XH|N|H2|Ar,primary,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
SNAr,Lactam,R-OH,Lactam,R–OH (α-C branched),71.37,1.77,,No Ligand,"DBU, NaOtBu",THF,,,,PyBrOP,0.25 h at 30 °C,Lactam,,,,,,unresolved,Alkyl-OH a-branch,XH|O|H1|Alkyl,,,true,attached_alkyl,qualified
Buchwald-Hartwig,AromN-H,Ar-Cl,AromN–H,Ar–Cl,0,-0.6,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,,,water,,,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,AromN-H,Ar-Cl,AromN–H,Ar–Cl,0,-0.6,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,PhMe,water,,,,,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,AromN-H,Ar-Cl,AromN–H,Ar–Cl,0,-0.87,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,,,water,,,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,AromN-H,Ar-Cl,AromN–H,Ar–Cl,3.77,-0.72,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,PhMe,water,,,,20 h at 80 °C,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,Ar-Cl,AromN-H,Ar–Cl,AromN–H,1.55,-0.21,AlphosPd)2cod,AlPhos,K3PO4,PhMe,,,water,,16 h at 100 °C,ArCl,LG|Ar|Cl,,,,,canonical,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical
Buchwald-Hartwig,AromN-H,Ar-Br,AromN–H,Ar–Br,0,-0.85,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,PhMe,water,,,,,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,AromN-H,Ar-Cl,AromN–H,Ar–Cl,0,-1.05,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,PhMe,water,,,,,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,Ar-Br,R-NH2,Ar–Br,R–NH₂ (α-C branched),100,1.42,CuI,No Ligand,K3PO4,DMSO,,,water,,10 h at 95 °C,ArBr,LG|Ar|Br,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Br,R-NH2,Ar–Br,R–NH₂ (α-C branched),95.74,1.28,CuI,No Ligand,K3PO4,DMSO,,,water,,7 h at 95 °C,ArBr,LG|Ar|Br,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Br,R-NH2,Ar–Br,R–NH₂ (α-C branched),75.29,0.6,Cu2O,No Ligand,K3PO4,PrOH,water,,water,,19 h at 105 °C,ArBr,LG|Ar|Br,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Br,R-NH2,Ar–Br,R–NH₂ (α-C branched),93.87,1.22,Cu2O,No Ligand,K3PO4,BuOH,DMSO,,,,21.5 h at 105 °C,ArBr,LG|Ar|Br,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
CN-Coupling,ROC(O)NR2,Ar-I,ROC(O)NR2,Ar–I,78.52,1.4,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,PhMe,,,,,6 h at 85 °C,ROC(O)NR2,,,,,,unresolved,ArI,LG|Ar|I,,,,,canonical
CN-Coupling,ROC(O)NR2,Ar-I,ROC(O)NR2,Ar–I,63.09,0.78,CuI,trans-NN-Dimethylcyclohexane-12-diamine,NaOtBu,PhMe,,,,,15 h at 85 °C,ROC(O)NR2,,,,,,unresolved,ArI,LG|Ar|I,,,,,canonical
CN-Coupling,ROC(O)NR2,Ar-I,ROC(O)NR2,Ar–I,0,-1.75,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,MeTHF,,,water,,,ROC(O)NR2,,,,,,unresolved,ArI,LG|Ar|I,,,,,canonical
CN-Coupling,ROC(O)NR2,Ar-I,ROC(O)NR2,Ar–I,84.01,1.62,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,tAmOH,,,TBAB,,26 h at 85 °C,ROC(O)NR2,,,,,,unresolved,ArI,LG|Ar|I,,,,,canonical
CN-Coupling,ROC(O)NR2,Ar-I,ROC(O)NR2,Ar–I,95.74,2.09,CuI,trans-NN-Dimethylcyclohexane-12-diamine,K2CO3,tAmOH,,,TBAB,,21 h at 85 °C,ROC(O)NR2,,,,,,unresolved,ArI,LG|Ar|I,,,,,canonical
CN-Coupling,ROC(O)NR2,Ar-I,ROC(O)NR2,Ar–I,5.26,-1.53,CuI,No Ligand,K2CO3,tAmOH,,,,,4.5 h at 85 °C,ROC(O)NR2,,,,,,unresolved,ArI,LG|Ar|I,,,,,canonical
CN-Coupling,ROC(O)NR2,Ar-I,ROC(O)NR2,Ar–I,54.31,0.43,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,,,,,16 h at 75 °C,ROC(O)NR2,,,,,,unresolved,ArI,LG|Ar|I,,,,,canonical
CN-Coupling,ROC(O)NR2,Ar-I,ROC(O)NR2,Ar–I,50.79,0.29,CuBr,trans-NN-Dimethylcyclohexane-12-diamine,DBU,THF,,,TBAB,,"22 h at 80 °C, then 24 h at 85 °C",ROC(O)NR2,,,,,,unresolved,ArI,LG|Ar|I,,,,,canonical
CN-Coupling,ROC(O)NR2,Ar-I,ROC(O)NR2,Ar–I,34.84,-0.35,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,,,,,21 h at 75 °C,ROC(O)NR2,,,,,,unresolved,ArI,LG|Ar|I,,,,,canonical
Suzuki-Miyaura,Ar-Br,Ar-B(OH)2,Ar–Br,Ar–B(OH)₂,75.8,0.34,PPh3)2PdCl2,PPh3,Cs2CO3,PhMe,,,,,14 h at 85 °C,ArBr,LG|Ar|Br,,,,,canonical,ArB(OH)2,TM|Ar|B(OH)2,,,,,canonical
Suzuki-Miyaura,Ar-Br,Ar-B(OH)2,Ar–Br,Ar–B(OH)₂,89.04,-0.29,PPh3)2PdCl2,PPh3,Na2CO3,PhMe,water,,,,24 h at 85 °C,ArBr,LG|Ar|Br,,,,,canonical,ArB(OH)2,TM|Ar|B(OH)2,,,,,canonical
Suzuki-Miyaura,Ar-Br,Ar-B(OH)2,Ar–Br,Ar–B(OH)₂,54.96,0.53,PPh3)2PdCl2,PPh3,K2CO3,PhMe,water,,,,20 h at 85 °C,ArBr,LG|Ar|Br,,,,,canonical,ArB(OH)2,TM|Ar|B(OH)2,,,,,canonical
