source_reaction_type,reactive_site_1_normalized_label,reactive_site_2_normalized_label,reactive_site_1_display_label,reactive_site_2_display_label,yield_pct,z_score,catalyst,ligand,base,primary_solvent,secondary_solvent,tertiary_solvent,additive,coupling_reagent,procedure_text,reactive_site_1_source_label,reactive_site_1_signature,reactive_site_1_center_class,reactive_site_1_attachment_class,reactive_site_1_alpha_branched,reactive_site_1_qualifier_scope,reactive_site_1_mapping_status,reactive_site_2_source_label,reactive_site_2_signature,reactive_site_2_center_class,reactive_site_2_attachment_class,reactive_site_2_alpha_branched,reactive_site_2_qualifier_scope,reactive_site_2_mapping_status
CH-Activation,ArH,Ar-Br,ArH,Ar–Br,48.01,0.42,XantPhos Pd(allyl)Cl,XantPhos,K2CO3,DMAc,water,,KOPiv,,17 h at 25 °C,ArH,,,,,,unresolved,ArBr,LG|Ar|Br,,,,,canonical
CH-Activation,ArH,Ar-Br,ArH,Ar–Br,76.99,1.34,XantPhosPdCl2,XantPhos,K2CO3,anisole,NMP,,KOPiv,,21 h at 25 °C,ArH,,,,,,unresolved,ArBr,LG|Ar|Br,,,,,canonical
CH-Activation,ArH,Ar-Br,ArH,Ar–Br,39.24,0.14,XantPhosPdCl2,XantPhos,"K2CO3, NMI",anisole,,,KOPiv,,23 h at 25 °C,ArH,,,,,,unresolved,ArBr,LG|Ar|Br,,,,,canonical
CH-Activation,ArH,Ar-Br,ArH,Ar–Br,24.36,-0.33,XantPhosPdCl2,XantPhos,K2CO3,anisole,,,"KOPiv, water",,47 h at 25 °C,ArH,,,,,,unresolved,ArBr,LG|Ar|Br,,,,,canonical
CH-Activation,ArH,Ar-Br,ArH,Ar–Br,87.46,1.67,XantPhosPdCl2,"Xantphos, XantPhos",K2CO3,anisole,,,"KOPiv, water",,45 h at 25 °C,ArH,,,,,,unresolved,ArBr,LG|Ar|Br,,,,,canonical
Suzuki-Miyaura,Ar-Br,Ar-B(OR)2,Ar–Br,Ar–B(OR)₂,38.07,-0.48,PPh3)2PdCl2,PPh3,K3PO4,PhMe,water,,,,4 h at 25 °C,ArBr,LG|Ar|Br,,,,,canonical,ArB(OR)2,TM|Ar|B(OR)2,,,,,canonical
Suzuki-Miyaura,Ar-Br,Ar-B(OR)2,Ar–Br,Ar–B(OR)₂,2.03,-1.67,PPh3)2PdCl2,PPh3,K3PO4,THF,water,,,,3 h at 25 °C,ArBr,LG|Ar|Br,,,,,canonical,ArB(OR)2,TM|Ar|B(OR)2,,,,,canonical
Suzuki-Miyaura,Ar-Br,Ar-B(OR)2,Ar–Br,Ar–B(OR)₂,76.93,0.8,PPh3)2PdCl2,PPh3,Na2CO3,THF,water,,,,24 h at 25 °C,ArBr,LG|Ar|Br,,,,,canonical,ArB(OR)2,TM|Ar|B(OR)2,,,,,canonical
Buchwald-Hartwig,Ar-NH2,Ar-Br,Ar–NH₂,Ar–Br,2.87,-0.5,[Pd(allyl)(JohnPhos)]OTf,JohnPhos,K2CO3,Dioxane,,,,,unknown time/temp,ArNH2,XH|N|H2|Ar,primary,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,Ar-Br,R1R2-NH,Ar–Br,R¹R²–NH,0,-0.65,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Cs2CO3,THF,,,,,,ArBr,LG|Ar|Br,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
Suzuki-Miyaura,Ar-B(OR)2,Ar-Br,Ar–B(OR)₂,Ar–Br,40.06,0.81,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,NaHCO3,iPrOAc,water,,,,unknown time/temp,ArB(OR)2,TM|Ar|B(OR)2,,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Cl,R¹R²–NH,Ar–Cl,11.66,-1.42,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,,4 h at 25 °C,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,Ar-Cl,Ar-NH-R,Ar–Cl,Ar–NH–R,63.56,-0.35,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,,5 h at 25 °C,ArCl,LG|Ar|Cl,,,,,canonical,ArNHR,"XH|N|H1|Ar,Alkyl",secondary,,,,canonical
Buchwald-Hartwig,Ar-NH-R,Ar-Br,Ar–NH–R,Ar–Br,2.2,-1.74,XantPhosPdCl2,XantPhos,Na2CO3,MeTHF,,,,,5 h at 25 °C,ArNHR,"XH|N|H1|Ar,Alkyl",secondary,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH,Ar–Br,0,-0.43,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,,,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,Ar-Br,R-NH2,Ar–Br,R–NH₂ (α-C branched),0,-1.54,XantPhosPdCl2,XantPhos,Na2CO3,MeTHF,,,,,,ArBr,LG|Ar|Br,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Br,R-NH2,Ar–Br,R–NH₂ (α-C branched),83.72,1.39,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,,21 h at 25 °C,ArBr,LG|Ar|Br,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH,Ar–Br,67.01,1.09,XantPhosPdCl2,XantPhos,Cs2CO3,Dioxane,,,,,unknown time/temp,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Cl,R¹R²–NH,Ar–Cl,2.28,-0.21,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,,16 h at 25 °C,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,Ar-NH-R,Ar-Cl,Ar–NH–R,Ar–Cl,0.77,-0.9,SPhos Pd G2,SPhos,Na2CO3,MeTHF,,,,,21 h at 25 °C,ArNHR,"XH|N|H1|Ar,Alkyl",secondary,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,Ar1Ar2-NH,Ar-Br,Ar¹Ar²–NH,Ar–Br,81.19,3.09,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,,21 h at 25 °C,Ar2NH,"XH|N|H1|Ar,Ar",secondary,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,Lactam,Ar-Cl,Lactam,Ar–Cl,0,-0.46,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,,,Lactam,,,,,,unresolved,ArCl,LG|Ar|Cl,,,,,canonical
