shortlist_k,w_stage1,w_stage2,apyr_mean,spearman_mean,top1_hit_ge_70,top3_hit_ge_70
5,0.0,1.0,80.9241485803986,0.31385570729547463,0.4090909090909091,0.5454545454545454
5,0.1,0.9,81.00434241059241,0.31639164134284703,0.4090909090909091,0.5227272727272727
5,0.2,0.8,81.17385851760854,0.31665483081006035,0.4090909090909091,0.5227272727272727
5,0.3,0.7,80.88079759954759,0.3168193183867862,0.4090909090909091,0.5227272727272727
5,0.4,0.6,81.32801835926836,0.316335498833449,0.4090909090909091,0.5227272727272727
5,0.5,0.5,81.56177484302485,0.31795776009319354,0.42045454545454547,0.5227272727272727
5,0.6,0.4,82.15887762762763,0.31822697505052494,0.42045454545454547,0.5340909090909091
5,0.7,0.30000000000000004,83.27597483847484,0.3190014978151345,0.4318181818181818,0.5340909090909091
5,0.8,0.19999999999999996,83.46565315315316,0.3189816761136848,0.4318181818181818,0.5340909090909091
5,0.9,0.09999999999999998,84.33029620529622,0.3205305588860554,0.4318181818181818,0.5340909090909091
5,1.0,0.0,84.48556511056512,0.323507865915145,0.4318181818181818,0.5340909090909091
10,0.0,1.0,81.23032691782693,0.3817877288660254,0.3977272727272727,0.5909090909090909
10,0.1,0.9,81.52857971607972,0.38862695685807436,0.4318181818181818,0.5909090909090909
10,0.2,0.8,81.19146703521704,0.39267675298477406,0.4318181818181818,0.5909090909090909
10,0.3,0.7,81.04733995358994,0.3944186984412903,0.4318181818181818,0.5909090909090909
10,0.4,0.6,81.40081843206843,0.3956344532648668,0.4090909090909091,0.5681818181818182
10,0.5,0.5,81.61921865046865,0.3971179538963856,0.42045454545454547,0.5681818181818182
10,0.6,0.4,82.08581903184177,0.3965303492292037,0.42045454545454547,0.5795454545454546
10,0.7,0.30000000000000004,83.19794226044226,0.39395996269093553,0.4318181818181818,0.5568181818181818
10,0.8,0.19999999999999996,83.46565315315316,0.3861909567832257,0.4318181818181818,0.5340909090909091
10,0.9,0.09999999999999998,84.33029620529622,0.38350839812266724,0.4318181818181818,0.5340909090909091
10,1.0,0.0,84.48556511056512,0.3873917019945096,0.4318181818181818,0.5340909090909091
15,0.0,1.0,81.10696491946493,0.4216132747274876,0.3977272727272727,0.5795454545454546
15,0.1,0.9,81.46527777777779,0.4282649836795802,0.4318181818181818,0.5909090909090909
15,0.2,0.8,81.16757951132952,0.437225363185128,0.4318181818181818,0.5909090909090909
15,0.3,0.7,81.04037275912277,0.4394701612586074,0.4318181818181818,0.5909090909090909
15,0.4,0.6,81.38944342069342,0.441801206927474,0.4090909090909091,0.5681818181818182
15,0.5,0.5,81.60784363909364,0.44181688869925306,0.42045454545454547,0.5681818181818182
15,0.6,0.4,82.0718587906088,0.4363855591712914,0.42045454545454547,0.5795454545454546
