fold,group,rows,stage1_spearman,stage1_apyr,stage1_top1_hit_ge_50,stage1_top1_hit_ge_70,stage1_top3_hit_ge_50,stage1_top3_hit_ge_70,stage1_top5_hit_ge_50,stage1_top5_hit_ge_70,stage2_spearman,stage2_apyr,stage2_top1_hit_ge_50,stage2_top1_hit_ge_70,stage2_top3_hit_ge_50,stage2_top3_hit_ge_70,stage2_top5_hit_ge_50,stage2_top5_hit_ge_70,final_spearman,final_apyr,final_top1_hit_ge_50,final_top1_hit_ge_70,final_top3_hit_ge_50,final_top3_hit_ge_70,final_top5_hit_ge_50,final_top5_hit_ge_70
1,CC(=O)c1cccc(S(N)(=O)=O)c1,16,0.9470588235294116,87.5,1.0,1.0,1.0,1.0,1.0,1.0,0.9058823529411765,87.5,1.0,1.0,1.0,1.0,1.0,1.0,0.961764705882353,87.5,1.0,1.0,1.0,1.0,1.0,1.0
2,CC(C)(C)OC(=O)N1CCC(S(N)(=O)=O)CC1,111,0.8087987206028601,100.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8344569025487404,93.69369369369369,1.0,0.0,1.0,0.0,1.0,0.0,0.5624683643586037,100.0,1.0,0.0,1.0,0.0,1.0,0.0
3,CC(C)c1cc(C(C)C)c(S(N)(=O)=O)c(C(C)C)c1,10,0.11515151515151514,56.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,-0.006060606060606061,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07878787878787878,56.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
4,CCOC(=O)c1ccccc1S(N)(=O)=O,222,0.5015127362990813,99.77477477477478,1.0,1.0,1.0,1.0,1.0,1.0,0.6779967207853245,83.85885885885885,0.5,0.0,0.5,0.0,0.5,0.0,0.4180417260450327,86.58658658658659,1.0,1.0,1.0,1.0,1.0,1.0
5,CCOc1ccc(S(N)(=O)=O)cc1OCC,111,0.7770067940673181,98.1981981981982,1.0,1.0,1.0,1.0,1.0,1.0,0.8434074311345126,99.0990990990991,1.0,1.0,1.0,1.0,1.0,1.0,0.5064482120327158,98.1981981981982,1.0,1.0,1.0,1.0,1.0,1.0
6,CN(C)C(=O)c1cccnc1S(N)(=O)=O,111,0.2876147060701595,89.1891891891892,1.0,1.0,1.0,1.0,1.0,1.0,0.29786393880367124,89.1891891891892,1.0,1.0,1.0,1.0,1.0,1.0,0.2627066838840213,89.1891891891892,1.0,1.0,1.0,1.0,1.0,1.0
7,CN(C)CCS(N)(=O)=O,222,0.4590976860931728,78.15315315315316,0.0,0.0,0.0,0.0,0.0,0.0,0.4752537743972373,67.2972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.39766376584907165,78.15315315315316,0.0,0.0,0.0,0.0,0.0,0.0
8,CN(C)c1ccc(S(N)(=O)=O)cc1[N+](=O)[O-],16,0.9235294117647058,62.5,1.0,0.0,1.0,0.0,1.0,0.0,0.6441176470588235,72.91666666666667,1.0,0.0,1.0,0.0,1.0,0.0,0.8794117647058824,62.5,1.0,0.0,1.0,0.0,1.0,0.0
9,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,222,0.7145993136624715,27.92792792792793,0.0,0.0,1.0,0.5,1.0,1.0,0.7626184639811162,27.92792792792793,0.0,0.0,1.0,0.5,1.0,1.0,0.5109615362878118,27.92792792792793,0.0,0.0,1.0,0.5,1.0,1.0
10,COC(=O)c1ccc(I)cc1S(N)(=O)=O,16,0.7058823529411764,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8352941176470589,81.25,1.0,0.0,1.0,1.0,1.0,1.0,0.7411764705882353,100.0,1.0,1.0,1.0,1.0,1.0,1.0
