shortlist_k,w_stage1,w_stage2,apyr_mean,spearman_mean,top1_hit_ge_70,top3_hit_ge_70,objective_score
5,0.0,1.0,81.11588861588862,0.31484806769349,0.4318181818181818,0.5454545454545454,0.4024808713372419
5,0.1,0.9,80.94010203385204,0.316485027332269,0.4090909090909091,0.5454545454545454,0.12733639371032685
5,0.2,0.8,80.41773307398307,0.3171024588676125,0.4090909090909091,0.5227272727272727,0.04201403887404072
5,0.3,0.7,81.28834800709801,0.3156935807010535,0.4090909090909091,0.5227272727272727,0.14276752205445287
5,0.4,0.6,82.01461404586404,0.31618697420809316,0.4090909090909091,0.5227272727272727,0.2274777354800024
5,0.5,0.5,81.7126074938575,0.3170827417431237,0.42045454545454547,0.5227272727272727,0.3111566852114305
5,0.6,0.4,82.15887762762763,0.31719652174951657,0.42045454545454547,0.5340909090909091,0.3694452274329819
5,0.7,0.30000000000000004,83.1074824824825,0.3194082768374705,0.4318181818181818,0.5340909090909091,0.608019507162979
5,0.8,0.19999999999999996,83.41802029302029,0.31904956140844387,0.4318181818181818,0.5340909090909091,0.6408689763642131
5,0.9,0.09999999999999998,84.33029620529622,0.3209423324118323,0.4318181818181818,0.5340909090909091,0.7496928869160587
5,1.0,0.0,84.48556511056512,0.323507865915145,0.4318181818181818,0.5340909090909091,0.7660698656884826
10,0.0,1.0,81.77154995904996,0.38598642181137244,0.4318181818181818,0.5909090909090909,0.57995913591074
10,0.1,0.9,81.59576337701338,0.3894623918941504,0.4318181818181818,0.5909090909090909,0.5564576023152317
10,0.2,0.8,80.60063472563473,0.3914279876345019,0.4318181818181818,0.5909090909090909,0.43089680425447996
10,0.3,0.7,81.25976829101829,0.3895361413362535,0.4318181818181818,0.5909090909090909,0.5052244526340931
10,0.4,0.6,82.08741411866411,0.3925869194751975,0.4090909090909091,0.5681818181818182,0.3380138852178888
10,0.5,0.5,81.77005130130131,0.39466736106027633,0.42045454545454547,0.5681818181818182,0.4208636802615713
10,0.6,0.4,82.08581903184177,0.39427026243617386,0.42045454545454547,0.5795454545454546,0.4626550305671442
10,0.7,0.30000000000000004,83.0294499044499,0.39500364438257163,0.4318181818181818,0.5568181818181818,0.6826305075005911
10,0.8,0.19999999999999996,83.41802029302029,0.38625310829748827,0.4318181818181818,0.5340909090909091,0.700907605623235
10,0.9,0.09999999999999998,84.33029620529622,0.3835538843732943,0.4318181818181818,0.5340909090909091,0.8056290975710207
10,1.0,0.0,84.48556511056512,0.3873917019945096,0.4318181818181818,0.5340909090909091,0.8231427156728093
