fold,group,rows,stage1_spearman,stage1_apyr,stage1_top1_hit_ge_50,stage1_top1_hit_ge_70,stage1_top3_hit_ge_50,stage1_top3_hit_ge_70,stage2_spearman,stage2_apyr,stage2_top1_hit_ge_50,stage2_top1_hit_ge_70,stage2_top3_hit_ge_50,stage2_top3_hit_ge_70,final_spearman,final_apyr,final_top1_hit_ge_50,final_top1_hit_ge_70,final_top3_hit_ge_50,final_top3_hit_ge_70
1,CC(=O)c1cccc(S(N)(=O)=O)c1,16,0.9470588235294116,87.5,1.0,1.0,1.0,1.0,0.9088235294117648,87.5,1.0,1.0,1.0,1.0,0.9235294117647058,87.5,1.0,1.0,1.0,1.0
2,CC(C)(C)OC(=O)N1CCC(S(N)(=O)=O)CC1,111,0.8087987206028601,100.0,1.0,0.0,1.0,0.0,0.8314031927959474,93.69369369369369,1.0,0.0,1.0,0.0,0.45350398079398974,94.59459459459458,1.0,0.0,1.0,0.0
3,CC(C)c1cc(C(C)C)c(S(N)(=O)=O)c(C(C)C)c1,10,0.11515151515151514,56.666666666666664,0.0,0.0,0.0,0.0,-0.006060606060606061,50.0,0.0,0.0,0.0,0.0,0.04242424242424241,50.0,0.0,0.0,0.0,0.0
4,CCOC(=O)c1ccccc1S(N)(=O)=O,222,0.5015127362990813,99.77477477477478,1.0,1.0,1.0,1.0,0.6768285797741888,82.26351351351352,0.5,0.0,0.5,0.0,0.33918509074619224,79.95495495495496,0.5,0.0,0.5,0.5
5,CCOc1ccc(S(N)(=O)=O)cc1OCC,111,0.7770067940673181,98.1981981981982,1.0,1.0,1.0,1.0,0.8462242151306232,97.8978978978979,1.0,1.0,1.0,1.0,0.4640980935964597,99.0990990990991,1.0,1.0,1.0,1.0
6,CN(C)C(=O)c1cccnc1S(N)(=O)=O,111,0.2876147060701595,89.1891891891892,1.0,1.0,1.0,1.0,0.30357648204812,89.1891891891892,1.0,1.0,1.0,1.0,0.2889613017296693,89.1891891891892,1.0,1.0,1.0,1.0
7,CN(C)CCS(N)(=O)=O,222,0.4590976860931728,78.15315315315316,0.0,0.0,0.0,0.0,0.4736590127614548,67.2972972972973,0.0,0.0,0.0,0.0,0.34502483243916976,78.15315315315316,0.0,0.0,0.0,0.0
8,CN(C)c1ccc(S(N)(=O)=O)cc1[N+](=O)[O-],16,0.9235294117647058,62.5,1.0,0.0,1.0,0.0,0.6382352941176471,72.91666666666667,1.0,0.0,1.0,0.0,0.8029411764705883,62.5,1.0,0.0,1.0,0.0
9,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,222,0.7145993136624715,27.92792792792793,0.0,0.0,1.0,0.5,0.7624747732121688,27.92792792792793,0.0,0.0,1.0,0.5,0.45940090254068305,27.92792792792793,0.0,0.0,1.0,0.5
10,COC(=O)c1ccc(I)cc1S(N)(=O)=O,16,0.7058823529411764,100.0,1.0,1.0,1.0,1.0,0.8441176470588234,81.25,1.0,0.0,1.0,1.0,0.8529411764705882,75.0,1.0,1.0,1.0,1.0
