reaction_smiles,sulfonamide_smiles,boronic_smiles,yield,catalyst,base,solvent,formed_motifs_tokens,spectator_groups_tokens,sulf_motif_tokens,bor_motif_tokens,sulf_motif_count,sulf_aryl_steric_max,sulf_alkyl_steric_max,sulf_aryl_electronic_avg,bor_motif_count,bor_aryl_steric_max,bor_alkyl_steric_max,bor_aryl_electronic_avg,ligand,acid,oxidant,reductant,additive,condensation_agent,other_reagent,catalyst_metal,base_strength_band,base_inorganic_band,solvent_class,solvent_proticity,solvent_polarity_band,catalyst_family,base_family,solvent_family,is_cu_catalyst,is_strong_base,is_polar_solvent,stage1_score,stage2_score,final_score
NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1,0.0,Cu(OAc)2,CsF,DCE,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,medium,inorganic,chlorinated_aprotic,aprotic,medium,unknown,unknown,unknown,1.0,0.0,0.0,56.59293292818462,77.28945452186373,70.04567196407604
NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1,0.0,Cu(OAc)2,DIPEA,MeCN,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,weak,organic_or_unknown,polar_aprotic,aprotic,high,unknown,unknown,unknown,1.0,0.0,1.0,43.552476389836094,78.15637623528188,66.04501128937585
NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1,0.0,Cu(OAc)2,Et3N,MeCN,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,weak,organic_or_unknown,polar_aprotic,aprotic,high,unknown,unknown,unknown,1.0,0.0,1.0,40.846668538355324,77.42607800786698,64.6232846935379
NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1,0.0,Cu(OAc)2,Et3N,DCE,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,weak,organic_or_unknown,chlorinated_aprotic,aprotic,medium,unknown,unknown,unknown,1.0,0.0,0.0,44.33397898018225,74.9119320711747,64.20964848932735
NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1,0.0,Cu(OAc)2,DIPEA,DCE,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,weak,organic_or_unknown,chlorinated_aprotic,aprotic,medium,unknown,unknown,unknown,1.0,0.0,0.0,44.53307135475917,73.35008023143085,63.26412712459576
