fold,group,rows,stage1_spearman,stage1_apyr,stage1_top1_hit_ge_50,stage1_top1_hit_ge_70,stage1_top3_hit_ge_50,stage1_top3_hit_ge_70,stage1_top5_hit_ge_50,stage1_top5_hit_ge_70,stage2_spearman,stage2_apyr,stage2_top1_hit_ge_50,stage2_top1_hit_ge_70,stage2_top3_hit_ge_50,stage2_top3_hit_ge_70,stage2_top5_hit_ge_50,stage2_top5_hit_ge_70,final_spearman,final_apyr,final_top1_hit_ge_50,final_top1_hit_ge_70,final_top3_hit_ge_50,final_top3_hit_ge_70,final_top5_hit_ge_50,final_top5_hit_ge_70
21,Cc1cccnc1S(N)(=O)=O,16,0.2735294117647059,43.75,0.0,0.0,1.0,0.0,1.0,0.0,0.37941176470588234,43.75,0.0,0.0,1.0,0.0,1.0,0.0,0.37058823529411766,43.75,0.0,0.0,0.0,0.0,1.0,0.0
22,Cc1nn(C)cc1S(N)(=O)=O,15,0.7964285714285713,100.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7035714285714285,100.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7035714285714285,100.0,1.0,0.0,1.0,0.0,1.0,0.0
23,Cn1cc(S(N)(=O)=O)c2ccccc21,111,0.585957377162164,87.38738738738738,0.0,0.0,0.0,0.0,0.0,0.0,0.6371559386413532,87.38738738738738,0.0,0.0,0.0,0.0,1.0,0.0,0.35404480660094173,87.38738738738738,0.0,0.0,0.0,0.0,0.0,0.0
24,N#CCCCS(N)(=O)=O,222,0.7530143644005732,98.42342342342343,1.0,1.0,1.0,1.0,1.0,1.0,0.8577569795370378,98.42342342342343,1.0,1.0,1.0,1.0,1.0,1.0,0.4970972495097105,98.42342342342343,1.0,1.0,1.0,1.0,1.0,1.0
25,N#Cc1ccccc1CS(N)(=O)=O,16,0.8117647058823528,68.75,1.0,1.0,1.0,1.0,1.0,1.0,0.5970588235294118,68.75,1.0,1.0,1.0,1.0,1.0,1.0,0.7441176470588236,68.75,1.0,1.0,1.0,1.0,1.0,1.0
26,NS(=O)(=O)C(F)(F)F,15,-0.2928571428571428,26.666666666666668,0.0,0.0,1.0,0.0,1.0,0.0,-0.36428571428571427,33.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,-0.36785714285714277,26.666666666666668,0.0,0.0,0.0,0.0,1.0,0.0
27,NS(=O)(=O)CCc1ccccc1,111,0.7861986359237851,96.3963963963964,1.0,0.0,1.0,1.0,1.0,1.0,0.878459280581441,90.09009009009009,1.0,0.0,1.0,1.0,1.0,1.0,0.5285270614433722,96.3963963963964,1.0,0.0,1.0,1.0,1.0,1.0
28,NS(=O)(=O)Cc1cccc(C(F)(F)F)c1,111,0.7487292662558955,95.4954954954955,1.0,1.0,1.0,1.0,1.0,1.0,0.6554945934874351,95.4954954954955,1.0,1.0,1.0,1.0,1.0,1.0,0.46480524080453556,95.4954954954955,1.0,1.0,1.0,1.0,1.0,1.0
29,NS(=O)(=O)Cc1ccccc1,15,0.5892857142857142,86.66666666666667,1.0,0.0,1.0,0.0,1.0,0.0,0.6499999999999999,86.66666666666667,1.0,0.0,1.0,0.0,1.0,0.0,0.6678571428571428,86.66666666666667,1.0,0.0,1.0,0.0,1.0,0.0
30,NS(=O)(=O)c1c(Cl)nc2sccn12,16,0.4676470588235294,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4941176470588235,71.875,0.0,0.0,0.0,0.0,0.0,0.0,0.5176470588235293,71.875,0.0,0.0,0.0,0.0,0.0,0.0
31,NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,16,-0.1264705882352941,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22352941176470587,75.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0588235294117647,75.0,0.0,0.0,1.0,0.0,1.0,0.0
32,NS(=O)(=O)c1c(F)cccc1Br,16,0.9176470588235294,93.75,1.0,0.0,1.0,1.0,1.0,1.0,0.19999999999999998,62.5,0.0,0.0,1.0,0.0,1.0,1.0,0.6058823529411764,78.125,1.0,0.0,1.0,1.0,1.0,1.0
