row_index,reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reference,yield,z_score
344,C_N_Coupling,Unknown,Fc1cc(N2CCOCC2)cc(F)n1>>NN=c1cc(N2CCOCC2)cc(F)[nH]1,|HeteroAr-F -> AromN-H | spectators: Ar-NR2|HeteroAr-H|Pyridine|RCH2-OR,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","Advanced Synthesis & Catalysis (2015), 357(14-15), 3215-3228",79,0.0
421,C_N_Coupling,Unknown,COc1cc2c(cc1OC)-c1c(cnc(Cl)c1C#N)C2>>COc1cc2c(cc1OC)-c1c(c[nH]c(=NN)c1C#N)C2,|HeteroAr-Cl -> AromN-H | spectators: Ar-Alkyl|Ar-Ar|Ar-OR|HeteroAr-CN|HeteroAr-H|Pyridine,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","Journal of Heterocyclic Chemistry (2015), 52(1), 150-155",80,0.0
480,C_N_Coupling,Unknown,Clc1ncnc2sc3c(c12)CCCC3>>NN=c1nc[nH]c2sc3c(c12)CCCC3,|HeteroAr-Cl -> AromN-H | spectators: Ar-Alkyl|HeteroAr-H|Pyrimidine|Thiophene,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","European Journal of Medicinal Chemistry (2016), 12331-47",89,1.02
481,C_N_Coupling,Unknown,Clc1ncnc2sc3c(c12)CCC3>>NN=c1nc[nH]c2sc3c(c12)CCC3,|HeteroAr-Cl -> AromN-H | spectators: Ar-Alkyl|HeteroAr-H|Pyrimidine|Thiophene,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","European Journal of Medicinal Chemistry (2016), 12331-47",78,-1.12
806,C_N_Coupling,Unknown,Cn1cc(-c2cnc(F)c(F)c2)cn1>>Cn1cc(-c2c[nH]c(=NN)c(F)c2)cn1,|HeteroAr-F -> AromN-H | spectators: Alkyl-AromN|Ar-Ar|HeteroAr-H|Pyrazole|Pyridine,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","Organic Process Research & Development (2017), 21(9), 1286-1293",97,0.0
1906,C_N_Coupling,Unknown,Nc1c(Cl)nnc(Cl)c1[N+](=O)[O-]>>NN=c1[nH]nc(Cl)c(N)c1[N+](=O)[O-],|HeteroAr-Cl -> AromN-H | spectators: Ar-NO2|HeteroAr-NH2,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","Journal of the American Chemical Society (2020), 142(7), 3652-3657",88,0.0
1917,C_N_Coupling,Unknown,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O>>NN=c1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,|HeteroAr-Cl -> AromN-H | spectators: Alkyl-AromN|HeteroAr-H|HeteroAr-NH2|Pyrimidine|R2CH-OH|R2CH-OR|RCH2-OH,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","Journal of Medicinal Chemistry (2020), 63(6), 2941-2957",97,0.0
2515,C_N_Coupling,Unknown,NS(=O)(=O)c1ccc(-n2cc(-c3ccc(Cl)cc3)c3c(Cl)ncnc32)cc1>>NN=c1nc[nH]c2c1c(-c1ccc(Cl)cc1)cn2-c1ccc(S(N)(=O)=O)cc1,|HeteroAr-Cl -> AromN-H | spectators: Ar-Ar|Ar-AromN|Ar-Cl|Ar-SO2NH2|HeteroAr-H|Pyrimidine,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","European Journal of Medicinal Chemistry (2020), 188112021",75,0.0
2898,C_N_Coupling,Unknown,Clc1cnc2ccccc2n1>>NN=c1cnc2ccccc2[nH]1,|HeteroAr-Cl -> AromN-H | spectators: HeteroAr-H|Pyrimidine,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","Bioorganic & Medicinal Chemistry Letters (2020), 30(2), 126851",85,-0.09
3508,C_N_Coupling,Unknown,Clc1cncc(Cl)n1>>NN=c1cncc(Cl)[nH]1,|HeteroAr-Cl -> AromN-H | spectators: HeteroAr-H|Pyrimidine,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","Journal of Organic Chemistry (2020), 85(21), 13438-13452",86,0.04
