row_index,reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reference,yield,z_score
2389,C_N_Coupling,Unknown,C1COCCOCCNCCOCCOCCN1.Clp1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1>>c1ccc2c(c1)ccc1op(N3CCOCCOCCN(p4oc5ccc6ccccc6c5c5c(ccc6ccccc65)o4)CCOCCOCC3)oc3ccc4ccccc4c3c12,|RCH2-NHR -> RCH2-NR2 | spectators: HeteroAr-H|RCH2-OR,redox:redox_neutral | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:intermolecular_or_multi_component | mol:intermolecular_or_multi_component | form_cls:N-P | break_cls:Cl-P | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:amine | amb:0,"Journal of Organic Chemistry (2020), 85(12), 8176-8184",73,0.0
2390,C_N_Coupling,Unknown,C1COCCNCCOCCOCCOCCN1.Clp1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1>>c1ccc2c(c1)ccc1op(N3CCOCCOCCOCCN(p4oc5ccc6ccccc6c5c5c(ccc6ccccc65)o4)CCOCC3)oc3ccc4ccccc4c3c12,|RCH2-NHR -> RCH2-NR2 | spectators: HeteroAr-H|RCH2-OR,redox:redox_neutral | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:intermolecular_or_multi_component | mol:intermolecular_or_multi_component | form_cls:N-P | break_cls:Cl-P | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:amine | amb:0,"Journal of Organic Chemistry (2020), 85(12), 8176-8184",71,-1.0
2391,C_N_Coupling,Unknown,C1CNCCOCCOCCOCCOCCN1.Clp1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1>>c1ccc2c(c1)ccc1op(N3CCOCCOCCOCCOCCN(p4oc5ccc6ccccc6c5c5c(ccc6ccccc65)o4)CC3)oc3ccc4ccccc4c3c12,|RCH2-NHR -> RCH2-NR2 | spectators: HeteroAr-H|RCH2-OR,redox:redox_neutral | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:intermolecular_or_multi_component | mol:intermolecular_or_multi_component | form_cls:N-P | break_cls:Cl-P | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp3 | nclass:amine | amb:0,"Journal of Organic Chemistry (2020), 85(12), 8176-8184",75,1.0
2759,C_N_Coupling,Unknown,Clc1nc2ccccc2s1.Cn1ccnc1>>CN1C=C[N+](C2=NC3=CC=CC=C3S2)=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],|HeteroAr-Cl -> Ar-AromN | spectators: Alkyl-AromN|HeteroAr-H|Thiazole,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,"European Journal of Medicinal Chemistry (2020), 203112605",83,0.0
2760,C_N_Coupling,Unknown,Clc1nc2ccccc2s1.CC(C)n1ccnc1>>CC(C)N1C=C[N+](C2=NC3=CC=CC=C3S2)=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],|HeteroAr-Cl -> Ar-AromN | spectators: Alkyl-AromN|HeteroAr-H|Thiazole,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,"European Journal of Medicinal Chemistry (2020), 203112605",83,0.0
2761,C_N_Coupling,Unknown,Clc1nc2ccccc2s1.CCCCn1ccnc1>>CCCCN1C=C[N+](C2=NC3=CC=CC=C3S2)=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],|HeteroAr-Cl -> Ar-AromN | spectators: Alkyl-AromN|HeteroAr-H|Thiazole,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,"European Journal of Medicinal Chemistry (2020), 203112605",83,0.0
2762,C_N_Coupling,Unknown,Clc1nc2ccccc2s1.c1ccc(Cn2ccnc2)cc1>>C1=CC=C(CN2C=C[N+](C3=NC4=CC=CC=C4S3)=C2)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],|HeteroAr-Cl -> Ar-AromN | spectators: Alkyl-AromN|Ar-Alkyl|HeteroAr-H|Thiazole,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,"European Journal of Medicinal Chemistry (2020), 203112605",83,0.0
2763,C_N_Coupling,Unknown,Clc1nc2ccccc2s1.Cc1c(C)c(C)c(Cn2ccnc2)c(C)c1C>>CC1=C(C)C(C)=C(CN2C=C[N+](C3=NC4=CC=CC=C4S3)=C2)C(C)=C1C.[F-][P+5]([F-])([F-])([F-])([F-])[F-],|HeteroAr-Cl -> Ar-AromN | spectators: Alkyl-AromN|Ar-Alkyl|HeteroAr-H|Thiazole,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,"European Journal of Medicinal Chemistry (2020), 203112605",83,0.0
4121,C_N_Coupling,Unknown,Clc1ccccn1.[N-]=[N+]=NCc1ccc(C2=NC2)cc1>>[N-]=[N+]=NCc1ccc(-c2cnc3ccccn23)cc1,|Ar-C=N|HeteroAr-Cl -> Ar-Ar|HeteroAr-H | spectators: Bn-N3|HeteroAr-H|Pyridine,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,broken_bond_element_without_reactant_motif:N,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","Journal of Organic Chemistry (2021), 86(1), 388-402",71,0.0
4122,C_N_Coupling,Unknown,Brc1ccc(C2=NC2)cc1.Clc1ncccc1Br>>Brc1ccc(-c2cnc3c(Br)cccn23)cc1,|Ar-C=N|HeteroAr-Cl -> Ar-Ar|HeteroAr-H | spectators: Ar-Br|HeteroAr-Br|HeteroAr-H|Pyridine,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,broken_bond_element_without_reactant_motif:N,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","Journal of Organic Chemistry (2021), 86(1), 388-402",85,0.0
4123,C_N_Coupling,Unknown,Clc1ccccn1.Clc1ccccc1C1=NC1>>Clc1ccccc1-c1cnc2ccccn12,|Ar-C=N|HeteroAr-Cl -> Ar-Ar|HeteroAr-H | spectators: Ar-Cl|HeteroAr-H|Pyridine,"redox:uncertain | redox_conf:0.20 | q:low(0.25) | q_reason:bond_key_consistency_penalty,broken_bond_element_without_reactant_motif:N,formed_bond_element_without_product_motif:N,missing_bond_key | mol:unknown | ringd:0 | anom:bond_key_demoted_due_to_inconsistency | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0","Journal of Organic Chemistry (2021), 86(1), 388-402",74,0.0
