row_index,reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reference,yield,z_score
20887,C_N_Coupling,Unknown,C1CCNCC1.N#CC1=C(OC2=CC=C([S+]3C4=CC=CC=C4SC4=CC=CC=C43)C=C2)C=CC=C1F.[F-][B+3]([F-])([F-])[F-]>>N#Cc1c(F)cccc1Oc1ccc(N2CCCCC2)cc1,|Ar-SR|RCH2-NHR|Unclassified-Reactant -> Ar-NR2 | spectators: Ar-CN|Ar-F|Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-3 | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine+thiol_or_thioether | amb:0,"Nature Catalysis (2024), 7(6), 733-741",63,0.0
20888,C_N_Coupling,Unknown,C1CCNCC1.BrC1=CC=C(OC2=CC=C([S+]3C4=CC=CC=C4SC4=CC=CC=C43)C=C2)C=C1.[F-][B+3]([F-])([F-])[F-]>>Brc1ccc(Oc2ccc(N3CCCCC3)cc2)cc1,|Ar-SR|RCH2-NHR|Unclassified-Reactant -> Ar-NR2 | spectators: Ar-Br|Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-3 | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine+thiol_or_thioether | amb:0,"Nature Catalysis (2024), 7(6), 733-741",83,0.0
23099,C_N_Coupling,Unknown,Cc1ccccc1N.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>Cc1ccccc1Nc1ccccc1-c1ccccc1Cl,|Ar-NH2|Unclassified-Reactant -> Ar-NHR | spectators: Ar-Alkyl|Ar-Ar|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",76,-1.55
23100,C_N_Coupling,Unknown,COc1ccccc1N.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>COc1ccccc1Nc1ccccc1-c1ccccc1Cl,|Ar-NH2|Unclassified-Reactant -> Ar-NHR | spectators: Ar-Ar|Ar-Cl|Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",72,-0.96
23101,C_N_Coupling,Unknown,COc1ccc(N)cc1.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>COc1ccc(Nc2ccccc2-c2ccccc2Cl)cc1,|Ar-NH2|Unclassified-Reactant -> Ar-NHR | spectators: Ar-Ar|Ar-Cl|Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",76,-0.07
23102,C_N_Coupling,Unknown,c1ccc2c(c1)CCN2.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>Clc1ccccc1-c1ccccc1N1CCc2ccccc21,|Ar-NHR|Unclassified-Reactant -> Ar-NR2 | spectators: Ar-Alkyl|Ar-Ar|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",76,0.71
23103,C_N_Coupling,Unknown,Cc1ccc(C)c(N)c1.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>Cc1ccc(C)c(Nc2ccccc2-c2ccccc2Cl)c1,|Ar-NH2|Unclassified-Reactant -> Ar-NHR | spectators: Ar-Alkyl|Ar-Ar|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",79,0.24
23104,C_N_Coupling,Unknown,Cc1ccc(N)cc1.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>Cc1ccc(Nc2ccccc2-c2ccccc2Cl)cc1,|Ar-NH2|Unclassified-Reactant -> Ar-NHR | spectators: Ar-Alkyl|Ar-Ar|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",78,-0.36
23105,C_N_Coupling,Unknown,CCc1ccc(N)cc1.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>CCc1ccc(Nc2ccccc2-c2ccccc2Cl)cc1,|Ar-NH2|Unclassified-Reactant -> Ar-NHR | spectators: Ar-Alkyl|Ar-Ar|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",80,0.84
23106,C_N_Coupling,Unknown,Cc1cc(C)cc(N)c1.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>Cc1cc(C)cc(Nc2ccccc2-c2ccccc2Cl)c1,|Ar-NH2|Unclassified-Reactant -> Ar-NHR | spectators: Ar-Alkyl|Ar-Ar|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",80,0.84
23107,C_N_Coupling,Unknown,CNc1ccccc1.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>CN(c1ccccc1)c1ccccc1-c1ccccc1Cl,|Ar-NHR|Unclassified-Reactant -> Ar-NR2 | spectators: Ar-Ar|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",79,0.0
23109,C_N_Coupling,Unknown,c1ccc2c(c1)CCCN2.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>Clc1ccccc1-c1ccccc1N1CCCc2ccccc21,|Ar-NHR|Unclassified-Reactant -> Ar-NR2 | spectators: Ar-Alkyl|Ar-Ar|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",74,-0.71
23110,C_N_Coupling,Unknown,C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-].COc1ccc(N)cc1OC>>COc1ccc(Nc2ccccc2-c2ccccc2Cl)cc1OC,|Ar-NH2|Unclassified-Reactant -> Ar-NHR | spectators: Ar-Ar|Ar-Cl|Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",81,1.03
23111,C_N_Coupling,Unknown,C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>[N-]=[N+]=Nc1ccccc1-c1ccccc1Cl,|Unclassified-Reactant -> Ar-N3 | spectators: Ar-Ar|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:unknown | amb:0,"Chemical Science (2024), 15(40), 16605-16611",90,0.0
23112,C_N_Coupling,Unknown,C1CN2CCN1CC2.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-].N.N#CS>>N#CSCCN1CCN(c2ccccc2-c2ccccc2Cl)CC1,|Any-SH|Inorganic|RCH2-NR2|Unclassified-Reactant -> Ar-NR2|RCH2-SR | spectators: Ar-Ar|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-3 | risk:overreaction_or_chemoselectivity | ehyb:sp3 | nclass:amine+thiol_or_thioether | amb:0,"Chemical Science (2024), 15(40), 16605-16611",78,0.0
23113,C_N_Coupling,Unknown,C1CN2CCN1CC2.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>[N-]=[N+]=NCCN1CCN(c2ccccc2-c2ccccc2Cl)CC1,|RCH2-NR2|Unclassified-Reactant -> Ar-NR2|RCH2-N3 | spectators: Ar-Ar|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-3 | ehyb:sp3 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",84,0.0
23114,C_N_Coupling,Unknown,C1CN2CCN1CC2.C1=CC=C2C(=C1)[Cl+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>OCCN1CCN(c2ccccc2-c2ccccc2Cl)CC1,|RCH2-NR2|Unclassified-Reactant -> Ar-NR2|RCH2-OH | spectators: Ar-Ar|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-3 | ehyb:sp3 | nclass:amine | amb:0,"Chemical Science (2024), 15(40), 16605-16611",83,0.0
23737,C_N_Coupling,Unknown,Fc1ccc(-c2cnc[nH]2)cc1.FC(F)(F)C12CC([S+]3C4=CC=CC=C4SC4=CC=CC=C43)(C1)C2.[F-][B+3]([F-])([F-])[F-]>>Fc1ccc(-c2cn(C34CC(C(F)(F)F)(C3)C4)cn2)cc1,|Ar-SR|AromN-H|Unclassified-Reactant -> Alkyl-AromN | spectators: Alkyl-CF3|Ar-Ar|Ar-F|HeteroAr-H,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-3 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:thiol_or_thioether | amb:0,"Nature Synthesis (2023), 2(6), 548-556",78,0.0
24394,C_N_Coupling,Unknown,Brc1cccc(I)c1.CCCCCC[NH2][B+3]([F-])([F-])[F-]>>CCCCCCNc1cccc(Br)c1,|Ar-I|Unclassified-Reactant -> Ar-NHR | spectators: Ar-Br,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,"Organic Letters (2025), 27(10), 2364-2370",71,0.0
