reaction_type,rule_id,rule_tier,reactant_1,reactant_2,reactant_3,catalyst,ligand,base,solvent,additive,Secondary Solvent,Coupling Reagent,temperature_C,time_h,atmosphere,pressure_bar,concentration_M,yield,z_score,reference,notes
Sonogashira,SONO_01,default,@terminal_alkynes,Ar-Cl,,XPhos-Pd G3 or SPhos-Pd G3,,Et3N or DIPEA,THF,CuI (2-5 mol%),,,80,,N2,,,95,2,sonogashira_rulebook_v1,Pd-only starter condition
Sonogashira,SONO_02,backup,@terminal_alkynes,@sp2_electrophiles,,PdCl2(PPh3)2 or Pd(dppf)Cl2,,Et3N or DIPEA,THF,CuI (2-5 mol%),toluene,,80,,N2,,,95,2,sonogashira_rulebook_v1,Pd/Cu co-catalysis option
