reaction_type,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,temperature_C
Suzuki_miyaura,95,2,"Ar-Cl, Alkenyl-Cl",@organoboron,Pd-PEPPSI-type G3 with P(tBu)3 (representative),P(tBu)3,K3PO4 (aq) or Cs2CO3; alt: NaOtBu,"1,4-dioxane/H2O 4:1",,100
Suzuki_miyaura,95,2,@sp2_electrophiles,@organoboron,PdCl2(dtbpf),dtbpf,"K3PO4 (aq, 3.25 M)","1,4-dioxane/H2O 4:1",,80
