reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-055-CAS-10031601,31-055-CAS-10031601,1.rdf,Hiyama coupling,95,,,COc1cccc(Br)c1.CO[Si](OC)(OC)c1ccccc1,COc1cccc(-c2ccccc2)c1,COc1cccc(Br)c1.CO[Si](OC)(OC)c1ccccc1>>COc1cccc(-c2ccccc2)c1,Convenient Synthesis of Palladium Nanoparticles and Catalysis of Hiyama Coupling Reaction in Water,"Srimani, Dipankar; Sawoo, Sudeshna; Sarkar, Amitabha","Organic Letters (2007), 9(18), 3639-3642","Convenient Synthesis of Palladium Nanoparticles and Catalysis of Hiyama Coupling Reaction in Water | Srimani, Dipankar; Sawoo, Sudeshna; Sarkar, Amitabha | Organic Letters (2007), 9(18), 3639-3642","2398-37-0, 2996-92-1",2113-56-6,"10025-98-6, 25322-68-3, 59610-08-1, 1310-73-2",,7732-18-5,,,,,,"General/Typical Procedure: General method of Pd nanoparticle catalyzed Hiyama coupling reaction: Weighed amount of K2PdCl4 (0.003 g, 0.0092 mmol) and PEG 6000 (60 mg, 0.01 mmol) was dissolved in 4 mL of water. In another portion 2 mg of the Fischer carbene complex was dissolved in 5 mL of water. The water suspension of the Fischer carbene complex was added to the Pd (II) solution with vigorous stirring resulting in the formation of colloidal Pd (5 min). To this suspension of colloidal Pd were added aryltrialkoxysilane (2 mmol) and aryl bromide (1 mmol) and the mixture was heated at 90 °C for 1 min. Thereafter, 1 mL of 5 M NaOH solution was added dropwise and stirring was continued until completion of the reaction (2 h). The reaction mixture was then allowed to cool to room temperature and extracted with Et2O (3 × 20 mL). The combined ethereal layers were dried over anhydrous Na2SO4 and concentrated in vacuum. The residue thus obtained was purified by flash column chromatography on silica gel (230∼400 mesh) with either a mixture of petroleum ether and acetone (2-5%) or petroleum ether alone as eluent. Compound 1i:6, yield 95% 1H NMR (CDCl3) δ 3.90 (s, 3H), 6.95 (dd, J = 8.07, 2.0 Hz, 1H), 6.97-7.25 (m, 2H), 7.38-7.42 (m, 2H), 7.49 (t, J = 7.6 Hz, 2H), 7.65 (d, J = 7.24 Hz, 2H); 13C NMR (CDCl3) δ 55.37, 112.78, 113.01, 119.79, 127.30, 127.52, 128.84, 129.86, 141.21, 142.87, 160.05.",3,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""2398-37-0"", ""smiles"": ""COc1cccc(Br)c1""}, {""index"": 2, ""cas_rn"": ""2996-92-1"", ""smiles"": ""CO[Si](OC)(OC)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""2113-56-6"", ""yield_pct"": ""95"", ""smiles"": ""COc1cccc(-c2ccccc2)c1""}]","[{""index"": 1, ""cas_rn"": ""10025-98-6""}, {""index"": 2, ""cas_rn"": ""25322-68-3""}, {""index"": 3, ""cas_rn"": ""59610-08-1""}, {""index"": 4, ""cas_rn"": ""1310-73-2""}]",[],"[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","green chemistry-catalyst (no toxic ligands), green chemistry-solvent, in-situ generated (stage 1) PEG encapsulated colloidal Pd nanoparticle catalyst used (stage 2), Hiyama coupling reaction (stages 2,3), Fischer carbene complex used as reducing agent (stage 1)",
31-055-CAS-10035657,31-055-CAS-10035657,2.rdf,Hiyama coupling,69,,,C[Si](C)(C)c1ccccn1.N#Cc1ccc(Br)nc1,N#Cc1ccc(-c2ccccn2)nc1,C[Si](C)(C)c1ccccn1.N#Cc1ccc(Br)nc1>>N#Cc1ccc(-c2ccccn2)nc1,Palladium(0)-catalyzed cross-coupling of 2-trimethylsilylpyridine with aryl halides,"Blakemore, David C.; Marples, Louise A.","Tetrahedron Letters (2011), 52(32), 4192-4195","Palladium(0)-catalyzed cross-coupling of 2-trimethylsilylpyridine with aryl halides | Blakemore, David C.; Marples, Louise A. | Tetrahedron Letters (2011), 52(32), 4192-4195","13737-04-7, 139585-70-9",1802-28-4,7789-23-3,"3375-31-3, 7681-65-4, 321921-71-5",68-12-2,,,,,,,1,1,69,,,,,,,"{""1"": 69}","[{""index"": 1, ""cas_rn"": ""13737-04-7"", ""smiles"": ""C[Si](C)(C)c1ccccn1""}, {""index"": 2, ""cas_rn"": ""139585-70-9"", ""smiles"": ""N#Cc1ccc(Br)nc1""}]","[{""index"": 1, ""cas_rn"": ""1802-28-4"", ""yield_pct"": ""69"", ""smiles"": ""N#Cc1ccc(-c2ccccn2)nc1""}]","[{""index"": 1, ""cas_rn"": ""7789-23-3""}]","[{""index"": 1, ""cas_rn"": ""3375-31-3""}, {""index"": 2, ""cas_rn"": ""7681-65-4""}, {""index"": 3, ""cas_rn"": ""321921-71-5""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}]","alternative preparation shown, Hiyama coupling",
31-055-CAS-10046161,31-055-CAS-10046161,1.rdf,Hiyama coupling,83,,,Clc1cccc2ccccc12.CO[Si](OC)(OC)c1ccccc1,c1ccc(-c2cccc3ccccc23)cc1,Clc1cccc2ccccc12.CO[Si](OC)(OC)c1ccccc1>>c1ccc(-c2cccc3ccccc23)cc1,Advantageous Use of tBu2P-N=P(iBuNCH2CH2)3N in the Hiyama Coupling of Aryl Bromides and Chlorides,"Raders, Steven M.; Kingston, Jesudoss V.; Verkade, John G.","Journal of Organic Chemistry (2010), 75(5), 1744-1747","Advantageous Use of tBu2P-N=P(iBuNCH2CH2)3N in the Hiyama Coupling of Aryl Bromides and Chlorides | Raders, Steven M.; Kingston, Jesudoss V.; Verkade, John G. | Journal of Organic Chemistry (2010), 75(5), 1744-1747","90-13-1, 2996-92-1",605-02-7,429-41-4,"3375-31-3, 936700-36-6",,,,,,,"General/Typical Procedure: General Procedure for the Hiyama Coupling of Aryl Bromides and Chlorides. A 10 mL vial was charged with 3 mmol of TBAF• xH2O (794 mg), 0.5 mol % of Pd(OAc)2 (2.24 mg), and 1.0 mol%of ligand 1 (10.03 mg) in a glovebox. The vial was capped and brought outside the glovebox where 4 mmol of arylsiloxane and 2 mmol of aryl halide were added under an argon flow. The reaction vessel was heated to 80 °C for the specified times given in the tables. The mixtures were then purified by column chromatography (0-5% EtOAc). Pure biaryls. entry 10 1-Phenylnaphthalene entry 8 yield (%) 83 b Reaction conditions: 2 mmol of aryl chloride, 4 mmol of siloxane, 3 mmol of TBAF•3H2O, neat, time: 0.5-2 h. d 1 mol%of Pd(OAc)2, 2mol %of 1, neat.",1,1,83,,,,,,,"{""1"": 83}","[{""index"": 1, ""cas_rn"": ""90-13-1"", ""smiles"": ""Clc1cccc2ccccc12""}, {""index"": 2, ""cas_rn"": ""2996-92-1"", ""smiles"": ""CO[Si](OC)(OC)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""605-02-7"", ""yield_pct"": ""83"", ""smiles"": ""c1ccc(-c2cccc3ccccc23)cc1""}]","[{""index"": 1, ""cas_rn"": ""429-41-4""}]","[{""index"": 1, ""cas_rn"": ""3375-31-3""}, {""index"": 2, ""cas_rn"": ""936700-36-6""}]",[],"Hiyama cross-coupling, no solvent",
31-055-CAS-10058934,31-055-CAS-10058934,1.rdf,Hiyama coupling,82,100.0,,Clc1ccccc1.CO[Si](OC)(OC)c1ccccc1,c1ccc(-c2ccccc2)cc1,Clc1ccccc1.CO[Si](OC)(OC)c1ccccc1>>c1ccc(-c2ccccc2)cc1,Phosphane-Free Hiyama Cross-Coupling of Aryl and Heteroaryl Halides Catalyzed by Palladium Nanoparticles in Ionic Liquids,"Premi, Chanchal; Jain, Nidhi","European Journal of Organic Chemistry (2013), 2013(24), 5493-5499","Phosphane-Free Hiyama Cross-Coupling of Aryl and Heteroaryl Halides Catalyzed by Palladium Nanoparticles in Ionic Liquids | Premi, Chanchal; Jain, Nidhi | European Journal of Organic Chemistry (2013), 2013(24), 5493-5499","108-90-7, 2996-92-1",92-52-4,163490-15-1,"3375-31-3, 683224-98-8",75-05-8,,,,,,,1,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""108-90-7"", ""smiles"": ""Clc1ccccc1""}, {""index"": 2, ""cas_rn"": ""2996-92-1"", ""smiles"": ""CO[Si](OC)(OC)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""92-52-4"", ""yield_pct"": ""82"", ""smiles"": ""c1ccc(-c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""163490-15-1""}]","[{""index"": 1, ""cas_rn"": ""3375-31-3""}, {""index"": 2, ""cas_rn"": ""683224-98-8""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}]","Hiyama coupling, in-situ generated catalyst, Pd nanoparticles used as catalyst, no reaction at 100C, alternative preparation shown",
31-055-CAS-10061124,31-055-CAS-10061124,2.rdf,Hiyama coupling,78,,,CCO[Si](OCC)(OCC)c1ccccc1.O=Cc1ccc(Br)cc1,O=Cc1ccc(-c2ccccc2)cc1,CCO[Si](OCC)(OCC)c1ccccc1.O=Cc1ccc(Br)cc1>>O=Cc1ccc(-c2ccccc2)cc1,Efficient ligand-free Hiyama cross-coupling reaction catalyzed by functionalized SBA-15-supported Pd nanoparticles,"Huang, Shao-Hsien; Liu, Chun-Hsia; Yang, Chia-Min","Green Chemistry (2014), 16(5), 2706-2712","Efficient ligand-free Hiyama cross-coupling reaction catalyzed by functionalized SBA-15-supported Pd nanoparticles | Huang, Shao-Hsien; Liu, Chun-Hsia; Yang, Chia-Min | Green Chemistry (2014), 16(5), 2706-2712","780-69-8, 1122-91-4",3218-36-8,"64-19-7, 429-41-4, 7782-44-7",7440-05-3,108-88-3,,,,,,,1,1,78,,,,,,,"{""1"": 78}","[{""index"": 1, ""cas_rn"": ""780-69-8"", ""smiles"": ""CCO[Si](OCC)(OCC)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""1122-91-4"", ""smiles"": ""O=Cc1ccc(Br)cc1""}]","[{""index"": 1, ""cas_rn"": ""3218-36-8"", ""yield_pct"": ""78"", ""smiles"": ""O=Cc1ccc(-c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""64-19-7""}, {""index"": 2, ""cas_rn"": ""429-41-4""}, {""index"": 3, ""cas_rn"": ""7782-44-7""}]","[{""index"": 1, ""cas_rn"": ""7440-05-3""}]","[{""index"": 1, ""cas_rn"": ""108-88-3""}]","green chemistry, green chemistry-catalyst, solid-supported catalyst, Hiyama coupling, aerobic, catalyst prepared and used, recyclable catalyst, Mesoporous SBA-15-supported Pd nanoparticles used as catalyst",
31-055-CAS-10089875,31-055-CAS-10089875,1.rdf,Hiyama coupling,83,,,COc1cccc(CCl)c1.CO[Si](OC)(OC)c1ccccc1,COc1cccc(Cc2ccccc2)c1,COc1cccc(CCl)c1.CO[Si](OC)(OC)c1ccccc1>>COc1cccc(Cc2ccccc2)c1,Palladium Nanoparticle Catalyzed Hiyama Coupling Reaction of Benzyl Halides,"Srimani, Dipankar; Bej, Ansuman; Sarkar, Amitabha","Journal of Organic Chemistry (2010), 75(12), 4296-4299","Palladium Nanoparticle Catalyzed Hiyama Coupling Reaction of Benzyl Halides | Srimani, Dipankar; Bej, Ansuman; Sarkar, Amitabha | Journal of Organic Chemistry (2010), 75(12), 4296-4299","824-98-6, 2996-92-1",23450-27-3,429-41-4,"10025-98-6, 25322-68-3",109-99-9,,,,,,"General/Typical Procedure: General Procedure for the Preparation of Pd Nanoparticle and Catalysis of Hiyama Coupling Reaction. A weighed amount of K2PdCl4 (13 mg, 0.04 mmol) and PEG 600 (700 mg, 1.16 mmol) was heated at 70 °C for 15 min to complete the formation of Pd nanoparticles. To this suspension of colloidal Pd at ambient temperature were added aryltrialkoxysilane (2 mmol), benzyl halide (1 mmol), and tetrabutylammonium fluoride The reaction mixture was allowed to cool at room temperature, and THF was removed. The residue was extracted with ether (15 mL x 3), and the combined organic extract was dried over anhydrous Na2SO4 and concentrated in vacuum. The residue thus obtained was subjected to flash column chromatography on silica gel (230-400 mesh) with either petroleum ether or ethyl acetate (2-10%) in petroleum ether as eluent. 1-Benzyl-3-methoxybenzene (2f): 5 1H NMR (300 MHz, CDCl3): δ 3.80 (s, 3H), 3.99 (s, 2H), 6.78-6.84 (m, 3H), 7.22-7.32 (m, 6H); 13C NMR (75 MHz, CDCl3): δ 41.93, 55.08, 111.28, 114.77, 121.35, 126.06, 128.42, 128.88, 129.37, 140.88, 142.67, 159.69.",2,1,83,,,,,,,"{""1"": 83}","[{""index"": 1, ""cas_rn"": ""824-98-6"", ""smiles"": ""COc1cccc(CCl)c1""}, {""index"": 2, ""cas_rn"": ""2996-92-1"", ""smiles"": ""CO[Si](OC)(OC)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""23450-27-3"", ""yield_pct"": ""83"", ""smiles"": ""COc1cccc(Cc2ccccc2)c1""}]","[{""index"": 1, ""cas_rn"": ""429-41-4""}]","[{""index"": 1, ""cas_rn"": ""10025-98-6""}, {""index"": 2, ""cas_rn"": ""25322-68-3""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]",Hiyama coupling; PEG-600 used (stage 1),
31-055-CAS-10100864,31-055-CAS-10100864,1.rdf,Hiyama coupling,91,,,O=[N+]([O-])c1ccc(Br)cc1.CO[Si](OC)(OC)c1ccccc1,O=[N+]([O-])c1ccc(-c2ccccc2)cc1,O=[N+]([O-])c1ccc(Br)cc1.CO[Si](OC)(OC)c1ccccc1>>O=[N+]([O-])c1ccc(-c2ccccc2)cc1,Advantageous Use of tBu2P-N=P(iBuNCH2CH2)3N in the Hiyama Coupling of Aryl Bromides and Chlorides,"Raders, Steven M.; Kingston, Jesudoss V.; Verkade, John G.","Journal of Organic Chemistry (2010), 75(5), 1744-1747","Advantageous Use of tBu2P-N=P(iBuNCH2CH2)3N in the Hiyama Coupling of Aryl Bromides and Chlorides | Raders, Steven M.; Kingston, Jesudoss V.; Verkade, John G. | Journal of Organic Chemistry (2010), 75(5), 1744-1747","586-78-7, 2996-92-1",92-93-3,429-41-4,"3375-31-3, 936700-36-6",123-91-1,,,,,,"General/Typical Procedure: General Procedure for the Hiyama Coupling of Aryl Bromides and Chlorides. A 10 mL vial was charged with 3 mmol of TBAF• xH2O (794 mg), 0.5 mol % of Pd(OAc)2 (2.24 mg), and 1.0 mol%of ligand 1 (10.03 mg) in a glovebox. The vial was capped and brought outside the glovebox where 4 mmol of arylsiloxane and 2 mmol of aryl halide were added under an argon flow. The reaction vessel was heated to 80 °C for the specified times given in the tables. The mixtures were then purified by column chromatography (0-5% EtOAc). Pure biaryls. entry 10 4-Nitrobiphenyl entry 4 yield (%) 91 b Reaction conditions: 2 mmol of aryl bromide, 4 mmol of siloxane, 3 mmol of TBAF• xH2O. e 0.5 mol%of Pd(OAc)2, 1 mol%of 1, 5mLof dioxane.",1,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""586-78-7"", ""smiles"": ""O=[N+]([O-])c1ccc(Br)cc1""}, {""index"": 2, ""cas_rn"": ""2996-92-1"", ""smiles"": ""CO[Si](OC)(OC)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""92-93-3"", ""yield_pct"": ""91"", ""smiles"": ""O=[N+]([O-])c1ccc(-c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""429-41-4""}]","[{""index"": 1, ""cas_rn"": ""3375-31-3""}, {""index"": 2, ""cas_rn"": ""936700-36-6""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}]",Hiyama cross-coupling,
31-055-CAS-10112395,31-055-CAS-10112395,2.rdf,Hiyama coupling,68,,,CCO[Si](OCC)(OCC)c1ccccc1.CC(=O)c1ccc(Cl)cc1,CC(=O)c1ccc(-c2ccccc2)cc1,CCO[Si](OCC)(OCC)c1ccccc1.CC(=O)c1ccc(Cl)cc1>>CC(=O)c1ccc(-c2ccccc2)cc1,Hiyama cross-coupling reaction catalyzed by a palladium salt of 1-benzyl-4-aza-1-azoniabicyclo[2.2.2]octane chloride under microwave irradiation,"Hajipour, Abdol R.; Rafiee, Fatemeh; Najafi, Narges","Applied Organometallic Chemistry (2014), 28(4), 217-220","Hiyama cross-coupling reaction catalyzed by a palladium salt of 1-benzyl-4-aza-1-azoniabicyclo[2.2.2]octane chloride under microwave irradiation | Hajipour, Abdol R.; Rafiee, Fatemeh; Najafi, Narges | Applied Organometallic Chemistry (2014), 28(4), 217-220","780-69-8, 99-91-2",92-91-1,13400-13-0,1415894-05-1,872-50-4,,,,,,,2,1,68,,,,,,,"{""1"": 68}","[{""index"": 1, ""cas_rn"": ""780-69-8"", ""smiles"": ""CCO[Si](OCC)(OCC)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""99-91-2"", ""smiles"": ""CC(=O)c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""92-91-1"", ""yield_pct"": ""68"", ""smiles"": ""CC(=O)c1ccc(-c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""13400-13-0""}]","[{""index"": 1, ""cas_rn"": ""1415894-05-1""}]","[{""index"": 1, ""cas_rn"": ""872-50-4""}]","microwave irradiation (600W) (stage 2), alternative preparation shown, Hiyama coupling",
31-055-CAS-10138115,31-055-CAS-10138115,1.rdf,Hiyama coupling,84,,,ClCc1ccccc1Cl.CO[Si](OC)(OC)c1ccccc1,Clc1ccccc1Cc1ccccc1,ClCc1ccccc1Cl.CO[Si](OC)(OC)c1ccccc1>>Clc1ccccc1Cc1ccccc1,Palladium Nanoparticle Catalyzed Hiyama Coupling Reaction of Benzyl Halides,"Srimani, Dipankar; Bej, Ansuman; Sarkar, Amitabha","Journal of Organic Chemistry (2010), 75(12), 4296-4299","Palladium Nanoparticle Catalyzed Hiyama Coupling Reaction of Benzyl Halides | Srimani, Dipankar; Bej, Ansuman; Sarkar, Amitabha | Journal of Organic Chemistry (2010), 75(12), 4296-4299","611-19-8, 2996-92-1",29921-41-3,429-41-4,"10025-98-6, 25322-68-3",109-99-9,,,,,,"General/Typical Procedure: General Procedure for the Preparation of Pd Nanoparticle and Catalysis of Hiyama Coupling Reaction. A weighed amount of K2PdCl4 (13 mg, 0.04 mmol) and PEG 600 (700 mg, 1.16 mmol) was heated at 70 °C for 15 min to complete the formation of Pd nanoparticles. To this suspension of colloidal Pd at ambient temperature were added aryltrialkoxysilane (2 mmol), benzyl halide (1 mmol), and tetrabutylammonium fluoride The reaction mixture was allowed to cool at room temperature, and THF was removed. The residue was extracted with ether (15 mL x 3), and the combined organic extract was dried over anhydrous Na2SO4 and concentrated in vacuum. The residue thus obtained was subjected to flash column chromatography on silica gel (230-400 mesh) with either petroleum ether or ethyl acetate (2-10%) in petroleum ether as eluent. 2-Chlorodiphenylmethane (2b): 4 1H NMR (300 MHz, CDCl3): δ 4.21 (s, 2H), 7.25-7.54 (m, 9H); 13C NMR (75 MHz, CDCl3): δ 39.29, 126.36, 126.93, 127.76, 128.59, 129.07, 129.64, 131.13, 134.35, 138.79, 139.61.",2,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""611-19-8"", ""smiles"": ""ClCc1ccccc1Cl""}, {""index"": 2, ""cas_rn"": ""2996-92-1"", ""smiles"": ""CO[Si](OC)(OC)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""29921-41-3"", ""yield_pct"": ""84"", ""smiles"": ""Clc1ccccc1Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""429-41-4""}]","[{""index"": 1, ""cas_rn"": ""10025-98-6""}, {""index"": 2, ""cas_rn"": ""25322-68-3""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]",Hiyama coupling; PEG-600 used (stage 1),
31-055-CAS-10147924,31-055-CAS-10147924,1.rdf,Hiyama coupling,84,,,CCO[Si](OCC)(OCC)c1ccccc1.Clc1ccccc1,c1ccc(-c2ccccc2)cc1,CCO[Si](OCC)(OCC)c1ccccc1.Clc1ccccc1>>c1ccc(-c2ccccc2)cc1,Application of a dimeric ortho-palladated complex of tribenzylamine as an efficient catalyst in microwave-assisted Hiyama coupling reactions,"Hajipour, Abdol R.; Rafiee, Fatemeh","Applied Organometallic Chemistry (2012), 26(2), 51-55","Application of a dimeric ortho-palladated complex of tribenzylamine as an efficient catalyst in microwave-assisted Hiyama coupling reactions | Hajipour, Abdol R.; Rafiee, Fatemeh | Applied Organometallic Chemistry (2012), 26(2), 51-55","780-69-8, 108-90-7",92-52-4,429-41-4,1313886-64-4,"109-99-9, 68-12-2",,,,,,,2,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""780-69-8"", ""smiles"": ""CCO[Si](OCC)(OCC)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""108-90-7"", ""smiles"": ""Clc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""92-52-4"", ""yield_pct"": ""84"", ""smiles"": ""c1ccc(-c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""429-41-4""}]","[{""index"": 1, ""cas_rn"": ""1313886-64-4""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""68-12-2""}]","microwave irradiation (2nd stage), crude intermediate isolated, Hiyama coupling, alternative preparation shown",
31-055-CAS-10212082,31-055-CAS-10212082,1.rdf,Hiyama coupling,92,,,CO[Si](OC)(OC)c1ccccc1.O=[N+]([O-])c1ccc(Cl)cc1,O=[N+]([O-])c1ccc(-c2ccccc2)cc1,CO[Si](OC)(OC)c1ccccc1.O=[N+]([O-])c1ccc(Cl)cc1>>O=[N+]([O-])c1ccc(-c2ccccc2)cc1,Macroporous resin impregnated palladium nanoparticles: Catalyst for a microwave-assisted green Hiyama reaction,"Shah, Dipen; Kaur, Harjinder","Journal of Molecular Catalysis A: Chemical (2012), 35969-73","Macroporous resin impregnated palladium nanoparticles: Catalyst for a microwave-assisted green Hiyama reaction | Shah, Dipen; Kaur, Harjinder | Journal of Molecular Catalysis A: Chemical (2012), 35969-73","2996-92-1, 100-00-5",92-93-3,"1310-73-2, 7732-18-5",7440-05-3,"64-17-5, 7732-18-5",,,,macroporous resin impregnated nanoparticles,,,3,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""2996-92-1"", ""smiles"": ""CO[Si](OC)(OC)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""100-00-5"", ""smiles"": ""O=[N+]([O-])c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""92-93-3"", ""yield_pct"": ""92"", ""smiles"": ""O=[N+]([O-])c1ccc(-c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""1310-73-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","[{""index"": 1, ""cas_rn"": ""7440-05-3"", ""amd"": ""macroporous resin impregnated nanoparticles""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, microwave irradiation, solid-supported catalyst, catalyst prepared and used, Hiyama coupling, catalyst on macroporous Amberlite XAD-4 resin, macroporous Amberlite XAD-4 resin used",
