reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-174-CAS-13328695,31-174-CAS-13328695,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,72,,,O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,O=[N+]([O-])c1cc(C(F)(F)F)ccc1F,O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl>>O=[N+]([O-])c1cc(C(F)(F)F)ccc1F,Efficient phosphorus catalysts for the halogen-exchange (Halex) reaction,"Lacour, Marie-Agnes; Zablocka, Maria; Duhayon, Carine; Majoral, Jean-Pierre; Taillefer, Marc","Advanced Synthesis & Catalysis (2008), 350(17), 2677-2682","Efficient phosphorus catalysts for the halogen-exchange (Halex) reaction | Lacour, Marie-Agnes; Zablocka, Maria; Duhayon, Carine; Majoral, Jean-Pierre; Taillefer, Marc | Advanced Synthesis & Catalysis (2008), 350(17), 2677-2682",121-17-5,367-86-2,7789-23-3,21050-13-5,67-68-5,,,,,,,1,1,72,,,,,,,"{""1"": 72}","[{""index"": 1, ""cas_rn"": ""121-17-5"", ""smiles"": ""O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl""}]","[{""index"": 1, ""cas_rn"": ""367-86-2"", ""yield_pct"": ""72"", ""smiles"": ""O=[N+]([O-])c1cc(C(F)(F)F)ccc1F""}]","[{""index"": 1, ""cas_rn"": ""7789-23-3""}]","[{""index"": 1, ""cas_rn"": ""21050-13-5""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}]","Schlenk tube used, phase-transfer catalysis",
31-174-CAS-13541213,31-174-CAS-13541213,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,91,,,Nc1nc(Cl)c2[nH]cnc2n1,Nc1nc(Br)c2[nH]cnc2n1,Nc1nc(Cl)c2[nH]cnc2n1>>Nc1nc(Br)c2[nH]cnc2n1,Synthesis of 6-fluoropurine derivatives,"Lu, Hong-Fei; Han, Guang-Fan; Lu, Ming","Youji Huaxue (2008), 28(8), 1462-1466","Synthesis of 6-fluoropurine derivatives | Lu, Hong-Fei; Han, Guang-Fan; Lu, Ming | Youji Huaxue (2008), 28(8), 1462-1466",10310-21-1,82499-03-4,10035-10-6,,7732-18-5,,,,,,,1,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""10310-21-1"", ""smiles"": ""Nc1nc(Cl)c2[nH]cnc2n1""}]","[{""index"": 1, ""cas_rn"": ""82499-03-4"", ""yield_pct"": ""91"", ""smiles"": ""Nc1nc(Br)c2[nH]cnc2n1""}]","[{""index"": 1, ""cas_rn"": ""10035-10-6""}]",[],"[{""index"": 1, ""cas_rn"": ""7732-18-5""}]",,
31-174-CAS-13902235,31-174-CAS-13902235,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,87,,,CN1CCCNCc2cccc(c2I)CNCCC1,CN1CCCNCc2cccc(c2Br)CNCCC1,CN1CCCNCc2cccc(c2I)CNCCC1>>CN1CCCNCc2cccc(c2Br)CNCCC1,Nucleophilic Aryl Fluorination and Aryl Halide Exchange Mediated by a CuI/CuIII Catalytic Cycle,"Casitas, Alicia; Canta, Merce; Sola, Miquel; Costas, Miquel; Ribas, Xavi","Journal of the American Chemical Society (2011), 133(48), 19386-19392","Nucleophilic Aryl Fluorination and Aryl Halide Exchange Mediated by a CuI/CuIII Catalytic Cycle | Casitas, Alicia; Canta, Merce; Sola, Miquel; Costas, Miquel; Ribas, Xavi | Journal of the American Chemical Society (2011), 133(48), 19386-19392",1261036-29-6,1261036-26-3,1643-19-2,58452-28-1,2206-26-0,,,,,,"General/Typical Procedure: Ligand L1-I, 1,3,5-trimethoxybenzene and Bu4NX were weighted in vials using a precision balance (legibility: 0.01 mg) and then entered into an inert-atmosphere glove box, where stock solutions of L1-I/1,3,5-trimethoxybenzene (24/1 mM) and Bu4NX (0.36 M) (X = Cl, Br) were prepared in CD3CN. A stock solution of [CuI(CH3CN)4]OTf (7.2 mM) was prepared inside the glove box weighting 15 mg of copper(I) salt and adding 5.5 mL of CD3CN. The L1-I/1,3,5-trimethoxybenzene stock solution (0.3 mL) was loaded into an NMR tube. Then 0.1 mL of [Cu(CH3CN)4]OTf 7.2 mM and 0.2 mL of Bu4NX 0.36 M were added to the NMR tube. The final concentrations were as follows: [L1-I] = 9 mM, [Bu4NX] = 90 mM (10 equiv), and [Cu(CH3CN)4]OTf = 0.9 mM. The reaction was monitored by 1H-NMR spectroscopy until reaction completion, and all yields were obtained using trimethoxybenzene as internal standard. In reactions using ligand L1-I all calculations were done taking into account the corresponding 5 % of L1-Br present as an impurity (see ligand L1-I synthesis vide supra). Table 1. entry 4. Yield 87%.",1,1,87,,,,,,,"{""1"": 87}","[{""index"": 1, ""cas_rn"": ""1261036-29-6"", ""smiles"": ""CN1CCCNCc2cccc(c2I)CNCCC1""}]","[{""index"": 1, ""cas_rn"": ""1261036-26-3"", ""yield_pct"": ""87"", ""smiles"": ""CN1CCCNCc2cccc(c2Br)CNCCC1""}]","[{""index"": 1, ""cas_rn"": ""1643-19-2""}]","[{""index"": 1, ""cas_rn"": ""58452-28-1""}]","[{""index"": 1, ""cas_rn"": ""2206-26-0""}]",,
31-174-CAS-13981989,31-174-CAS-13981989,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,97,,,CN1CCCNCc2cccc(c2I)CNCCC1,CN1CCCNCc2cccc(c2Br)CNCCC1,CN1CCCNCc2cccc(c2I)CNCCC1>>CN1CCCNCc2cccc(c2Br)CNCCC1,Oxidant-Free Au(I)-Catalyzed Halide Exchange and Csp2-O Bond Forming Reactions,"Serra, Jordi; Whiteoak, Christopher J.; Acuna-Pares, Ferran; Font, Marc; Luis, Josep M.; Lloret-Fillol, Julio; Ribas, Xavi","Journal of the American Chemical Society (2015), 137(41), 13389-13397","Oxidant-Free Au(I)-Catalyzed Halide Exchange and Csp2-O Bond Forming Reactions | Serra, Jordi; Whiteoak, Christopher J.; Acuna-Pares, Ferran; Font, Marc; Luis, Josep M.; Lloret-Fillol, Julio; Ribas, Xavi | Journal of the American Chemical Society (2015), 137(41), 13389-13397",1261036-29-6,1261036-26-3,"621-23-8, 7647-15-6",1138834-30-6,2206-26-0,,,,,,,1,1,97,,,,,,,"{""1"": 97}","[{""index"": 1, ""cas_rn"": ""1261036-29-6"", ""smiles"": ""CN1CCCNCc2cccc(c2I)CNCCC1""}]","[{""index"": 1, ""cas_rn"": ""1261036-26-3"", ""yield_pct"": ""97"", ""smiles"": ""CN1CCCNCc2cccc(c2Br)CNCCC1""}]","[{""index"": 1, ""cas_rn"": ""621-23-8""}, {""index"": 2, ""cas_rn"": ""7647-15-6""}]","[{""index"": 1, ""cas_rn"": ""1138834-30-6""}]","[{""index"": 1, ""cas_rn"": ""2206-26-0""}]","sealed tube used, yield depends on reaction conditions (cat, temp. and time)",
31-174-CAS-13990692,31-174-CAS-13990692,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,95,,,N#Cc1ccc(Sc2ccc(Nc3ccc(Br)cc3)cc2)cc1,N#Cc1ccc(Sc2ccc(Nc3ccc(I)cc3)cc2)cc1,N#Cc1ccc(Sc2ccc(Nc3ccc(Br)cc3)cc2)cc1>>N#Cc1ccc(Sc2ccc(Nc3ccc(I)cc3)cc2)cc1,Synthesis of molecular chains: application of cross-coupling and bromo by iodo exchange reactions,"Fernandez-Hernandez, Jesus M.; Camara, Veronica; Vicente, Jose","Tetrahedron (2015), 71(34), 5506-5512","Synthesis of molecular chains: application of cross-coupling and bromo by iodo exchange reactions | Fernandez-Hernandez, Jesus M.; Camara, Veronica; Vicente, Jose | Tetrahedron (2015), 71(34), 5506-5512",1802240-51-2,1802240-54-5,7681-82-5,"7681-65-4, 67579-81-1",123-91-1,,,,,,,1,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""1802240-51-2"", ""smiles"": ""N#Cc1ccc(Sc2ccc(Nc3ccc(Br)cc3)cc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""1802240-54-5"", ""yield_pct"": ""95"", ""smiles"": ""N#Cc1ccc(Sc2ccc(Nc3ccc(I)cc3)cc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""7681-82-5""}]","[{""index"": 1, ""cas_rn"": ""7681-65-4""}, {""index"": 2, ""cas_rn"": ""67579-81-1""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}]","thermal, Finkelstein reaction",
31-174-CAS-13996551,31-174-CAS-13996551,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,84,,,CC(C)c1cc(Cl)c2ccccc2n1,CC(C)c1cc(I)c2ccccc2n1,CC(C)c1cc(Cl)c2ccccc2n1>>CC(C)c1cc(I)c2ccccc2n1,Acid-mediated halogen exchange in heterocyclic arenes. A highly effective iodination method,"Wolf, Christian; Tumambac, Gilbert E.; Villalobos, Cristina N.","Synlett (2003), (12), 1801-1804","Acid-mediated halogen exchange in heterocyclic arenes. A highly effective iodination method | Wolf, Christian; Tumambac, Gilbert E.; Villalobos, Cristina N. | Synlett (2003), (12), 1801-1804",643017-59-8,643017-60-1,"7647-01-0, 7681-82-5, 584-08-7, 7631-90-5",,"109-99-9, 123-91-1, 75-05-8, 7732-18-5",,,,,,"General/Typical Procedure: General Halide Exchange Procedure To a solution of 1.0 g heterocyclic aryl chloride in 10 mL THF was added 2 mL 4 M HCl in 1,4-dioxane. After 5 min, the solvent was removed and the precipitate dried under reduced pressure. The hydrochloride salt and 4.0 g NaI previously dried at 120 °C under vacuum were suspended 30 mL anhyd MeCN and refluxed for 24 h. After cooling to r.t., an aq solution of 10% K2CO3 and 5% NaHSO3 (10 mL) was added and the mixture was extracted with CH2Cl2. The combined organic layers were dried over MgSO4 and the solvents were evaporated under reduced pressure. The residue was purified by chromatography on silica gel using hexanes:EtOAc:Et3N (100:10:1) as the mobile phase if not stated otherwise. 4-Iodo-2-isopropylquinoline (8) Purification by flash chromatography afforded a yellow oil (1.1 g, 84%). 1H NMR: δ = 1.39 (d, J= 6.9 Hz, 6 H), 3.19 (sept, J = 6.9 Hz, 1 H), 7.55 (ddd, J= 1.4 Hz, J = 6.9 Hz, J = 8.3 Hz, 1 H), 7.70 (ddd, J = 1.4 Hz, J = 6.9 Hz, J = 8.3 Hz, 1 H), 7.95-7.98 (m, 2 H). 13C NMR: δ = 22.5, 36.8, 112.2, 127.1, 128.8, 129.5, 130.1, 130.9, 130.9, 131.3, 147.4, 167.3. EI-MS (70 eV): m/z (%) = 297 (21) [M+], 282 (60) [M+ - Me], 170 (3) [M+ - I], 155 (20) [M+ - I, - Me], 127 (18) [M+ - I, - i-Pr]. Anal. Calcd for C12H12IN: C, 48.51; H, 4.07; N, 4.71. Found: C, 48.91; H, 3.91; N, 4.64.",3,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""643017-59-8"", ""smiles"": ""CC(C)c1cc(Cl)c2ccccc2n1""}]","[{""index"": 1, ""cas_rn"": ""643017-60-1"", ""yield_pct"": ""84"", ""smiles"": ""CC(C)c1cc(I)c2ccccc2n1""}]","[{""index"": 1, ""cas_rn"": ""7647-01-0""}, {""index"": 2, ""cas_rn"": ""7681-82-5""}, {""index"": 3, ""cas_rn"": ""584-08-7""}, {""index"": 4, ""cas_rn"": ""7631-90-5""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""123-91-1""}, {""index"": 3, ""cas_rn"": ""75-05-8""}, {""index"": 4, ""cas_rn"": ""7732-18-5""}]",,
31-174-CAS-14134337,31-174-CAS-14134337,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,97,,,CN1CCCN(C)Cc2cccc(c2Br)CN(C)CCC1,CN1CCCN(C)Cc2cccc(c2F)CN(C)CCC1,CN1CCCN(C)Cc2cccc(c2Br)CN(C)CCC1>>CN1CCCN(C)Cc2cccc(c2F)CN(C)CCC1,Nucleophilic Aryl Fluorination and Aryl Halide Exchange Mediated by a CuI/CuIII Catalytic Cycle,"Casitas, Alicia; Canta, Merce; Sola, Miquel; Costas, Miquel; Ribas, Xavi","Journal of the American Chemical Society (2011), 133(48), 19386-19392","Nucleophilic Aryl Fluorination and Aryl Halide Exchange Mediated by a CuI/CuIII Catalytic Cycle | Casitas, Alicia; Canta, Merce; Sola, Miquel; Costas, Miquel; Ribas, Xavi | Journal of the American Chemical Society (2011), 133(48), 19386-19392",1346233-08-6,1346233-09-7,7775-41-9,58452-28-1,"67-64-1, 75-05-8",,,,,,"General/Typical Procedure: A representative experiment of catalytic C-F bond forming reactions with ligands L5-Cl and L5-Br using 5 % mol of [Cu(CH3CN)4]OTf and several equivalents of AgF is herewith explained. In an inert-atmosphere glove box, 10.4 mg of ligand L5-Cl (0.034 mmols) were dissolved with 4 mL of acetone in a vial. Then 34 μL of stock solution of [Cu(CH3CN)4]OTf 50 mM (1.7 x 10-3 mmols) were added and the colour solution change from colourless to green. In another vial which contains 8.6 mg of AgF (0.068 mmols), 2 mL of CH3CN were added and the suspension was stirred vigorously without presence of light. This last solution was transferred drop by drop to the initial solution of L5-Cl and 10% mol of [Cu(CH3CN)4]OTf for a period of time of 24h. 50 μL of 1,3,5-trimethoxybenzene 3 mM were added to the final colourless solution. Drops of NH4OH were added to the mixture crude and the solution was dried with MgSO4 and filtered. The solution was evaporated under vacuum and the solid obtained was dried under vacuum for several hours. 1H-NMR yield of the L5-F coupling product was obtained in DMSO-d6 and it was calculated using 1,3,5-trimethoxybenzene as internal standard. L5-F. Yield 97%. 1H-NMR (dmso-d6, 400MHz) δ, ppm: 7.20 (t, 2 H, J = 7.2Hz, Hb), 7.05 (t, 1 H, J = 7.6 Hz, Ha), 3.49 (s, 4 H, Hc, Hd), 2.32 (s, 6 H, H1), 2.19 (m, 8 H, He, Hf, Hi, Hj), 1.89 (s, 3 H, Hk), 1.29 (m, 4 H, Hg, Hh); 13C-NMR (CD3CN, 75.5 MHz) δ, ppm: 160.8 (C1, JC-F = 248.97 Hz), 131.5 (C3, JC-F = 5.13 Hz), 126.5 (C2, JC-F = 14.87 Hz), 123.3 (C4, JC-F = 4.22 Hz), 57.1 (C5), 55.6 (C8), 52.0 (C6), 43.3 (C10), 40.3 (C9), 24.9 (C7); 19F NMR (dmso-d6, 282.4 MHz) δ, ppm: -119.3 ppm (CD3CN, 282.4 MHz) δ, ppm: -120.1; ESI-MS (CH3CN, m/z): 294.1 (100) [C17H28N3F]+. Anal. Calcd for L5-F·3/7(CH2Cl2) (%) 63.45 C, 12.74 N, 8.82 H, found: 63.14 C, 12.40 N, 8.82 H.",1,1,97,,,,,,,"{""1"": 97}","[{""index"": 1, ""cas_rn"": ""1346233-08-6"", ""smiles"": ""CN1CCCN(C)Cc2cccc(c2Br)CN(C)CCC1""}]","[{""index"": 1, ""cas_rn"": ""1346233-09-7"", ""yield_pct"": ""97"", ""smiles"": ""CN1CCCN(C)Cc2cccc(c2F)CN(C)CCC1""}]","[{""index"": 1, ""cas_rn"": ""7775-41-9""}]","[{""index"": 1, ""cas_rn"": ""58452-28-1""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""75-05-8""}]",in the dark,
31-174-CAS-14199747,31-174-CAS-14199747,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,86,,,O=C(O)/C=C/c1ccccc1Br,O=C(O)/C=C/c1ccccc1I,O=C(O)/C=C/c1ccccc1Br>>O=C(O)/C=C/c1ccccc1I,Nickel-catalysed aromatic Finkelstein reaction of aryl and heteroaryl bromides,"Cant, Alastair A.; Bhalla, Rajiv; Pimlott, Sally L.; Sutherland, Andrew","Chemical Communications (Cambridge, United Kingdom) (2012), 48(33), 3993-3995","Nickel-catalysed aromatic Finkelstein reaction of aryl and heteroaryl bromides | Cant, Alastair A.; Bhalla, Rajiv; Pimlott, Sally L.; Sutherland, Andrew | Chemical Communications (Cambridge, United Kingdom) (2012), 48(33), 3993-3995",7345-79-1,90276-19-0,7681-82-5,"998-40-3, 13462-88-9",872-50-4,,,,,,,1,1,86,,,,,,,"{""1"": 86}","[{""index"": 1, ""cas_rn"": ""7345-79-1"", ""smiles"": ""O=C(O)/C=C/c1ccccc1Br""}]","[{""index"": 1, ""cas_rn"": ""90276-19-0"", ""yield_pct"": ""86"", ""smiles"": ""O=C(O)/C=C/c1ccccc1I""}]","[{""index"": 1, ""cas_rn"": ""7681-82-5""}]","[{""index"": 1, ""cas_rn"": ""998-40-3""}, {""index"": 2, ""cas_rn"": ""13462-88-9""}]","[{""index"": 1, ""cas_rn"": ""872-50-4""}]","mol. sieves used, aromatic Finkelstein reaction, sealed tube used, reaction under microwave irradn. gave lower yield",
31-174-CAS-1420804,31-174-CAS-1420804,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,76,,,N#Cc1c[nH]c2ccc(Br)cc12,N#Cc1c[nH]c2ccc(Cl)cc12,N#Cc1c[nH]c2ccc(Br)cc12>>N#Cc1c[nH]c2ccc(Cl)cc12,Highly convenient and large scale synthesis of 5-chloroindole and its 3-substituted analogues,"Keetha, Laxminarayana; Palle, Sadanandam; Ramanatham, Vinodkumar; Khagga, Mukkanti; Chinnapillai, Rajendiran","Journal of the Korean Chemical Society (2011), 55(2), 240-242","Highly convenient and large scale synthesis of 5-chloroindole and its 3-substituted analogues | Keetha, Laxminarayana; Palle, Sadanandam; Ramanatham, Vinodkumar; Khagga, Mukkanti; Chinnapillai, Rajendiran | Journal of the Korean Chemical Society (2011), 55(2), 240-242",90271-86-6,194490-14-7,7758-89-6,,872-50-4,,,,,,,1,1,76,,,,,,,"{""1"": 76}","[{""index"": 1, ""cas_rn"": ""90271-86-6"", ""smiles"": ""N#Cc1c[nH]c2ccc(Br)cc12""}]","[{""index"": 1, ""cas_rn"": ""194490-14-7"", ""yield_pct"": ""76"", ""smiles"": ""N#Cc1c[nH]c2ccc(Cl)cc12""}]","[{""index"": 1, ""cas_rn"": ""7758-89-6""}]",[],"[{""index"": 1, ""cas_rn"": ""872-50-4""}]",industrial scale,
31-174-CAS-14411241,31-174-CAS-14411241,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,80,,,O=c1c(Br)c(N2CCN(c3ncccn3)CC2)cnn1CC1CC1,O=c1c(I)c(N2CCN(c3ncccn3)CC2)cnn1CC1CC1,O=c1c(Br)c(N2CCN(c3ncccn3)CC2)cnn1CC1CC1>>O=c1c(I)c(N2CCN(c3ncccn3)CC2)cnn1CC1CC1,"Facile synthesis of 4,5-disubstituted-3(2H)-pyridazinones","Humphries, Paul S.; Oliver, Robert M.","Tetrahedron Letters (2009), 50(22), 2682-2684","Facile synthesis of 4,5-disubstituted-3(2H)-pyridazinones | Humphries, Paul S.; Oliver, Robert M. | Tetrahedron Letters (2009), 50(22), 2682-2684",1160582-80-8,1160582-86-4,"110-18-9, 7681-65-4, 7681-82-5",,123-91-1,,,,,,,1,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""1160582-80-8"", ""smiles"": ""O=c1c(Br)c(N2CCN(c3ncccn3)CC2)cnn1CC1CC1""}]","[{""index"": 1, ""cas_rn"": ""1160582-86-4"", ""yield_pct"": ""80"", ""smiles"": ""O=c1c(I)c(N2CCN(c3ncccn3)CC2)cnn1CC1CC1""}]","[{""index"": 1, ""cas_rn"": ""110-18-9""}, {""index"": 2, ""cas_rn"": ""7681-65-4""}, {""index"": 3, ""cas_rn"": ""7681-82-5""}]",[],"[{""index"": 1, ""cas_rn"": ""123-91-1""}]",,
31-174-CAS-14443138,31-174-CAS-14443138,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,100,,,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,CN(C)CCC(c1ccc(I)cc1)c1ccccn1,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1>>CN(C)CCC(c1ccc(I)cc1)c1ccccn1,Copper-Catalyzed Halogen Exchange in Aryl Halides: An Aromatic Finkelstein Reaction,"Klapars, Artis; Buchwald, Stephen L.","Journal of the American Chemical Society (2002), 124(50), 14844-14845","Copper-Catalyzed Halogen Exchange in Aryl Halides: An Aromatic Finkelstein Reaction | Klapars, Artis; Buchwald, Stephen L. | Journal of the American Chemical Society (2002), 124(50), 14844-14845",86-22-6,488703-45-3,7681-82-5,"7681-65-4, 67579-81-1",123-91-1,,,,,,"General/Typical Procedure: General Procedure. A Schlenk tube was charged with CuI (9.6 mg, 0.050 mmol, 5.0 mol%), aryl bromide (if it is a solid at room temperature; 1.00 mmol), NaI (300 mg, 2.00 mmol), briefly evacuated and backfilled with argon. Racemic trans-N,N'-dimethyl-1,2-cyclohexanediamine (16 μL, 0.10 mmol, 10 mol%), aryl bromide (if it is a liquid at room temperature; 1.00 mmol), and dioxane (1.0 mL) were added under argon. The Schlenk tube was sealed with a Teflon valve and the reaction mixture was stirred at 110 °C for 22-24 h. The resulting suspension was allowed to reach room temperature, diluted with 30% aq ammonia (5 mL), poured into water (20 mL), and extracted with dichloromethane (3×15 mL). The combined organic phases were dried (MgSO4 or Na2SO4), concentrated, and the residue was purified by flash chromatography on silica gel to provide the desired product. (±)-1-(4-Iodophenyl)-1-(2-pyridyl)-3-dimethylaminopropane (4l). Following the general procedure, (±)-1-(4-bromophenyl)-1-(2-pyridyl)-3-dimethylaminopropane14 (256 μL, 1.00 mmol) was converted into (±)-1-(4-iodophenyl)-1-(2-pyridyl)-3-dimethylaminopropane. Purification of the crude product by column chromatography on silica gel (dichloromethane - dichloromethane (saturated with 30% aq ammonia) - methanol 30:20:2) provided the desired product as a pale tan oil (365 mg, 100% yield). 1H NMR (400 MHz, CDCl3): δ 8.56 (ddd, J = 4.8, 1.8, 0.9 Hz, 1H), 7.63-7.57 (m, 2H), 7.55 (td, J = 7.7, 1.8 Hz, 1H), 7.16-7.06 (m, 4H), 2.46-2.32 (m, 1H), 2.24-2.10 (m, 9H). 13C NMR (100 MHz, CDCl3): δ 162.9, 149.4, 143.4, 137.4, 136.4, 130.1, 122.7, 121.4, 91.8, 57.6, 50.7, 45.5, 32.8. IR (neat, cm-1): 1590, 1569, 1482, 1471, 1432, 1006, 749. HRMS-EI calcd for C16H2OIN2 (M+H+), 367.0665; found, 367.0679.",1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""86-22-6"", ""smiles"": ""CN(C)CCC(c1ccc(Br)cc1)c1ccccn1""}]","[{""index"": 1, ""cas_rn"": ""488703-45-3"", ""yield_pct"": ""100"", ""smiles"": ""CN(C)CCC(c1ccc(I)cc1)c1ccccn1""}]","[{""index"": 1, ""cas_rn"": ""7681-82-5""}]","[{""index"": 1, ""cas_rn"": ""7681-65-4""}, {""index"": 2, ""cas_rn"": ""67579-81-1""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}]",stereoselective,
31-174-CAS-14529133,31-174-CAS-14529133,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,100,,,O=[N+]([O-])c1ccc(Cl)cc1Cl,O=[N+]([O-])c1ccc(F)cc1F,O=[N+]([O-])c1ccc(Cl)cc1Cl>>O=[N+]([O-])c1ccc(F)cc1F,Phosphonium ionic liquids as highly thermal stable and efficient phase transfer catalysts for solid-liquid Halex reactions,"Fan, Ao; Chuah, Gaik-Khuan; Jaenicke, Stephan","Catalysis Today (2012), 198(1), 300-304","Phosphonium ionic liquids as highly thermal stable and efficient phase transfer catalysts for solid-liquid Halex reactions | Fan, Ao; Chuah, Gaik-Khuan; Jaenicke, Stephan | Catalysis Today (2012), 198(1), 300-304",611-06-3,446-35-5,7789-23-3,374683-55-3,67-68-5,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""611-06-3"", ""smiles"": ""O=[N+]([O-])c1ccc(Cl)cc1Cl""}]","[{""index"": 1, ""cas_rn"": ""446-35-5"", ""yield_pct"": ""100"", ""smiles"": ""O=[N+]([O-])c1ccc(F)cc1F""}]","[{""index"": 1, ""cas_rn"": ""7789-23-3""}]","[{""index"": 1, ""cas_rn"": ""374683-55-3""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}]","chemoselective, lower reaction time furnished monofluorinated products, ionic liquid used, Halex reaction",
31-174-CAS-14774808,31-174-CAS-14774808,Reaction_20251110_1621.rdf,Aromatic Halogen Exchange,95,,,CC(=O)Nc1ccc(Br)cc1F,CC(=O)Nc1ccc(I)cc1F,CC(=O)Nc1ccc(Br)cc1F>>CC(=O)Nc1ccc(I)cc1F,Copper-Catalyzed Halogen Exchange in Aryl Halides: An Aromatic Finkelstein Reaction,"Klapars, Artis; Buchwald, Stephen L.","Journal of the American Chemical Society (2002), 124(50), 14844-14845","Copper-Catalyzed Halogen Exchange in Aryl Halides: An Aromatic Finkelstein Reaction | Klapars, Artis; Buchwald, Stephen L. | Journal of the American Chemical Society (2002), 124(50), 14844-14845",326-66-9,97760-94-6,7681-82-5,"7681-65-4, 67579-81-1",123-91-1,,,,,,"General/Typical Procedure: General Procedure. A Schlenk tube was charged with CuI (9.6 mg, 0.050 mmol, 5.0 mol%), aryl bromide (if it is a solid at room temperature; 1.00 mmol), NaI (300 mg, 2.00 mmol), briefly evacuated and backfilled with argon. Racemic trans-N,N'-dimethyl-1,2-cyclohexanediamine (16 μL, 0.10 mmol, 10 mol%), aryl bromide (if it is a liquid at room temperature; 1.00 mmol), and dioxane (1.0 mL) were added under argon. The Schlenk tube was sealed with a Teflon valve and the reaction mixture was stirred at 110 °C for 22-24 h. The resulting suspension was allowed to reach room temperature, diluted with 30% aq ammonia (5 mL), poured into water (20 mL), and extracted with dichloromethane (3×15 mL). The combined organic phases were dried (MgSO4 or Na2SO4), concentrated, and the residue was purified by flash chromatography on silica gel to provide the desired product. 2-Fluoro-4-iodoacetanilide (4h). Following the general procedure, 2-fluoro-4-bromoacetanilide (233 mg, 1.00 mmol) was converted into 2-fluoro-4-iodoacetanilide. The reaction mixture was allowed to reach room temperature and filtered through a silica gel plug (1×0.5 cm) eluting with ethyl acetate (50 mL). The filtrate was concentrated and the residue was purified by column chromatography on silica gel (hexane-ethyl acetate 3:2) to provide the desired product as a white solid (265 mg, 95% yield). Mp: 153-154 °C (lit. 152-154 °C).8 1H NMR (400 MHz, DMSOd6): δ 9.81 (s, 1H), 7.74 (t, J = 8.4 Hz, 1H), 7.65 (dd, J = 10.4, 1.9 Hz, 1H), 7.50 (d, J = 8.4 Hz, 1H), 2.08 (s, 3H). 13C NMR (100 MHz, CDCl3): δ 168.8 (s), 153.0 (d, J = 250 Hz), 133.2 (d, J = 3.5 Hz), 126.4 (d, J = 11 Hz), 125.4 (s), 124.1 (d, J = 22 Hz), 87.0 (d, J= 7.1 Hz), 23.6 (s).",1,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""326-66-9"", ""smiles"": ""CC(=O)Nc1ccc(Br)cc1F""}]","[{""index"": 1, ""cas_rn"": ""97760-94-6"", ""yield_pct"": ""95"", ""smiles"": ""CC(=O)Nc1ccc(I)cc1F""}]","[{""index"": 1, ""cas_rn"": ""7681-82-5""}]","[{""index"": 1, ""cas_rn"": ""7681-65-4""}, {""index"": 2, ""cas_rn"": ""67579-81-1""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}]",,
