reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-006-CAS-20035200,31-006-CAS-20035200,4.rdf,Kumada coupling,70,,,C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC.Nc1c(F)cc(Br)cc1C(F)(F)F,CC(=O)c1cc(F)c(N)c(C(F)(F)F)c1,C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC.Nc1c(F)cc(Br)cc1C(F)(F)F>>CC(=O)c1cc(F)c(N)c(C(F)(F)F)c1,: Preparation of aryl-substituted dihydrooxadiazinones as phosphodiesterase 3 inhibitors useful for treatment of hyperproliferative diseases,"Ellermann, Manuel; Gradl, Stefan Nikolaus; Kopitz, Charlotte Christine; Lange, Martin; Tersteegen, Adrian; Lienau, Philip; Hegele-Hartung, Christa; Suelzle, Detlev; Lewis, Timothy A.; Greulich, Heidi; Wu, Xiaoyun; Meyerson, Matthew; Burgin, Alex","World Intellectual Property Organization, WO2019025562 A1 2019-02-07",": Preparation of aryl-substituted dihydrooxadiazinones as phosphodiesterase 3 inhibitors useful for treatment of hyperproliferative diseases | Ellermann, Manuel; Gradl, Stefan Nikolaus; Kopitz, Charlotte Christine; Lange, Martin; Tersteegen, Adrian; Lienau, Philip; Hegele-Hartung, Christa; Suelzle, Detlev; Lewis, Timothy A.; Greulich, Heidi; Wu, Xiaoyun; Meyerson, Matthew; Burgin, Alex | World Intellectual Property Organization, WO2019025562 A1 2019-02-07","97674-02-7, 875664-46-3",1260895-98-4,7647-01-0,14221-01-3,"123-91-1, 7732-18-5",,,,,,,2,1,70,,,,,,,"{""1"": 70}","[{""index"": 1, ""cas_rn"": ""97674-02-7"", ""smiles"": ""C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC""}, {""index"": 2, ""cas_rn"": ""875664-46-3"", ""smiles"": ""Nc1c(F)cc(Br)cc1C(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""1260895-98-4"", ""yield_pct"": ""70"", ""smiles"": ""CC(=O)c1cc(F)c(N)c(C(F)(F)F)c1""}]","[{""index"": 1, ""cas_rn"": ""7647-01-0""}]","[{""index"": 1, ""cas_rn"": ""14221-01-3""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",Stille coupling (stage 1),
31-006-CAS-20035209,31-006-CAS-20035209,5.rdf,Kumada coupling,,,,C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC.FC(F)c1cc(I)ccc1Br,CC(=O)c1ccc(Br)c(C(F)F)c1,C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC.FC(F)c1cc(I)ccc1Br>>CC(=O)c1ccc(Br)c(C(F)F)c1,: Preparation of aryl-substituted dihydrooxadiazinones as phosphodiesterase 3 inhibitors useful for treatment of hyperproliferative diseases,"Ellermann, Manuel; Gradl, Stefan Nikolaus; Kopitz, Charlotte Christine; Lange, Martin; Tersteegen, Adrian; Lienau, Philip; Hegele-Hartung, Christa; Suelzle, Detlev; Lewis, Timothy A.; Greulich, Heidi; Wu, Xiaoyun; Meyerson, Matthew; Burgin, Alex","World Intellectual Property Organization, WO2019025562 A1 2019-02-07",": Preparation of aryl-substituted dihydrooxadiazinones as phosphodiesterase 3 inhibitors useful for treatment of hyperproliferative diseases | Ellermann, Manuel; Gradl, Stefan Nikolaus; Kopitz, Charlotte Christine; Lange, Martin; Tersteegen, Adrian; Lienau, Philip; Hegele-Hartung, Christa; Suelzle, Detlev; Lewis, Timothy A.; Greulich, Heidi; Wu, Xiaoyun; Meyerson, Matthew; Burgin, Alex | World Intellectual Property Organization, WO2019025562 A1 2019-02-07","97674-02-7, 1261496-16-5",2027530-50-1,7647-01-0,14221-01-3,"123-91-1, 7732-18-5",,,,,,,2,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""97674-02-7"", ""smiles"": ""C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC""}, {""index"": 2, ""cas_rn"": ""1261496-16-5"", ""smiles"": ""FC(F)c1cc(I)ccc1Br""}]","[{""index"": 1, ""cas_rn"": ""2027530-50-1"", ""smiles"": ""CC(=O)c1ccc(Br)c(C(F)F)c1""}]","[{""index"": 1, ""cas_rn"": ""7647-01-0""}]","[{""index"": 1, ""cas_rn"": ""14221-01-3""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","chemoselective, Stille coupling (stage 1)",
31-006-CAS-20035253,31-006-CAS-20035253,4.rdf,Kumada coupling,65,,,C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC.O=C1NN=C(c2ccc(Br)c(C(F)(F)F)c2)CO1,CC(=O)c1ccc(C2=NNC(=O)OC2)cc1C(F)(F)F,C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC.O=C1NN=C(c2ccc(Br)c(C(F)(F)F)c2)CO1>>CC(=O)c1ccc(C2=NNC(=O)OC2)cc1C(F)(F)F,: Preparation of aryl-substituted dihydrooxadiazinones as phosphodiesterase 3 inhibitors useful for treatment of hyperproliferative diseases,"Ellermann, Manuel; Gradl, Stefan Nikolaus; Kopitz, Charlotte Christine; Lange, Martin; Tersteegen, Adrian; Lienau, Philip; Hegele-Hartung, Christa; Suelzle, Detlev; Lewis, Timothy A.; Greulich, Heidi; Wu, Xiaoyun; Meyerson, Matthew; Burgin, Alex","World Intellectual Property Organization, WO2019025562 A1 2019-02-07",": Preparation of aryl-substituted dihydrooxadiazinones as phosphodiesterase 3 inhibitors useful for treatment of hyperproliferative diseases | Ellermann, Manuel; Gradl, Stefan Nikolaus; Kopitz, Charlotte Christine; Lange, Martin; Tersteegen, Adrian; Lienau, Philip; Hegele-Hartung, Christa; Suelzle, Detlev; Lewis, Timothy A.; Greulich, Heidi; Wu, Xiaoyun; Meyerson, Matthew; Burgin, Alex | World Intellectual Property Organization, WO2019025562 A1 2019-02-07","97674-02-7, 2275776-51-5",2275776-50-4,7647-01-0,14221-01-3,"123-91-1, 7732-18-5",,,,,,,2,1,65,,,,,,,"{""1"": 65}","[{""index"": 1, ""cas_rn"": ""97674-02-7"", ""smiles"": ""C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC""}, {""index"": 2, ""cas_rn"": ""2275776-51-5"", ""smiles"": ""O=C1NN=C(c2ccc(Br)c(C(F)(F)F)c2)CO1""}]","[{""index"": 1, ""cas_rn"": ""2275776-50-4"", ""yield_pct"": ""65"", ""smiles"": ""CC(=O)c1ccc(C2=NNC(=O)OC2)cc1C(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""7647-01-0""}]","[{""index"": 1, ""cas_rn"": ""14221-01-3""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",Stille coupling (stage 1),
31-049-CAS-10628863,31-049-CAS-10628863,5.rdf,Kumada coupling,,,,COc1ccccc1Br.[Br][Mg][CH]1CCCCC1,Oc1ccccc1C1CCCCC1,COc1ccccc1Br.[Br][Mg][CH]1CCCCC1>>Oc1ccccc1C1CCCCC1,"Design and synthesis of a novel series of [1-(4-hydroxy-benzyl)-1H-indol-5-yloxy]-acetic acid compounds as potent, selective, thyroid hormone receptor β agonists","Burkholder, Timothy P.; Cunningham, Brian E.; Clayton, Joshua R.; Lander, Peter A.; Brown, Matthew L.; Doti, Robert A.; Durst, Gregory L.; Montrose-Rafizadeh, Chahrzad; King, Constance; Osborne, Harold E.; Amos, Robert M.; Zink, Richard W.; Stramm, Lawrence E.; Burris, Thomas P.; Cardona, Guemalli; Konkol, Debra L.; Reidy, Charles; Christe, Michael E.; Genin, Michael J.","Bioorganic & Medicinal Chemistry Letters (2015), 25(7), 1377-1380","Design and synthesis of a novel series of [1-(4-hydroxy-benzyl)-1H-indol-5-yloxy]-acetic acid compounds as potent, selective, thyroid hormone receptor β agonists | Burkholder, Timothy P.; Cunningham, Brian E.; Clayton, Joshua R.; Lander, Peter A.; Brown, Matthew L.; Doti, Robert A.; Durst, Gregory L.; Montrose-Rafizadeh, Chahrzad; King, Constance; Osborne, Harold E.; Amos, Robert M.; Zink, Richard W.; Stramm, Lawrence E.; Burris, Thomas P.; Cardona, Guemalli; Konkol, Debra L.; Reidy, Charles; Christe, Michael E.; Genin, Michael J. | Bioorganic & Medicinal Chemistry Letters (2015), 25(7), 1377-1380","578-57-4, 931-50-0",119-42-6,10294-33-4,7440-02-0,,,,,,,,2,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""578-57-4"", ""smiles"": ""COc1ccccc1Br""}, {""index"": 2, ""cas_rn"": ""931-50-0"", ""smiles"": ""[Br][Mg][CH]1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""119-42-6"", ""smiles"": ""Oc1ccccc1C1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""10294-33-4""}]","[{""index"": 1, ""cas_rn"": ""7440-02-0""}]",[],Kumada coupling,
31-049-CAS-13086426,31-049-CAS-13086426,5.rdf,Kumada coupling,,,,COc1ccccc1Br.[Br][Mg][CH]1CCCC1,Oc1ccccc1C1CCCC1,COc1ccccc1Br.[Br][Mg][CH]1CCCC1>>Oc1ccccc1C1CCCC1,"Design and synthesis of a novel series of [1-(4-hydroxy-benzyl)-1H-indol-5-yloxy]-acetic acid compounds as potent, selective, thyroid hormone receptor β agonists","Burkholder, Timothy P.; Cunningham, Brian E.; Clayton, Joshua R.; Lander, Peter A.; Brown, Matthew L.; Doti, Robert A.; Durst, Gregory L.; Montrose-Rafizadeh, Chahrzad; King, Constance; Osborne, Harold E.; Amos, Robert M.; Zink, Richard W.; Stramm, Lawrence E.; Burris, Thomas P.; Cardona, Guemalli; Konkol, Debra L.; Reidy, Charles; Christe, Michael E.; Genin, Michael J.","Bioorganic & Medicinal Chemistry Letters (2015), 25(7), 1377-1380","Design and synthesis of a novel series of [1-(4-hydroxy-benzyl)-1H-indol-5-yloxy]-acetic acid compounds as potent, selective, thyroid hormone receptor β agonists | Burkholder, Timothy P.; Cunningham, Brian E.; Clayton, Joshua R.; Lander, Peter A.; Brown, Matthew L.; Doti, Robert A.; Durst, Gregory L.; Montrose-Rafizadeh, Chahrzad; King, Constance; Osborne, Harold E.; Amos, Robert M.; Zink, Richard W.; Stramm, Lawrence E.; Burris, Thomas P.; Cardona, Guemalli; Konkol, Debra L.; Reidy, Charles; Christe, Michael E.; Genin, Michael J. | Bioorganic & Medicinal Chemistry Letters (2015), 25(7), 1377-1380","578-57-4, 33240-34-5",1518-84-9,10294-33-4,7440-02-0,,,,,,,,2,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""578-57-4"", ""smiles"": ""COc1ccccc1Br""}, {""index"": 2, ""cas_rn"": ""33240-34-5"", ""smiles"": ""[Br][Mg][CH]1CCCC1""}]","[{""index"": 1, ""cas_rn"": ""1518-84-9"", ""smiles"": ""Oc1ccccc1C1CCCC1""}]","[{""index"": 1, ""cas_rn"": ""10294-33-4""}]","[{""index"": 1, ""cas_rn"": ""7440-02-0""}]",[],Kumada coupling,
31-049-CAS-18548164,31-049-CAS-18548164,5.rdf,Kumada coupling,,,,O=Cc1ccccc1.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.C[CH](C)[Mg][Cl],CC(C)c1ccc(/C=C/c2ccccc2)cc1O,O=Cc1ccccc1.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.C[CH](C)[Mg][Cl]>>CC(C)c1ccc(/C=C/c2ccccc2)cc1O,Preparation of substituted hydroxystilbenes and their therapeutic applications,"Tang, Liren; Zhang, Junling; Guo, Tao; Lyle, Michael Patrick Allen","United States, US9725406 B1 2017-08-08","Preparation of substituted hydroxystilbenes and their therapeutic applications | Tang, Liren; Zhang, Junling; Guo, Tao; Lyle, Michael Patrick Allen | United States, US9725406 B1 2017-08-08","100-52-7, 2121476-98-8, 1068-55-9",1081795-61-0,"1310-73-2, 7732-18-5, 10294-33-4",14647-23-5,"109-99-9, 7732-18-5, 60-29-7, 75-09-2",,,,,,,5,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""100-52-7"", ""smiles"": ""O=Cc1ccccc1""}, {""index"": 2, ""cas_rn"": ""2121476-98-8"", ""smiles"": ""CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC""}, {""index"": 3, ""cas_rn"": ""1068-55-9"", ""smiles"": ""C[CH](C)[Mg][Cl]""}]","[{""index"": 1, ""cas_rn"": ""1081795-61-0"", ""smiles"": ""CC(C)c1ccc(/C=C/c2ccccc2)cc1O""}]","[{""index"": 1, ""cas_rn"": ""1310-73-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""10294-33-4""}]","[{""index"": 1, ""cas_rn"": ""14647-23-5""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""60-29-7""}, {""index"": 4, ""cas_rn"": ""75-09-2""}]","Horner-Wadsworth-Emmons reaction in stage 1,stereoselective in stage 1,Kumada cross coupling reaction in stage 2,Grignard reagent used in stage 2",
31-049-CAS-18548165,31-049-CAS-18548165,5.rdf,Kumada coupling,,,,O=Cc1ccccc1F.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.C[CH](C)[Mg][Cl],CC(C)c1ccc(/C=C/c2ccccc2F)cc1O,O=Cc1ccccc1F.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.C[CH](C)[Mg][Cl]>>CC(C)c1ccc(/C=C/c2ccccc2F)cc1O,Preparation of substituted hydroxystilbenes and their therapeutic applications,"Tang, Liren; Zhang, Junling; Guo, Tao; Lyle, Michael Patrick Allen","United States, US9725406 B1 2017-08-08","Preparation of substituted hydroxystilbenes and their therapeutic applications | Tang, Liren; Zhang, Junling; Guo, Tao; Lyle, Michael Patrick Allen | United States, US9725406 B1 2017-08-08","446-52-6, 2121476-98-8, 1068-55-9",2121476-70-6,"1310-73-2, 7732-18-5, 10294-33-4",14647-23-5,"109-99-9, 7732-18-5, 60-29-7, 75-09-2",,,,,,,5,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""446-52-6"", ""smiles"": ""O=Cc1ccccc1F""}, {""index"": 2, ""cas_rn"": ""2121476-98-8"", ""smiles"": ""CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC""}, {""index"": 3, ""cas_rn"": ""1068-55-9"", ""smiles"": ""C[CH](C)[Mg][Cl]""}]","[{""index"": 1, ""cas_rn"": ""2121476-70-6"", ""smiles"": ""CC(C)c1ccc(/C=C/c2ccccc2F)cc1O""}]","[{""index"": 1, ""cas_rn"": ""1310-73-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""10294-33-4""}]","[{""index"": 1, ""cas_rn"": ""14647-23-5""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""60-29-7""}, {""index"": 4, ""cas_rn"": ""75-09-2""}]","Horner-Wadsworth-Emmons reaction in stage 1,stereoselective in stage 1,Kumada cross coupling reaction in stage 2,Grignard reagent used in stage 2",
31-049-CAS-18548166,31-049-CAS-18548166,5.rdf,Kumada coupling,,,,O=Cc1cccc(F)c1.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.C[CH](C)[Mg][Cl],CC(C)c1ccc(/C=C/c2cccc(F)c2)cc1O,O=Cc1cccc(F)c1.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.C[CH](C)[Mg][Cl]>>CC(C)c1ccc(/C=C/c2cccc(F)c2)cc1O,Preparation of substituted hydroxystilbenes and their therapeutic applications,"Tang, Liren; Zhang, Junling; Guo, Tao; Lyle, Michael Patrick Allen","United States, US9725406 B1 2017-08-08","Preparation of substituted hydroxystilbenes and their therapeutic applications | Tang, Liren; Zhang, Junling; Guo, Tao; Lyle, Michael Patrick Allen | United States, US9725406 B1 2017-08-08","456-48-4, 2121476-98-8, 1068-55-9",2121476-72-8,"1310-73-2, 7732-18-5, 10294-33-4",14647-23-5,"109-99-9, 7732-18-5, 60-29-7, 75-09-2",,,,,,,5,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""456-48-4"", ""smiles"": ""O=Cc1cccc(F)c1""}, {""index"": 2, ""cas_rn"": ""2121476-98-8"", ""smiles"": ""CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC""}, {""index"": 3, ""cas_rn"": ""1068-55-9"", ""smiles"": ""C[CH](C)[Mg][Cl]""}]","[{""index"": 1, ""cas_rn"": ""2121476-72-8"", ""smiles"": ""CC(C)c1ccc(/C=C/c2cccc(F)c2)cc1O""}]","[{""index"": 1, ""cas_rn"": ""1310-73-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""10294-33-4""}]","[{""index"": 1, ""cas_rn"": ""14647-23-5""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""60-29-7""}, {""index"": 4, ""cas_rn"": ""75-09-2""}]","Horner-Wadsworth-Emmons reaction in stage 1,stereoselective in stage 1,Kumada cross coupling reaction in stage 2,Grignard reagent used in stage 2",
31-049-CAS-18548167,31-049-CAS-18548167,5.rdf,Kumada coupling,,,,O=Cc1ccc(F)cc1F.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.C[CH](C)[Mg][Cl],CC(C)c1ccc(/C=C/c2ccc(F)cc2F)cc1O,O=Cc1ccc(F)cc1F.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.C[CH](C)[Mg][Cl]>>CC(C)c1ccc(/C=C/c2ccc(F)cc2F)cc1O,Preparation of substituted hydroxystilbenes and their therapeutic applications,"Tang, Liren; Zhang, Junling; Guo, Tao; Lyle, Michael Patrick Allen","United States, US9725406 B1 2017-08-08","Preparation of substituted hydroxystilbenes and their therapeutic applications | Tang, Liren; Zhang, Junling; Guo, Tao; Lyle, Michael Patrick Allen | United States, US9725406 B1 2017-08-08","1550-35-2, 2121476-98-8, 1068-55-9",2121476-74-0,"1310-73-2, 7732-18-5, 10294-33-4",14647-23-5,"109-99-9, 7732-18-5, 60-29-7, 75-09-2",,,,,,,5,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""1550-35-2"", ""smiles"": ""O=Cc1ccc(F)cc1F""}, {""index"": 2, ""cas_rn"": ""2121476-98-8"", ""smiles"": ""CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC""}, {""index"": 3, ""cas_rn"": ""1068-55-9"", ""smiles"": ""C[CH](C)[Mg][Cl]""}]","[{""index"": 1, ""cas_rn"": ""2121476-74-0"", ""smiles"": ""CC(C)c1ccc(/C=C/c2ccc(F)cc2F)cc1O""}]","[{""index"": 1, ""cas_rn"": ""1310-73-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""10294-33-4""}]","[{""index"": 1, ""cas_rn"": ""14647-23-5""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""60-29-7""}, {""index"": 4, ""cas_rn"": ""75-09-2""}]","Horner-Wadsworth-Emmons reaction in stage 1,stereoselective in stage 1,Kumada cross coupling reaction in stage 2,Grignard reagent used in stage 2",
31-049-CAS-18548168,31-049-CAS-18548168,5.rdf,Kumada coupling,,,,O=Cc1c(F)cccc1F.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.C[CH](C)[Mg][Cl],CC(C)c1ccc(/C=C/c2c(F)cccc2F)cc1O,O=Cc1c(F)cccc1F.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.C[CH](C)[Mg][Cl]>>CC(C)c1ccc(/C=C/c2c(F)cccc2F)cc1O,Preparation of substituted hydroxystilbenes and their therapeutic applications,"Tang, Liren; Zhang, Junling; Guo, Tao; Lyle, Michael Patrick Allen","United States, US9725406 B1 2017-08-08","Preparation of substituted hydroxystilbenes and their therapeutic applications | Tang, Liren; Zhang, Junling; Guo, Tao; Lyle, Michael Patrick Allen | United States, US9725406 B1 2017-08-08","437-81-0, 2121476-98-8, 1068-55-9",2121476-75-1,"1310-73-2, 7732-18-5, 10294-33-4",14647-23-5,"109-99-9, 7732-18-5, 60-29-7, 75-09-2",,,,,,,5,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""437-81-0"", ""smiles"": ""O=Cc1c(F)cccc1F""}, {""index"": 2, ""cas_rn"": ""2121476-98-8"", ""smiles"": ""CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC""}, {""index"": 3, ""cas_rn"": ""1068-55-9"", ""smiles"": ""C[CH](C)[Mg][Cl]""}]","[{""index"": 1, ""cas_rn"": ""2121476-75-1"", ""smiles"": ""CC(C)c1ccc(/C=C/c2c(F)cccc2F)cc1O""}]","[{""index"": 1, ""cas_rn"": ""1310-73-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""10294-33-4""}]","[{""index"": 1, ""cas_rn"": ""14647-23-5""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""60-29-7""}, {""index"": 4, ""cas_rn"": ""75-09-2""}]","Horner-Wadsworth-Emmons reaction in stage 1,stereoselective in stage 1,Kumada cross coupling reaction in stage 2,Grignard reagent used in stage 2",
31-049-CAS-18548169,31-049-CAS-18548169,5.rdf,Kumada coupling,,,,N#Cc1ccc(C=O)cc1.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.C[CH](C)[Mg][Cl],CC(C)c1ccc(/C=C/c2ccc(C#N)cc2)cc1O,N#Cc1ccc(C=O)cc1.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.C[CH](C)[Mg][Cl]>>CC(C)c1ccc(/C=C/c2ccc(C#N)cc2)cc1O,Preparation of substituted hydroxystilbenes and their therapeutic applications,"Tang, Liren; Zhang, Junling; Guo, Tao; Lyle, Michael Patrick Allen","United States, US9725406 B1 2017-08-08","Preparation of substituted hydroxystilbenes and their therapeutic applications | Tang, Liren; Zhang, Junling; Guo, Tao; Lyle, Michael Patrick Allen | United States, US9725406 B1 2017-08-08","105-07-7, 2121476-98-8, 1068-55-9",2121476-76-2,"1310-73-2, 7732-18-5, 10294-33-4",14647-23-5,"109-99-9, 7732-18-5, 60-29-7, 75-09-2",,,,,,,5,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""105-07-7"", ""smiles"": ""N#Cc1ccc(C=O)cc1""}, {""index"": 2, ""cas_rn"": ""2121476-98-8"", ""smiles"": ""CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC""}, {""index"": 3, ""cas_rn"": ""1068-55-9"", ""smiles"": ""C[CH](C)[Mg][Cl]""}]","[{""index"": 1, ""cas_rn"": ""2121476-76-2"", ""smiles"": ""CC(C)c1ccc(/C=C/c2ccc(C#N)cc2)cc1O""}]","[{""index"": 1, ""cas_rn"": ""1310-73-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""10294-33-4""}]","[{""index"": 1, ""cas_rn"": ""14647-23-5""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""60-29-7""}, {""index"": 4, ""cas_rn"": ""75-09-2""}]","Horner-Wadsworth-Emmons reaction in stage 1,stereoselective in stage 1,Kumada cross coupling reaction in stage 2,Grignard reagent used in stage 2",
