reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-006-CAS-11608505,31-006-CAS-11608505,Reaction_20251105_2039 (2).rdf,Carbamate formation,76,,,CC(C)C(C#N)C/C=C/COC1CCCCO1.O=C(Cl)OCC1c2ccccc2-c2ccccc21,CC(C)C(C/C=C/CO)CNC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)C(C#N)C/C=C/COC1CCCCO1.O=C(Cl)OCC1c2ccccc2-c2ccccc21>>CC(C)C(C/C=C/CO)CNC(=O)OCC1c2ccccc2-c2ccccc21,Gold(I)-Catalyzed Enantioselective Intramolecular Dehydrative Amination of Allylic Alcohols with Carbamates,"Mukherjee, Paramita; Widenhoefer, Ross A.","Angewandte Chemie, International Edition (2012), 51(6), 1405-1407, S1405/1-S1405/96","Gold(I)-Catalyzed Enantioselective Intramolecular Dehydrative Amination of Allylic Alcohols with Carbamates | Mukherjee, Paramita; Widenhoefer, Ross A. | Angewandte Chemie, International Edition (2012), 51(6), 1405-1407, S1405/1-S1405/96","1372806-88-6, 28920-43-6",1372806-92-2,"16853-85-3, 7647-14-5, 121-44-8, 7732-18-5, 144-55-8",104-15-4,"60-29-7, 7732-18-5, 75-09-2, 67-56-1",,,,,,,6,1,76,,,,,,,"{""1"": 76}","[{""index"": 1, ""cas_rn"": ""1372806-88-6"", ""smiles"": ""CC(C)C(C#N)C/C=C/COC1CCCCO1""}, {""index"": 2, ""cas_rn"": ""28920-43-6"", ""smiles"": ""O=C(Cl)OCC1c2ccccc2-c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""1372806-92-2"", ""yield_pct"": ""76"", ""smiles"": ""CC(C)C(C/C=C/CO)CNC(=O)OCC1c2ccccc2-c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""16853-85-3""}, {""index"": 2, ""cas_rn"": ""7647-14-5""}, {""index"": 3, ""cas_rn"": ""121-44-8""}, {""index"": 4, ""cas_rn"": ""7732-18-5""}, {""index"": 5, ""cas_rn"": ""144-55-8""}]","[{""index"": 1, ""cas_rn"": ""104-15-4""}]","[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""75-09-2""}, {""index"": 4, ""cas_rn"": ""67-56-1""}]",,
31-006-CAS-14255772,31-006-CAS-14255772,Reaction_20251105_2039 (2).rdf,Carbamate formation,80,,,O=C(Cl)OCC1c2ccccc2-c2ccccc21.CC(C)(C)OC(=O)NCCNC/C=C/COC1CCCCO1,CC(C)(C)OC(=O)NCCN(C/C=C/CO)C(=O)OCC1c2ccccc2-c2ccccc21,O=C(Cl)OCC1c2ccccc2-c2ccccc21.CC(C)(C)OC(=O)NCCNC/C=C/COC1CCCCO1>>CC(C)(C)OC(=O)NCCN(C/C=C/CO)C(=O)OCC1c2ccccc2-c2ccccc21,Gold(I)-Catalyzed Enantioselective Intramolecular Dehydrative Amination of Allylic Alcohols with Carbamates,"Mukherjee, Paramita; Widenhoefer, Ross A.","Angewandte Chemie, International Edition (2012), 51(6), 1405-1407, S1405/1-S1405/96","Gold(I)-Catalyzed Enantioselective Intramolecular Dehydrative Amination of Allylic Alcohols with Carbamates | Mukherjee, Paramita; Widenhoefer, Ross A. | Angewandte Chemie, International Edition (2012), 51(6), 1405-1407, S1405/1-S1405/96","28920-43-6, 1372807-05-0",1372807-07-2,121-44-8,104-15-4,"109-99-9, 67-56-1",,,,,,,2,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""28920-43-6"", ""smiles"": ""O=C(Cl)OCC1c2ccccc2-c2ccccc21""}, {""index"": 2, ""cas_rn"": ""1372807-05-0"", ""smiles"": ""CC(C)(C)OC(=O)NCCNC/C=C/COC1CCCCO1""}]","[{""index"": 1, ""cas_rn"": ""1372807-07-2"", ""yield_pct"": ""80"", ""smiles"": ""CC(C)(C)OC(=O)NCCN(C/C=C/CO)C(=O)OCC1c2ccccc2-c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}]","[{""index"": 1, ""cas_rn"": ""104-15-4""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""67-56-1""}]",,
31-006-CAS-5200265,31-006-CAS-5200265,Reaction_20251105_2039 (1).rdf,Carbamate formation,85,,,CC(C)(C#N)C/C=C/COC1CCCCO1.O=C(Cl)OCC1c2ccccc2-c2ccccc21,CC(C)(C/C=C/CO)CNC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C#N)C/C=C/COC1CCCCO1.O=C(Cl)OCC1c2ccccc2-c2ccccc21>>CC(C)(C/C=C/CO)CNC(=O)OCC1c2ccccc2-c2ccccc21,Gold(I)-Catalyzed Enantioselective Intramolecular Dehydrative Amination of Allylic Alcohols with Carbamates,"Mukherjee, Paramita; Widenhoefer, Ross A.","Angewandte Chemie, International Edition (2012), 51(6), 1405-1407, S1405/1-S1405/96","Gold(I)-Catalyzed Enantioselective Intramolecular Dehydrative Amination of Allylic Alcohols with Carbamates | Mukherjee, Paramita; Widenhoefer, Ross A. | Angewandte Chemie, International Edition (2012), 51(6), 1405-1407, S1405/1-S1405/96","1372806-87-5, 28920-43-6",1372806-89-7,"16853-85-3, 7647-14-5, 121-44-8, 7732-18-5, 144-55-8",104-15-4,"60-29-7, 7732-18-5, 75-09-2, 67-56-1",,,,,,,6,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""1372806-87-5"", ""smiles"": ""CC(C)(C#N)C/C=C/COC1CCCCO1""}, {""index"": 2, ""cas_rn"": ""28920-43-6"", ""smiles"": ""O=C(Cl)OCC1c2ccccc2-c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""1372806-89-7"", ""yield_pct"": ""85"", ""smiles"": ""CC(C)(C/C=C/CO)CNC(=O)OCC1c2ccccc2-c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""16853-85-3""}, {""index"": 2, ""cas_rn"": ""7647-14-5""}, {""index"": 3, ""cas_rn"": ""121-44-8""}, {""index"": 4, ""cas_rn"": ""7732-18-5""}, {""index"": 5, ""cas_rn"": ""144-55-8""}]","[{""index"": 1, ""cas_rn"": ""104-15-4""}]","[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""75-09-2""}, {""index"": 4, ""cas_rn"": ""67-56-1""}]",,
31-008-CAS-14338815,31-008-CAS-14338815,Reaction_20251105_2039 (2).rdf,Carbamate formation,75,,,O=C(Cl)OCc1ccccc1.N[C@H](CO)Cc1ccc(O)cc1.CI,COc1ccc(C[C@@H](CO)NC(=O)OCc2ccccc2)cc1,O=C(Cl)OCc1ccccc1.N[C@H](CO)Cc1ccc(O)cc1.CI>>COc1ccc(C[C@@H](CO)NC(=O)OCc2ccccc2)cc1,Synthesis of substituted morpholines using stereodivergent aza-Michael reactions catalyzed by Bronsted acids,"Zhong, Cheng; Wang, Yikai; O'Herin, Conor; Young, Damian W.","ACS Catalysis (2013), 3(4), 643-646","Synthesis of substituted morpholines using stereodivergent aza-Michael reactions catalyzed by Bronsted acids | Zhong, Cheng; Wang, Yikai; O'Herin, Conor; Young, Damian W. | ACS Catalysis (2013), 3(4), 643-646","501-53-1, 5034-68-4, 74-88-4",115424-05-0,"121-44-8, 584-08-7",1122-58-3,68-12-2,,,,,,"To a round bottom flask equipped with magnetic stir bar, L-tyrosine (200 mg, 1.2 mmol) was added and dissolved in DMF (8.0 mL, 0.15 M) followed by the addition of EtN3 (157 mg, 1.56 mmol, 1.3 eq.) and DMAP (7.5 mg, 0.06 mmol, 0.05 eq.). The reaction flask was cooled in ice water for 15 minutes and CbzCl (224 mg, 1.32 mmol, 1.1 eq.) was added drop wise over 5 minutes. The reaction was monitored by TLC and until the starting material was consumed over 5 hours. The mixture was diluted with EtOAc (100 mL) and washed by HCl solution (1.0 M), saturated NaHCO3 (aq.), brine and then dried over anhydrous Na2SO4. The solvent was removed under reduced pressure to give the crude residue. Without column purification, the crude Z-tyrosine was dissolved in DMF (8 mL, 0.15 M) and MeI (186 mg, 1.32 mmol, 1.1 eq.) was added. Next, oven dried K2CO3 (882 mg, 6.0 mmol, 5 eq.) was added to the reaction mixture was stirred for 10 hours, based on TLC consumption of the starting material. The mixture was diluted with EtOAc (100 mL), washed with HCl solution (1.0 M), saturated NaHCO3 (aq.), brine and then dried over anhydrous Na2SO4. The solvent was removed under reduced pressure to give the crude residue. Flash silica gel chromatography (Ethyl Acetate/Hexane 40:60) was then applied to give the protected amino alcohol. 285 mg (75% yield).",2,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""501-53-1"", ""smiles"": ""O=C(Cl)OCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""5034-68-4"", ""smiles"": ""N[C@H](CO)Cc1ccc(O)cc1""}, {""index"": 3, ""cas_rn"": ""74-88-4"", ""smiles"": ""CI""}]","[{""index"": 1, ""cas_rn"": ""115424-05-0"", ""yield_pct"": ""75"", ""smiles"": ""COc1ccc(C[C@@H](CO)NC(=O)OCc2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}, {""index"": 2, ""cas_rn"": ""584-08-7""}]","[{""index"": 1, ""cas_rn"": ""1122-58-3""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}]","chemoselective (stages 1+2), intermediate Cbz-protected substrate from stage 1 added in stage 2, dropwise addition of Cbz-Cl (stage 1, substage 1)",
31-008-CAS-16093087,31-008-CAS-16093087,Reaction_20251105_2039 (1).rdf,Carbamate formation,82,,,O=C(Cl)CCl.CC1(C)OC(=O)c2cc(N)c(O)cc2O1,O=C1COc2cc(O)c(C(=O)O)cc2N1,O=C(Cl)CCl.CC1(C)OC(=O)c2cc(N)c(O)cc2O1>>O=C1COc2cc(O)c(C(=O)O)cc2N1,"Diversity-oriented synthesis for novel, selective and drug-like inhibitors for a phosphatase from Mycobacterium tuberculosis","He, Rongjun; Bai, Yunpeng; Yu, Zhi-Hong; Wu, Li; Gunawan, Andrea Michelle; Zhang, Zhong-Yin","MedChemComm (2014), 5(10), 1496-1499","Diversity-oriented synthesis for novel, selective and drug-like inhibitors for a phosphatase from Mycobacterium tuberculosis | He, Rongjun; Bai, Yunpeng; Yu, Zhi-Hong; Wu, Li; Gunawan, Andrea Michelle; Zhang, Zhong-Yin | MedChemComm (2014), 5(10), 1496-1499","79-04-9, 1926977-27-6",1926979-71-6,"584-08-7, 1310-65-2",,67-56-1,,,,,,,2,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""79-04-9"", ""smiles"": ""O=C(Cl)CCl""}, {""index"": 2, ""cas_rn"": ""1926977-27-6"", ""smiles"": ""CC1(C)OC(=O)c2cc(N)c(O)cc2O1""}]","[{""index"": 1, ""cas_rn"": ""1926979-71-6"", ""yield_pct"": ""82"", ""smiles"": ""O=C1COc2cc(O)c(C(=O)O)cc2N1""}]","[{""index"": 1, ""cas_rn"": ""584-08-7""}, {""index"": 2, ""cas_rn"": ""1310-65-2""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]",,
31-008-CAS-5728692,31-008-CAS-5728692,Reaction_20251105_2039.rdf,Carbamate formation,91,,21.0,Nc1ccc(O)cc1C(=O)O.CCOC(=O)Cl.BrCc1ccccc1,CCOC(=O)Nc1ccc(OCc2ccccc2)cc1C(=O)O,Nc1ccc(O)cc1C(=O)O.CCOC(=O)Cl.BrCc1ccccc1>>CCOC(=O)Nc1ccc(OCc2ccccc2)cc1C(=O)O,Identification of a neuroprotective and selective butyrylcholinesterase inhibitor derived from the natural alkaloid evodiamine,"Huang, Guozheng; Kling, Beata; Darras, Fouad H.; Heilmann, Joerg; Decker, Michael","European Journal of Medicinal Chemistry (2014), 8115-21","Identification of a neuroprotective and selective butyrylcholinesterase inhibitor derived from the natural alkaloid evodiamine | Huang, Guozheng; Kling, Beata; Darras, Fouad H.; Heilmann, Joerg; Decker, Michael | European Journal of Medicinal Chemistry (2014), 8115-21","394-31-0, 541-41-3, 100-39-0",104356-42-5,"584-08-7, 7732-18-5, 1310-58-3, 7647-01-0",,"123-91-1, 68-12-2, 67-56-1, 7732-18-5",,,,,,,5,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""394-31-0"", ""smiles"": ""Nc1ccc(O)cc1C(=O)O""}, {""index"": 2, ""cas_rn"": ""541-41-3"", ""smiles"": ""CCOC(=O)Cl""}, {""index"": 3, ""cas_rn"": ""100-39-0"", ""smiles"": ""BrCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""104356-42-5"", ""yield_pct"": ""91"", ""smiles"": ""CCOC(=O)Nc1ccc(OCc2ccccc2)cc1C(=O)O""}]","[{""index"": 1, ""cas_rn"": ""584-08-7""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""1310-58-3""}, {""index"": 4, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""123-91-1""}, {""index"": 2, ""cas_rn"": ""68-12-2""}, {""index"": 3, ""cas_rn"": ""67-56-1""}, {""index"": 4, ""cas_rn"": ""7732-18-5""}]","incremental addition of ethyl chloroformate after 3 hours in stage 1, incremental addition of benzyl bromide and agent after 18 hours in stage 2",
31-043-CAS-11569828,31-043-CAS-11569828,Reaction_20251105_2039 (1).rdf,Carbamate formation,86,,,Cc1c(C(=O)Cl)nnn1-c1ccc(Cl)cc1,Cc1c(C(=O)N=[N+]=[N-])nnn1-c1ccc(Cl)cc1,Cc1c(C(=O)Cl)nnn1-c1ccc(Cl)cc1>>Cc1c(C(=O)N=[N+]=[N-])nnn1-c1ccc(Cl)cc1,"Synthesis of some new N-[1-(4-chlorophenyl)-5-methyl-1,2,3-triazol-4-yl]-carbamic acid esters","Jia, Wei; Dong, Hong-Ru; Quan, Bin; Dong, Heng-Shan; Wang, Qing-Lian","Indian Journal of Heterocyclic Chemistry (2007), 17(1), 103-104","Synthesis of some new N-[1-(4-chlorophenyl)-5-methyl-1,2,3-triazol-4-yl]-carbamic acid esters | Jia, Wei; Dong, Hong-Ru; Quan, Bin; Dong, Heng-Shan; Wang, Qing-Lian | Indian Journal of Heterocyclic Chemistry (2007), 17(1), 103-104",88958-23-0,743478-76-4,26628-22-8,,109-66-0,,,,,,,1,1,86,,,,,,,"{""1"": 86}","[{""index"": 1, ""cas_rn"": ""88958-23-0"", ""smiles"": ""Cc1c(C(=O)Cl)nnn1-c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""743478-76-4"", ""yield_pct"": ""86"", ""smiles"": ""Cc1c(C(=O)N=[N+]=[N-])nnn1-c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""26628-22-8""}]",[],"[{""index"": 1, ""cas_rn"": ""109-66-0""}]",,
31-043-CAS-17910319,31-043-CAS-17910319,Reaction_20251105_2039.rdf,Carbamate formation,92,,,O=C(Cl)/C=C/c1ccccc1,[N-]=[N+]=NC(=O)/C=C/c1ccccc1,O=C(Cl)/C=C/c1ccccc1>>[N-]=[N+]=NC(=O)/C=C/c1ccccc1,"Synthesis of Amines, Carbamates and Amides by Multi-Step Continuous Flow Synthesis","Sagandira, Cloudius R.; Watts, Paul","European Journal of Organic Chemistry (2017), 2017(44), 6554-6565","Synthesis of Amines, Carbamates and Amides by Multi-Step Continuous Flow Synthesis | Sagandira, Cloudius R.; Watts, Paul | European Journal of Organic Chemistry (2017), 2017(44), 6554-6565",17082-09-6,33066-17-0,26628-22-8,,"75-05-8, 7732-18-5",,,,,,,1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""17082-09-6"", ""smiles"": ""O=C(Cl)/C=C/c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""33066-17-0"", ""yield_pct"": ""92"", ""smiles"": ""[N-]=[N+]=NC(=O)/C=C/c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""26628-22-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",continuous flow mode used,
31-043-CAS-17910322,31-043-CAS-17910322,Reaction_20251105_2039.rdf,Carbamate formation,92,,,COc1ccc(C(=O)Cl)cc1,COc1ccc(C(=O)N=[N+]=[N-])cc1,COc1ccc(C(=O)Cl)cc1>>COc1ccc(C(=O)N=[N+]=[N-])cc1,"Synthesis of Amines, Carbamates and Amides by Multi-Step Continuous Flow Synthesis","Sagandira, Cloudius R.; Watts, Paul","European Journal of Organic Chemistry (2017), 2017(44), 6554-6565","Synthesis of Amines, Carbamates and Amides by Multi-Step Continuous Flow Synthesis | Sagandira, Cloudius R.; Watts, Paul | European Journal of Organic Chemistry (2017), 2017(44), 6554-6565",100-07-2,3532-17-0,26628-22-8,,"75-05-8, 7732-18-5",,,,,,,1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""100-07-2"", ""smiles"": ""COc1ccc(C(=O)Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""3532-17-0"", ""yield_pct"": ""92"", ""smiles"": ""COc1ccc(C(=O)N=[N+]=[N-])cc1""}]","[{""index"": 1, ""cas_rn"": ""26628-22-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",continuous flow mode used,
31-043-CAS-5343663,31-043-CAS-5343663,Reaction_20251105_2039.rdf,Carbamate formation,92,,,Cc1c(C(=O)Cl)nnn1-c1ccccc1,Cc1c(C(=O)N=[N+]=[N-])nnn1-c1ccccc1,Cc1c(C(=O)Cl)nnn1-c1ccccc1>>Cc1c(C(=O)N=[N+]=[N-])nnn1-c1ccccc1,Synthesis of polynuclear azoles linked through carbamate and urea bridges,"Golobokova, T. V.; Pokatilov, F. A.; Proidakov, A. G.; Kazantseva, M. V.; Shevchenko, G. G.; Vereshchagin, L. I.; Kizhnyaev, V. N.","Russian Journal of Organic Chemistry (2012), 48(4), 566-574","Synthesis of polynuclear azoles linked through carbamate and urea bridges | Golobokova, T. V.; Pokatilov, F. A.; Proidakov, A. G.; Kazantseva, M. V.; Shevchenko, G. G.; Vereshchagin, L. I.; Kizhnyaev, V. N. | Russian Journal of Organic Chemistry (2012), 48(4), 566-574",88958-17-2,51118-34-4,26628-22-8,56-37-1,"60-29-7, 7732-18-5",,,,,,"General/Typical Procedure: 2-Phenyl-2H-1,2,3-triazole-4-carbonyl azide (VIIa). Acid chloride XIIa, 5 g (24 mmol), was added in portions under vigorous stirring at room temperature to a mixture of 2.4 g (37 mmol) of sodium azide, 25 ml of water, 0.2 g of benzyltriethylammonium chloride (BTEAC), and 35 ml of diethyl ether. The mixture was stirred for 3 h until XIIa disappeared (TLC), the organic phase was separated, and the aqueous phase was extracted with diethyl ether (5 × 35 ml). The extracts were combined with the organic phase, dried over anhydrous CaCl2, and evaporated by purging with air. 5-Methyl-1-phenyl-1H-1,2,3-triazole-4-carbonyl azide (VIIb) was obtained from 4.9 g (22 mmol) of XIIb and 3.2 g (49 mmol) of sodium azide in 50 ml of water using 0.3 g of BTEAC. Yield 4.6 g (92%). Mp 88-89°C. IR spectrum, ν, cm-1: 2193 (N3), 1694 (C=O). Found, %: C 52.78; H 3.59; N 36.45. C10H8N6O. Calculated, %: C 52.63; H 3.50; N 36.84.",1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""88958-17-2"", ""smiles"": ""Cc1c(C(=O)Cl)nnn1-c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""51118-34-4"", ""yield_pct"": ""92"", ""smiles"": ""Cc1c(C(=O)N=[N+]=[N-])nnn1-c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""26628-22-8""}]","[{""index"": 1, ""cas_rn"": ""56-37-1""}]","[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-043-CAS-7484214,31-043-CAS-7484214,Reaction_20251105_2039 (2).rdf,Carbamate formation,79,,,O=C(Cl)Cn1nnc(-c2ccccc2)n1,[N-]=[N+]=NC(=O)Cn1nnc(-c2ccccc2)n1,O=C(Cl)Cn1nnc(-c2ccccc2)n1>>[N-]=[N+]=NC(=O)Cn1nnc(-c2ccccc2)n1,Synthesis of polynuclear azoles linked through carbamate and urea bridges,"Golobokova, T. V.; Pokatilov, F. A.; Proidakov, A. G.; Kazantseva, M. V.; Shevchenko, G. G.; Vereshchagin, L. I.; Kizhnyaev, V. N.","Russian Journal of Organic Chemistry (2012), 48(4), 566-574","Synthesis of polynuclear azoles linked through carbamate and urea bridges | Golobokova, T. V.; Pokatilov, F. A.; Proidakov, A. G.; Kazantseva, M. V.; Shevchenko, G. G.; Vereshchagin, L. I.; Kizhnyaev, V. N. | Russian Journal of Organic Chemistry (2012), 48(4), 566-574",165816-78-4,93795-29-0,26628-22-8,56-37-1,"60-29-7, 7732-18-5",,,,,,"General/Typical Procedure: 2-Phenyl-2H-1,2,3-triazole-4-carbonyl azide (VIIa). Acid chloride XIIa, 5 g (24 mmol), was added in portions under vigorous stirring at room temperature to a mixture of 2.4 g (37 mmol) of sodium azide, 25 ml of water, 0.2 g of benzyltriethylammonium chloride (BTEAC), and 35 ml of diethyl ether. The mixture was stirred for 3 h until XIIa disappeared (TLC), the organic phase was separated, and the aqueous phase was extracted with diethyl ether (5 × 35 ml). The extracts were combined with the organic phase, dried over anhydrous CaCl2, and evaporated by purging with air. (5-Phenyltetrazol-2-yl)acetyl azide (VIIc) was obtained from 5 g (24 mmol) of XIIc and 3.12 g (48 mmol) of sodium azide in 50 ml of water. Yield 4.34 g (79%). Mp 95°C. IR spectrum, ν, cm-1: 2192 (N3), 1698 (C=O). Found, %: C 47.39; H 3.15; N 42.53. C9H7N7O. Calculated, %: C 47.16; H 3.05; N 42.79.",1,1,79,,,,,,,"{""1"": 79}","[{""index"": 1, ""cas_rn"": ""165816-78-4"", ""smiles"": ""O=C(Cl)Cn1nnc(-c2ccccc2)n1""}]","[{""index"": 1, ""cas_rn"": ""93795-29-0"", ""yield_pct"": ""79"", ""smiles"": ""[N-]=[N+]=NC(=O)Cn1nnc(-c2ccccc2)n1""}]","[{""index"": 1, ""cas_rn"": ""26628-22-8""}]","[{""index"": 1, ""cas_rn"": ""56-37-1""}]","[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
