reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-010-CAS-12705523,31-010-CAS-12705523,Reaction_20251110_1415.rdf,Swern oxidation,98,,,C[Si](C)(C)OS(=O)(=O)C(F)(F)F.CCc1oc([C@@H](C)[C@@H](O)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)CO)c(C)c(=O)c1C,CCc1oc([C@@H](C)[C@@H](O[Si](C)(C)C)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)C=O)c(C)c(=O)c1C,C[Si](C)(C)OS(=O)(=O)C(F)(F)F.CCc1oc([C@@H](C)[C@@H](O)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)CO)c(C)c(=O)c1C>>CCc1oc([C@@H](C)[C@@H](O[Si](C)(C)C)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)C=O)c(C)c(=O)c1C,Total Synthesis of Siphonarin B and Dihydrosiphonarin B,"Paterson, Ian; Chen, David Yu-Kai; Franklin, Alison S.","Organic Letters (2002), 4(3), 391-394","Total Synthesis of Siphonarin B and Dihydrosiphonarin B | Paterson, Ian; Chen, David Yu-Kai; Franklin, Alison S. | Organic Letters (2002), 4(3), 391-394","27607-77-8, 275355-99-2",402571-23-7,"108-48-5, 584-08-7, 110-86-1, 87413-09-0",,"75-09-2, 67-56-1",,,,,,"Compound 19, yield 98%.",3,1,98,,,,,,,"{""1"": 98}","[{""index"": 1, ""cas_rn"": ""27607-77-8"", ""smiles"": ""C[Si](C)(C)OS(=O)(=O)C(F)(F)F""}, {""index"": 2, ""cas_rn"": ""275355-99-2"", ""smiles"": ""CCc1oc([C@@H](C)[C@@H](O)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)CO)c(C)c(=O)c1C""}]","[{""index"": 1, ""cas_rn"": ""402571-23-7"", ""yield_pct"": ""98"", ""smiles"": ""CCc1oc([C@@H](C)[C@@H](O[Si](C)(C)C)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)C=O)c(C)c(=O)c1C""}]","[{""index"": 1, ""cas_rn"": ""108-48-5""}, {""index"": 2, ""cas_rn"": ""584-08-7""}, {""index"": 3, ""cas_rn"": ""110-86-1""}, {""index"": 4, ""cas_rn"": ""87413-09-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""67-56-1""}]","chemoselective, stereoselective, Dess-Martin oxidation in 3rd stage, buffered soln.",
31-010-CAS-15445804,31-010-CAS-15445804,Reaction_20251110_1415.rdf,Swern oxidation,89,,,CC[Si](CC)(CC)OS(=O)(=O)C(F)(F)F.CCc1oc([C@@H](C)[C@@H](O)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)CO)c(C)c(=O)c1C,CCc1oc([C@@H](C)[C@@H](O[Si](CC)(CC)CC)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)C=O)c(C)c(=O)c1C,CC[Si](CC)(CC)OS(=O)(=O)C(F)(F)F.CCc1oc([C@@H](C)[C@@H](O)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)CO)c(C)c(=O)c1C>>CCc1oc([C@@H](C)[C@@H](O[Si](CC)(CC)CC)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)C=O)c(C)c(=O)c1C,Total Synthesis of Siphonarin B and Dihydrosiphonarin B,"Paterson, Ian; Chen, David Yu-Kai; Franklin, Alison S.","Organic Letters (2002), 4(3), 391-394","Total Synthesis of Siphonarin B and Dihydrosiphonarin B | Paterson, Ian; Chen, David Yu-Kai; Franklin, Alison S. | Organic Letters (2002), 4(3), 391-394","79271-56-0, 275355-99-2",402571-16-8,"108-48-5, 64-19-7, 87413-09-0",,"75-09-2, 109-99-9, 7732-18-5",,,,,,"Compound 10, yield 89%.",3,1,89,,,,,,,"{""1"": 89}","[{""index"": 1, ""cas_rn"": ""79271-56-0"", ""smiles"": ""CC[Si](CC)(CC)OS(=O)(=O)C(F)(F)F""}, {""index"": 2, ""cas_rn"": ""275355-99-2"", ""smiles"": ""CCc1oc([C@@H](C)[C@@H](O)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)CO)c(C)c(=O)c1C""}]","[{""index"": 1, ""cas_rn"": ""402571-16-8"", ""yield_pct"": ""89"", ""smiles"": ""CCc1oc([C@@H](C)[C@@H](O[Si](CC)(CC)CC)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)C=O)c(C)c(=O)c1C""}]","[{""index"": 1, ""cas_rn"": ""108-48-5""}, {""index"": 2, ""cas_rn"": ""64-19-7""}, {""index"": 3, ""cas_rn"": ""87413-09-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""109-99-9""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]","stereoselective, Dess-Martin oxidation in 3rd stage",
31-031-CAS-18882832,31-031-CAS-18882832,Reaction_20251110_1416.rdf,Swern oxidation,81,,,COC(=O)[C@@H]1C[C@@H](O)CN1.Cl.BrC1(c2ccccc2)c2ccccc2-c2ccccc21.CO,COC(=O)[C@@H]1CC(=O)CN1C1(c2ccccc2)c2ccccc2-c2ccccc21,COC(=O)[C@@H]1C[C@@H](O)CN1.Cl.BrC1(c2ccccc2)c2ccccc2-c2ccccc21.CO>>COC(=O)[C@@H]1CC(=O)CN1C1(c2ccccc2)c2ccccc2-c2ccccc21,Synthesis of Kainoids and C4 Derivatives,"Tian, Zhenlin; Menard, Frederic","Journal of Organic Chemistry (2018), 83(11), 6162-6170","Synthesis of Kainoids and C4 Derivatives | Tian, Zhenlin; Menard, Frederic | Journal of Organic Chemistry (2018), 83(11), 6162-6170","40216-83-9, 55135-66-5, 67-56-1",160882-76-8,"75-77-4, 121-44-8, 10099-74-8, 79-37-8",77-92-9,"75-09-2, 67-56-1, 67-68-5",,,,,,,5,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""40216-83-9"", ""smiles"": ""COC(=O)[C@@H]1C[C@@H](O)CN1.Cl""}, {""index"": 2, ""cas_rn"": ""55135-66-5"", ""smiles"": ""BrC1(c2ccccc2)c2ccccc2-c2ccccc21""}, {""index"": 3, ""cas_rn"": ""67-56-1"", ""smiles"": ""CO""}]","[{""index"": 1, ""cas_rn"": ""160882-76-8"", ""yield_pct"": ""81"", ""smiles"": ""COC(=O)[C@@H]1CC(=O)CN1C1(c2ccccc2)c2ccccc2-c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""75-77-4""}, {""index"": 2, ""cas_rn"": ""121-44-8""}, {""index"": 3, ""cas_rn"": ""10099-74-8""}, {""index"": 4, ""cas_rn"": ""79-37-8""}]","[{""index"": 1, ""cas_rn"": ""77-92-9""}]","[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""67-56-1""}, {""index"": 3, ""cas_rn"": ""67-68-5""}]","regioselective, Swern oxidation (stage 5)",
31-031-CAS-18882833,31-031-CAS-18882833,Reaction_20251110_1416.rdf,Swern oxidation,77,,,O=C(O)[C@@H]1C[C@@H](O)CN1.BrC1(c2ccccc2)c2ccccc2-c2ccccc21.CO,COC(=O)[C@@H]1CC(=O)CN1C1(c2ccccc2)c2ccccc2-c2ccccc21,O=C(O)[C@@H]1C[C@@H](O)CN1.BrC1(c2ccccc2)c2ccccc2-c2ccccc21.CO>>COC(=O)[C@@H]1CC(=O)CN1C1(c2ccccc2)c2ccccc2-c2ccccc21,Synthesis of Kainoids and C4 Derivatives,"Tian, Zhenlin; Menard, Frederic","Journal of Organic Chemistry (2018), 83(11), 6162-6170","Synthesis of Kainoids and C4 Derivatives | Tian, Zhenlin; Menard, Frederic | Journal of Organic Chemistry (2018), 83(11), 6162-6170","51-35-4, 55135-66-5, 67-56-1",160882-76-8,"75-77-4, 121-44-8, 10099-74-8, 79-37-8",77-92-9,"67-56-1, 75-09-2, 67-68-5",,,,,,,6,1,77,,,,,,,"{""1"": 77}","[{""index"": 1, ""cas_rn"": ""51-35-4"", ""smiles"": ""O=C(O)[C@@H]1C[C@@H](O)CN1""}, {""index"": 2, ""cas_rn"": ""55135-66-5"", ""smiles"": ""BrC1(c2ccccc2)c2ccccc2-c2ccccc21""}, {""index"": 3, ""cas_rn"": ""67-56-1"", ""smiles"": ""CO""}]","[{""index"": 1, ""cas_rn"": ""160882-76-8"", ""yield_pct"": ""77"", ""smiles"": ""COC(=O)[C@@H]1CC(=O)CN1C1(c2ccccc2)c2ccccc2-c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""75-77-4""}, {""index"": 2, ""cas_rn"": ""121-44-8""}, {""index"": 3, ""cas_rn"": ""10099-74-8""}, {""index"": 4, ""cas_rn"": ""79-37-8""}]","[{""index"": 1, ""cas_rn"": ""77-92-9""}]","[{""index"": 1, ""cas_rn"": ""67-56-1""}, {""index"": 2, ""cas_rn"": ""75-09-2""}, {""index"": 3, ""cas_rn"": ""67-68-5""}]","regioselective, Swern oxidation (stage 6)",
31-048-CAS-11223609,31-048-CAS-11223609,Reaction_20251110_1416.rdf,Swern oxidation,73,,,CCC(O)CCc1cn(C)c2ccccc12,CCC(Cl)CCC1(Cl)CN(C)c2ccccc21.CCC(=O)CCC1(Cl)C(=O)N(C)c2ccccc21,CCC(O)CCc1cn(C)c2ccccc12>>CCC(Cl)CCC1(Cl)CN(C)c2ccccc21.CCC(=O)CCC1(Cl)C(=O)N(C)c2ccccc21,One-pot synthesis of highly functionalized oxindoles under Swern oxidation conditions,"Lopez-Alvarado, Pilar; Steinhoff, Judith; Miranda, Sonia; Avendano, Carmen; Menendez, J. Carlos","Synlett (2007), (18), 2792-2796","One-pot synthesis of highly functionalized oxindoles under Swern oxidation conditions | Lopez-Alvarado, Pilar; Steinhoff, Judith; Miranda, Sonia; Avendano, Carmen; Menendez, J. Carlos | Synlett (2007), (18), 2792-2796",879503-17-0,"1003047-73-1, 1003047-79-7","67-68-5, 79-37-8, 121-44-8",,75-09-2,,,,,,"General/Typical Procedure: Representative Experimental Procedure To a solution of oxalyl chloride (5 equiv) in anhyd CH2Cl2 (10 mL), at -78 °C under an argon atmosphere, was added DMSO (7 equiv). The solution was stirred for ca. 10 min, until effervescence ceased. A solution of alcohol 6b (350 mg, 0.77 mmol) in anhyd CH2Cl2 (3 mL) was added dropwise via cannula, and the red solution was stirred for 10 min at -78 °C. Then, Et3N (10 equiv) was added and the solution was left to warm to r.t. for 20 min, while stirred. The reaction mixture was diluted with CH2Cl2 (20 mL) and washed with sat. aq NH4Cl (3 × 20 mL). The organic layer was dried (Na2SO4) and evaporated, and the residue was purified by rapid chromatography on silica gel, eluting with PE-EtOAc mixtures (gradient from 20:1 to 5:1), to compound 8b. Slower chromatographic separation may lead to considerable amounts of decomposition products, specially from hydrolysis of the terminal chloromethylene moiety. Compound 8d (major diastereomer, yield 73%; 8da; minor diastereomer, 8db): 3-chloro-1-ethyl-3-(3-oxobutyl)oxindole, yield 12% IR (film on NaCl): 1729.0 (C=O) cm-1. 1H NMR (250 MHz, CDCl3): δ = 7.35-7.25 (m, 2 H, H-4,6), 7.07 (t, 1 H, J = 7.6 Hz, H-5), 6.80 (d, 1 H, J = 7.8 Hz, H-7), 3.75-3.60 (m, 1 H, H-3'), 3.18 (m, 3 H, NCH3), 2.70-2.10 (m, 2 H, H-1'), 1.80-1.35 (m, 4 H, H-2', CH2CH3), 0.95- 0.80 (m, 3 H, CH2CH3). 13C NMR (62.9 MHz, CDCl3): δ = 174.1 (CO), 143.0 (C-7a, 8da), 142.9 (C-7a, 8db), 130.7 (C- 4), 129.7 (C-3a, 8da), 129.5 (C-3a, 8db), 124.6 (C-6), 124.0 (C-5, 8db), 123.9 (C-5, 8da), 109.1 (C-7), 65.1 (C-3', 8db), 64.9 (C-3', 8da), 64.7 (C-3), 36.8 (C-1', 8db), 36.3 (C-1', 8da), 33.1 (C-2', 8db), 32.7 (C-2', 8da), 31.8 (CH2, 8da), 31.5 (CH2, 8db), 27.1 (NCH3), 11.3 (CH2CH3). Anal. Calcd for C14H17Cl2NO: C, 58.75; H, 5.99; N, 4.89. Found: C, 58.80; H, 5.91; N, 4.99.",3,1,73,12,,,,,,"{""1"": 73, ""2"": 12}","[{""index"": 1, ""cas_rn"": ""879503-17-0"", ""smiles"": ""CCC(O)CCc1cn(C)c2ccccc12""}]","[{""index"": 1, ""cas_rn"": ""1003047-73-1"", ""yield_pct"": ""73"", ""smiles"": ""CCC(Cl)CCC1(Cl)CN(C)c2ccccc21""}, {""index"": 2, ""cas_rn"": ""1003047-79-7"", ""yield_pct"": ""12"", ""smiles"": ""CCC(=O)CCC1(Cl)C(=O)N(C)c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""79-37-8""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",Swern oxidation,
31-048-CAS-1414639,31-048-CAS-1414639,Reaction_20251110_1416.rdf,Swern oxidation,80,,,C=C1[C@H](O)[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OCc1ccccc1,C=C1C(=O)[C@]23C[C@@]1(Cl)CC[C@H]2[C@@]12C=CC(=O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OCc1ccccc1,C=C1[C@H](O)[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OCc1ccccc1>>C=C1C(=O)[C@]23C[C@@]1(Cl)CC[C@H]2[C@@]12C=CC(=O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OCc1ccccc1,Synthesis of gibberellin derivatives with anti-tumor bioactivities,"Chen, Jingbo; Sun, Zhuxian; Zhang, Yanli; Zeng, Xianghui; Qing, Chen; Liu, Jianping; Li, Liang; Zhang, Hongbin","Bioorganic & Medicinal Chemistry Letters (2009), 19(18), 5496-5499","Synthesis of gibberellin derivatives with anti-tumor bioactivities | Chen, Jingbo; Sun, Zhuxian; Zhang, Yanli; Zeng, Xianghui; Qing, Chen; Liu, Jianping; Li, Liang; Zhang, Hongbin | Bioorganic & Medicinal Chemistry Letters (2009), 19(18), 5496-5499",1064193-58-3,1064193-61-8,"67-68-5, 79-37-8, 121-44-8",,75-09-2,,,,,,,1,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""1064193-58-3"", ""smiles"": ""C=C1[C@H](O)[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1064193-61-8"", ""yield_pct"": ""80"", ""smiles"": ""C=C1C(=O)[C@]23C[C@@]1(Cl)CC[C@H]2[C@@]12C=CC(=O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""79-37-8""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",Swern oxidation,
31-048-CAS-14752586,31-048-CAS-14752586,Reaction_20251110_1416.rdf,Swern oxidation,15,,,CC(O)CCc1cn(C)c2ccccc12,CC(=O)CCC1(Cl)C(=O)N(C)c2ccccc21.CC(Cl)CCC1(Cl)C(=O)N(C)c2ccccc21,CC(O)CCc1cn(C)c2ccccc12>>CC(=O)CCC1(Cl)C(=O)N(C)c2ccccc21.CC(Cl)CCC1(Cl)C(=O)N(C)c2ccccc21,"Efficient, one-pot transformation of indoles into functionalized oxindole and spirooxindole systems under Swern conditions","Lopez-Alvarado, Pilar; Steinhoff, Judith; Miranda, Sonia; Avendano, Carmen; Menendez, J. Carlos","Tetrahedron (2009), 65(8), 1660-1672","Efficient, one-pot transformation of indoles into functionalized oxindole and spirooxindole systems under Swern conditions | Lopez-Alvarado, Pilar; Steinhoff, Judith; Miranda, Sonia; Avendano, Carmen; Menendez, J. Carlos | Tetrahedron (2009), 65(8), 1660-1672",879503-16-9,"1003047-78-6, 1131429-31-6","67-68-5, 79-37-8, 121-44-8",,75-09-2,,,,,,,3,1,15,71,,,,,,"{""1"": 15, ""2"": 71}","[{""index"": 1, ""cas_rn"": ""879503-16-9"", ""smiles"": ""CC(O)CCc1cn(C)c2ccccc12""}]","[{""index"": 1, ""cas_rn"": ""1003047-78-6"", ""yield_pct"": ""15"", ""smiles"": ""CC(=O)CCC1(Cl)C(=O)N(C)c2ccccc21""}, {""index"": 2, ""cas_rn"": ""1131429-31-6"", ""yield_pct"": ""71"", ""smiles"": ""CC(Cl)CCC1(Cl)C(=O)N(C)c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""79-37-8""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]","stereoselective, dr=2:1, Swern oxidation",
31-048-CAS-19281962,31-048-CAS-19281962,Reaction_20251110_1416.rdf,Swern oxidation,6,,,OCc1ccccc1,ClCc1ccccc1.O=Cc1ccccc1,OCc1ccccc1>>ClCc1ccccc1.O=Cc1ccccc1,Synthesis of benzaldehyde by Swern oxidation of benzyl alcohol in a continuous flow microreactor system,"Zhu, Lin; Xu, Xiaohui; Zheng, Fuping","Turkish Journal of Chemistry (2018), 42(1), 75-85","Synthesis of benzaldehyde by Swern oxidation of benzyl alcohol in a continuous flow microreactor system | Zhu, Lin; Xu, Xiaohui; Zheng, Fuping | Turkish Journal of Chemistry (2018), 42(1), 75-85",100-51-6,"100-44-7, 100-52-7","67-68-5, 79-37-8, 121-44-8",,,,,,,,,2,1,6,85,,,,,,"{""1"": 6, ""2"": 85}","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""smiles"": ""OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""100-44-7"", ""yield_pct"": ""6"", ""smiles"": ""ClCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""100-52-7"", ""yield_pct"": ""85"", ""smiles"": ""O=Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""79-37-8""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],[],"selectivity of benzaldehyde (98.5%), optimization study, optimized on reagent, stoichiometry of reactant and reagents and temperature, Swern oxidation, continuous flow microreactor used",
31-048-CAS-8651886,31-048-CAS-8651886,Reaction_20251110_1416.rdf,Swern oxidation,12,,,CCC(O)CCc1cn(C)c2ccccc12,CCC(=O)CCC1(Cl)C(=O)N(C)c2ccccc21.CCC(Cl)CCC1(Cl)C(=O)N(C)c2ccccc21,CCC(O)CCc1cn(C)c2ccccc12>>CCC(=O)CCC1(Cl)C(=O)N(C)c2ccccc21.CCC(Cl)CCC1(Cl)C(=O)N(C)c2ccccc21,"Efficient, one-pot transformation of indoles into functionalized oxindole and spirooxindole systems under Swern conditions","Lopez-Alvarado, Pilar; Steinhoff, Judith; Miranda, Sonia; Avendano, Carmen; Menendez, J. Carlos","Tetrahedron (2009), 65(8), 1660-1672","Efficient, one-pot transformation of indoles into functionalized oxindole and spirooxindole systems under Swern conditions | Lopez-Alvarado, Pilar; Steinhoff, Judith; Miranda, Sonia; Avendano, Carmen; Menendez, J. Carlos | Tetrahedron (2009), 65(8), 1660-1672",879503-17-0,"1003047-79-7, 1131429-33-8","67-68-5, 79-37-8, 121-44-8",,75-09-2,,,,,,,3,1,12,73,,,,,,"{""1"": 12, ""2"": 73}","[{""index"": 1, ""cas_rn"": ""879503-17-0"", ""smiles"": ""CCC(O)CCc1cn(C)c2ccccc12""}]","[{""index"": 1, ""cas_rn"": ""1003047-79-7"", ""yield_pct"": ""12"", ""smiles"": ""CCC(=O)CCC1(Cl)C(=O)N(C)c2ccccc21""}, {""index"": 2, ""cas_rn"": ""1131429-33-8"", ""yield_pct"": ""73"", ""smiles"": ""CCC(Cl)CCC1(Cl)C(=O)N(C)c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""79-37-8""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]","stereoselective, dr=2:1, Swern oxidation",
31-048-CAS-9103452,31-048-CAS-9103452,Reaction_20251110_1416.rdf,Swern oxidation,71,,,CC(O)CCc1cn(C)c2ccccc12,CC(Cl)CCC1(Cl)CN(C)c2ccccc21.CC(=O)CCC1(Cl)C(=O)N(C)c2ccccc21,CC(O)CCc1cn(C)c2ccccc12>>CC(Cl)CCC1(Cl)CN(C)c2ccccc21.CC(=O)CCC1(Cl)C(=O)N(C)c2ccccc21,One-pot synthesis of highly functionalized oxindoles under Swern oxidation conditions,"Lopez-Alvarado, Pilar; Steinhoff, Judith; Miranda, Sonia; Avendano, Carmen; Menendez, J. Carlos","Synlett (2007), (18), 2792-2796","One-pot synthesis of highly functionalized oxindoles under Swern oxidation conditions | Lopez-Alvarado, Pilar; Steinhoff, Judith; Miranda, Sonia; Avendano, Carmen; Menendez, J. Carlos | Synlett (2007), (18), 2792-2796",879503-16-9,"1003047-72-0, 1003047-78-6","67-68-5, 79-37-8, 121-44-8",,75-09-2,,,,,,"General/Typical Procedure: Representative Experimental Procedure To a solution of oxalyl chloride (5 equiv) in anhyd CH2Cl2 (10 mL), at -78 °C under an argon atmosphere, was added DMSO (7 equiv). The solution was stirred for ca. 10 min, until effervescence ceased. A solution of alcohol 6b (350 mg, 0.77 mmol) in anhyd CH2Cl2 (3 mL) was added dropwise via cannula, and the red solution was stirred for 10 min at -78 °C. Then, Et3N (10 equiv) was added and the solution was left to warm to r.t. for 20 min, while stirred. The reaction mixture was diluted with CH2Cl2 (20 mL) and washed with sat. aq NH4Cl (3 × 20 mL). The organic layer was dried (Na2SO4) and evaporated, and the residue was purified by rapid chromatography on silica gel, eluting with PE-EtOAc mixtures (gradient from 20:1 to 5:1), to compound 8b. Slower chromatographic separation may lead to considerable amounts of decomposition products, specially from hydrolysis of the terminal chloromethylene moiety. Compound 8c, yield 71%; 3-chloro-1-methyl-3-(3-oxobutyl)oxindole, yield 15% 3-Chloro-1-methyl-3-(3-oxobutyl)oxindole: IR (film on NaCl): 1728.2, 1717.0 (C=O) cm-1. 1H NMR (250 MHz, CDCl3): δ = 7.39 (d, 1 H, J = 7.6 Hz, H-4), 7.37 (t, 1 H, J = 7.6 Hz, H-6), 7.15 (t, 1 H, J = 7.6 Hz, H-5), 6.87 (d, 1 H, J = 7.6 Hz, H-7), 3.25 (s, 3 H, NCH3), 2.65-2.40 (m, 4 H, H-1',2'), 2.11 (s, 3 H, COCH3). 13C NMR (62.9 MHz, CDCl3): δ = 206.9 (C-3'), 173.9 (C-2), 142.7 (C-7a), 130.8 (C-4), 129.8 (C-3a), 124.5 (C-6), 123.9 (C-5), 109.2 (C-7), 64.4 (C-3), 38.4 (C-2'), 33.2 (C-1'), 30.4 (COCH3), 27.0 (NCH3). MS: m/z = 251 [M+]. Anal. Calcd for C13H14ClNO2: C, 62.03; H, 5.61; N, 5.56. Found: C, 62.35; H, 5.81; N, 5.62.",3,1,71,15,,,,,,"{""1"": 71, ""2"": 15}","[{""index"": 1, ""cas_rn"": ""879503-16-9"", ""smiles"": ""CC(O)CCc1cn(C)c2ccccc12""}]","[{""index"": 1, ""cas_rn"": ""1003047-72-0"", ""yield_pct"": ""71"", ""smiles"": ""CC(Cl)CCC1(Cl)CN(C)c2ccccc21""}, {""index"": 2, ""cas_rn"": ""1003047-78-6"", ""yield_pct"": ""15"", ""smiles"": ""CC(=O)CCC1(Cl)C(=O)N(C)c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""79-37-8""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",Swern oxidation,
31-048-CAS-9117384,31-048-CAS-9117384,Reaction_20251110_1415.rdf,Swern oxidation,85,,,C=C1[C@H](O)[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OC,C=C1C(=O)[C@]23C[C@@]1(Cl)CC[C@H]2[C@@]12C=CC(=O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OC,C=C1[C@H](O)[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OC>>C=C1C(=O)[C@]23C[C@@]1(Cl)CC[C@H]2[C@@]12C=CC(=O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OC,Synthesis of gibberellin derivatives with anti-tumor bioactivities,"Chen, Jingbo; Sun, Zhuxian; Zhang, Yanli; Zeng, Xianghui; Qing, Chen; Liu, Jianping; Li, Liang; Zhang, Hongbin","Bioorganic & Medicinal Chemistry Letters (2009), 19(18), 5496-5499","Synthesis of gibberellin derivatives with anti-tumor bioactivities | Chen, Jingbo; Sun, Zhuxian; Zhang, Yanli; Zeng, Xianghui; Qing, Chen; Liu, Jianping; Li, Liang; Zhang, Hongbin | Bioorganic & Medicinal Chemistry Letters (2009), 19(18), 5496-5499",63023-66-5,1064193-59-4,"67-68-5, 79-37-8, 121-44-8",,75-09-2,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""63023-66-5"", ""smiles"": ""C=C1[C@H](O)[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OC""}]","[{""index"": 1, ""cas_rn"": ""1064193-59-4"", ""yield_pct"": ""85"", ""smiles"": ""C=C1C(=O)[C@]23C[C@@]1(Cl)CC[C@H]2[C@@]12C=CC(=O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)OC""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""79-37-8""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",Swern oxidation,
