reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-006-CAS-10398780,31-006-CAS-10398780,Reaction_20251110_1443.rdf,mCPBA epoxidation. Alkene → epoxide,91,,,CCCCCCc1ccc(CCCCCCCC(=O)OC)o1,CCCCCCC(=O)[C@H]1O[C@H]1C(=O)CCCCCCCC(=O)OC,CCCCCCc1ccc(CCCCCCCC(=O)OC)o1>>CCCCCCC(=O)[C@H]1O[C@H]1C(=O)CCCCCCCC(=O)OC,"Ultrasonically stimulated oxidation reactions of 2,5-disubstituted C18 furanoid fatty ester","Lie Ken Jie, Marcel S. F.; Kysar Mohammed, Pasha; Lam, C. K.","Chemistry and Physics of Lipids (1997), 85(2), 101-106","Ultrasonically stimulated oxidation reactions of 2,5-disubstituted C18 furanoid fatty ester | Lie Ken Jie, Marcel S. F.; Kysar Mohammed, Pasha; Lam, C. K. | Chemistry and Physics of Lipids (1997), 85(2), 101-106",10038-16-1,188955-58-0,937-14-4,,75-09-2,,,,,,,1,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""10038-16-1"", ""smiles"": ""CCCCCCc1ccc(CCCCCCCC(=O)OC)o1""}]","[{""index"": 1, ""cas_rn"": ""188955-58-0"", ""yield_pct"": ""91"", ""smiles"": ""CCCCCCC(=O)[C@H]1O[C@H]1C(=O)CCCCCCCC(=O)OC""}]","[{""index"": 1, ""cas_rn"": ""937-14-4""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-006-CAS-1150864,31-006-CAS-1150864,Reaction_20251110_1443 (1).rdf,mCPBA epoxidation. Alkene → epoxide,100,-20.0,5.0,COc1ccc2c(C)c(C)oc2c1,COC1=CC(=O)/C(=C(/C)C(C)=O)C=C1.COc1ccc2c(c1)OC1(C)OC21C,COc1ccc2c(C)c(C)oc2c1>>COC1=CC(=O)/C(=C(/C)C(C)=O)C=C1.COc1ccc2c(c1)OC1(C)OC21C,Dioxirane oxidations of compounds other than alkenes,"Adam, Waldemar; Zhao, Cong-Gui; Jakka, Kavitha","Organic Reactions (Hoboken, NJ, United States) (2007), 691-346","Dioxirane oxidations of compounds other than alkenes | Adam, Waldemar; Zhao, Cong-Gui; Jakka, Kavitha | Organic Reactions (Hoboken, NJ, United States) (2007), 691-346",27044-35-5,"150969-68-9, 156785-57-8",74087-85-7,,67-64-1,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""27044-35-5"", ""smiles"": ""COc1ccc2c(C)c(C)oc2c1""}]","[{""index"": 1, ""cas_rn"": ""150969-68-9"", ""yield_pct"": ""100"", ""smiles"": ""COC1=CC(=O)/C(=C(/C)C(C)=O)C=C1""}, {""index"": 2, ""cas_rn"": ""156785-57-8"", ""smiles"": ""COc1ccc2c(c1)OC1(C)OC21C""}]","[{""index"": 1, ""cas_rn"": ""74087-85-7""}]",[],"[{""index"": 1, ""cas_rn"": ""67-64-1""}]","DMD, Acetone, -70 to -20 C/3 to 5 h., Dioxirane oxidations, Arenes, Heteroatom substrates, Mechanism, Method comparison, Experimental procedures",
31-006-CAS-1729192,31-006-CAS-1729192,Reaction_20251110_1443 (1).rdf,mCPBA epoxidation. Alkene → epoxide,20,,,c1ccc2c(c1)C1Cc3occc3C2C1,O=C/C=C1\C(=O)CC2CC1c1ccccc12.c1ccc2c(c1)C1CC3=C(C2C1)C1OC1O3.O=C/C=C1\C(O)CC2CC1c1ccccc12,c1ccc2c(c1)C1Cc3occc3C2C1>>O=C/C=C1\C(=O)CC2CC1c1ccccc12.c1ccc2c(c1)C1CC3=C(C2C1)C1OC1O3.O=C/C=C1\C(O)CC2CC1c1ccccc12,Functionalization of the benzobicyclo[3.2.1]octadiene skeleton via photocatalytic and thermal oxygenation of a furan derivative,"Kikas, Ilijana; Horvath, Otto; Skoric, Irena","Tetrahedron Letters (2011), 52(47), 6255-6259","Functionalization of the benzobicyclo[3.2.1]octadiene skeleton via photocatalytic and thermal oxygenation of a furan derivative | Kikas, Ilijana; Horvath, Otto; Skoric, Irena | Tetrahedron Letters (2011), 52(47), 6255-6259",124657-85-8,"1350536-44-5, 1350536-49-0, 1350636-72-4",7782-44-7,88992-32-9,"67-64-1, 7732-18-5",,,,,,,1,1,20,70,10,,,,,"{""1"": 20, ""2"": 70, ""3"": 10}","[{""index"": 1, ""cas_rn"": ""124657-85-8"", ""smiles"": ""c1ccc2c(c1)C1Cc3occc3C2C1""}]","[{""index"": 1, ""cas_rn"": ""1350536-44-5"", ""yield_pct"": ""20"", ""smiles"": ""O=C/C=C1\\C(=O)CC2CC1c1ccccc12""}, {""index"": 2, ""cas_rn"": ""1350536-49-0"", ""yield_pct"": ""70"", ""smiles"": ""c1ccc2c(c1)C1CC3=C(C2C1)C1OC1O3""}, {""index"": 3, ""cas_rn"": ""1350636-72-4"", ""yield_pct"": ""10"", ""smiles"": ""O=C/C=C1\\C(O)CC2CC1c1ccccc12""}]","[{""index"": 1, ""cas_rn"": ""7782-44-7""}]","[{""index"": 1, ""cas_rn"": ""88992-32-9""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","photochemical, tungsten halogen immersion lamp, product ratio depends on reaction conditions (pH and air vs. pure O2)",
31-006-CAS-5717185,31-006-CAS-5717185,Reaction_20251110_1443 (1).rdf,mCPBA epoxidation. Alkene → epoxide,100,-20.0,5.0,COc1cccc2c(C)c(C)oc12,COc1cccc2c1OC1(C)OC21C.COC1=CC=C/C(=C(\C)C(C)=O)C1=O,COc1cccc2c(C)c(C)oc12>>COc1cccc2c1OC1(C)OC21C.COC1=CC=C/C(=C(\C)C(C)=O)C1=O,Dioxirane oxidations of compounds other than alkenes,"Adam, Waldemar; Zhao, Cong-Gui; Jakka, Kavitha","Organic Reactions (Hoboken, NJ, United States) (2007), 691-346","Dioxirane oxidations of compounds other than alkenes | Adam, Waldemar; Zhao, Cong-Gui; Jakka, Kavitha | Organic Reactions (Hoboken, NJ, United States) (2007), 691-346",6883-58-5,"150969-69-0, 150969-70-3",74087-85-7,,67-64-1,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""6883-58-5"", ""smiles"": ""COc1cccc2c(C)c(C)oc12""}]","[{""index"": 1, ""cas_rn"": ""150969-69-0"", ""yield_pct"": ""100"", ""smiles"": ""COc1cccc2c1OC1(C)OC21C""}, {""index"": 2, ""cas_rn"": ""150969-70-3"", ""smiles"": ""COC1=CC=C/C(=C(\\C)C(C)=O)C1=O""}]","[{""index"": 1, ""cas_rn"": ""74087-85-7""}]",[],"[{""index"": 1, ""cas_rn"": ""67-64-1""}]","DMD, Acetone, -70 to -20 C/3 to 5 h., Dioxirane oxidations, Arenes, Heteroatom substrates, Mechanism, Method comparison, Experimental procedures",
31-006-CAS-8628324,31-006-CAS-8628324,Reaction_20251110_1443 (1).rdf,mCPBA epoxidation. Alkene → epoxide,100,-20.0,5.0,COc1cccc2oc(C)c(C)c12,COc1cccc2c1C1(C)OC1(C)O2.COC1=CC=CC(=O)/C1=C(/C)C(C)=O,COc1cccc2oc(C)c(C)c12>>COc1cccc2c1C1(C)OC1(C)O2.COC1=CC=CC(=O)/C1=C(/C)C(C)=O,Dioxirane oxidations of compounds other than alkenes,"Adam, Waldemar; Zhao, Cong-Gui; Jakka, Kavitha","Organic Reactions (Hoboken, NJ, United States) (2007), 691-346","Dioxirane oxidations of compounds other than alkenes | Adam, Waldemar; Zhao, Cong-Gui; Jakka, Kavitha | Organic Reactions (Hoboken, NJ, United States) (2007), 691-346",27123-66-6,"150969-65-6, 1452775-48-2",74087-85-7,,67-64-1,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""27123-66-6"", ""smiles"": ""COc1cccc2oc(C)c(C)c12""}]","[{""index"": 1, ""cas_rn"": ""150969-65-6"", ""yield_pct"": ""100"", ""smiles"": ""COc1cccc2c1C1(C)OC1(C)O2""}, {""index"": 2, ""cas_rn"": ""1452775-48-2"", ""smiles"": ""COC1=CC=CC(=O)/C1=C(/C)C(C)=O""}]","[{""index"": 1, ""cas_rn"": ""74087-85-7""}]",[],"[{""index"": 1, ""cas_rn"": ""67-64-1""}]","DMD, Acetone, -70 to -20 C/3 to 5 h., Dioxirane oxidations, Arenes, Heteroatom substrates, Mechanism, Method comparison, Experimental procedures",
31-006-CAS-9600107,31-006-CAS-9600107,Reaction_20251110_1443 (1).rdf,mCPBA epoxidation. Alkene → epoxide,100,-20.0,5.0,COc1ccc2oc(C)c(C)c2c1,COc1ccc2c(c1)C1(C)OC1(C)O2.COC1=C/C(=C(\C)C(C)=O)C(=O)C=C1,COc1ccc2oc(C)c(C)c2c1>>COc1ccc2c(c1)C1(C)OC1(C)O2.COC1=C/C(=C(\C)C(C)=O)C(=O)C=C1,Dioxirane oxidations of compounds other than alkenes,"Adam, Waldemar; Zhao, Cong-Gui; Jakka, Kavitha","Organic Reactions (Hoboken, NJ, United States) (2007), 691-346","Dioxirane oxidations of compounds other than alkenes | Adam, Waldemar; Zhao, Cong-Gui; Jakka, Kavitha | Organic Reactions (Hoboken, NJ, United States) (2007), 691-346",27044-34-4,"150969-66-7, 150969-67-8",74087-85-7,,67-64-1,,,,,,,1,1,,100,,,,,,"{""2"": 100}","[{""index"": 1, ""cas_rn"": ""27044-34-4"", ""smiles"": ""COc1ccc2oc(C)c(C)c2c1""}]","[{""index"": 1, ""cas_rn"": ""150969-66-7"", ""smiles"": ""COc1ccc2c(c1)C1(C)OC1(C)O2""}, {""index"": 2, ""cas_rn"": ""150969-67-8"", ""yield_pct"": ""100"", ""smiles"": ""COC1=C/C(=C(\\C)C(C)=O)C(=O)C=C1""}]","[{""index"": 1, ""cas_rn"": ""74087-85-7""}]",[],"[{""index"": 1, ""cas_rn"": ""67-64-1""}]","DMD, Acetone, -70 to -20 C/3 to 5 h., Dioxirane oxidations, Arenes, Heteroatom substrates, Mechanism, Method comparison, Experimental procedures",
31-008-CAS-13926512,31-008-CAS-13926512,Reaction_20251110_1443.rdf,mCPBA epoxidation. Alkene → epoxide,94,,,CC[Si](Cl)(CC)CC.OCC1CC=CCC1,CC[Si](CC)(CC)OCC1CCC2OC2C1,CC[Si](Cl)(CC)CC.OCC1CC=CCC1>>CC[Si](CC)(CC)OCC1CCC2OC2C1,Tailored Living Block Copolymerization: Multiblock Poly(cyclohexene carbonate)s with Sequence Control,"Kim, Jeung Gon; Cowman, Christina D.; LaPointe, Anne M.; Wiesner, Ulrich; Coates, Geoffrey W.","Macromolecules (Washington, DC, United States) (2011), 44(5), 1110-1113","Tailored Living Block Copolymerization: Multiblock Poly(cyclohexene carbonate)s with Sequence Control | Kim, Jeung Gon; Cowman, Christina D.; LaPointe, Anne M.; Wiesner, Ulrich; Coates, Geoffrey W. | Macromolecules (Washington, DC, United States) (2011), 44(5), 1110-1113","994-30-9, 1679-51-2",1265902-27-9,"108-48-5, 937-14-4, 1310-73-2",,"75-09-2, 7732-18-5",,,,,,"The crude product from step 1 was dissolved in 150 ml of CH2Cl2. At 0 °C, mCPBA (6.6 g, 77% w/w, 29 mmol) was added over 5 min. After stirring for 5 h, the reaction was quenched with 1 N aq. NaOH (200 mL). The organic layer was separated and dried over MgSO4. The solvent was removed under reduced pressure. The resulting product was dried over CaH2 for 3 days, and distilled under vacuum. The final product was obtained as a colorless liquid (6.1 g, 25 mmol, 94% yield over 2 steps, a mixture of cis and trans isomers). TES-CHO, yield 6.1 g, 25 mmol, 94%. 1H NMR (400 MHz, CDCl3) δ 3.47- 3.27 (m, 2H), 3.21-3.07 (m, 2H), 2.04 (m, 2H), 1.89-1.48 (m, 2H), 1.47-1.35 (m, 2H), 1.13-0.95 (m, 1H), 0.92 (t, J = 8.0 Hz, 9H), 0.55 (q, J = 8.0 Hz, 6H). 13C NMR (100 MHz, CDCl3) δ 67.58, 67.17, 52.93, 52.73, 51.89, 51.46, 35.46, 32.48, 28.00, 27.22, 24.74, 23.66, 23.11, 20.96, 6.75 (SiCH2-CH3, two diastereomers are not distinguishable), 4.35, 4.31. HRMS-EI (m/z): calcd for C13H26O2Si, 242.1702; found, 242.1699.",3,1,94,,,,,,,"{""1"": 94}","[{""index"": 1, ""cas_rn"": ""994-30-9"", ""smiles"": ""CC[Si](Cl)(CC)CC""}, {""index"": 2, ""cas_rn"": ""1679-51-2"", ""smiles"": ""OCC1CC=CCC1""}]","[{""index"": 1, ""cas_rn"": ""1265902-27-9"", ""yield_pct"": ""94"", ""smiles"": ""CC[Si](CC)(CC)OCC1CCC2OC2C1""}]","[{""index"": 1, ""cas_rn"": ""108-48-5""}, {""index"": 2, ""cas_rn"": ""937-14-4""}, {""index"": 3, ""cas_rn"": ""1310-73-2""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-008-CAS-17860072,31-008-CAS-17860072,Reaction_20251110_1443.rdf,mCPBA epoxidation. Alkene → epoxide,94,,,CC[Si](Cl)(CC)CC.OCC1CC=CCC1,CC[Si](CC)(CC)OCC1CCC2OC2C1,CC[Si](Cl)(CC)CC.OCC1CC=CCC1>>CC[Si](CC)(CC)OCC1CCC2OC2C1,Rigid Hyperbranched Polycarbonate Polyols from CO2 and Cyclohexene-Based Epoxides,"Scharfenberg, Markus; Hofmann, Silja; Preis, Jasmin; Hilf, Jeannette; Frey, Holger","Macromolecules (Washington, DC, United States) (2017), 50(16), 6088-6097","Rigid Hyperbranched Polycarbonate Polyols from CO2 and Cyclohexene-Based Epoxides | Scharfenberg, Markus; Hofmann, Silja; Preis, Jasmin; Hilf, Jeannette; Frey, Holger | Macromolecules (Washington, DC, United States) (2017), 50(16), 6088-6097","994-30-9, 1679-51-2",1265902-27-9,"108-48-5, 937-14-4, 1310-73-2",,"75-09-2, 7732-18-5",,,,,,,3,1,94,,,,,,,"{""1"": 94}","[{""index"": 1, ""cas_rn"": ""994-30-9"", ""smiles"": ""CC[Si](Cl)(CC)CC""}, {""index"": 2, ""cas_rn"": ""1679-51-2"", ""smiles"": ""OCC1CC=CCC1""}]","[{""index"": 1, ""cas_rn"": ""1265902-27-9"", ""yield_pct"": ""94"", ""smiles"": ""CC[Si](CC)(CC)OCC1CCC2OC2C1""}]","[{""index"": 1, ""cas_rn"": ""108-48-5""}, {""index"": 2, ""cas_rn"": ""937-14-4""}, {""index"": 3, ""cas_rn"": ""1310-73-2""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-014-CAS-12860014,31-014-CAS-12860014,Reaction_20251110_1443.rdf,mCPBA epoxidation. Alkene → epoxide,98,,,CO.CC1=COC(C(C)C)OC1,COC1OC(C(C)C)OCC1(C)O,CO.CC1=COC(C(C)C)OC1>>COC1OC(C(C)C)OCC1(C)O,"A novel synthesis of 4-methyl-1,3-dioxolane-4-carbaldehydes by epoxidation of 5-methyl-4H-1,3-dioxins and acid-catalyzed rearrangement","Wattenbach, Carsten; Maurer, Martin; Frauenrath, Herbert","Synlett (1999), (3), 303-306","A novel synthesis of 4-methyl-1,3-dioxolane-4-carbaldehydes by epoxidation of 5-methyl-4H-1,3-dioxins and acid-catalyzed rearrangement | Wattenbach, Carsten; Maurer, Martin; Frauenrath, Herbert | Synlett (1999), (3), 303-306","67-56-1, 140237-29-2",223520-54-5,937-14-4,,67-56-1,,,,,,"Treatment of 5-methyl-4H- 1,3-dioxins 5a-e with commercially available m-CPBA13 in methanol readily afforded a diastereomeric mixture of 4-methoxy-5-hydroxy-1,3-dioxanes 7a-e (Scheme 2, Table 1). 7e, yield 98%.",1,1,98,,,,,,,"{""1"": 98}","[{""index"": 1, ""cas_rn"": ""67-56-1"", ""smiles"": ""CO""}, {""index"": 2, ""cas_rn"": ""140237-29-2"", ""smiles"": ""CC1=COC(C(C)C)OC1""}]","[{""index"": 1, ""cas_rn"": ""223520-54-5"", ""yield_pct"": ""98"", ""smiles"": ""COC1OC(C(C)C)OCC1(C)O""}]","[{""index"": 1, ""cas_rn"": ""937-14-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]",product depends on solvent,
31-014-CAS-4037173,31-014-CAS-4037173,Reaction_20251110_1443.rdf,mCPBA epoxidation. Alkene → epoxide,97,,,CO.CC1=COCOC1,COC1OCOCC1(C)O,CO.CC1=COCOC1>>COC1OCOCC1(C)O,"A novel synthesis of 4-methyl-1,3-dioxolane-4-carbaldehydes by epoxidation of 5-methyl-4H-1,3-dioxins and acid-catalyzed rearrangement","Wattenbach, Carsten; Maurer, Martin; Frauenrath, Herbert","Synlett (1999), (3), 303-306","A novel synthesis of 4-methyl-1,3-dioxolane-4-carbaldehydes by epoxidation of 5-methyl-4H-1,3-dioxins and acid-catalyzed rearrangement | Wattenbach, Carsten; Maurer, Martin; Frauenrath, Herbert | Synlett (1999), (3), 303-306","67-56-1, 57668-51-6",223520-48-7,937-14-4,,67-56-1,,,,,,"Treatment of 5-methyl-4H- 1,3-dioxins 5a-e with commercially available m-CPBA13 in methanol readily afforded a diastereomeric mixture of 4-methoxy-5-hydroxy-1,3-dioxanes 7a-e (Scheme 2, Table 1). 7a, yield 97%.",1,1,97,,,,,,,"{""1"": 97}","[{""index"": 1, ""cas_rn"": ""67-56-1"", ""smiles"": ""CO""}, {""index"": 2, ""cas_rn"": ""57668-51-6"", ""smiles"": ""CC1=COCOC1""}]","[{""index"": 1, ""cas_rn"": ""223520-48-7"", ""yield_pct"": ""97"", ""smiles"": ""COC1OCOCC1(C)O""}]","[{""index"": 1, ""cas_rn"": ""937-14-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]",product depends on solvent,
31-014-CAS-4321125,31-014-CAS-4321125,Reaction_20251110_1443.rdf,mCPBA epoxidation. Alkene → epoxide,99,,,CO.CC1=COC2(CCCCC2)OC1,COC1OC2(CCCCC2)OCC1(C)O,CO.CC1=COC2(CCCCC2)OC1>>COC1OC2(CCCCC2)OCC1(C)O,"A novel synthesis of 4-methyl-1,3-dioxolane-4-carbaldehydes by epoxidation of 5-methyl-4H-1,3-dioxins and acid-catalyzed rearrangement","Wattenbach, Carsten; Maurer, Martin; Frauenrath, Herbert","Synlett (1999), (3), 303-306","A novel synthesis of 4-methyl-1,3-dioxolane-4-carbaldehydes by epoxidation of 5-methyl-4H-1,3-dioxins and acid-catalyzed rearrangement | Wattenbach, Carsten; Maurer, Martin; Frauenrath, Herbert | Synlett (1999), (3), 303-306","67-56-1, 223520-41-0",223520-52-3,937-14-4,,67-56-1,,,,,,"Treatment of 5-methyl-4H- 1,3-dioxins 5a-e with commercially available m-CPBA13 in methanol readily afforded a diastereomeric mixture of 4-methoxy-5-hydroxy-1,3-dioxanes 7a-e (Scheme 2, Table 1). 7c, yield 99%.",1,1,99,,,,,,,"{""1"": 99}","[{""index"": 1, ""cas_rn"": ""67-56-1"", ""smiles"": ""CO""}, {""index"": 2, ""cas_rn"": ""223520-41-0"", ""smiles"": ""CC1=COC2(CCCCC2)OC1""}]","[{""index"": 1, ""cas_rn"": ""223520-52-3"", ""yield_pct"": ""99"", ""smiles"": ""COC1OC2(CCCCC2)OCC1(C)O""}]","[{""index"": 1, ""cas_rn"": ""937-14-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]",product depends on solvent,
