reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-046-CAS-3822845,31-046-CAS-3822845,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,100,,,BrC1=C(Br)c2ccc(Br)c3c(Br)ccc1c23,ClC1(Cl)c2ccc(Br)c3c(Br)ccc(c23)C1(Cl)Cl,BrC1=C(Br)c2ccc(Br)c3c(Br)ccc1c23>>ClC1(Cl)c2ccc(Br)c3c(Br)ccc(c23)C1(Cl)Cl,"Photochemical bromination of 5,6-dibromoacenaphthene","Usachenko, V. G.; Petrenko, G. P.","Ukrainskii Khimicheskii Zhurnal (Russian Edition) (1975), 41(6), 663","Photochemical bromination of 5,6-dibromoacenaphthene | Usachenko, V. G.; Petrenko, G. P. | Ukrainskii Khimicheskii Zhurnal (Russian Edition) (1975), 41(6), 663",56564-74-0,56564-75-1,7782-50-5,,,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""56564-74-0"", ""smiles"": ""BrC1=C(Br)c2ccc(Br)c3c(Br)ccc1c23""}]","[{""index"": 1, ""cas_rn"": ""56564-75-1"", ""yield_pct"": ""100"", ""smiles"": ""ClC1(Cl)c2ccc(Br)c3c(Br)ccc(c23)C1(Cl)Cl""}]","[{""index"": 1, ""cas_rn"": ""7782-50-5""}]",[],[],,
31-046-CAS-9199608,31-046-CAS-9199608,Reaction_20251110_1707 (2).rdf,Addition of Halogens to Double or Triple Bonds,4,,,BrC1=CC2C3CC4C5CC(C14)C2C35.ClC1=C(Br)C2C3CC4C5CC(C14)C2C53,Br[C@H]1[C@@H]2[C@@H]3C[C@H]4[C@@H]5C[C@@H]([C@H]2[C@H]35)[C@H]4C1(Br)Br.Br[C@H]1[C@H]2[C@@H]3C[C@@H]4[C@H]2[C@H]2C[C@@H]4[C@](Br)([C@@H]12)[C@@H]3Br,BrC1=CC2C3CC4C5CC(C14)C2C35.ClC1=C(Br)C2C3CC4C5CC(C14)C2C53>>Br[C@H]1[C@@H]2[C@@H]3C[C@H]4[C@@H]5C[C@@H]([C@H]2[C@H]35)[C@H]4C1(Br)Br.Br[C@H]1[C@H]2[C@@H]3C[C@@H]4[C@H]2[C@H]2C[C@@H]4[C@](Br)([C@@H]12)[C@@H]3Br,"Syntheses and reactions of halogenated pentacyclo[5.5.0.02,6.03,10.05,9]dodec-11-enes","Marchand, Alan P.; Aavula, Bhasker Reddy; Bott, Simon G.","Tetrahedron (1998), 54(20), 5105-5118","Syntheses and reactions of halogenated pentacyclo[5.5.0.02,6.03,10.05,9]dodec-11-enes | Marchand, Alan P.; Aavula, Bhasker Reddy; Bott, Simon G. | Tetrahedron (1998), 54(20), 5105-5118","208536-73-6, 208536-79-2","208536-72-5, 208536-76-9",7726-95-6,,67-66-3,,,,,,,1,1,4,89,,,,,,"{""1"": 4, ""2"": 89}","[{""index"": 1, ""cas_rn"": ""208536-73-6"", ""smiles"": ""BrC1=CC2C3CC4C5CC(C14)C2C35""}, {""index"": 2, ""cas_rn"": ""208536-79-2"", ""smiles"": ""ClC1=C(Br)C2C3CC4C5CC(C14)C2C53""}]","[{""index"": 1, ""cas_rn"": ""208536-72-5"", ""yield_pct"": ""4"", ""smiles"": ""Br[C@H]1[C@@H]2[C@@H]3C[C@H]4[C@@H]5C[C@@H]([C@H]2[C@H]35)[C@H]4C1(Br)Br""}, {""index"": 2, ""cas_rn"": ""208536-76-9"", ""yield_pct"": ""89"", ""smiles"": ""Br[C@H]1[C@H]2[C@@H]3C[C@@H]4[C@H]2[C@H]2C[C@@H]4[C@](Br)([C@@H]12)[C@@H]3Br""}]","[{""index"": 1, ""cas_rn"": ""7726-95-6""}]",[],"[{""index"": 1, ""cas_rn"": ""67-66-3""}]",PRODUCT MIX DEPENDS ON REACTION TEMP. AND REACTION TIME,
31-048-CAS-10469214,31-048-CAS-10469214,Reaction_20251110_1707 (1).rdf,Addition of Halogens to Double or Triple Bonds,88,,,C=C(C(=O)OCC)C(O)/C=C(\Cl)c1ccccc1,CCOC(=O)/C(=C/C=C(\Cl)c1ccccc1)CBr,C=C(C(=O)OCC)C(O)/C=C(\Cl)c1ccccc1>>CCOC(=O)/C(=C/C=C(\Cl)c1ccccc1)CBr,Efficient Synthesis of a New Type of Baylis-Hillman Adducts and Their Stereoselective Bromination,"Zhong, Weihui; Jiang, Lingbo; Guo, Baoming; Wu, Yaotiao; Hong, Lingjuan; Chen, Yanhui","Synthetic Communications (2010), 40(16), 2441-2456","Efficient Synthesis of a New Type of Baylis-Hillman Adducts and Their Stereoselective Bromination | Zhong, Weihui; Jiang, Lingbo; Guo, Baoming; Wu, Yaotiao; Hong, Lingjuan; Chen, Yanhui | Synthetic Communications (2010), 40(16), 2441-2456",1219452-56-8,1242316-98-8,"603-35-0, 7726-95-6, 7772-98-7",,"75-09-2, 7732-18-5",,,,,,"General/Typical Procedure: Typical Procedure for (2Z,4Z)-Methyl-2-(bromomethyl)-5-chloro-5-(3-chlorophenyl)penta-2,4-dienoate (5a) Br2 (1.60 g, 10.0 mmol) was added dropwise to a stirring solution of Ph3P (2.62 g, 10.0 mmol) in CH2Cl2 (20 mL) at 0 °C, followed by dropwise addition of a solution of 4a (2.87 g, 10.0 mmol) in CH2Cl2 (10 mL). The reaction mixture was stirred at room temperature for 15 min. Then the reaction was quenched by 20% Na2S2O3 solution (5 mL) and extracted with CH2Cl2 (3x30 mL). The combined organic phase was dried over Na2SO4 and evaporated under reduced pressure to give a crude product, which was purified by flash-column chromatography on silica gel (petroleum ether/ethyl acetate=20:1) to give 89% yield of 5a (3.12 g). (2Z,4Z)-Ethyl-2-(bromomethyl)-5-chloro-5-phenylpenta-2,4-dienoate (5e). Yellow solid, yield 88%. mp 80.9-81.6°C. IR (KBr) νmax: 3132, 1700, 1605, 1400, 1264 cm-1; 1H NMR (400MHz, CDCl3) δ 7.88 (1H, d, J 11.2 Hz, ClC=CHCH=C), 7.73-7.76 (2H, m, ArH), 7.42-7.44 (3H, m, ArH), 7.10 (1H, d, J 11.2 Hz, ClC=CHCH=C), 4.43 (2H, s, CH2Br), 4.32 (2H, q, J 7.2 Hz, COOCH2CH3), 1.38 (3H, t, J 7.2 Hz, CO2CH2CH3); 13C NMR (100MHz, CDCl3) δ 165.9, 143.2, 137.4, 137.2, 130.6, 130.3, 129.0 (2C), 127.4 (2C), 120.1, 61.8, 24.8, 14.6; MS (EI) m/z 330.0 (M++2, 3), 328.0 (M+, 2), 249.1 (25), 203.0 (83), 175.0 (100), 141.1 (92), 115.1 (50); HRMS (EI) m/z calcd. for C14H14BrClO2: 327.9866; found: 327.9875.",2,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""1219452-56-8"", ""smiles"": ""C=C(C(=O)OCC)C(O)/C=C(\\Cl)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1242316-98-8"", ""yield_pct"": ""88"", ""smiles"": ""CCOC(=O)/C(=C/C=C(\\Cl)c1ccccc1)CBr""}]","[{""index"": 1, ""cas_rn"": ""603-35-0""}, {""index"": 2, ""cas_rn"": ""7726-95-6""}, {""index"": 3, ""cas_rn"": ""7772-98-7""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",stereoselective,
31-048-CAS-1171825,31-048-CAS-1171825,Reaction_20251110_1707 (1).rdf,Addition of Halogens to Double or Triple Bonds,89,,,C=C(C(=O)OC)C(O)/C=C(\Cl)c1ccc(Cl)cc1,COC(=O)/C(=C/C=C(\Cl)c1ccc(Cl)cc1)CBr,C=C(C(=O)OC)C(O)/C=C(\Cl)c1ccc(Cl)cc1>>COC(=O)/C(=C/C=C(\Cl)c1ccc(Cl)cc1)CBr,Efficient Synthesis of a New Type of Baylis-Hillman Adducts and Their Stereoselective Bromination,"Zhong, Weihui; Jiang, Lingbo; Guo, Baoming; Wu, Yaotiao; Hong, Lingjuan; Chen, Yanhui","Synthetic Communications (2010), 40(16), 2441-2456","Efficient Synthesis of a New Type of Baylis-Hillman Adducts and Their Stereoselective Bromination | Zhong, Weihui; Jiang, Lingbo; Guo, Baoming; Wu, Yaotiao; Hong, Lingjuan; Chen, Yanhui | Synthetic Communications (2010), 40(16), 2441-2456",1219452-59-1,1204966-43-7,"603-35-0, 7726-95-6, 7772-98-7",,"75-09-2, 7732-18-5",,,,,,"Typical Procedure for (2Z,4Z)-Methyl-2-(bromomethyl)-5-chloro-5-(3-chlorophenyl)penta-2,4-dienoate (5a) Br2 (1.60 g, 10.0 mmol) was added dropwise to a stirring solution of Ph3P (2.62 g, 10.0 mmol) in CH2Cl2 (20 mL) at 0 °C, followed by dropwise addition of a solution of 4a (2.87 g, 10.0 mmol) in CH2Cl2 (10 mL). The reaction mixture was stirred at room temperature for 15 min. Then the reaction was quenched by 20% Na2S2O3 solution (5 mL) and extracted with CH2Cl2 (3x30 mL). The combined organic phase was dried over Na2SO4 and evaporated under reduced pressure to give a crude product, which was purified by flash-column chromatography on silica gel (petroleum ether/ethyl acetate=20:1) to give 89% yield of 5a (3.12 g). (2Z,4Z)-Methyl-2-(bromomethyl)-5-chloro-5-(4-chlorophenyl)penta-2,4-dienoate (5a). Yellow solid, 3.12 g, 89%. mp 82.3-82.8°C. IR (KBr) νmax: 3133, 1709, 1593, 1400, 1261 cm-1; 1H NMR (400MHz, CDCl3) δ 7.86 (1H, d, J 11.6 Hz, ClC=CHCH=C), 7.68 (2H, d, J 8.0 Hz, ArH), 7.41 (2H, d, J 8.0 Hz, ArH), 7.09 (1H, d, J 11.6 Hz, ClC=CHCH=C), 4.42 (2H, s, CH2Br), 3.88 (3H, s, CO2CH3); 13C NMR (100 MHz, CDCl3) δ 166.2, 141.9, 137.1, 136.8, 135.7, 130.5, 129.2 (2C), 128.5 (2C), 120.3, 52.7, 24.6; MS (EI) m/z 350 (M++2, 3), 348 (M+, 2), 269 (38), 237 (100), 209.0 (72), 175.0 (30), 139.1 (30); HRMS (EI) m/z calcd. for C13H11BrCl2O2: 347.9319; found: 347.9315.",2,1,89,,,,,,,"{""1"": 89}","[{""index"": 1, ""cas_rn"": ""1219452-59-1"", ""smiles"": ""C=C(C(=O)OC)C(O)/C=C(\\Cl)c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""1204966-43-7"", ""yield_pct"": ""89"", ""smiles"": ""COC(=O)/C(=C/C=C(\\Cl)c1ccc(Cl)cc1)CBr""}]","[{""index"": 1, ""cas_rn"": ""603-35-0""}, {""index"": 2, ""cas_rn"": ""7726-95-6""}, {""index"": 3, ""cas_rn"": ""7772-98-7""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",stereoselective,
31-048-CAS-11777249,31-048-CAS-11777249,Reaction_20251110_1707 (2).rdf,Addition of Halogens to Double or Triple Bonds,80,,,C=C(C(=O)OC)C(O)c1cccc(Br)c1,COC(=O)/C(=C/c1cccc(Br)c1)CBr,C=C(C(=O)OC)C(O)c1cccc(Br)c1>>COC(=O)/C(=C/c1cccc(Br)c1)CBr,The first synthesis of a borylated α-methylene-γ-butyrolactone,"Ramachandran, P. Veeraraghavan; Nicponski, Daniel R.; Drolet, Michael P.; Schmidt, C. Max; Yip-Schneider, Michele T.","Future Medicinal Chemistry (2013), 5(6), 633-639","The first synthesis of a borylated α-methylene-γ-butyrolactone | Ramachandran, P. Veeraraghavan; Nicponski, Daniel R.; Drolet, Michael P.; Schmidt, C. Max; Yip-Schneider, Michele T. | Future Medicinal Chemistry (2013), 5(6), 633-639",500163-43-9,868068-41-1,10035-10-6,,64-19-7,,,,,,,1,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""500163-43-9"", ""smiles"": ""C=C(C(=O)OC)C(O)c1cccc(Br)c1""}]","[{""index"": 1, ""cas_rn"": ""868068-41-1"", ""yield_pct"": ""80"", ""smiles"": ""COC(=O)/C(=C/c1cccc(Br)c1)CBr""}]","[{""index"": 1, ""cas_rn"": ""10035-10-6""}]",[],"[{""index"": 1, ""cas_rn"": ""64-19-7""}]",stereoselective,
31-048-CAS-12251104,31-048-CAS-12251104,Reaction_20251110_1707 (2).rdf,Addition of Halogens to Double or Triple Bonds,75,,,C=C(C(=O)OC)C(O)/C=C/c1ccccc1,COC(=O)/C(=C/C=C/c1ccccc1)CBr,C=C(C(=O)OC)C(O)/C=C/c1ccccc1>>COC(=O)/C(=C/C=C/c1ccccc1)CBr,Fast and efficient preparation of Baylis-Hillman-derived (E)-allylic azides and related compounds in aqueous medium,"Sa, Marcus M.; Ramos, Marcia D.; Fernandes, Luciano","Tetrahedron (2006), 62(50), 11652-11656","Fast and efficient preparation of Baylis-Hillman-derived (E)-allylic azides and related compounds in aqueous medium | Sa, Marcus M.; Ramos, Marcia D.; Fernandes, Luciano | Tetrahedron (2006), 62(50), 11652-11656",124957-35-3,918155-94-9,"7550-35-8, 9037-24-5",,75-05-8,,,,,,,1,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""124957-35-3"", ""smiles"": ""C=C(C(=O)OC)C(O)/C=C/c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""918155-94-9"", ""yield_pct"": ""75"", ""smiles"": ""COC(=O)/C(=C/C=C/c1ccccc1)CBr""}]","[{""index"": 1, ""cas_rn"": ""7550-35-8""}, {""index"": 2, ""cas_rn"": ""9037-24-5""}]",[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}]",stereoselective,
31-048-CAS-12612266,31-048-CAS-12612266,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,91,,,C=C(C(=O)OC)C(O)/C=C(\Cl)c1ccc(C)cc1,COC(=O)/C(=C/C=C(\Cl)c1ccc(C)cc1)CBr,C=C(C(=O)OC)C(O)/C=C(\Cl)c1ccc(C)cc1>>COC(=O)/C(=C/C=C(\Cl)c1ccc(C)cc1)CBr,Efficient Synthesis of a New Type of Baylis-Hillman Adducts and Their Stereoselective Bromination,"Zhong, Weihui; Jiang, Lingbo; Guo, Baoming; Wu, Yaotiao; Hong, Lingjuan; Chen, Yanhui","Synthetic Communications (2010), 40(16), 2441-2456","Efficient Synthesis of a New Type of Baylis-Hillman Adducts and Their Stereoselective Bromination | Zhong, Weihui; Jiang, Lingbo; Guo, Baoming; Wu, Yaotiao; Hong, Lingjuan; Chen, Yanhui | Synthetic Communications (2010), 40(16), 2441-2456",1219452-57-9,1242316-99-9,"603-35-0, 7726-95-6, 7772-98-7",,"75-09-2, 7732-18-5",,,,,,"General/Typical Procedure: Typical Procedure for (2Z,4Z)-Methyl-2-(bromomethyl)-5-chloro-5-(3-chlorophenyl)penta-2,4-dienoate (5a) Br2 (1.60 g, 10.0 mmol) was added dropwise to a stirring solution of Ph3P (2.62 g, 10.0 mmol) in CH2Cl2 (20 mL) at 0 °C, followed by dropwise addition of a solution of 4a (2.87 g, 10.0 mmol) in CH2Cl2 (10 mL). The reaction mixture was stirred at room temperature for 15 min. Then the reaction was quenched by 20% Na2S2O3 solution (5 mL) and extracted with CH2Cl2 (3x30 mL). The combined organic phase was dried over Na2SO4 and evaporated under reduced pressure to give a crude product, which was purified by flash-column chromatography on silica gel (petroleum ether/ethyl acetate=20:1) to give 89% yield of 5a (3.12 g). (2Z,4Z)-Methyl-2-(bromomethyl)-5-chloro-5-p-tolylpenta-2,4-dienoate (5f). Yellow solid, yield 91%. mp 83.1-84.0°C. IR (KBr) νmax: 3127, 1706, 1599, 1401, 1280; cm-1 1H NMR (400 MHz, CDCl3) δ 7.90 (1H, d, J 11.6 Hz, ClC=CHCH=C), 7.62-7.65 (2H, m, ArH), 7.23 (2H, d, J 8.4 Hz, ArH), 7.07 (1H, d, J 11.6 Hz, ClC=CHCH=C), 4.42 (2H, s, CH2Br), 3.86 (3H, s, CO2CH3), 2.40 (3H, s, CH3); 13C NMR (100 MHz, CDCl3) δ 166.2, 143.4, 140.9, 137.5, 134.3, 129.3 (2C), 129.1, 127.0 (2C), 118.8, 52.4, 24.6, 21.3; MS (EI) m/z 329.9 (M++2, 3), 327.9 (M+, 2), 249.0 (51), 189.0 (100), 155.0 (62), 115.1 (20); HRMS (EI) m/z calcd. for C14H14BrClO2: 327.9866; found: 327.9871.",2,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""1219452-57-9"", ""smiles"": ""C=C(C(=O)OC)C(O)/C=C(\\Cl)c1ccc(C)cc1""}]","[{""index"": 1, ""cas_rn"": ""1242316-99-9"", ""yield_pct"": ""91"", ""smiles"": ""COC(=O)/C(=C/C=C(\\Cl)c1ccc(C)cc1)CBr""}]","[{""index"": 1, ""cas_rn"": ""603-35-0""}, {""index"": 2, ""cas_rn"": ""7726-95-6""}, {""index"": 3, ""cas_rn"": ""7772-98-7""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",stereoselective,
31-048-CAS-13207094,31-048-CAS-13207094,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,95,,,C=CC(O)(c1ccc(F)cc1)c1ccc(F)cc1,Fc1ccc(C(=CCCl)c2ccc(F)cc2)cc1,C=CC(O)(c1ccc(F)cc1)c1ccc(F)cc1>>Fc1ccc(C(=CCCl)c2ccc(F)cc2)cc1,Synthesis and SAR study of diphenylbutylpiperidines as cell autophagy inducers,"Chen, Gang; Xia, Hongguang; Cai, Yu; Ma, Dawei; Yuan, Junying; Yuan, Chengye","Bioorganic & Medicinal Chemistry Letters (2011), 21(1), 234-239","Synthesis and SAR study of diphenylbutylpiperidines as cell autophagy inducers | Chen, Gang; Xia, Hongguang; Cai, Yu; Ma, Dawei; Yuan, Junying; Yuan, Chengye | Bioorganic & Medicinal Chemistry Letters (2011), 21(1), 234-239",99734-06-2,462093-67-0,75-36-5,,75-09-2,,,,,,,1,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""99734-06-2"", ""smiles"": ""C=CC(O)(c1ccc(F)cc1)c1ccc(F)cc1""}]","[{""index"": 1, ""cas_rn"": ""462093-67-0"", ""yield_pct"": ""95"", ""smiles"": ""Fc1ccc(C(=CCCl)c2ccc(F)cc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""75-36-5""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]","chemoselective, regioselective",
31-048-CAS-1338378,31-048-CAS-1338378,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,94,,,C=C(C(=O)OC)C(O)/C=C(\Cl)c1ccc(OC)cc1,COC(=O)/C(=C/C=C(\Cl)c1ccc(OC)cc1)CBr,C=C(C(=O)OC)C(O)/C=C(\Cl)c1ccc(OC)cc1>>COC(=O)/C(=C/C=C(\Cl)c1ccc(OC)cc1)CBr,Efficient Synthesis of a New Type of Baylis-Hillman Adducts and Their Stereoselective Bromination,"Zhong, Weihui; Jiang, Lingbo; Guo, Baoming; Wu, Yaotiao; Hong, Lingjuan; Chen, Yanhui","Synthetic Communications (2010), 40(16), 2441-2456","Efficient Synthesis of a New Type of Baylis-Hillman Adducts and Their Stereoselective Bromination | Zhong, Weihui; Jiang, Lingbo; Guo, Baoming; Wu, Yaotiao; Hong, Lingjuan; Chen, Yanhui | Synthetic Communications (2010), 40(16), 2441-2456",1219452-60-4,1242317-00-5,"603-35-0, 7726-95-6, 7772-98-7",,"75-09-2, 7732-18-5",,,,,,"General/Typical Procedure: Typical Procedure for (2Z,4Z)-Methyl-2-(bromomethyl)-5-chloro-5-(3-chlorophenyl)penta-2,4-dienoate (5a) Br2 (1.60 g, 10.0 mmol) was added dropwise to a stirring solution of Ph3P (2.62 g, 10.0 mmol) in CH2Cl2 (20 mL) at 0 °C, followed by dropwise addition of a solution of 4a (2.87 g, 10.0 mmol) in CH2Cl2 (10 mL). The reaction mixture was stirred at room temperature for 15 min. Then the reaction was quenched by 20% Na2S2O3 solution (5 mL) and extracted with CH2Cl2 (3x30 mL). The combined organic phase was dried over Na2SO4 and evaporated under reduced pressure to give a crude product, which was purified by flash-column chromatography on silica gel (petroleum ether/ethyl acetate=20:1) to give 89% yield of 5a (3.12 g). (2Z,4Z)-Methyl-2-(bromomethyl)-5-chloro-5-(4-methoxyphenyl)penta-2,4- dienoate (5h). Yellow solid, yield 94%. mp 97.3-97.8°C. IR (KBr) νmax: 3132, 1699, 1592, 1400, 1266 cm-1; 1H NMR (400 MHz, CDCl3) δ 7.89 (1H, d, J 11.6 Hz, ClC=CHCH=C), 7.70 (2H, d, J 8.8 Hz, ArH), 7.01 (1H, d, J 11.6 Hz, ClC=CHCH=C), 6.93 (2H, d, J 8.4 Hz, ArH), 4.43 (2H, s, CH2Br), 3.86 (6H, s, CO2CH3 and OCH3); 13C NMR (100 MHz, CDCl3) δ 166.2, 161.4, 143.0, 137.7, 129.4, 128.6 (2C), 128.4, 117.8, 114.0 (2C), 55.4, 52.3, 24.8; MS (EI) m/z 346.0 (M++2, 2), 344.0 (M+, 1), 265.1 (29), 231.1 (100), 171.1 (50), 128.1 (31); HRMS (EI) m/z calcd. for C14H14BrClO3: 343.9815; found: 343.9822.",2,1,94,,,,,,,"{""1"": 94}","[{""index"": 1, ""cas_rn"": ""1219452-60-4"", ""smiles"": ""C=C(C(=O)OC)C(O)/C=C(\\Cl)c1ccc(OC)cc1""}]","[{""index"": 1, ""cas_rn"": ""1242317-00-5"", ""yield_pct"": ""94"", ""smiles"": ""COC(=O)/C(=C/C=C(\\Cl)c1ccc(OC)cc1)CBr""}]","[{""index"": 1, ""cas_rn"": ""603-35-0""}, {""index"": 2, ""cas_rn"": ""7726-95-6""}, {""index"": 3, ""cas_rn"": ""7772-98-7""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",stereoselective,
31-048-CAS-13901380,31-048-CAS-13901380,Reaction_20251110_1707 (1).rdf,Addition of Halogens to Double or Triple Bonds,90,,,C=C(C(=O)OC)C(O)/C=C(\Cl)c1cccc(Cl)c1,COC(=O)/C(=C/C=C(\Cl)c1cccc(Cl)c1)CBr,C=C(C(=O)OC)C(O)/C=C(\Cl)c1cccc(Cl)c1>>COC(=O)/C(=C/C=C(\Cl)c1cccc(Cl)c1)CBr,Efficient Synthesis of a New Type of Baylis-Hillman Adducts and Their Stereoselective Bromination,"Zhong, Weihui; Jiang, Lingbo; Guo, Baoming; Wu, Yaotiao; Hong, Lingjuan; Chen, Yanhui","Synthetic Communications (2010), 40(16), 2441-2456","Efficient Synthesis of a New Type of Baylis-Hillman Adducts and Their Stereoselective Bromination | Zhong, Weihui; Jiang, Lingbo; Guo, Baoming; Wu, Yaotiao; Hong, Lingjuan; Chen, Yanhui | Synthetic Communications (2010), 40(16), 2441-2456",1219452-61-5,1242316-95-5,"603-35-0, 7726-95-6, 7772-98-7",,"75-09-2, 7732-18-5",,,,,,"General/Typical Procedure: Typical Procedure for (2Z,4Z)-Methyl-2-(bromomethyl)-5-chloro-5-(3-chlorophenyl)penta-2,4-dienoate (5a) Br2 (1.60 g, 10.0 mmol) was added dropwise to a stirring solution of Ph3P (2.62 g, 10.0 mmol) in CH2Cl2 (20 mL) at 0 °C, followed by dropwise addition of a solution of 4a (2.87 g, 10.0 mmol) in CH2Cl2 (10 mL). The reaction mixture was stirred at room temperature for 15 min. Then the reaction was quenched by 20% Na2S2O3 solution (5 mL) and extracted with CH2Cl2 (3x30 mL). The combined organic phase was dried over Na2SO4 and evaporated under reduced pressure to give a crude product, which was purified by flash-column chromatography on silica gel (petroleum ether/ethyl acetate=20:1) to give 89% yield of 5a (3.12 g). (2Z,4Z)-Methyl-2-(bromomethyl)-5-chloro-5-(3-chlorophenyl)penta-2,4-dienoate (5b). Yellow solid, yield 90%. mp 85.3-86.1°C. IR (KBr) νmax: 3134, 1692, 1606, 1401, 1272 cm-1; 1H NMR (400 MHz, CDCl3) δ 7.85 (1H, d, J 11.6 Hz, ClC=CHCH=C), 7.71 (1H, s, ArH), 7.61 (1H, d, J 7.6 Hz, ArH), 7.34-7.41 (2H, m, ArH), 7.09 (1H, d, J 11.6 Hz, ClC=CHCH=C), 4.42 (2H, s, CH2Br), 3.87 (3H, s, CO2CH3); 13C NMR (100MHz, CDCl3) δ 165.9, 141.1, 138.7, 136.6, 134.8, 130.6, 130.2, 129.9, 127.1, 125.1, 120.6, 52.5, 24.1; MS (EI) m/z 349.9 (M++2, 3), 347.9 (M+, 2), 269.0 (38), 237.0 (82), 209.0 (100), 175.0 (77), 139.1 (61); HRMS (EI) m/z calcd. for C13H11BrCl2O2: 347.9319; found: 347.9311.",2,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""1219452-61-5"", ""smiles"": ""C=C(C(=O)OC)C(O)/C=C(\\Cl)c1cccc(Cl)c1""}]","[{""index"": 1, ""cas_rn"": ""1242316-95-5"", ""yield_pct"": ""90"", ""smiles"": ""COC(=O)/C(=C/C=C(\\Cl)c1cccc(Cl)c1)CBr""}]","[{""index"": 1, ""cas_rn"": ""603-35-0""}, {""index"": 2, ""cas_rn"": ""7726-95-6""}, {""index"": 3, ""cas_rn"": ""7772-98-7""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",stereoselective,
31-048-CAS-14371421,31-048-CAS-14371421,Reaction_20251110_1707 (1).rdf,Addition of Halogens to Double or Triple Bonds,88,,,C=C(C#N)C(C)O,CC=C(C#N)CBr,C=C(C#N)C(C)O>>CC=C(C#N)CBr,"Action of 1,4-diazabicyclo[2.2.2]octane and KCN on α,β-unsaturated α-bromomethyl nitriles. Synthesis of an (E,Z)-2-alkyl-3-methylbutenedinitrile family","Saad, R. Ouled; Amri, H.","Journal de la Societe Chimique de Tunisie (2005), 7(2), 239-243","Action of 1,4-diazabicyclo[2.2.2]octane and KCN on α,β-unsaturated α-bromomethyl nitriles. Synthesis of an (E,Z)-2-alkyl-3-methylbutenedinitrile family | Saad, R. Ouled; Amri, H. | Journal de la Societe Chimique de Tunisie (2005), 7(2), 239-243",19362-94-8,119990-93-1,7789-60-8,,60-29-7,,,,,,,1,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""19362-94-8"", ""smiles"": ""C=C(C#N)C(C)O""}]","[{""index"": 1, ""cas_rn"": ""119990-93-1"", ""yield_pct"": ""88"", ""smiles"": ""CC=C(C#N)CBr""}]","[{""index"": 1, ""cas_rn"": ""7789-60-8""}]",[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}]",,
