reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-219-CAS-23432121,31-219-CAS-23432121,1.rdf,Decarboxylative arylation,49,,,O=C(O)C(=O)c1ccccc1.COC(=O)c1ncc2cc(Oc3ccccc3)ccc2c1O,COC(=O)c1nc(C(=O)c2ccccc2)c2cc(Oc3ccccc3)ccc2c1O,O=C(O)C(=O)c1ccccc1.COC(=O)c1ncc2cc(Oc3ccccc3)ccc2c1O>>COC(=O)c1nc(C(=O)c2ccccc2)c2cc(Oc3ccccc3)ccc2c1O,Acyl Radicals from α-Keto Acids: Metal-Free Visible-Light-Promoted Acylation of Heterocycles,"Zhu, Hu-Lin; Zeng, Fan-Lin; Chen, Xiao-Lan; Sun, Kai; Li, Hao-Cong; Yuan, Xiao-Ya; Qu, Ling-Bo; Yu, Bing","Organic Letters (2021), 23(8), 2976-2980","Acyl Radicals from α-Keto Acids: Metal-Free Visible-Light-Promoted Acylation of Heterocycles | Zhu, Hu-Lin; Zeng, Fan-Lin; Chen, Xiao-Lan; Sun, Kai; Li, Hao-Cong; Yuan, Xiao-Ya; Qu, Ling-Bo; Yu, Bing | Organic Letters (2021), 23(8), 2976-2980","611-73-4, 1455091-10-7",2633631-49-7,7782-44-7,1416881-52-1,616-38-6,,,,,,,1,1,49,,,,,,,"{""1"": 49}","[{""index"": 1, ""cas_rn"": ""611-73-4"", ""smiles"": ""O=C(O)C(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""1455091-10-7"", ""smiles"": ""COC(=O)c1ncc2cc(Oc3ccccc3)ccc2c1O""}]","[{""index"": 1, ""cas_rn"": ""2633631-49-7"", ""yield_pct"": ""49"", ""smiles"": ""COC(=O)c1nc(C(=O)c2ccccc2)c2cc(Oc3ccccc3)ccc2c1O""}]","[{""index"": 1, ""cas_rn"": ""7782-44-7""}]","[{""index"": 1, ""cas_rn"": ""1416881-52-1""}]","[{""index"": 1, ""cas_rn"": ""616-38-6""}]","green chemistry-solvent, photochemical, regioselective, reaction carried out under air,5W blue LED used",
31-219-CAS-23433606,31-219-CAS-23433606,1.rdf,Decarboxylative arylation,79,,,O=C(O)C(=O)c1ccccc1.Cn1c(=O)cnc2ccccc21,Cn1c(=O)c(C(=O)c2ccccc2)nc2ccccc21,O=C(O)C(=O)c1ccccc1.Cn1c(=O)cnc2ccccc21>>Cn1c(=O)c(C(=O)c2ccccc2)nc2ccccc21,Acyl Radicals from α-Keto Acids: Metal-Free Visible-Light-Promoted Acylation of Heterocycles,"Zhu, Hu-Lin; Zeng, Fan-Lin; Chen, Xiao-Lan; Sun, Kai; Li, Hao-Cong; Yuan, Xiao-Ya; Qu, Ling-Bo; Yu, Bing","Organic Letters (2021), 23(8), 2976-2980","Acyl Radicals from α-Keto Acids: Metal-Free Visible-Light-Promoted Acylation of Heterocycles | Zhu, Hu-Lin; Zeng, Fan-Lin; Chen, Xiao-Lan; Sun, Kai; Li, Hao-Cong; Yuan, Xiao-Ya; Qu, Ling-Bo; Yu, Bing | Organic Letters (2021), 23(8), 2976-2980","611-73-4, 6479-18-1",92868-25-2,7782-44-7,1416881-52-1,616-38-6,,,,,,,1,1,79,,,,,,,"{""1"": 79}","[{""index"": 1, ""cas_rn"": ""611-73-4"", ""smiles"": ""O=C(O)C(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""6479-18-1"", ""smiles"": ""Cn1c(=O)cnc2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""92868-25-2"", ""yield_pct"": ""79"", ""smiles"": ""Cn1c(=O)c(C(=O)c2ccccc2)nc2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""7782-44-7""}]","[{""index"": 1, ""cas_rn"": ""1416881-52-1""}]","[{""index"": 1, ""cas_rn"": ""616-38-6""}]","green chemistry-solvent, photochemical, regioselective, reaction carried out under air,5W blue LED used",
31-219-CAS-23433960,31-219-CAS-23433960,1.rdf,Decarboxylative arylation,54,,,Cc1cccc2cccnc12.O=C(O)C(=O)c1ccccc1,Cc1cccc2ccc(C(=O)c3ccccc3)nc12,Cc1cccc2cccnc12.O=C(O)C(=O)c1ccccc1>>Cc1cccc2ccc(C(=O)c3ccccc3)nc12,Acyl Radicals from α-Keto Acids: Metal-Free Visible-Light-Promoted Acylation of Heterocycles,"Zhu, Hu-Lin; Zeng, Fan-Lin; Chen, Xiao-Lan; Sun, Kai; Li, Hao-Cong; Yuan, Xiao-Ya; Qu, Ling-Bo; Yu, Bing","Organic Letters (2021), 23(8), 2976-2980","Acyl Radicals from α-Keto Acids: Metal-Free Visible-Light-Promoted Acylation of Heterocycles | Zhu, Hu-Lin; Zeng, Fan-Lin; Chen, Xiao-Lan; Sun, Kai; Li, Hao-Cong; Yuan, Xiao-Ya; Qu, Ling-Bo; Yu, Bing | Organic Letters (2021), 23(8), 2976-2980","611-32-5, 611-73-4",1401616-00-9,7782-44-7,1416881-52-1,616-38-6,,,,,,,1,1,54,,,,,,,"{""1"": 54}","[{""index"": 1, ""cas_rn"": ""611-32-5"", ""smiles"": ""Cc1cccc2cccnc12""}, {""index"": 2, ""cas_rn"": ""611-73-4"", ""smiles"": ""O=C(O)C(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1401616-00-9"", ""yield_pct"": ""54"", ""smiles"": ""Cc1cccc2ccc(C(=O)c3ccccc3)nc12""}]","[{""index"": 1, ""cas_rn"": ""7782-44-7""}]","[{""index"": 1, ""cas_rn"": ""1416881-52-1""}]","[{""index"": 1, ""cas_rn"": ""616-38-6""}]","green chemistry-solvent, photochemical, regioselective, reaction carried out under air,5W blue LED used",
31-261-CAS-22486071,31-261-CAS-22486071,1.rdf,Decarboxylative arylation,67,,,O=C(O)C(=O)c1ccccc1.C=CC(=O)OC(C)(C)C,CC(C)(C)OC(=O)CCC(=O)c1ccccc1,O=C(O)C(=O)c1ccccc1.C=CC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)CCC(=O)c1ccccc1,Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones,"Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi","Organic Letters (2020), 22(17), 6832-6837","Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones | Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi | Organic Letters (2020), 22(17), 6832-6837","611-73-4, 1663-39-4",55666-45-0,534-17-8,86-39-5,"68-12-2, 7732-18-5",,,,,,,1,1,67,,,,,,,"{""1"": 67}","[{""index"": 1, ""cas_rn"": ""611-73-4"", ""smiles"": ""O=C(O)C(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""1663-39-4"", ""smiles"": ""C=CC(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""55666-45-0"", ""yield_pct"": ""67"", ""smiles"": ""CC(C)(C)OC(=O)CCC(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""534-17-8""}]","[{""index"": 1, ""cas_rn"": ""86-39-5""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, photochemical, compact fluorescent lamp (45 W) used",
31-261-CAS-22486072,31-261-CAS-22486072,1.rdf,Decarboxylative arylation,68,,,C=CC(=O)OC(C)(C)C.Cc1ccc(C(=O)C(=O)O)cc1,Cc1ccc(C(=O)CCC(=O)OC(C)(C)C)cc1,C=CC(=O)OC(C)(C)C.Cc1ccc(C(=O)C(=O)O)cc1>>Cc1ccc(C(=O)CCC(=O)OC(C)(C)C)cc1,Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones,"Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi","Organic Letters (2020), 22(17), 6832-6837","Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones | Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi | Organic Letters (2020), 22(17), 6832-6837","1663-39-4, 7163-50-0",1304688-89-8,534-17-8,86-39-5,"68-12-2, 7732-18-5",,,,,,,1,1,68,,,,,,,"{""1"": 68}","[{""index"": 1, ""cas_rn"": ""1663-39-4"", ""smiles"": ""C=CC(=O)OC(C)(C)C""}, {""index"": 2, ""cas_rn"": ""7163-50-0"", ""smiles"": ""Cc1ccc(C(=O)C(=O)O)cc1""}]","[{""index"": 1, ""cas_rn"": ""1304688-89-8"", ""yield_pct"": ""68"", ""smiles"": ""Cc1ccc(C(=O)CCC(=O)OC(C)(C)C)cc1""}]","[{""index"": 1, ""cas_rn"": ""534-17-8""}]","[{""index"": 1, ""cas_rn"": ""86-39-5""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, photochemical, compact fluorescent lamp (45 W) used",
31-261-CAS-22486073,31-261-CAS-22486073,1.rdf,Decarboxylative arylation,71,,,C=CC(=O)OC(C)(C)C.COc1ccc(C(=O)C(=O)O)cc1,COc1ccc(C(=O)CCC(=O)OC(C)(C)C)cc1,C=CC(=O)OC(C)(C)C.COc1ccc(C(=O)C(=O)O)cc1>>COc1ccc(C(=O)CCC(=O)OC(C)(C)C)cc1,Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones,"Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi","Organic Letters (2020), 22(17), 6832-6837","Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones | Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi | Organic Letters (2020), 22(17), 6832-6837","1663-39-4, 7099-91-4",1010800-67-5,534-17-8,86-39-5,"68-12-2, 7732-18-5",,,,,,,1,1,71,,,,,,,"{""1"": 71}","[{""index"": 1, ""cas_rn"": ""1663-39-4"", ""smiles"": ""C=CC(=O)OC(C)(C)C""}, {""index"": 2, ""cas_rn"": ""7099-91-4"", ""smiles"": ""COc1ccc(C(=O)C(=O)O)cc1""}]","[{""index"": 1, ""cas_rn"": ""1010800-67-5"", ""yield_pct"": ""71"", ""smiles"": ""COc1ccc(C(=O)CCC(=O)OC(C)(C)C)cc1""}]","[{""index"": 1, ""cas_rn"": ""534-17-8""}]","[{""index"": 1, ""cas_rn"": ""86-39-5""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, photochemical, compact fluorescent lamp (45 W) used",
31-261-CAS-22486074,31-261-CAS-22486074,1.rdf,Decarboxylative arylation,70,,,C=CC(=O)OC(C)(C)C.CN(C)c1ccc(C(=O)C(=O)O)cc1,CN(C)c1ccc(C(=O)CCC(=O)OC(C)(C)C)cc1,C=CC(=O)OC(C)(C)C.CN(C)c1ccc(C(=O)C(=O)O)cc1>>CN(C)c1ccc(C(=O)CCC(=O)OC(C)(C)C)cc1,Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones,"Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi","Organic Letters (2020), 22(17), 6832-6837","Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones | Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi | Organic Letters (2020), 22(17), 6832-6837","1663-39-4, 63756-72-9",2479962-38-2,534-17-8,86-39-5,"68-12-2, 7732-18-5",,,,,,,1,1,70,,,,,,,"{""1"": 70}","[{""index"": 1, ""cas_rn"": ""1663-39-4"", ""smiles"": ""C=CC(=O)OC(C)(C)C""}, {""index"": 2, ""cas_rn"": ""63756-72-9"", ""smiles"": ""CN(C)c1ccc(C(=O)C(=O)O)cc1""}]","[{""index"": 1, ""cas_rn"": ""2479962-38-2"", ""yield_pct"": ""70"", ""smiles"": ""CN(C)c1ccc(C(=O)CCC(=O)OC(C)(C)C)cc1""}]","[{""index"": 1, ""cas_rn"": ""534-17-8""}]","[{""index"": 1, ""cas_rn"": ""86-39-5""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, photochemical, compact fluorescent lamp (45 W) used",
31-261-CAS-22486075,31-261-CAS-22486075,1.rdf,Decarboxylative arylation,42,,,C=CC(=O)OC(C)(C)C.O=C(O)C(=O)c1ccc(F)cc1,CC(C)(C)OC(=O)CCC(=O)c1ccc(F)cc1,C=CC(=O)OC(C)(C)C.O=C(O)C(=O)c1ccc(F)cc1>>CC(C)(C)OC(=O)CCC(=O)c1ccc(F)cc1,Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones,"Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi","Organic Letters (2020), 22(17), 6832-6837","Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones | Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi | Organic Letters (2020), 22(17), 6832-6837","1663-39-4, 2251-76-5",175212-06-3,534-17-8,86-39-5,"68-12-2, 7732-18-5",,,,,,,1,1,42,,,,,,,"{""1"": 42}","[{""index"": 1, ""cas_rn"": ""1663-39-4"", ""smiles"": ""C=CC(=O)OC(C)(C)C""}, {""index"": 2, ""cas_rn"": ""2251-76-5"", ""smiles"": ""O=C(O)C(=O)c1ccc(F)cc1""}]","[{""index"": 1, ""cas_rn"": ""175212-06-3"", ""yield_pct"": ""42"", ""smiles"": ""CC(C)(C)OC(=O)CCC(=O)c1ccc(F)cc1""}]","[{""index"": 1, ""cas_rn"": ""534-17-8""}]","[{""index"": 1, ""cas_rn"": ""86-39-5""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, photochemical, compact fluorescent lamp (45 W) used",
31-261-CAS-22486076,31-261-CAS-22486076,1.rdf,Decarboxylative arylation,44,,,C=CC(=O)OC(C)(C)C.O=C(O)C(=O)c1ccc(Cl)cc1,CC(C)(C)OC(=O)CCC(=O)c1ccc(Cl)cc1,C=CC(=O)OC(C)(C)C.O=C(O)C(=O)c1ccc(Cl)cc1>>CC(C)(C)OC(=O)CCC(=O)c1ccc(Cl)cc1,Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones,"Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi","Organic Letters (2020), 22(17), 6832-6837","Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones | Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi | Organic Letters (2020), 22(17), 6832-6837","1663-39-4, 7099-88-9",1357378-07-4,534-17-8,86-39-5,"68-12-2, 7732-18-5",,,,,,,1,1,44,,,,,,,"{""1"": 44}","[{""index"": 1, ""cas_rn"": ""1663-39-4"", ""smiles"": ""C=CC(=O)OC(C)(C)C""}, {""index"": 2, ""cas_rn"": ""7099-88-9"", ""smiles"": ""O=C(O)C(=O)c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""1357378-07-4"", ""yield_pct"": ""44"", ""smiles"": ""CC(C)(C)OC(=O)CCC(=O)c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""534-17-8""}]","[{""index"": 1, ""cas_rn"": ""86-39-5""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, photochemical, compact fluorescent lamp (45 W) used",
31-261-CAS-22486077,31-261-CAS-22486077,1.rdf,Decarboxylative arylation,63,,,C=CC(=O)OC(C)(C)C.Cc1cccc(C(=O)C(=O)O)c1,Cc1cccc(C(=O)CCC(=O)OC(C)(C)C)c1,C=CC(=O)OC(C)(C)C.Cc1cccc(C(=O)C(=O)O)c1>>Cc1cccc(C(=O)CCC(=O)OC(C)(C)C)c1,Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones,"Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi","Organic Letters (2020), 22(17), 6832-6837","Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones | Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi | Organic Letters (2020), 22(17), 6832-6837","1663-39-4, 61560-94-9",2414639-84-0,534-17-8,86-39-5,"68-12-2, 7732-18-5",,,,,,,1,1,63,,,,,,,"{""1"": 63}","[{""index"": 1, ""cas_rn"": ""1663-39-4"", ""smiles"": ""C=CC(=O)OC(C)(C)C""}, {""index"": 2, ""cas_rn"": ""61560-94-9"", ""smiles"": ""Cc1cccc(C(=O)C(=O)O)c1""}]","[{""index"": 1, ""cas_rn"": ""2414639-84-0"", ""yield_pct"": ""63"", ""smiles"": ""Cc1cccc(C(=O)CCC(=O)OC(C)(C)C)c1""}]","[{""index"": 1, ""cas_rn"": ""534-17-8""}]","[{""index"": 1, ""cas_rn"": ""86-39-5""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, photochemical, compact fluorescent lamp (45 W) used",
31-261-CAS-22486078,31-261-CAS-22486078,1.rdf,Decarboxylative arylation,60,,,C=CC(=O)OC(C)(C)C.Cc1ccccc1C(=O)C(=O)O,Cc1ccccc1C(=O)CCC(=O)OC(C)(C)C,C=CC(=O)OC(C)(C)C.Cc1ccccc1C(=O)C(=O)O>>Cc1ccccc1C(=O)CCC(=O)OC(C)(C)C,Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones,"Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi","Organic Letters (2020), 22(17), 6832-6837","Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones | Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi | Organic Letters (2020), 22(17), 6832-6837","1663-39-4, 150781-72-9",170282-44-7,534-17-8,86-39-5,"68-12-2, 7732-18-5",,,,,,,1,1,60,,,,,,,"{""1"": 60}","[{""index"": 1, ""cas_rn"": ""1663-39-4"", ""smiles"": ""C=CC(=O)OC(C)(C)C""}, {""index"": 2, ""cas_rn"": ""150781-72-9"", ""smiles"": ""Cc1ccccc1C(=O)C(=O)O""}]","[{""index"": 1, ""cas_rn"": ""170282-44-7"", ""yield_pct"": ""60"", ""smiles"": ""Cc1ccccc1C(=O)CCC(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""534-17-8""}]","[{""index"": 1, ""cas_rn"": ""86-39-5""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, photochemical, compact fluorescent lamp (45 W) used",
31-261-CAS-22486079,31-261-CAS-22486079,1.rdf,Decarboxylative arylation,61,,,C=CC(=O)OC(C)(C)C.Cc1ccc(C)c(C(=O)C(=O)O)c1,Cc1ccc(C)c(C(=O)CCC(=O)OC(C)(C)C)c1,C=CC(=O)OC(C)(C)C.Cc1ccc(C)c(C(=O)C(=O)O)c1>>Cc1ccc(C)c(C(=O)CCC(=O)OC(C)(C)C)c1,Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones,"Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi","Organic Letters (2020), 22(17), 6832-6837","Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones | Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi | Organic Letters (2020), 22(17), 6832-6837","1663-39-4, 103204-83-7",339558-54-2,534-17-8,86-39-5,"68-12-2, 7732-18-5",,,,,,,1,1,61,,,,,,,"{""1"": 61}","[{""index"": 1, ""cas_rn"": ""1663-39-4"", ""smiles"": ""C=CC(=O)OC(C)(C)C""}, {""index"": 2, ""cas_rn"": ""103204-83-7"", ""smiles"": ""Cc1ccc(C)c(C(=O)C(=O)O)c1""}]","[{""index"": 1, ""cas_rn"": ""339558-54-2"", ""yield_pct"": ""61"", ""smiles"": ""Cc1ccc(C)c(C(=O)CCC(=O)OC(C)(C)C)c1""}]","[{""index"": 1, ""cas_rn"": ""534-17-8""}]","[{""index"": 1, ""cas_rn"": ""86-39-5""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, photochemical, compact fluorescent lamp (45 W) used",
31-261-CAS-22486080,31-261-CAS-22486080,1.rdf,Decarboxylative arylation,62,,,C=CC(=O)OC(C)(C)C.COc1ccc(OC)c(C(=O)C(=O)O)c1,COc1ccc(OC)c(C(=O)CCC(=O)OC(C)(C)C)c1,C=CC(=O)OC(C)(C)C.COc1ccc(OC)c(C(=O)C(=O)O)c1>>COc1ccc(OC)c(C(=O)CCC(=O)OC(C)(C)C)c1,Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones,"Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi","Organic Letters (2020), 22(17), 6832-6837","Acyl Radicals from α-Keto Acids Using a Carbonyl Photocatalyst: Photoredox-Catalyzed Synthesis of Ketones | Zhu, Da-Liang; Wu, Qi; Young, David James; Wang, Hao; Ren, Zhi-Gang; Li, Hong-Xi | Organic Letters (2020), 22(17), 6832-6837","1663-39-4, 26767-03-3",63171-82-4,534-17-8,86-39-5,"68-12-2, 7732-18-5",,,,,,,1,1,62,,,,,,,"{""1"": 62}","[{""index"": 1, ""cas_rn"": ""1663-39-4"", ""smiles"": ""C=CC(=O)OC(C)(C)C""}, {""index"": 2, ""cas_rn"": ""26767-03-3"", ""smiles"": ""COc1ccc(OC)c(C(=O)C(=O)O)c1""}]","[{""index"": 1, ""cas_rn"": ""63171-82-4"", ""yield_pct"": ""62"", ""smiles"": ""COc1ccc(OC)c(C(=O)CCC(=O)OC(C)(C)C)c1""}]","[{""index"": 1, ""cas_rn"": ""534-17-8""}]","[{""index"": 1, ""cas_rn"": ""86-39-5""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, photochemical, compact fluorescent lamp (45 W) used",
