reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-572-CAS-12236140,31-572-CAS-12236140,Reaction_20251110_2140 (1).rdf,Gewald reaction,91,,,O=C1CCCCC1.N#CCC#N,N#Cc1c(N)sc2c1CCCC2,O=C1CCCCC1.N#CCC#N>>N#Cc1c(N)sc2c1CCCC2,Microwave-accelerated Gewald reaction. Synthesis of 2-aminothiophenes,"Sridhar, Madabhushi; Rao, Rayankula Mallikarjuna; Baba, Nanduri H. K.; Kumbhare, Ravindra M.","Tetrahedron Letters (2007), 48(18), 3171-3172","Microwave-accelerated Gewald reaction. Synthesis of 2-aminothiophenes | Sridhar, Madabhushi; Rao, Rayankula Mallikarjuna; Baba, Nanduri H. K.; Kumbhare, Ravindra M. | Tetrahedron Letters (2007), 48(18), 3171-3172","108-94-1, 109-77-3",4651-91-6,10544-50-0,"1344-28-1, 7789-23-3",64-17-5,,,,,,,1,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""108-94-1"", ""smiles"": ""O=C1CCCCC1""}, {""index"": 2, ""cas_rn"": ""109-77-3"", ""smiles"": ""N#CCC#N""}]","[{""index"": 1, ""cas_rn"": ""4651-91-6"", ""yield_pct"": ""91"", ""smiles"": ""N#Cc1c(N)sc2c1CCCC2""}]","[{""index"": 1, ""cas_rn"": ""10544-50-0""}]","[{""index"": 1, ""cas_rn"": ""1344-28-1""}, {""index"": 2, ""cas_rn"": ""7789-23-3""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]",Gewald reaction,
31-572-CAS-12246572,31-572-CAS-12246572,Reaction_20251110_2140 (1).rdf,Gewald reaction,95,,,O=C1CCCCC1.N#CCC#N,N#Cc1c(N)sc2c1CCCC2,O=C1CCCCC1.N#CCC#N>>N#Cc1c(N)sc2c1CCCC2,"Synthesis of substituted amino-cycloalkyl[b]thieno-[3,2-e]pyridines","Seck, Pierre; Thomae, David; Kirsch, Gilbert","Journal of Heterocyclic Chemistry (2008), 45(3), 853-857","Synthesis of substituted amino-cycloalkyl[b]thieno-[3,2-e]pyridines | Seck, Pierre; Thomae, David; Kirsch, Gilbert | Journal of Heterocyclic Chemistry (2008), 45(3), 853-857","108-94-1, 109-77-3",4651-91-6,"64-19-7, 144-55-8, 631-61-8, 7704-34-9",110-91-8,"64-19-7, 71-43-2, 7732-18-5, 68-12-2",,,,,,,2,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""108-94-1"", ""smiles"": ""O=C1CCCCC1""}, {""index"": 2, ""cas_rn"": ""109-77-3"", ""smiles"": ""N#CCC#N""}]","[{""index"": 1, ""cas_rn"": ""4651-91-6"", ""yield_pct"": ""95"", ""smiles"": ""N#Cc1c(N)sc2c1CCCC2""}]","[{""index"": 1, ""cas_rn"": ""64-19-7""}, {""index"": 2, ""cas_rn"": ""144-55-8""}, {""index"": 3, ""cas_rn"": ""631-61-8""}, {""index"": 4, ""cas_rn"": ""7704-34-9""}]","[{""index"": 1, ""cas_rn"": ""110-91-8""}]","[{""index"": 1, ""cas_rn"": ""64-19-7""}, {""index"": 2, ""cas_rn"": ""71-43-2""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}, {""index"": 4, ""cas_rn"": ""68-12-2""}]","alternative preparation shown, Gewald reaction (stage 3)",
31-572-CAS-12262895,31-572-CAS-12262895,Reaction_20251110_2140 (1).rdf,Gewald reaction,94,,,O=C1CCCCC1.N#CCC#N,N#Cc1c(N)sc2c1CCCC2,O=C1CCCCC1.N#CCC#N>>N#Cc1c(N)sc2c1CCCC2,Facile Synthesis of 2-Aminothiophenes Using NaAlO2 as an Eco-Effective and Recyclable Catalyst,"Bai, Rongxian; Liu, Ping; Yang, Jian; Liu, Changhui; Gu, Yanlong","ACS Sustainable Chemistry & Engineering (2015), 3(7), 1292-1297","Facile Synthesis of 2-Aminothiophenes Using NaAlO2 as an Eco-Effective and Recyclable Catalyst | Bai, Rongxian; Liu, Ping; Yang, Jian; Liu, Changhui; Gu, Yanlong | ACS Sustainable Chemistry & Engineering (2015), 3(7), 1292-1297","108-94-1, 109-77-3",4651-91-6,7704-34-9,1302-42-7,,,,,,,,1,1,94,,,,,,,"{""1"": 94}","[{""index"": 1, ""cas_rn"": ""108-94-1"", ""smiles"": ""O=C1CCCCC1""}, {""index"": 2, ""cas_rn"": ""109-77-3"", ""smiles"": ""N#CCC#N""}]","[{""index"": 1, ""cas_rn"": ""4651-91-6"", ""yield_pct"": ""94"", ""smiles"": ""N#Cc1c(N)sc2c1CCCC2""}]","[{""index"": 1, ""cas_rn"": ""7704-34-9""}]","[{""index"": 1, ""cas_rn"": ""1302-42-7""}]",[],"green chemistry, no solvent, optimization study, optimized on catalyst, optimized on temperature, optimized on time, Gewald reaction, reusable catalyst, solid catalyst",
31-572-CAS-12265356,31-572-CAS-12265356,Reaction_20251110_2140 (1).rdf,Gewald reaction,75,,,CCOC(=O)CC#N.N#CCC(=O)c1ccccc1,CCOC(=O)c1c(N)sc(C#N)c1-c1ccccc1,CCOC(=O)CC#N.N#CCC(=O)c1ccccc1>>CCOC(=O)c1c(N)sc(C#N)c1-c1ccccc1,"A novel, efficient, and recyclable biocatalyst for Michael addition reactions and its iron(III) complex as promoter for alkyl oxidation reactions","Khalil, Khaled D.; Ibrahim, Enas I.; Al-Sagheer, Fakhreia A.","Catalysis Science & Technology (2016), 6(5), 1410-1416","A novel, efficient, and recyclable biocatalyst for Michael addition reactions and its iron(III) complex as promoter for alkyl oxidation reactions | Khalil, Khaled D.; Ibrahim, Enas I.; Al-Sagheer, Fakhreia A. | Catalysis Science & Technology (2016), 6(5), 1410-1416","105-56-6, 614-16-4",281195-24-2,7704-34-9,"7439-89-6, 9012-76-4, 1638587-44-6",123-91-1,,,,"iron chelate, chitosan-supported propenoic acid (cyano)(pyridinyl)propenyl ester, chitosan-grafted propenoic acid 2-cyano-1-(3-pyridinyl)-2-propenyl ester",,,1,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""105-56-6"", ""smiles"": ""CCOC(=O)CC#N""}, {""index"": 2, ""cas_rn"": ""614-16-4"", ""smiles"": ""N#CCC(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""281195-24-2"", ""yield_pct"": ""75"", ""smiles"": ""CCOC(=O)c1c(N)sc(C#N)c1-c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""7704-34-9""}]","[{""index"": 1, ""cas_rn"": ""7439-89-6"", ""amd"": ""iron chelate, chitosan-supported propenoic acid (cyano)(pyridinyl)propenyl ester""}, {""index"": 2, ""cas_rn"": ""9012-76-4""}, {""index"": 3, ""cas_rn"": ""1638587-44-6"", ""amd"": ""chitosan-grafted propenoic acid 2-cyano-1-(3-pyridinyl)-2-propenyl ester""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}]","chemoselective, green chemistry, green chemistry-catalyst, solid-supported catalyst, Gewald reaction, recyclable catalyst, catalyst prepared and used, chitosan-g-PCPA-supported iron complex used as catalyst, alternative reaction conditions shown",
31-572-CAS-12338795,31-572-CAS-12338795,Reaction_20251110_2140 (1).rdf,Gewald reaction,85,,,CCOC(=O)CC#N.O=C1CCCCC1,CCOC(=O)c1c(N)sc2c1CCCC2,CCOC(=O)CC#N.O=C1CCCCC1>>CCOC(=O)c1c(N)sc2c1CCCC2,Aminium salt promoted Gewald reaction to the substituted 2-amino-thiophene compounds,"Li, Li; Gu, Feng-lei; Zhu, Kun; Qiu, Hua-yu","Hangzhou Shifan Daxue Xuebao, Ziran Kexueban (2011), 10(1), 52-55, 76","Aminium salt promoted Gewald reaction to the substituted 2-amino-thiophene compounds | Li, Li; Gu, Feng-lei; Zhu, Kun; Qiu, Hua-yu | Hangzhou Shifan Daxue Xuebao, Ziran Kexueban (2011), 10(1), 52-55, 76","105-56-6, 108-94-1",4506-71-2,10544-50-0,"104-15-4, 109-89-7",64-17-5,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""105-56-6"", ""smiles"": ""CCOC(=O)CC#N""}, {""index"": 2, ""cas_rn"": ""108-94-1"", ""smiles"": ""O=C1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""4506-71-2"", ""yield_pct"": ""85"", ""smiles"": ""CCOC(=O)c1c(N)sc2c1CCCC2""}]","[{""index"": 1, ""cas_rn"": ""10544-50-0""}]","[{""index"": 1, ""cas_rn"": ""104-15-4""}, {""index"": 2, ""cas_rn"": ""109-89-7""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]",Gewald reaction,
31-572-CAS-12345435,31-572-CAS-12345435,Reaction_20251110_2140 (1).rdf,Gewald reaction,73,,,CCOC(=O)CC#N.Cl.O=C1CCNCC1,CCOC(=O)c1c(N)sc2c1CCNC2,CCOC(=O)CC#N.Cl.O=C1CCNCC1>>CCOC(=O)c1c(N)sc2c1CCNC2,Solar thermochemical reactions. Part II. Synthesis of 2-aminothiophenes via Gewald reaction induced by solar thermal energy,"Mekheimer, Ramadan Ahmed; Ameen, Mohamed Abdallah; Sadek, Kamal Usef","Chinese Chemical Letters (2008), 19(7), 788-790","Solar thermochemical reactions. Part II. Synthesis of 2-aminothiophenes via Gewald reaction induced by solar thermal energy | Mekheimer, Ramadan Ahmed; Ameen, Mohamed Abdallah; Sadek, Kamal Usef | Chinese Chemical Letters (2008), 19(7), 788-790","105-56-6, 41979-39-9",24237-44-3,7704-34-9,110-89-4,,,,,,,,1,1,73,,,,,,,"{""1"": 73}","[{""index"": 1, ""cas_rn"": ""105-56-6"", ""smiles"": ""CCOC(=O)CC#N""}, {""index"": 2, ""cas_rn"": ""41979-39-9"", ""smiles"": ""Cl.O=C1CCNCC1""}]","[{""index"": 1, ""cas_rn"": ""24237-44-3"", ""yield_pct"": ""73"", ""smiles"": ""CCOC(=O)c1c(N)sc2c1CCNC2""}]","[{""index"": 1, ""cas_rn"": ""7704-34-9""}]","[{""index"": 1, ""cas_rn"": ""110-89-4""}]",[],"green chemistry, solar thermal energy used, Gewald reaction",
31-572-CAS-12454797,31-572-CAS-12454797,Reaction_20251110_2140 (1).rdf,Gewald reaction,77,,,O=C1CCCCC1.N#CCC(=O)Nc1ccc(Cl)cc1Cl,Nc1sc2c(c1C(=O)Nc1ccc(Cl)cc1Cl)CCCC2,O=C1CCCCC1.N#CCC(=O)Nc1ccc(Cl)cc1Cl>>Nc1sc2c(c1C(=O)Nc1ccc(Cl)cc1Cl)CCCC2,Synthesis and biological evaluation of new thiophene analogues as potential agents against breast cancer cell lines,"Rani, Alka; Gill, Rupinder Kaur; Shah, Anamik K.; Bariwal, Jitender","Journal of the Indian Chemical Society (2014), 91(8), 1473-1481","Synthesis and biological evaluation of new thiophene analogues as potential agents against breast cancer cell lines | Rani, Alka; Gill, Rupinder Kaur; Shah, Anamik K.; Bariwal, Jitender | Journal of the Indian Chemical Society (2014), 91(8), 1473-1481","108-94-1, 17722-32-6",590350-61-1,7704-34-9,109-89-7,67-56-1,,,,,,,2,1,77,,,,,,,"{""1"": 77}","[{""index"": 1, ""cas_rn"": ""108-94-1"", ""smiles"": ""O=C1CCCCC1""}, {""index"": 2, ""cas_rn"": ""17722-32-6"", ""smiles"": ""N#CCC(=O)Nc1ccc(Cl)cc1Cl""}]","[{""index"": 1, ""cas_rn"": ""590350-61-1"", ""yield_pct"": ""77"", ""smiles"": ""Nc1sc2c(c1C(=O)Nc1ccc(Cl)cc1Cl)CCCC2""}]","[{""index"": 1, ""cas_rn"": ""7704-34-9""}]","[{""index"": 1, ""cas_rn"": ""109-89-7""}]","[{""index"": 1, ""cas_rn"": ""67-56-1""}]",Gewald reaction,
31-572-CAS-12504665,31-572-CAS-12504665,Reaction_20251110_2140 (1).rdf,Gewald reaction,81,,,N#CCC#N.O=C1CCCCCC1,N#Cc1c(N)sc2c1CCCCC2,N#CCC#N.O=C1CCCCCC1>>N#Cc1c(N)sc2c1CCCCC2,Microwave-accelerated Gewald reaction. Synthesis of 2-aminothiophenes,"Sridhar, Madabhushi; Rao, Rayankula Mallikarjuna; Baba, Nanduri H. K.; Kumbhare, Ravindra M.","Tetrahedron Letters (2007), 48(18), 3171-3172","Microwave-accelerated Gewald reaction. Synthesis of 2-aminothiophenes | Sridhar, Madabhushi; Rao, Rayankula Mallikarjuna; Baba, Nanduri H. K.; Kumbhare, Ravindra M. | Tetrahedron Letters (2007), 48(18), 3171-3172","109-77-3, 502-42-1",23917-22-8,10544-50-0,"1344-28-1, 7789-23-3",64-17-5,,,,,,,1,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""109-77-3"", ""smiles"": ""N#CCC#N""}, {""index"": 2, ""cas_rn"": ""502-42-1"", ""smiles"": ""O=C1CCCCCC1""}]","[{""index"": 1, ""cas_rn"": ""23917-22-8"", ""yield_pct"": ""81"", ""smiles"": ""N#Cc1c(N)sc2c1CCCCC2""}]","[{""index"": 1, ""cas_rn"": ""10544-50-0""}]","[{""index"": 1, ""cas_rn"": ""1344-28-1""}, {""index"": 2, ""cas_rn"": ""7789-23-3""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]",Gewald reaction,
31-572-CAS-1250941,31-572-CAS-1250941,Reaction_20251110_2140 (1).rdf,Gewald reaction,94,,,N#CCC#N.CC1CCC(=O)CC1,CC1CCc2c(sc(N)c2C#N)C1,N#CCC#N.CC1CCC(=O)CC1>>CC1CCc2c(sc(N)c2C#N)C1,An efficient one-pot synthesis of substituted 2-aminothiophenes via three-component Gewald reaction catalyzed by L-proline,"Wang, Tao; Huang, Xian-Gui; Liu, Jia; Li, Bo; Wu, Jin-Jin; Chen, Kai-Xian; Zhu, Wei-Liang; Xu, Xiao-Yong; Zeng, Bu-Bing","Synlett (2010), (9), 1351-1354","An efficient one-pot synthesis of substituted 2-aminothiophenes via three-component Gewald reaction catalyzed by L-proline | Wang, Tao; Huang, Xian-Gui; Liu, Jia; Li, Bo; Wu, Jin-Jin; Chen, Kai-Xian; Zhu, Wei-Liang; Xu, Xiao-Yong; Zeng, Bu-Bing | Synlett (2010), (9), 1351-1354","109-77-3, 589-92-4",42225-04-7,10544-50-0,147-85-3,68-12-2,,,,,,"General/Typical Procedure: General Procedure for the One-Pot Synthesis of Substituted 2-Aminothiophenes 3 A mixture of carbonyl compound (3.0 mmol), nitrile (3.3 mmol), sulfur (4.5 mmol), L-proline (0.3 mmol), and DMF (3.0 mL) in a 50 mL round bottom flask was stirred at 60°C for 10-24 h. The crude product was directly purified through flash chromatography. The desired product 3. 2-amino-6-methyl-4,5,6,7-tetrahydrobenzo[b]thiophene-3-carbonitrile (Table 2, entry 4) [3] 1H NMR (400 MHz, CDCl3): δ=4.63 (bs, 2H), 2.61-2.54 (m, 2H), 2.51-2.44 (m, 1H), 2.16-2.10 (m, 1H), 1.93-1.84 (m, 2H), 1.44-1.34 (m, 1H), 1.06 (d, J = 8.0 Hz, 3H); 13 C NMR (100 MHz, CDCl3): δ = 160.2, 131.9, 120.2, 115.5, 88.5, 32.2, 30.3, 29.8, 24.3, 21.4; MS (EI) m/z 192 (M+ ), 150 (100 %).",1,1,94,,,,,,,"{""1"": 94}","[{""index"": 1, ""cas_rn"": ""109-77-3"", ""smiles"": ""N#CCC#N""}, {""index"": 2, ""cas_rn"": ""589-92-4"", ""smiles"": ""CC1CCC(=O)CC1""}]","[{""index"": 1, ""cas_rn"": ""42225-04-7"", ""yield_pct"": ""94"", ""smiles"": ""CC1CCc2c(sc(N)c2C#N)C1""}]","[{""index"": 1, ""cas_rn"": ""10544-50-0""}]","[{""index"": 1, ""cas_rn"": ""147-85-3""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}]",Gewald reaction,
31-572-CAS-12527318,31-572-CAS-12527318,Reaction_20251110_2140.rdf,Gewald reaction,72,,,CCOC(=O)CC#N.CCCC=O,CCOC(=O)c1cc(CC)sc1N,CCOC(=O)CC#N.CCCC=O>>CCOC(=O)c1cc(CC)sc1N,Efficient synthesis of substituted 2-amino-3-carbethoxythiophenes,"Kathiravan, M. K.; Shishoo, C. J.; Chitre, T. S.; Mahadik, K. R.; Jain, K. S.","Synthetic Communications (2007), 37(23), 4273-4279","Efficient synthesis of substituted 2-amino-3-carbethoxythiophenes | Kathiravan, M. K.; Shishoo, C. J.; Chitre, T. S.; Mahadik, K. R.; Jain, K. S. | Synthetic Communications (2007), 37(23), 4273-4279","105-56-6, 123-72-8",4507-13-5,"109-89-7, 7704-34-9, 7782-44-7",,67-56-1,,,,,,"2-Amino-3-carbethoxy-5-ethylthiophene (2f): A reaction mixture of n-butanal (3.6 g; 0.05 mol), sulfur (1.6 g; 0.05 mol), ethyl cyanoacetate (5.7 g; 0.05 mol), and triethylamine (5.0 g; 0.05 mol) in DMF was irradiated with microwaves in a similar fashion for 4 min. The reaction mixture on cooling to room temperature was poured on an ice-water mixture. The crystals obtained were washed with 20ml of chilled 50% aqueous ethanol. The product (72% yield) with a mp of 72-74°C was characterized as 2-amino-3-carbethoxy-5-ethylthiophene (2f). 2-Amino-3-carbethoxy-5-ethylthiophene (2f), yield 72% . mp of 72-74°C; IR (KBr) cm-1: 3408, 3306 (NH); 1660 (CO); 1H NMR (CDCl3) δ ppm: 1.22, 3H, t, CH3 at 5; 1.34, 3H, t, CH3 at 3; 4.2, 2H, q, CH2 at 3; 6.6, 1H, s, H at 4; 4.2, 2H, s, NH2.",1,1,72,,,,,,,"{""1"": 72}","[{""index"": 1, ""cas_rn"": ""105-56-6"", ""smiles"": ""CCOC(=O)CC#N""}, {""index"": 2, ""cas_rn"": ""123-72-8"", ""smiles"": ""CCCC=O""}]","[{""index"": 1, ""cas_rn"": ""4507-13-5"", ""yield_pct"": ""72"", ""smiles"": ""CCOC(=O)c1cc(CC)sc1N""}]","[{""index"": 1, ""cas_rn"": ""109-89-7""}, {""index"": 2, ""cas_rn"": ""7704-34-9""}, {""index"": 3, ""cas_rn"": ""7782-44-7""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]",microwave irradiation,
31-572-CAS-12574430,31-572-CAS-12574430,Reaction_20251110_2140 (1).rdf,Gewald reaction,85,,,CCOC(=O)CC#N.CC(=O)CC(C)=O,CCOC(=O)c1c(N)sc(C(C)=O)c1C,CCOC(=O)CC#N.CC(=O)CC(C)=O>>CCOC(=O)c1c(N)sc(C(C)=O)c1C,Mg/La mixed oxide as an efficient heterogeneous basic catalyst for synthesis of 2-aminothiophenes under microwave irradiation,"Moeinpour, Farid; Dorostkar, Nadieh; Vafaei, Majid","Synthetic Communications (2012), 42(16), 2367-2374","Mg/La mixed oxide as an efficient heterogeneous basic catalyst for synthesis of 2-aminothiophenes under microwave irradiation | Moeinpour, Farid; Dorostkar, Nadieh; Vafaei, Majid | Synthetic Communications (2012), 42(16), 2367-2374","105-56-6, 123-54-6",57773-41-8,10544-50-0,"1309-48-4, 1312-81-8, 12136-45-7",64-17-5,,,,,,"General/Typical Procedure: Ketone (1.0mmol), nitrile (1.0 mmol), elemental sulfur (0.035 g, 1.1 mmol), Mg/ La mixed oxide (1mole %) and 2ml of dry ethanol were mixed and placed in a 10ml pressure tube. The mixture was subjected to microwave irradiation (MicroSynth, 160W, 150 psi, 78 °C, 85Hz) for the time indicated in Table 1 and then diluted with chloroform (5 ml) and filtered. The solid was rinsed with chloroform (2 × 3ml) and the combined extracts were concentrated and purified by normal chromatography to afford the corresponding 2-aminothiophenes. The spectral data (IR and NMR) of all products matched in all respects with reported data. In the case of conventional heating, the reactants, as above in 20ml ethanol, were heated at reflux (78 °C) for the time indicated in Table 1. When the reaction was complete (thin-layer chromatography; methanol/chloroform 1/9), solvent was removed by evaporation under reduced pressure and the reaction mixture was diluted with 10ml of chloroform and filtered. After evaporation of the solvent, themixture was purified by normal column chromatography to give the desired products. Spectral data of synthesized products are given in Table 3. Entry 1: Conventional yield: 91%. Entry 4: Conventional yield: 85%. Ethyl 5-acetyl-2-amino-4-methylthiophene-3- carboxylate. Mp: Found: 161°C; Reported: 161°C [3]; 1H NMR (CDCl3) δ 1.33 (t, 3H, J = 7.2 Hz), 2.50 (s, 3H), 2.82 (s, 3H), 4.35 (q, 2H, J = 7.2 Hz), 7.02 (s, 2H); 13C NMR (CDCl3) δ 9.6, 14.5, 27.2, 60.6, 114.5, 142.8, 149.1, 161.4, 170.4, 191.1; IR (KBr) 1678, 3320, 3420 cm-1. Anal. Calcd for C10H13NO3S: C, 52.85; H, 5.77; N, 6.16; S, 14.11. Found: C, 52.81; H, 5.73; N, 6.11; S, 14.09.",1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""105-56-6"", ""smiles"": ""CCOC(=O)CC#N""}, {""index"": 2, ""cas_rn"": ""123-54-6"", ""smiles"": ""CC(=O)CC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""57773-41-8"", ""yield_pct"": ""85"", ""smiles"": ""CCOC(=O)c1c(N)sc(C(C)=O)c1C""}]","[{""index"": 1, ""cas_rn"": ""10544-50-0""}]","[{""index"": 1, ""cas_rn"": ""1309-48-4""}, {""index"": 2, ""cas_rn"": ""1312-81-8""}, {""index"": 3, ""cas_rn"": ""12136-45-7""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]","alternative conditions gave lower yield, Gewald reaction",
31-572-CAS-12589712,31-572-CAS-12589712,Reaction_20251110_2140.rdf,Gewald reaction,70,,,O=CCCc1ccccc1.COCCCNC(=O)CC#N,COCCCNC(=O)c1cc(Cc2ccccc2)sc1N,O=CCCc1ccccc1.COCCCNC(=O)CC#N>>COCCCNC(=O)c1cc(Cc2ccccc2)sc1N,Cyanoacetamide MCR (III): Three-Component Gewald Reactions Revisited,"Wang, Kan; Kim, Dabin; Domling, Alexander","Journal of Combinatorial Chemistry (2010), 12(1), 111-118","Cyanoacetamide MCR (III): Three-Component Gewald Reactions Revisited | Wang, Kan; Kim, Dabin; Domling, Alexander | Journal of Combinatorial Chemistry (2010), 12(1), 111-118","104-53-0, 15029-45-5",1202194-12-4,"121-44-8, 7704-34-9",,64-17-5,,,,,,"General/Typical Procedure: N-Allyl-2-amino-5-phenylthiophene-3-carboxamide (C2,6): General Procedure B (three-component reactions of aldehyde or ketones, cyanoacetamide and sulfur). In a 20 ml vial added into N-allyl-2-cyanoacetamide (1.24 g, 10 mmol), 2-phenylacetaldehyde (1.20 g, 10 mmol) and sulfur (320 mg, 10 mmol) and triethylamine (1.01 g, 10 mmol) in ethanol (10 ml, 1.0 M solution) with stir bar. The reaction was heated in 50 °C oil bath for 10 h. Cool the reaction down to room temperature, and add 50 ml ice/water. The precipitate was filtered and washed with cold ethanol. 2-Amino-5-benzyl-N-(3-methoxypropyl)thiophene-3-carboxamide (C3,13): The general procedure B was followed employing 3-phenylpropanal (670 mg, 5 mmol), 2-cyano-N-(3-methoxypropyl)acetamide (780 mg, 5 mmol). The crude product was purified with silica gel column chromatography (50-75 % ethyl acetate in hexanes) to produce the title compound 1.06 g (70 %) as the dark yellow oil. HRMS ESL-TOF for C16H20N2O2SNa (M+Na+) found: m/z: 327.1144; Calc. Mass: 327.1143. 1H NMR (CDCl3, 600 MHz): δ 7.28 (t, J = 7.2 Hz, 2H), 7.18-7.23 (m, 3H), 6.43 (s, 1H), 6.31 (s, 1H), 6.05 (s, 2H), 3.86 (s, 2H), 3.47 (t, J = 6.0 Hz, 2H), 3.41 (q, J = 6.0 Hz, 2H), 3.27 (s, 3H), 1.78 (t, J = 6.0 Hz, 2H) ppm; 13C NMR (CDCl3, 150 MHz): δ 165.84, 159.81, 139.79, 128.63, 128.57, 126.59, 125.57, 120.15, 108.24, 72.03, 58.73, 37.93, 35.98, 29.07 ppm.",1,1,70,,,,,,,"{""1"": 70}","[{""index"": 1, ""cas_rn"": ""104-53-0"", ""smiles"": ""O=CCCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""15029-45-5"", ""smiles"": ""COCCCNC(=O)CC#N""}]","[{""index"": 1, ""cas_rn"": ""1202194-12-4"", ""yield_pct"": ""70"", ""smiles"": ""COCCCNC(=O)c1cc(Cc2ccccc2)sc1N""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}, {""index"": 2, ""cas_rn"": ""7704-34-9""}]",[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",combinatorial,
31-572-CAS-12614454,31-572-CAS-12614454,Reaction_20251110_2140 (1).rdf,Gewald reaction,75,,,CCOC(=O)CC#N.CN1CCC(=O)CC1,CCOC(=O)c1c(N)sc2c1CCN(C)C2,CCOC(=O)CC#N.CN1CCC(=O)CC1>>CCOC(=O)c1c(N)sc2c1CCN(C)C2,Solar thermochemical reactions. Part II. Synthesis of 2-aminothiophenes via Gewald reaction induced by solar thermal energy,"Mekheimer, Ramadan Ahmed; Ameen, Mohamed Abdallah; Sadek, Kamal Usef","Chinese Chemical Letters (2008), 19(7), 788-790","Solar thermochemical reactions. Part II. Synthesis of 2-aminothiophenes via Gewald reaction induced by solar thermal energy | Mekheimer, Ramadan Ahmed; Ameen, Mohamed Abdallah; Sadek, Kamal Usef | Chinese Chemical Letters (2008), 19(7), 788-790","105-56-6, 1445-73-4",24237-39-6,7704-34-9,110-89-4,,,,,,,,1,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""105-56-6"", ""smiles"": ""CCOC(=O)CC#N""}, {""index"": 2, ""cas_rn"": ""1445-73-4"", ""smiles"": ""CN1CCC(=O)CC1""}]","[{""index"": 1, ""cas_rn"": ""24237-39-6"", ""yield_pct"": ""75"", ""smiles"": ""CCOC(=O)c1c(N)sc2c1CCN(C)C2""}]","[{""index"": 1, ""cas_rn"": ""7704-34-9""}]","[{""index"": 1, ""cas_rn"": ""110-89-4""}]",[],"green chemistry, solar thermal energy used, Gewald reaction",
31-572-CAS-1262997,31-572-CAS-1262997,Reaction_20251110_2140 (1).rdf,Gewald reaction,77,,,CCOC(=O)CC#N.O=C1CCCCC1,CCOC(=O)c1c(N)sc2c1CCCC2,CCOC(=O)CC#N.O=C1CCCCC1>>CCOC(=O)c1c(N)sc2c1CCCC2,Bovine serum albumin-catalyzed one-pot synthesis of 2-aminothiophenes via Gewald reaction,"Zhao, Dan-Dan; Li, Li; Xu, Fan; Wu, Qi; Lin, Xian-Fu","Journal of Molecular Catalysis B: Enzymatic (2013), 9529-35","Bovine serum albumin-catalyzed one-pot synthesis of 2-aminothiophenes via Gewald reaction | Zhao, Dan-Dan; Li, Li; Xu, Fan; Wu, Qi; Lin, Xian-Fu | Journal of Molecular Catalysis B: Enzymatic (2013), 9529-35","105-56-6, 108-94-1",4506-71-2,7704-34-9,,68-12-2,,,,,,,1,1,77,,,,,,,"{""1"": 77}","[{""index"": 1, ""cas_rn"": ""105-56-6"", ""smiles"": ""CCOC(=O)CC#N""}, {""index"": 2, ""cas_rn"": ""108-94-1"", ""smiles"": ""O=C1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""4506-71-2"", ""yield_pct"": ""77"", ""smiles"": ""CCOC(=O)c1c(N)sc2c1CCCC2""}]","[{""index"": 1, ""cas_rn"": ""7704-34-9""}]",[],"[{""index"": 1, ""cas_rn"": ""68-12-2""}]","biotransformation, bovine serum albumin catalyst used, reusable catalyst used, Gewald reaction",
