reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-117-CAS-10765646,31-117-CAS-10765646,Reaction_20251110_1412.rdf,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,77,,,C#CCC(O)c1ccc(C=O)cc1,C=C=CC(=O)c1ccc(C=O)cc1.CC#CC(=O)c1ccc(C=O)cc1,C#CCC(O)c1ccc(C=O)cc1>>C=C=CC(=O)c1ccc(C=O)cc1.CC#CC(=O)c1ccc(C=O)cc1,Isomerizations on silica gel: synthesis of allenyl ketones and the first Nazarov cyclizations of vinyl allenyl ketones,"Hashmi, A. Stephen K.; Bats, Jan W.; Choi, Ji-Hyun; Schwarz, Lothar","Tetrahedron Letters (1998), 39(41), 7491-7494","Isomerizations on silica gel: synthesis of allenyl ketones and the first Nazarov cyclizations of vinyl allenyl ketones | Hashmi, A. Stephen K.; Bats, Jan W.; Choi, Ji-Hyun; Schwarz, Lothar | Tetrahedron Letters (1998), 39(41), 7491-7494",196951-81-2,"196952-88-2, 196954-94-6","87413-09-0, 7631-86-9",,,,,,,,,2,1,77,4,,,,,,"{""1"": 77, ""2"": 4}","[{""index"": 1, ""cas_rn"": ""196951-81-2"", ""smiles"": ""C#CCC(O)c1ccc(C=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""196952-88-2"", ""yield_pct"": ""77"", ""smiles"": ""C=C=CC(=O)c1ccc(C=O)cc1""}, {""index"": 2, ""cas_rn"": ""196954-94-6"", ""yield_pct"": ""4"", ""smiles"": ""CC#CC(=O)c1ccc(C=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""87413-09-0""}, {""index"": 2, ""cas_rn"": ""7631-86-9""}]",[],[],isomerization occurs during chromatog. on SiO2 of crude reaction mixt.,
31-117-CAS-13506033,31-117-CAS-13506033,Reaction_20251110_1412.rdf,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,73,,,CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)c2ccccc21.C#CCC(O)c1ccc(OC)c(OC)c1,C=C=CC(=O)c1ccc(OC)c(OC)c1.COc1ccc(C(=O)/C=C(\C)OC(C)=O)cc1OC,CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)c2ccccc21.C#CCC(O)c1ccc(OC)c(OC)c1>>C=C=CC(=O)c1ccc(OC)c(OC)c1.COc1ccc(C(=O)/C=C(\C)OC(C)=O)cc1OC,Isomerizations on silica gel: synthesis of allenyl ketones and the first Nazarov cyclizations of vinyl allenyl ketones,"Hashmi, A. Stephen K.; Bats, Jan W.; Choi, Ji-Hyun; Schwarz, Lothar","Tetrahedron Letters (1998), 39(41), 7491-7494","Isomerizations on silica gel: synthesis of allenyl ketones and the first Nazarov cyclizations of vinyl allenyl ketones | Hashmi, A. Stephen K.; Bats, Jan W.; Choi, Ji-Hyun; Schwarz, Lothar | Tetrahedron Letters (1998), 39(41), 7491-7494","87413-09-0, 91496-51-4","155586-41-7, 215256-93-2",7631-86-9,,,,,,,,,1,1,73,15,,,,,,"{""1"": 73, ""2"": 15}","[{""index"": 1, ""cas_rn"": ""87413-09-0"", ""smiles"": ""CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)c2ccccc21""}, {""index"": 2, ""cas_rn"": ""91496-51-4"", ""smiles"": ""C#CCC(O)c1ccc(OC)c(OC)c1""}]","[{""index"": 1, ""cas_rn"": ""155586-41-7"", ""yield_pct"": ""73"", ""smiles"": ""C=C=CC(=O)c1ccc(OC)c(OC)c1""}, {""index"": 2, ""cas_rn"": ""215256-93-2"", ""yield_pct"": ""15"", ""smiles"": ""COc1ccc(C(=O)/C=C(\\C)OC(C)=O)cc1OC""}]","[{""index"": 1, ""cas_rn"": ""7631-86-9""}]",[],[],isomerization occurs during chromatog. on SiO2 of crude reaction mixt.,
31-117-CAS-13887411,31-117-CAS-13887411,Reaction_20251110_1412 (1).rdf,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,84,,,C#CCC(O)c1c(C)cc(C)cc1C,C=C=CC(=O)c1c(C)cc(C)cc1C,C#CCC(O)c1c(C)cc(C)cc1C>>C=C=CC(=O)c1c(C)cc(C)cc1C,Gold catalysis: no steric limitations in the phenol synthesis,"Hashmi, A. Stephen K.; Salathe, Ralph; Frey, Wolfgang","Chemistry - A European Journal (2006), 12(26), 6991-6996","Gold catalysis: no steric limitations in the phenol synthesis | Hashmi, A. Stephen K.; Salathe, Ralph; Frey, Wolfgang | Chemistry - A European Journal (2006), 12(26), 6991-6996",103594-35-0,196953-16-9,87413-09-0,,75-09-2,,,,,,,1,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""103594-35-0"", ""smiles"": ""C#CCC(O)c1c(C)cc(C)cc1C""}]","[{""index"": 1, ""cas_rn"": ""196953-16-9"", ""yield_pct"": ""84"", ""smiles"": ""C=C=CC(=O)c1c(C)cc(C)cc1C""}]","[{""index"": 1, ""cas_rn"": ""87413-09-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-117-CAS-468656,31-117-CAS-468656,Reaction_20251110_1412 (1).rdf,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,83,,,C#CCC(O)c1c(C)cc(OC)cc1C,C=C=CC(=O)c1c(C)cc(OC)cc1C,C#CCC(O)c1c(C)cc(OC)cc1C>>C=C=CC(=O)c1c(C)cc(OC)cc1C,Gold catalysis: no steric limitations in the phenol synthesis,"Hashmi, A. Stephen K.; Salathe, Ralph; Frey, Wolfgang","Chemistry - A European Journal (2006), 12(26), 6991-6996","Gold catalysis: no steric limitations in the phenol synthesis | Hashmi, A. Stephen K.; Salathe, Ralph; Frey, Wolfgang | Chemistry - A European Journal (2006), 12(26), 6991-6996",914661-57-7,914661-66-8,87413-09-0,,75-09-2,,,,,,,1,1,83,,,,,,,"{""1"": 83}","[{""index"": 1, ""cas_rn"": ""914661-57-7"", ""smiles"": ""C#CCC(O)c1c(C)cc(OC)cc1C""}]","[{""index"": 1, ""cas_rn"": ""914661-66-8"", ""yield_pct"": ""83"", ""smiles"": ""C=C=CC(=O)c1c(C)cc(OC)cc1C""}]","[{""index"": 1, ""cas_rn"": ""87413-09-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-117-CAS-4728797,31-117-CAS-4728797,Reaction_20251110_1412 (1).rdf,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,82,,,C#CCC(O)c1c(C)cc(C)cc1OC,C=C=CC(=O)c1c(C)cc(C)cc1OC,C#CCC(O)c1c(C)cc(C)cc1OC>>C=C=CC(=O)c1c(C)cc(C)cc1OC,Gold catalysis: no steric limitations in the phenol synthesis,"Hashmi, A. Stephen K.; Salathe, Ralph; Frey, Wolfgang","Chemistry - A European Journal (2006), 12(26), 6991-6996","Gold catalysis: no steric limitations in the phenol synthesis | Hashmi, A. Stephen K.; Salathe, Ralph; Frey, Wolfgang | Chemistry - A European Journal (2006), 12(26), 6991-6996",914661-59-9,914661-68-0,87413-09-0,,75-09-2,,,,,,,1,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""914661-59-9"", ""smiles"": ""C#CCC(O)c1c(C)cc(C)cc1OC""}]","[{""index"": 1, ""cas_rn"": ""914661-68-0"", ""yield_pct"": ""82"", ""smiles"": ""C=C=CC(=O)c1c(C)cc(C)cc1OC""}]","[{""index"": 1, ""cas_rn"": ""87413-09-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-117-CAS-6890445,31-117-CAS-6890445,Reaction_20251110_1412 (1).rdf,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,85,,,C#CCC(O)c1c(Cl)cccc1Cl,C=C=CC(=O)c1c(Cl)cccc1Cl,C#CCC(O)c1c(Cl)cccc1Cl>>C=C=CC(=O)c1c(Cl)cccc1Cl,Gold catalysis: no steric limitations in the phenol synthesis,"Hashmi, A. Stephen K.; Salathe, Ralph; Frey, Wolfgang","Chemistry - A European Journal (2006), 12(26), 6991-6996","Gold catalysis: no steric limitations in the phenol synthesis | Hashmi, A. Stephen K.; Salathe, Ralph; Frey, Wolfgang | Chemistry - A European Journal (2006), 12(26), 6991-6996",914661-61-3,914661-70-4,87413-09-0,,75-09-2,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""914661-61-3"", ""smiles"": ""C#CCC(O)c1c(Cl)cccc1Cl""}]","[{""index"": 1, ""cas_rn"": ""914661-70-4"", ""yield_pct"": ""85"", ""smiles"": ""C=C=CC(=O)c1c(Cl)cccc1Cl""}]","[{""index"": 1, ""cas_rn"": ""87413-09-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-117-CAS-9026607,31-117-CAS-9026607,Reaction_20251110_1412 (1).rdf,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,85,,,C#CCC(O)C12CC3CC(CC(C3)C1)C2,C=C=CC(=O)C12CC3CC(CC(C3)C1)C2,C#CCC(O)C12CC3CC(CC(C3)C1)C2>>C=C=CC(=O)C12CC3CC(CC(C3)C1)C2,Gold catalysis: no steric limitations in the phenol synthesis,"Hashmi, A. Stephen K.; Salathe, Ralph; Frey, Wolfgang","Chemistry - A European Journal (2006), 12(26), 6991-6996","Gold catalysis: no steric limitations in the phenol synthesis | Hashmi, A. Stephen K.; Salathe, Ralph; Frey, Wolfgang | Chemistry - A European Journal (2006), 12(26), 6991-6996",914661-63-5,229333-36-2,87413-09-0,,75-09-2,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""914661-63-5"", ""smiles"": ""C#CCC(O)C12CC3CC(CC(C3)C1)C2""}]","[{""index"": 1, ""cas_rn"": ""229333-36-2"", ""yield_pct"": ""85"", ""smiles"": ""C=C=CC(=O)C12CC3CC(CC(C3)C1)C2""}]","[{""index"": 1, ""cas_rn"": ""87413-09-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",product depends on stoichiometry and reaction time,
31-254-CAS-13101180,31-254-CAS-13101180,Reaction_20251110_1412 (1).rdf,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,81,,,C=C(C(=O)OC)C(O)c1ccc(Cl)cc1.C=C(O[Si](C)(C)C)c1ccccc1,COC(=O)C(CCC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1,C=C(C(=O)OC)C(O)c1ccc(Cl)cc1.C=C(O[Si](C)(C)C)c1ccccc1>>COC(=O)C(CCC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1,Dess-Martin periodinane promoted oxidative coupling of Baylis-Hillman adducts with silyl enol ethers: a novel synthesis of cis-fused dihydropyrans,"Yadav, J. S.; Reddy, B. V. Subba; Mandal, S. S.; Basak, A. K.; Madavi, C.; Kunwar, A. C.","Synlett (2008), (8), 1175-1178","Dess-Martin periodinane promoted oxidative coupling of Baylis-Hillman adducts with silyl enol ethers: a novel synthesis of cis-fused dihydropyrans | Yadav, J. S.; Reddy, B. V. Subba; Mandal, S. S.; Basak, A. K.; Madavi, C.; Kunwar, A. C. | Synlett (2008), (8), 1175-1178","131469-67-5, 13735-81-4",1044735-95-6,64297-64-9,,68-12-2,,,,,,"General/Typical Procedure: General Experimental Procedure A mixture of Baylis-Hillman adduct (1 mmol), DMP (1.2 mmol), and pyridine (1.5 mmol) in anhyd CH2Cl2 (10 mL) was stirred at r.t. until complete oxidation took place. To this, trimethylsilyl enol ether (1.5 mmol) was added and stirred until complete addition (as indicated by TLC) took place. The reaction mixture was diluted with H2O (50 mL) and extracted with Et2O (3 × 15 mL). The combined ether layer was washed with sat. aq NaHCO3 soln (1 × 15 mL), brine (1 × 10 mL), dried over Na2SO4, and evaporated. The crude product was purified by silica gel column chromatography using a gradient mixture of hexane-EtOAc (9:1) as eluent to afford pure substituted dihydropyran derivatives. Compound 4, colorless liquid, yield 81%. IR (KBr): νmax = 2920, 2851, 1739, 1683, 1506, 1443, 1226, 1157, 1019, 755 cm-1. 1H NMR (300 MHz, CDCl3): δ = 2.20-2.39 (m, 2 H), 2.94-3.19 (m, 2 H), 3.61 (s, 3 H), 4.67 (dd, 1 H, J = 6.0, 7.5 Hz), 7.33-7.52 (m, 5 H), 7.87 (d, 2 H, J = 7.5 Hz), 7.99 (d, 2 H, J = 9.0 Hz). ESI-MS: m/z = 345 [M + 1], 367 [M + Na]. HRMS: m/z calcd for C19H17O4NaCl: 367.0713; found: 367.0715.",2,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""131469-67-5"", ""smiles"": ""C=C(C(=O)OC)C(O)c1ccc(Cl)cc1""}, {""index"": 2, ""cas_rn"": ""13735-81-4"", ""smiles"": ""C=C(O[Si](C)(C)C)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1044735-95-6"", ""yield_pct"": ""81"", ""smiles"": ""COC(=O)C(CCC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""64297-64-9""}]",[],"[{""index"": 1, ""cas_rn"": ""68-12-2""}]","regioselective (in stage 2), Mukaiyama-Michael addition in stage 2",
31-255-CAS-10028074,31-255-CAS-10028074,Reaction_20251110_1412 (1).rdf,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,80,,,C=C(C(=O)OC)C(O)c1ccc(F)cc1.C=CC[Si](C)(C)C,C=CCCC(C(=O)OC)C(=O)c1ccc(F)cc1,C=C(C(=O)OC)C(O)c1ccc(F)cc1.C=CC[Si](C)(C)C>>C=CCCC(C(=O)OC)C(=O)c1ccc(F)cc1,One-pot oxidative allylation of Morita-Baylis-Hillman adducts with allyltrimethylsilane promoted by Dess-Martin periodinane/boron trifluoride-diethyl ether complex,"Yadav, Jhillu S.; Reddy, B. V. Subba; Singh, Ashutosh Pratap; Basak, Ashok K.","Synthesis (2008), (3), 469-473","One-pot oxidative allylation of Morita-Baylis-Hillman adducts with allyltrimethylsilane promoted by Dess-Martin periodinane/boron trifluoride-diethyl ether complex | Yadav, Jhillu S.; Reddy, B. V. Subba; Singh, Ashutosh Pratap; Basak, Ashok K. | Synthesis (2008), (3), 469-473","353506-65-7, 762-72-1",957504-29-9,"87413-09-0, 109-63-7",,75-09-2,,,,,,"General/Typical Procedure: Homoallylated β-Keto Ester Derivatives 3; General Procedure To a stirred solution of Morita-Baylis-Hillman adduct 1 (1 mmol) in anhyd CH2Cl2 (10 mL) was added Dess-Martin periodinane (1.1 mmol), and the mixture was stirred at r.t. until complete oxidation had taken place. Then, allyltrimethylsilane (2) (1.5 mmol) and BF3·OEt2 (1.2 mmol) were added in sequence, and the mixture was stirred at r.t. until the starting material had completely disappeared (see Table 1 for individual reaction times). The mixture was then quenched with sat. aq NaHCO3 (10 mL) and extracted with CH2Cl2 (2 × 10 mL). The combined organic layers were washed with sat. aq NaHCO3 (10 mL) and then dried (Na2SO4). Removal of the solvent, followed by chromatography (silica gel, EtOAc-hexane, 1:9) afforded the pure allyl derivative 3. 3b Colorless liquid, yield 80%. IR (neat): 2958, 2848, 1760, 1644, 1565, 1445, 1142, 1007, 758 cm-1. 1H NMR (300 MHz, CDCl3): δ = 2.04-2.13 (m, 4 H), 3.68 (s, 3 H), 4.21-4.28 (m, 1 H), 4.95-5.04 (m, 2 H), 5.68-5.83 (m, 1 H), 7.14 (t, J= 8.3 Hz, 2 H), 7.96-8.03 (m, 2 H). ESI-MS: m/z = 251 (M + 1), 273 (M + Na).",2,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""353506-65-7"", ""smiles"": ""C=C(C(=O)OC)C(O)c1ccc(F)cc1""}, {""index"": 2, ""cas_rn"": ""762-72-1"", ""smiles"": ""C=CC[Si](C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""957504-29-9"", ""yield_pct"": ""80"", ""smiles"": ""C=CCCC(C(=O)OC)C(=O)c1ccc(F)cc1""}]","[{""index"": 1, ""cas_rn"": ""87413-09-0""}, {""index"": 2, ""cas_rn"": ""109-63-7""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-255-CAS-10315693,31-255-CAS-10315693,Reaction_20251110_1412 (1).rdf,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,85,,,C=C(C(=O)OC)C(O)c1cccc(Oc2ccccc2)c1.C=CC[Si](C)(C)C,C=CCCC(C(=O)OC)C(=O)c1cccc(Oc2ccccc2)c1,C=C(C(=O)OC)C(O)c1cccc(Oc2ccccc2)c1.C=CC[Si](C)(C)C>>C=CCCC(C(=O)OC)C(=O)c1cccc(Oc2ccccc2)c1,One-pot oxidative allylation of Morita-Baylis-Hillman adducts with allyltrimethylsilane promoted by Dess-Martin periodinane/boron trifluoride-diethyl ether complex,"Yadav, Jhillu S.; Reddy, B. V. Subba; Singh, Ashutosh Pratap; Basak, Ashok K.","Synthesis (2008), (3), 469-473","One-pot oxidative allylation of Morita-Baylis-Hillman adducts with allyltrimethylsilane promoted by Dess-Martin periodinane/boron trifluoride-diethyl ether complex | Yadav, Jhillu S.; Reddy, B. V. Subba; Singh, Ashutosh Pratap; Basak, Ashok K. | Synthesis (2008), (3), 469-473","957504-22-2, 762-72-1",957504-40-4,"87413-09-0, 109-63-7",,75-09-2,,,,,,"General/Typical Procedure: Homoallylated β-Keto Ester Derivatives 3; General Procedure To a stirred solution of Morita-Baylis-Hillman adduct 1 (1 mmol) in anhyd CH2Cl2 (10 mL) was added Dess-Martin periodinane (1.1 mmol), and the mixture was stirred at r.t. until complete oxidation had taken place. Then, allyltrimethylsilane (2) (1.5 mmol) and BF3·OEt2 (1.2 mmol) were added in sequence, and the mixture was stirred at r.t. until the starting material had completely disappeared (see Table 1 for individual reaction times). The mixture was then quenched with sat. aq NaHCO3 (10 mL) and extracted with CH2Cl2 (2 × 10 mL). The combined organic layers were washed with sat. aq NaHCO3 (10 mL) and then dried (Na2SO4). Removal of the solvent, followed by chromatography (silica gel, EtOAc-hexane, 1:9) afforded the pure allyl derivative 3. 3f Colorless liquid, yield 85%. IR (neat): 3015, 2932, 2847, 1741, 1653, 1511, 1434, 1255, 1134, 1006, 844 cm-1. 1H NMR (300 MHz, CDCl3): δ = 2.04-2.11 (m, 4 H), 3.66 (s, 3 H), 4.21 (br t, J= 6.7 Hz, 1 H), 4.95-5.03 (m, 2 H), 5.64-5.80 (m, 1 H), 7.00 (d, J= 8.3 Hz, 2 H), 7.04-7.22 (m, 2 H), 7.31-7.44 (m, 3 H), 7.54 (s, 1 H), 7.65 (d, J= 8.3 Hz, 1 H). 13C NMR (75 MHz, CDCl3): δ = 28.04, 31.44, 52.42, 53.03, 116.13, 118.14, 119.33, 123.14, 123.60, 124.01, 129.98, 130.09, 136.99, 158.06, 170.15, 174.72, 194.50. ESI-MS: m/z = 347 (M + Na). HRMS: m/z calcd for C20H2OO4Na: 347.1259; found: 347.1259.",2,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""957504-22-2"", ""smiles"": ""C=C(C(=O)OC)C(O)c1cccc(Oc2ccccc2)c1""}, {""index"": 2, ""cas_rn"": ""762-72-1"", ""smiles"": ""C=CC[Si](C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""957504-40-4"", ""yield_pct"": ""85"", ""smiles"": ""C=CCCC(C(=O)OC)C(=O)c1cccc(Oc2ccccc2)c1""}]","[{""index"": 1, ""cas_rn"": ""87413-09-0""}, {""index"": 2, ""cas_rn"": ""109-63-7""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-255-CAS-10561141,31-255-CAS-10561141,Reaction_20251110_1412 (1).rdf,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,85,,,C=C(C(=O)OC)C(O)c1ccccc1.C=CC[Si](C)(C)C,C=CCCC(C(=O)OC)C(=O)c1ccccc1,C=C(C(=O)OC)C(O)c1ccccc1.C=CC[Si](C)(C)C>>C=CCCC(C(=O)OC)C(=O)c1ccccc1,One-pot oxidative allylation of Morita-Baylis-Hillman adducts with allyltrimethylsilane promoted by Dess-Martin periodinane/boron trifluoride-diethyl ether complex,"Yadav, Jhillu S.; Reddy, B. V. Subba; Singh, Ashutosh Pratap; Basak, Ashok K.","Synthesis (2008), (3), 469-473","One-pot oxidative allylation of Morita-Baylis-Hillman adducts with allyltrimethylsilane promoted by Dess-Martin periodinane/boron trifluoride-diethyl ether complex | Yadav, Jhillu S.; Reddy, B. V. Subba; Singh, Ashutosh Pratap; Basak, Ashok K. | Synthesis (2008), (3), 469-473","18020-59-2, 762-72-1",957504-28-8,"87413-09-0, 109-63-7",,75-09-2,,,,,,"Homoallylated β-Keto Ester Derivatives 3; General Procedure To a stirred solution of Morita-Baylis-Hillman adduct 1 (1 mmol) in anhyd CH2Cl2 (10 mL) was added Dess-Martin periodinane (1.1 mmol), and the mixture was stirred at r.t. until complete oxidation had taken place. Then, allyltrimethylsilane (2) (1.5 mmol) and BF3·OEt2 (1.2 mmol) were added in sequence, and the mixture was stirred at r.t. until the starting material had completely disappeared (see Table 1 for individual reaction times). The mixture was then quenched with sat. aq NaHCO3 (10 mL) and extracted with CH2Cl2 (2 × 10 mL). The combined organic layers were washed with sat. aq NaHCO3 (10 mL) and then dried (Na2SO4). Removal of the solvent, followed by chromatography (silica gel, EtOAc-hexane, 1:9) afforded the pure allyl derivative 3. 3a Colorless oil, yield 85%. IR (neat): 3065, 2945, 2863, 1742, 1658, 1545, 1410, 1162, 1019, 845 cm-1. 1H NMR (200 MHz, CDCl3): δ = 2.06-2.16 (m, 4 H), 3.67 (s, 3 H), 4.24-4.35 (m, 1 H), 4.94-5.07 (m, 2 H), 5.65-5.85 (m, 1 H), 7.40- 7.58 (m, 3 H), 7.95 (d, J = 8.2 Hz, 2 H). ESI-MS: m/z = 255 (M + Na). HRMS: m/z calcd for C14H16O3Na: 255.0997; found: 255.0989.",2,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""18020-59-2"", ""smiles"": ""C=C(C(=O)OC)C(O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""762-72-1"", ""smiles"": ""C=CC[Si](C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""957504-28-8"", ""yield_pct"": ""85"", ""smiles"": ""C=CCCC(C(=O)OC)C(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""87413-09-0""}, {""index"": 2, ""cas_rn"": ""109-63-7""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
