reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-096-CAS-22447717,31-096-CAS-22447717,Reaction_20251110_2207.rdf,Mannich & Petasis borono‑Mannich,92,,,O=Cc1ccccc1.c1ccc2[nH]ccc2c1.C1CCNC1,c1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1,O=Cc1ccccc1.c1ccc2[nH]ccc2c1.C1CCNC1>>c1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1,Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles,"Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho","ChemistrySelect (2020), 5(14), 4337-4346","Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles | Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho | ChemistrySelect (2020), 5(14), 4337-4346","100-52-7, 120-72-9, 123-75-1",76364-51-7,,154094-97-0,64-17-5,,,,magnetic graphene oxide supported,,,1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""100-52-7"", ""smiles"": ""O=Cc1ccccc1""}, {""index"": 2, ""cas_rn"": ""120-72-9"", ""smiles"": ""c1ccc2[nH]ccc2c1""}, {""index"": 3, ""cas_rn"": ""123-75-1"", ""smiles"": ""C1CCNC1""}]","[{""index"": 1, ""cas_rn"": ""76364-51-7"", ""yield_pct"": ""92"", ""smiles"": ""c1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""154094-97-0"", ""amd"": ""magnetic graphene oxide supported""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]","solid-supported catalyst, Mannich reaction, recyclable catalyst upto seven cycles without appreciable loss in catalytic efficiency, ionic liquid used (catalyst), catalyst prepared and used, optimization study, optimized on catalyst, optimized on temperature, optimized on time, optimized on stoichiometry of catalyst",
31-096-CAS-22447718,31-096-CAS-22447718,Reaction_20251110_2207.rdf,Mannich & Petasis borono‑Mannich,92,,,Cc1ccc(C=O)cc1.c1ccc2[nH]ccc2c1.C1CCNC1,Cc1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1,Cc1ccc(C=O)cc1.c1ccc2[nH]ccc2c1.C1CCNC1>>Cc1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1,Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles,"Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho","ChemistrySelect (2020), 5(14), 4337-4346","Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles | Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho | ChemistrySelect (2020), 5(14), 4337-4346","104-87-0, 120-72-9, 123-75-1",1368210-15-4,,154094-97-0,64-17-5,,,,magnetic graphene oxide supported,,,1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""104-87-0"", ""smiles"": ""Cc1ccc(C=O)cc1""}, {""index"": 2, ""cas_rn"": ""120-72-9"", ""smiles"": ""c1ccc2[nH]ccc2c1""}, {""index"": 3, ""cas_rn"": ""123-75-1"", ""smiles"": ""C1CCNC1""}]","[{""index"": 1, ""cas_rn"": ""1368210-15-4"", ""yield_pct"": ""92"", ""smiles"": ""Cc1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""154094-97-0"", ""amd"": ""magnetic graphene oxide supported""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]","solid-supported catalyst, Mannich reaction, recyclable catalyst, ionic liquid used (catalyst), catalyst prepared and used",
31-096-CAS-22447719,31-096-CAS-22447719,Reaction_20251110_2207.rdf,Mannich & Petasis borono‑Mannich,92,,,c1ccc2[nH]ccc2c1.COc1ccc(C=O)cc1.C1CCNC1,COc1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1,c1ccc2[nH]ccc2c1.COc1ccc(C=O)cc1.C1CCNC1>>COc1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1,Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles,"Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho","ChemistrySelect (2020), 5(14), 4337-4346","Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles | Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho | ChemistrySelect (2020), 5(14), 4337-4346","120-72-9, 123-11-5, 123-75-1",1609026-89-2,,154094-97-0,64-17-5,,,,magnetic graphene oxide supported,,,1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""120-72-9"", ""smiles"": ""c1ccc2[nH]ccc2c1""}, {""index"": 2, ""cas_rn"": ""123-11-5"", ""smiles"": ""COc1ccc(C=O)cc1""}, {""index"": 3, ""cas_rn"": ""123-75-1"", ""smiles"": ""C1CCNC1""}]","[{""index"": 1, ""cas_rn"": ""1609026-89-2"", ""yield_pct"": ""92"", ""smiles"": ""COc1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""154094-97-0"", ""amd"": ""magnetic graphene oxide supported""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]","solid-supported catalyst, Mannich reaction, recyclable catalyst, ionic liquid used (catalyst), catalyst prepared and used",
31-096-CAS-22447720,31-096-CAS-22447720,Reaction_20251110_2207.rdf,Mannich & Petasis borono‑Mannich,90,,,O=Cc1ccccc1Cl.c1ccc2[nH]ccc2c1.C1CCNC1,Clc1ccccc1C(c1c[nH]c2ccccc12)N1CCCC1,O=Cc1ccccc1Cl.c1ccc2[nH]ccc2c1.C1CCNC1>>Clc1ccccc1C(c1c[nH]c2ccccc12)N1CCCC1,Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles,"Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho","ChemistrySelect (2020), 5(14), 4337-4346","Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles | Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho | ChemistrySelect (2020), 5(14), 4337-4346","89-98-5, 120-72-9, 123-75-1",1360151-12-7,,154094-97-0,64-17-5,,,,magnetic graphene oxide supported,,,1,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""89-98-5"", ""smiles"": ""O=Cc1ccccc1Cl""}, {""index"": 2, ""cas_rn"": ""120-72-9"", ""smiles"": ""c1ccc2[nH]ccc2c1""}, {""index"": 3, ""cas_rn"": ""123-75-1"", ""smiles"": ""C1CCNC1""}]","[{""index"": 1, ""cas_rn"": ""1360151-12-7"", ""yield_pct"": ""90"", ""smiles"": ""Clc1ccccc1C(c1c[nH]c2ccccc12)N1CCCC1""}]",[],"[{""index"": 1, ""cas_rn"": ""154094-97-0"", ""amd"": ""magnetic graphene oxide supported""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]","solid-supported catalyst, Mannich reaction, recyclable catalyst, ionic liquid used (catalyst), catalyst prepared and used",
31-096-CAS-22447721,31-096-CAS-22447721,Reaction_20251110_2207.rdf,Mannich & Petasis borono‑Mannich,88,,,c1ccc2[nH]ccc2c1.C1CCNC1.O=Cc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1,c1ccc2[nH]ccc2c1.C1CCNC1.O=Cc1ccc([N+](=O)[O-])cc1>>O=[N+]([O-])c1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1,Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles,"Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho","ChemistrySelect (2020), 5(14), 4337-4346","Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles | Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho | ChemistrySelect (2020), 5(14), 4337-4346","120-72-9, 123-75-1, 555-16-8",1634687-00-5,,154094-97-0,64-17-5,,,,magnetic graphene oxide supported,,,1,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""120-72-9"", ""smiles"": ""c1ccc2[nH]ccc2c1""}, {""index"": 2, ""cas_rn"": ""123-75-1"", ""smiles"": ""C1CCNC1""}, {""index"": 3, ""cas_rn"": ""555-16-8"", ""smiles"": ""O=Cc1ccc([N+](=O)[O-])cc1""}]","[{""index"": 1, ""cas_rn"": ""1634687-00-5"", ""yield_pct"": ""88"", ""smiles"": ""O=[N+]([O-])c1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""154094-97-0"", ""amd"": ""magnetic graphene oxide supported""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]","solid-supported catalyst, Mannich reaction, recyclable catalyst, ionic liquid used (catalyst), catalyst prepared and used",
31-096-CAS-22447722,31-096-CAS-22447722,Reaction_20251110_2207.rdf,Mannich & Petasis borono‑Mannich,90,,,O=Cc1ccccc1.C1CCNC1.Brc1ccc2[nH]ccc2c1,Brc1ccc2[nH]cc(C(c3ccccc3)N3CCCC3)c2c1,O=Cc1ccccc1.C1CCNC1.Brc1ccc2[nH]ccc2c1>>Brc1ccc2[nH]cc(C(c3ccccc3)N3CCCC3)c2c1,Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles,"Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho","ChemistrySelect (2020), 5(14), 4337-4346","Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles | Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho | ChemistrySelect (2020), 5(14), 4337-4346","100-52-7, 123-75-1, 10075-50-0",1609026-99-4,,154094-97-0,64-17-5,,,,magnetic graphene oxide supported,,,1,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""100-52-7"", ""smiles"": ""O=Cc1ccccc1""}, {""index"": 2, ""cas_rn"": ""123-75-1"", ""smiles"": ""C1CCNC1""}, {""index"": 3, ""cas_rn"": ""10075-50-0"", ""smiles"": ""Brc1ccc2[nH]ccc2c1""}]","[{""index"": 1, ""cas_rn"": ""1609026-99-4"", ""yield_pct"": ""90"", ""smiles"": ""Brc1ccc2[nH]cc(C(c3ccccc3)N3CCCC3)c2c1""}]",[],"[{""index"": 1, ""cas_rn"": ""154094-97-0"", ""amd"": ""magnetic graphene oxide supported""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]","solid-supported catalyst, Mannich reaction, recyclable catalyst, ionic liquid used (catalyst), catalyst prepared and used",
31-096-CAS-22447723,31-096-CAS-22447723,Reaction_20251110_2207.rdf,Mannich & Petasis borono‑Mannich,90,,,C1CCNC1.O=Cc1ccccn1.Brc1ccc2[nH]ccc2c1,Brc1ccc2[nH]cc(C(c3ccccn3)N3CCCC3)c2c1,C1CCNC1.O=Cc1ccccn1.Brc1ccc2[nH]ccc2c1>>Brc1ccc2[nH]cc(C(c3ccccn3)N3CCCC3)c2c1,Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles,"Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho","ChemistrySelect (2020), 5(14), 4337-4346","Amine-Terminated Ionic Liquid Modified Magnetic Graphene Oxide (MGO-IL-NH2): A Highly Efficient and Reusable Nanocatalyst for the Synthesis of 3-Amino Alkylated Indoles | Garkoti, Charu; Shabir, Javaid; Mozumdar, Subho | ChemistrySelect (2020), 5(14), 4337-4346","123-75-1, 1121-60-4, 10075-50-0",2416944-91-5,,154094-97-0,64-17-5,,,,magnetic graphene oxide supported,,,1,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""123-75-1"", ""smiles"": ""C1CCNC1""}, {""index"": 2, ""cas_rn"": ""1121-60-4"", ""smiles"": ""O=Cc1ccccn1""}, {""index"": 3, ""cas_rn"": ""10075-50-0"", ""smiles"": ""Brc1ccc2[nH]ccc2c1""}]","[{""index"": 1, ""cas_rn"": ""2416944-91-5"", ""yield_pct"": ""90"", ""smiles"": ""Brc1ccc2[nH]cc(C(c3ccccn3)N3CCCC3)c2c1""}]",[],"[{""index"": 1, ""cas_rn"": ""154094-97-0"", ""amd"": ""magnetic graphene oxide supported""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]","solid-supported catalyst, Mannich reaction, recyclable catalyst, ionic liquid used (catalyst), catalyst prepared and used",
31-096-CAS-23672432,31-096-CAS-23672432,Reaction_20251110_2207 (1).rdf,Mannich & Petasis borono‑Mannich,71,,,C=O.c1ccc2[nH]ccc2c1.FC(F)(F)c1ccc(N2CCNCC2)cc1,FC(F)(F)c1ccc(N2CCN(Cc3c[nH]c4ccccc34)CC2)cc1,C=O.c1ccc2[nH]ccc2c1.FC(F)(F)c1ccc(N2CCNCC2)cc1>>FC(F)(F)c1ccc(N2CCN(Cc3c[nH]c4ccccc34)CC2)cc1,Synthesis and characterization of 3-substituted indole derivatives as novel Mannich bases,"Erdag, E.","Asian Journal of Chemistry (2021), 33(4), 781-784","Synthesis and characterization of 3-substituted indole derivatives as novel Mannich bases | Erdag, E. | Asian Journal of Chemistry (2021), 33(4), 781-784","50-00-0, 120-72-9, 30459-17-7",2641065-81-6,7732-18-5,,67-56-1,,,,,,,2,1,71,,,,,,,"{""1"": 71}","[{""index"": 1, ""cas_rn"": ""50-00-0"", ""smiles"": ""C=O""}, {""index"": 2, ""cas_rn"": ""120-72-9"", ""smiles"": ""c1ccc2[nH]ccc2c1""}, {""index"": 3, ""cas_rn"": ""30459-17-7"", ""smiles"": ""FC(F)(F)c1ccc(N2CCNCC2)cc1""}]","[{""index"": 1, ""cas_rn"": ""2641065-81-6"", ""yield_pct"": ""71"", ""smiles"": ""FC(F)(F)c1ccc(N2CCN(Cc3c[nH]c4ccccc34)CC2)cc1""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]","microwave irradiation, alternate reaction conditions gave lower yield, irradiated at 100 W, Mannich reaction",
31-096-CAS-23672532,31-096-CAS-23672532,Reaction_20251110_2207 (1).rdf,Mannich & Petasis borono‑Mannich,75,,,C=O.c1ccc2[nH]ccc2c1.CC(=O)c1ccc(N2CCNCC2)cc1,CC(=O)c1ccc(N2CCN(Cc3c[nH]c4ccccc34)CC2)cc1,C=O.c1ccc2[nH]ccc2c1.CC(=O)c1ccc(N2CCNCC2)cc1>>CC(=O)c1ccc(N2CCN(Cc3c[nH]c4ccccc34)CC2)cc1,Synthesis and characterization of 3-substituted indole derivatives as novel Mannich bases,"Erdag, E.","Asian Journal of Chemistry (2021), 33(4), 781-784","Synthesis and characterization of 3-substituted indole derivatives as novel Mannich bases | Erdag, E. | Asian Journal of Chemistry (2021), 33(4), 781-784","50-00-0, 120-72-9, 51639-48-6",2641065-79-2,7732-18-5,,67-56-1,,,,,,,2,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""50-00-0"", ""smiles"": ""C=O""}, {""index"": 2, ""cas_rn"": ""120-72-9"", ""smiles"": ""c1ccc2[nH]ccc2c1""}, {""index"": 3, ""cas_rn"": ""51639-48-6"", ""smiles"": ""CC(=O)c1ccc(N2CCNCC2)cc1""}]","[{""index"": 1, ""cas_rn"": ""2641065-79-2"", ""yield_pct"": ""75"", ""smiles"": ""CC(=O)c1ccc(N2CCN(Cc3c[nH]c4ccccc34)CC2)cc1""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]","microwave irradiation, alternate reaction conditions gave lower yield, irradiated at 100 W, Mannich reaction",
31-096-CAS-23893419,31-096-CAS-23893419,Reaction_20251110_2207 (1).rdf,Mannich & Petasis borono‑Mannich,86,,,C=O.c1ccc2[nH]ccc2c1.O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCN(Cc4c[nH]c5ccccc45)CC3)c(F)cc2c1=O,C=O.c1ccc2[nH]ccc2c1.O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O>>O=C(O)c1cn(C2CC2)c2cc(N3CCN(Cc4c[nH]c5ccccc45)CC3)c(F)cc2c1=O,"Synthesis and characterization of some mannich base analogues of ciprofloxacin: antibacterial, antifungal, and cytotoxic activities","Rabbani, M. G.; Islam, M. R.","Journal of Scientific Research (Rajshahi, Bangladesh) (2021), 13(2), 545-559","Synthesis and characterization of some mannich base analogues of ciprofloxacin: antibacterial, antifungal, and cytotoxic activities | Rabbani, M. G.; Islam, M. R. | Journal of Scientific Research (Rajshahi, Bangladesh) (2021), 13(2), 545-559","50-00-0, 120-72-9, 85721-33-1",2687232-98-8,,,"64-19-7, 7732-18-5",,,,,,,1,1,86,,,,,,,"{""1"": 86}","[{""index"": 1, ""cas_rn"": ""50-00-0"", ""smiles"": ""C=O""}, {""index"": 2, ""cas_rn"": ""120-72-9"", ""smiles"": ""c1ccc2[nH]ccc2c1""}, {""index"": 3, ""cas_rn"": ""85721-33-1"", ""smiles"": ""O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O""}]","[{""index"": 1, ""cas_rn"": ""2687232-98-8"", ""yield_pct"": ""86"", ""smiles"": ""O=C(O)c1cn(C2CC2)c2cc(N3CCN(Cc4c[nH]c5ccccc45)CC3)c(F)cc2c1=O""}]",[],[],"[{""index"": 1, ""cas_rn"": ""64-19-7""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",Mannich reaction,
31-096-CAS-24404425,31-096-CAS-24404425,Reaction_20251110_2207.rdf,Mannich & Petasis borono‑Mannich,98,,,C=O.c1ccc2[nH]ccc2c1.CNC,CN(C)Cc1c[nH]c2ccccc12,C=O.c1ccc2[nH]ccc2c1.CNC>>CN(C)Cc1c[nH]c2ccccc12,The structural simplification of lysergic acid as a natural lead for synthesizing novel anti-Alzheimer agents,"Alzweiri, Muhammed; A. Alsegiani, Amsha; Karaj, Endri; A. Almarghalani, Daniyah; Tabaza, Yahia; A. Shah, Zahoor; Tillekeratne, L. M. Viranga","Bioorganic & Medicinal Chemistry Letters (2021), 47128205","The structural simplification of lysergic acid as a natural lead for synthesizing novel anti-Alzheimer agents | Alzweiri, Muhammed; A. Alsegiani, Amsha; Karaj, Endri; A. Almarghalani, Daniyah; Tabaza, Yahia; A. Shah, Zahoor; Tillekeratne, L. M. Viranga | Bioorganic & Medicinal Chemistry Letters (2021), 47128205","50-00-0, 120-72-9, 124-40-3",87-52-5,"64-19-7, 1310-73-2",,7732-18-5,,,,,,,2,1,98,,,,,,,"{""1"": 98}","[{""index"": 1, ""cas_rn"": ""50-00-0"", ""smiles"": ""C=O""}, {""index"": 2, ""cas_rn"": ""120-72-9"", ""smiles"": ""c1ccc2[nH]ccc2c1""}, {""index"": 3, ""cas_rn"": ""124-40-3"", ""smiles"": ""CNC""}]","[{""index"": 1, ""cas_rn"": ""87-52-5"", ""yield_pct"": ""98"", ""smiles"": ""CN(C)Cc1c[nH]c2ccccc12""}]","[{""index"": 1, ""cas_rn"": ""64-19-7""}, {""index"": 2, ""cas_rn"": ""1310-73-2""}]",[],"[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","Mannich reaction, alternative preparation shown",
