schema_version,reaction_id,source_row_number,admission_tier,admission_reasons,reaction_smiles,evidence_quality,reaction_label,reaction_label_status,yield_pct,condition_recipe_id,conditions_complete,catalyst_cas,reagent_cas,solvent_cas,electrophile_label,electrophile_context,electrophile_handle,electrophile_steric_class,electrophile_electronic_class,electrophile_flags,nucleophile_label,nucleophile_family,nucleophile_contexts,nucleophile_availability,nucleophile_flags,product_connection_label,product_connection_json,spectator_group_ids,family_environment_json,reference,notes
1.1,31-170-CAS-15979078,42,rejected,unresolved_transformation,COc1ccc(CCCCC(O)CCc2ccc(OC)c(Br)c2)cc1O>>COc1ccc2cc1Oc1cc(ccc1OC)CCC(O)CCCC2,unresolved,,unavailable,80.0,COND1:catalyst=1317-39-1|reagent=584-08-7|solvent=110-86-1,True,1317-39-1,584-08-7,110-86-1,,,,,,,,,,,,,,,,"Bioorganic & Medicinal Chemistry Letters (2016), 26(16), 4070-4076","microwave irradiation, thermal, Ullmann reaction, key intermediate"
1.1,31-170-CAS-19924354,66,rejected,invalid_reaction_smiles,Oc1ccccc1I.COC1=CC=C([I+]C2=C(NC(C)=O)C=CC=C2)C=C1.[F-][B+3]([F-])([F-])[F-]>>CC(=O)Nc1ccccc1Oc1ccccc1I,unresolved,,unavailable,91.0,COND1:catalyst=unknown|reagent=7647-14-5+865-47-4|solvent=108-88-3+7732-18-5,False,,7647-14-5|865-47-4,108-88-3|7732-18-5,,,,,,,,,,,,,,,,"Beilstein Journal of Organic Chemistry (2018), 141491-1497",alternative preparation shown
1.1,31-170-CAS-21005810,73,rejected,unresolved_transformation,Oc1ccccc1.COC(=O)c1ccc([I+]c2c(OC)cc(OC)cc2OC)cc1.O=S(=O)([O-])C(F)(F)F>>COC(=O)c1ccc(Oc2ccccc2)cc1,unresolved,,unavailable,95.0,COND1:catalyst=unknown|reagent=584-08-7|solvent=108-88-3,False,,584-08-7,108-88-3,,,,,,,,,,,,,,,,"Advanced Synthesis & Catalysis (2020), 362(2), 320-325","chemoselective, in the dark, sealed vial used"
1.1,31-170-CAS-21446535,75,rejected,invalid_reaction_smiles,COc1ccc(Br)c(F)c1.Cc1cccc(O)c1N.O=[C-2]1->[Co+2]2(C#O)(C#O)(C#O)[C-2](=O)->[Co+2]12(C#O)(C#O)C#O>>COc1ccc2c(c1)Oc1cccc(C)c1NC2=O,unresolved,,unavailable,80.0,COND1:catalyst=161265-03-8+3375-31-3|reagent=6674-22-2|solvent=68-12-2,True,161265-03-8|3375-31-3,6674-22-2,68-12-2,,,,,,,,,,,,,,,,"Synthetic Communications (2020), 50(3), 348-360",sealed tube used
1.1,31-170-CAS-22677067,99,rejected,unresolved_transformation,Cc1ccc(C(=O)O)cc1.CCOC(=O)c1ccc(Br)cc1>>CCOC(=O)c1ccc(OC(=O)c2ccc(C)cc2)cc1.CCOC(=O)c1ccc(C(=O)c2ccc(C)cc2)cc1,unresolved,,unavailable,3.0,COND1:catalyst=28923-39-9+72914-19-3+870987-63-6|reagent=534-17-8+603-35-0+7778-53-2|solvent=68-12-2+75-05-8,True,28923-39-9|72914-19-3|870987-63-6,534-17-8|603-35-0|7778-53-2,68-12-2|75-05-8,,,,,,,,,,,,,,,,"Nature Communications (2020), 11(1), 3312","glove box used (stage 1), Teflon-lined sealed vial used (stage 1), sealed schlenk tube used (stage 2), photochemical (stage 2), blue LED used (2 x 45W) (stage 2), 0.2 mmol scale used"
1.1,31-170-CAS-23502941,130,rejected,unresolved_transformation,Oc1ccc2ccccc2c1.O=S(=O)([O-])C(F)(F)F.O=[N+]([O-])c1ccc([I+]c2ccccc2)cc1>>O=[N+]([O-])c1ccc(Oc2ccc3ccccc3c2-c2ccc([N+](=O)[O-])cc2)cc1,unresolved,,unavailable,76.0,COND1:catalyst=unknown|reagent=12125-02-9+2632856-30-3|solvent=110-82-7+60-29-7+7732-18-5,False,,12125-02-9|2632856-30-3,110-82-7|60-29-7|7732-18-5,,,,,,,,,,,,,,,,"Frontiers in Chemistry (Lausanne, Switzerland) (2020), 8563470",chemoselective
1.1,31-170-CAS-7785841,152,rejected,unresolved_transformation,COc1ccc2c(c1O)C(Cc1ccc(OC)c(OC)c1Br)N(C)CC2>>COc1ccc2c(c1OC)Oc1c(OC)ccc3c1C(C2)N(C)CC3,unresolved,,unavailable,86.0,COND1:catalyst=unknown|reagent=1317-38-0+584-08-7|solvent=110-86-1,False,,1317-38-0|584-08-7,110-86-1,,,,,,,,,,,,,,,,"Journal of Heterocyclic Chemistry (1987), 24(2), 313-19",
1.1,31-170-CAS-898836,157,rejected,unresolved_transformation,Oc1c(F)c(F)c(F)c(F)c1N=Nc1c(F)c(F)c(F)c(F)c1F>>Fc1c(F)c(F)c2c(c1F)N=Nc1c(F)c(F)c(F)c(F)c1O2,unresolved,,unavailable,75.0,COND1:catalyst=unknown|reagent=7558-79-4+7558-80-7|solvent=64-17-5,False,,7558-79-4|7558-80-7,64-17-5,,,,,,,,,,,,,,,,"Journal of Medicinal Chemistry (1990), 33(9), 2452-5",
1.1,31-614-CAS-27033128,175,rejected,unresolved_transformation,Cc1cccc(C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C(=O)O)c1O>>Cc1cccc2c(=O)c3c(C(=O)O)c(Cl)c(Cl)c(Cl)c3oc12,unresolved,,unavailable,83.0,COND1:catalyst=unknown|reagent=unknown|solvent=7732-18-5,False,,,7732-18-5,,,,,,,,,,,,,,,,"Berichte der Deutschen Chemischen Gesellschaft [Abteilung] B: Abhandlungen (1919), 52B2098-18",Classification: Heterocycle formation; Condensation; Etherification; Cyclisation; # Conditions: NaOH H2O ; boil 30mn
1.1,31-614-CAS-28349665,178,rejected,unresolved_transformation,COc1ccc(C(=O)c2cc(C(F)(F)F)ccc2F)c(O)c1>>COc1ccc2c(=O)c3cc(C(F)(F)F)ccc3oc2c1,unresolved,,unavailable,79.0,COND1:catalyst=unknown|reagent=584-08-7|solvent=68-12-2,False,,584-08-7,68-12-2,,,,,,,,,,,,,,,,"Journal of Combinatorial Chemistry (2006), 8(3), 361-367",microwave irradiation
