substance_id,name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,status,source,curator_notes
cas:173035-10-4,"1,3-Bis(2,4,6-trimethylphenyl)imidazolinium Chloride",,173035-10-4,Cc1cc(C)c(N2C=[N+](c3c(C)cc(C)cc3C)CC2)c(C)c1.[Cl-],C21H27ClN2,,,342.914,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:2734917,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier/registry name match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:1779569-04-8,"Chloro(1-t-butylindenyl)[1,3-bis(2,6-di-i-propylphenyl)imidazol-2-yl]palladium(II)",,1779569-04-8,CC(C)(C)C1[C-]=Cc2ccccc21.CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[CH-]1.[Cl][Pd+],C40H52ClN2Pd-,,,702.743,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:139036022,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): catalyst. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:1798782-33-8,[PD(Allyl)(bippyphos)]otf,,1798782-33-8,C=C[CH2-].CC(C)(C)P(c1ccnn1-c1c(-c2ccccc2)nn(-c2ccccc2)c1-c1ccccc1)C(C)(C)C.O=S(=O)([O-])C(F)(F)F.[Pd+2],C36H40F3N4O3PPdS,,,803.196,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:178188631,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): catalyst. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:1846556-43-1,[PD(Allyl)(johnphos)]otf,,1846556-43-1,C=CC.CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C.O=S(=O)(O)C(F)(F)F.[Pd],C24H34F3O3PPdS,,,596.988,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:177808366,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): catalyst. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:210169-57-6,"(S)-(-)-5,5'-Bis(di(3,5-xylyl)phosphino)-4,4'-bi-1,3-benzodioxole",,210169-57-6,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2ccc3c(c2-c2c(P(c4cc(C)cc(C)c4)c4cc(C)cc(C)c4)ccc4c2OCO4)OCO3)c1,C46H44O4P2,,,722.802,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:11297101,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:2102544-35-2,JackiePhos Pd G3,,2102544-35-2,COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.CS(=O)(=O)O.Nc1ccccc1-c1[c-]cccc1.[Pd],C52H51F12NO5PPdS-,,,1167.419,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:117064817,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): catalyst. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:3002-77-5,"2-Methyl-1,10-phenanthroline",,3002-77-5,Cc1ccc2ccc3cccnc3c2n1,C13H10N2,,,194.237,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:4913356,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier catalog abbreviation/name match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:3059853-80-1,FPhos,,3059853-80-1,COc1ccc(OC)c(P(C2CCCC2)C2CCCC2)c1-c1cc(C(F)(F)F)cc(C(F)(F)F)c1,C26H29F6O2P,,,518.478,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:175668732,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:307494-95-7,"[(1,2,3-eta)-2-Butenyl]chloro(tricyclohexylphosphine)palladium",,307494-95-7,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.[CH2-]/C=C\C.[Cl][Pd+],C22H40ClPPd,,,477.409,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:171397231,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): catalyst. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:32503-27-8,Tetrabutylammonium hydrogen sulfate,,32503-27-8,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,C16H37NO4S,,,339.542,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:94433,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): additive. CAS evidence: CAS Common Chemistry / established registry identity. Intrinsic registry roles were intentionally not inferred from dataset columns.
