Reaction_Type_Standardized,Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,Reactant_Types_Key,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-B(OH)2|H-NR2 -> Ar-NR2 || None,Ar-B(OH)2|H-NR2 -> Ar-NR2 || None,False,"H-NR2,Any-NHR","Ar-B(OH)2,Any-B(OH)2","Ar-NR2,Any-NR2",Ar-B(OH)2|H-NR2 -> Ar-NR2 || None,Any-B(OH)2|Any-NHR|Ar-B(OH)2|H-NR2,Any-NR2|Ar-NR2,56.0,C1CCNC1.OB(O)c1ccc2ccccc2c1>>c1ccc2cc(N3CCCC3)ccc2c1,NiOAc2,4589-12-2,Tetramethylguanidine,PhMe,,,,-0.430711222772602
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R,False,"Ar-B(OH)2,Any-B(OH)2","Ar-R,H-NHR,Any-NH2","Ar-R,Ar-NHAr",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Ar-R|H-NHR,Ar-NHAr|Ar-R,78.0,OB(O)c1ccccc1.Cc1cccc(N)c1>>Cc1cccc(Nc2ccccc2)c1,NiOAc2,4589-12-2,Tetramethylguanidine,PhMe,,,,-0.05230260328158125
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-F|Ar-X,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-F|Ar-X,False,"Ar-F,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-Ar,H-NHR,Any-NH2","Ar-Ar,Ar-F,Ar-X,Ar-NHAr",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-F|Ar-X,Any-B(OH)2|Any-NH2|Ar-Ar|Ar-B(OH)2|Ar-F|Ar-X|H-NHR,Ar-Ar|Ar-F|Ar-NHAr|Ar-X,78.0,OB(O)c1ccc(F)cc1.Nc1ccc2c(=O)cc(-c3ccccc3)oc2c1>>O=c1cc(-c2ccccc2)oc2cc(Nc3ccc(F)cc3)ccc12,Cu(0),1644565-61-6,Et3N,EDC,,,,0.7071067811865475
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Any-Si|Ar-OTf|Ar-R|Ar-Si|R-OR|RCH2-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Any-Si|Ar-OTf|Ar-R|Ar-Si|R-OR|RCH2-OR,False,"Ar-R,Ar-OTf,Ar-B(OH)2,Any-B(OH)2,Ar-Si,Any-Si","H-NR2,Any-NHR,RCH2-OR,Any-OR,R-OR","Ar-R,Ar-OTf,Ar-Si,Any-Si,Ar-NR2,Any-NR2,RCH2-OR,Any-OR,R-OR",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Any-Si|Ar-OTf|Ar-R|Ar-Si|R-OR|RCH2-OR,Any-B(OH)2|Any-NHR|Any-OR|Any-Si|Ar-B(OH)2|Ar-OTf|Ar-R|Ar-Si|H-NR2|R-OR|RCH2-OR,Any-NR2|Any-OR|Any-Si|Ar-NR2|Ar-OTf|Ar-R|Ar-Si|R-OR|RCH2-OR,93.0,Cc1cc(B(O)O)cc([Si](C)(C)C)c1OS(=O)(=O)C(F)(F)F.C1COCCN1>>Cc1cc(N2CCOCC2)cc([Si](C)(C)C)c1OS(=O)(=O)C(F)(F)F,Cu(OAc)2,,,DCM,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Ar-R,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Ar-R,False,"Ar-R,Ar-B(OH)2,Any-B(OH)2","H-NHR,Any-NH2,Any-CO2R","Ar-R,Ar-NHAr,Any-CO2R",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CO2R|Ar-R,Any-B(OH)2|Any-CO2R|Any-NH2|Ar-B(OH)2|Ar-R|H-NHR,Any-CO2R|Ar-NHAr|Ar-R,68.0,Cc1ccc(B(O)O)cc1.CC(C)(C)OC(=O)n1ncc2cc(N)ccc21>>Cc1ccc(Nc2ccc3c(cnn3C(=O)OC(C)(C)C)c2)cc1,Cu(OAc)2,,DIPEA,DMF,,,,-0.8006407690254378
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Cl|Ar-R|Ar-X,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Cl|Ar-R|Ar-X,False,"Ar-R,H-NHR,Any-NH2","Ar-Cl,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-R,Ar-Cl,Ar-X,Ar-NHAr",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Cl|Ar-R|Ar-X,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Ar-Cl|Ar-R|Ar-X|H-NHR,Ar-Cl|Ar-NHAr|Ar-R|Ar-X,100.0,Cc1ccccc1N.OB(O)c1ccc(Cl)cc1>>Cc1ccccc1Nc1ccc(Cl)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.814775337324979
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R|Quinoline,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R|Quinoline,False,"H-NHR,Any-NH2,Quinoline","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,Ar-NHAr,Quinoline",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R|Quinoline,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Ar-R|H-NHR|Quinoline,Ar-NHAr|Ar-R|Quinoline,93.0,Nc1cccc2cccnc12.CCc1ccc(B(O)O)cc1>>CCc1ccc(Nc2cccc3cccnc23)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.7071067811865476
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-R,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-R,False,"Ar-Ar,H-NHR,Any-NH2","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-Ar,Ar-R,Ar-NHAr",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-R,Any-B(OH)2|Any-NH2|Ar-Ar|Ar-B(OH)2|Ar-R|H-NHR,Ar-Ar|Ar-NHAr|Ar-R,90.0,Nc1ccc2oc(-c3ccccc3)cc(=O)c2c1.CCc1ccc(B(O)O)cc1>>CCc1ccc(Nc2ccc3oc(-c4ccccc4)cc(=O)c3c2)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,-0.2886751345948129
Ar-B(OH)2|H-AromN -> Ar-AromN || None,Ar-B(OH)2|H-AromN -> Ar-AromN || None,False,"Ar-B(OH)2,Any-B(OH)2","H-AromN,AromN-H,Imidazole","Ar-AromN,Any-AromN",Ar-B(OH)2|H-AromN -> Ar-AromN || None,Any-B(OH)2|Ar-B(OH)2|AromN-H|H-AromN|Imidazole,Any-AromN|Ar-AromN,94.0,OB(O)c1ccccc1.c1c[nH]cn1>>c1ccc(-n2ccnc2)cc1,199852-14-7,,K2CO3,iPrOH,,,,0.5574499457229791
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CN|Any-CO2R|Ar-CN|Ar-CO2R|Thiophene,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CN|Any-CO2R|Ar-CN|Ar-CO2R|Thiophene,False,"H-NHR,Any-NH2,Ar-CO2R,Any-CO2R,Thiophene","Ar-B(OH)2,Any-B(OH)2,Ar-CN,Any-CN","Ar-CN,Any-CN,Ar-NHAr,Ar-CO2R,Any-CO2R,Thiophene",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CN|Any-CO2R|Ar-CN|Ar-CO2R|Thiophene,Any-B(OH)2|Any-CN|Any-CO2R|Any-NH2|Ar-B(OH)2|Ar-CN|Ar-CO2R|H-NHR|Thiophene,Any-CN|Any-CO2R|Ar-CN|Ar-CO2R|Ar-NHAr|Thiophene,59.0,COC(=O)c1ccsc1N.N#Cc1cccc(B(O)O)c1>>COC(=O)c1ccsc1Nc1cccc(C#N)c1,Cu(OAc)2,,Et3N,EDC,,,,0.0
Ar-B(OH)2|H-NHR -> H-NR2 || Any-NO2|Ar-NO2,Ar-B(OH)2|H-NHR -> H-NR2 || Any-NO2|Ar-NO2,False,"H-NHR,Any-NH2","Ar-B(OH)2,Any-B(OH)2,Ar-NO2,Any-NO2","Ar-NO2,Any-NO2,H-NR2,Any-NHR",Ar-B(OH)2|H-NHR -> H-NR2 || Any-NO2|Ar-NO2,Any-B(OH)2|Any-NH2|Any-NO2|Ar-B(OH)2|Ar-NO2|H-NHR,Any-NHR|Any-NO2|Ar-NO2|H-NR2,83.0,NCc1ccccc1.O=[N+]([O-])c1ccc(B(O)O)cc1>>O=[N+]([O-])c1ccc(NCc2ccccc2)cc1,1832622-30-6,,,MeOH,,,,0.7071067811865475
Ar-B(OH)2|H-NHR -> H-NR2 || Any-NO2|Ar-NO2,Ar-B(OH)2|H-NHR -> H-NR2 || Any-NO2|Ar-NO2,False,"H-NHR,Any-NH2","Ar-B(OH)2,Any-B(OH)2,Ar-NO2,Any-NO2","Ar-NO2,Any-NO2,H-NR2,Any-NHR",Ar-B(OH)2|H-NHR -> H-NR2 || Any-NO2|Ar-NO2,Any-B(OH)2|Any-NH2|Any-NO2|Ar-B(OH)2|Ar-NO2|H-NHR,Any-NHR|Any-NO2|Ar-NO2|H-NR2,78.0,NCc1ccccc1.O=[N+]([O-])c1cccc(B(O)O)c1>>O=[N+]([O-])c1cccc(NCc2ccccc2)c1,1832622-30-6,,,MeOH,,,,-0.7071067811865475
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Pyridine,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Pyridine,False,"H-NR2,Any-NHR","Ar-B(OH)2,Any-B(OH)2,Pyridine","Ar-NR2,Any-NR2,Pyridine",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Pyridine,Any-B(OH)2|Any-NHR|Ar-B(OH)2|H-NR2|Pyridine,Any-NR2|Ar-NR2|Pyridine,67.0,CNCc1ccccc1.OB(O)c1cccnc1>>CN(Cc1ccccc1)c1cccnc1,1832622-30-6,,,MeOH,,,,0.0
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-Cl|Ar-OR|Ar-X|R-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-Cl|Ar-OR|Ar-X|R-OR,False,"Ar-Cl,Ar-X,Ar-B(OH)2,Any-B(OH)2","H-NR2,Any-NHR,Ar-OR,Any-OR,R-OR","Ar-Cl,Ar-X,Ar-NR2,Any-NR2,Ar-OR,Any-OR,R-OR",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|Ar-Cl|Ar-OR|Ar-X|R-OR,Any-B(OH)2|Any-NHR|Any-OR|Ar-B(OH)2|Ar-Cl|Ar-OR|Ar-X|H-NR2|R-OR,Any-NR2|Any-OR|Ar-Cl|Ar-NR2|Ar-OR|Ar-X|R-OR,39.0,OB(O)c1ccc(Cl)cc1.CNc1ccc(OC)cc1>>COc1ccc(N(C)c2ccc(Cl)cc2)cc1,Cu(OAc)2,,Lutidine / Et3N,MeCN,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Pyridine,Ar-B(OH)2|H-NHR -> Ar-NHAr || Pyridine,False,"Ar-B(OH)2,Any-B(OH)2","H-NHR,Any-NH2,Pyridine","Ar-NHAr,Pyridine",Ar-B(OH)2|H-NHR -> Ar-NHAr || Pyridine,Any-B(OH)2|Any-NH2|Ar-B(OH)2|H-NHR|Pyridine,Ar-NHAr|Pyridine,35.0,OB(O)c1ccccc1.Nc1ccccn1>>c1ccc(Nc2ccccn2)cc1,799787-61-4,,,MeOH / water,NH4Cl,,,-0.7176713460587656
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-OR|Ar-Imino|Ar-OR|R-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-OR|Ar-Imino|Ar-OR|R-OR,False,"Ar-B(OH)2,Any-B(OH)2","Ar-OR,Any-OR,R-OR,H-NR2,Any-NHR,Ar-Imino,Any-Imino","Ar-NR2,Any-NR2,Ar-OR,Any-OR,R-OR,Ar-Imino,Any-Imino",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-OR|Ar-Imino|Ar-OR|R-OR,Any-B(OH)2|Any-Imino|Any-NHR|Any-OR|Ar-B(OH)2|Ar-Imino|Ar-OR|H-NR2|R-OR,Any-Imino|Any-NR2|Any-OR|Ar-Imino|Ar-NR2|Ar-OR|R-OR,74.0,OB(O)c1ccccc1.COc1cc(C2=NCCN2)cc(OC)c1OC>>COc1cc(C2=NCCN2c2ccccc2)cc(OC)c1OC,Cu(OAc)2,,K2CO3 / Et3N,DMSO / EtOAc,,,,0.7071067811865476
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-OR|Ar-Cl|Ar-Imino|Ar-OR|Ar-X|R-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-OR|Ar-Cl|Ar-Imino|Ar-OR|Ar-X|R-OR,False,"Ar-Cl,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-OR,Any-OR,R-OR,H-NR2,Any-NHR,Ar-Imino,Any-Imino","Ar-Cl,Ar-X,Ar-NR2,Any-NR2,Ar-OR,Any-OR,R-OR,Ar-Imino,Any-Imino",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-OR|Ar-Cl|Ar-Imino|Ar-OR|Ar-X|R-OR,Any-B(OH)2|Any-Imino|Any-NHR|Any-OR|Ar-B(OH)2|Ar-Cl|Ar-Imino|Ar-OR|Ar-X|H-NR2|R-OR,Any-Imino|Any-NR2|Any-OR|Ar-Cl|Ar-Imino|Ar-NR2|Ar-OR|Ar-X|R-OR,84.0,OB(O)c1ccc(Cl)cc1.COc1ccc(C2=NCCN2)cc1>>COc1ccc(C2=NCCN2c2ccc(Cl)cc2)cc1,Cu(OAc)2,,K2CO3 / Et3N,DMSO / EtOAc,,,,0.0
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-CO2R|Any-Imino|Ar-CO2R|Ar-Imino,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-CO2R|Any-Imino|Ar-CO2R|Ar-Imino,False,"Ar-B(OH)2,Any-B(OH)2","Ar-CO2R,Any-CO2R,H-NR2,Any-NHR,Ar-Imino,Any-Imino","Ar-NR2,Any-NR2,Ar-CO2R,Any-CO2R,Ar-Imino,Any-Imino",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-CO2R|Any-Imino|Ar-CO2R|Ar-Imino,Any-B(OH)2|Any-CO2R|Any-Imino|Any-NHR|Ar-B(OH)2|Ar-CO2R|Ar-Imino|H-NR2,Any-CO2R|Any-Imino|Any-NR2|Ar-CO2R|Ar-Imino|Ar-NR2,81.0,OB(O)c1ccccc1.COC(=O)c1ccc(C2=NCCN2)cc1>>COC(=O)c1ccc(C2=NCCN2c2ccccc2)cc1,Cu(OAc)2,,K2CO3 / Et3N,DMSO / EtOAc,,,,0.0
Ar-B(OH)2|Ar-CONH2 -> H-Amide || Ar-R,Ar-B(OH)2|Ar-CONH2 -> H-Amide || Ar-R,False,"Ar-CONH2,Any-CONH2","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,H-Amide,Any-Amide",Ar-B(OH)2|Ar-CONH2 -> H-Amide || Ar-R,Any-B(OH)2|Any-CONH2|Ar-B(OH)2|Ar-CONH2|Ar-R,Any-Amide|Ar-R|H-Amide,75.0,NC(=O)c1ccccc1.Cc1cccc(B(O)O)c1>>Cc1cccc(NC(=O)c2ccccc2)c1,1832622-30-6,,,MeOH,,,,0.8444407432001193
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Ar-Imino|Ar-R,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Ar-Imino|Ar-R,False,"Ar-B(OH)2,Any-B(OH)2","Ar-R,H-NR2,Any-NHR,Ar-Imino,Any-Imino","Ar-R,Ar-NR2,Any-NR2,Ar-Imino,Any-Imino",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Ar-Imino|Ar-R,Any-B(OH)2|Any-Imino|Any-NHR|Ar-B(OH)2|Ar-Imino|Ar-R|H-NR2,Any-Imino|Any-NR2|Ar-Imino|Ar-NR2|Ar-R,83.0,OB(O)c1ccccc1.Cc1ccc(C2=NCCN2)cc1>>Cc1ccc(C2=NCCN2c2ccccc2)cc1,Cu(OAc)2,,K2CO3 / Et3N,DMSO / EtOAc,,,,0.0
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Ar-Cl|Ar-F|Ar-Imino|Ar-X,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Ar-Cl|Ar-F|Ar-Imino|Ar-X,False,"Ar-F,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-Cl,Ar-X,H-NR2,Any-NHR,Ar-Imino,Any-Imino","Ar-Cl,Ar-X,Ar-F,Ar-NR2,Any-NR2,Ar-Imino,Any-Imino",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Ar-Cl|Ar-F|Ar-Imino|Ar-X,Any-B(OH)2|Any-Imino|Any-NHR|Ar-B(OH)2|Ar-Cl|Ar-F|Ar-Imino|Ar-X|H-NR2,Any-Imino|Any-NR2|Ar-Cl|Ar-F|Ar-Imino|Ar-NR2|Ar-X,78.0,OB(O)c1ccc(F)cc1.Clc1ccc(C2=NCCN2)cc1>>Fc1ccc(N2CCN=C2c2ccc(Cl)cc2)cc1,Cu(OAc)2,,K2CO3 / Et3N,DMSO / EtOAc,,,,0.0
Ar-B(OH)2|Ar-CONH2 -> H-Amide || None,Ar-B(OH)2|Ar-CONH2 -> H-Amide || None,False,"Ar-CONH2,Any-CONH2","Ar-B(OH)2,Any-B(OH)2","H-Amide,Any-Amide",Ar-B(OH)2|Ar-CONH2 -> H-Amide || None,Any-B(OH)2|Any-CONH2|Ar-B(OH)2|Ar-CONH2,Any-Amide|H-Amide,78.0,NC(=O)c1ccccc1.OB(O)c1ccccc1>>O=C(Nc1ccccc1)c1ccccc1,1832622-30-6,,,MeOH,,,,0.7792572777791731
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Ar-Imino,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Ar-Imino,False,"Ar-B(OH)2,Any-B(OH)2","H-NR2,Any-NHR,Ar-Imino,Any-Imino","Ar-NR2,Any-NR2,Ar-Imino,Any-Imino",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Ar-Imino,Any-B(OH)2|Any-Imino|Any-NHR|Ar-B(OH)2|Ar-Imino|H-NR2,Any-Imino|Any-NR2|Ar-Imino|Ar-NR2,83.0,OB(O)c1ccccc1.c1ccc2c(C3=NCCN3)cccc2c1>>c1ccc(N2CCN=C2c2cccc3ccccc23)cc1,Cu(OAc)2,,K2CO3 / Et3N,DMSO / EtOAc,,,,0.0
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-OR|Ar-F|Ar-Imino|Ar-OR|Ar-X|R-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-OR|Ar-F|Ar-Imino|Ar-OR|Ar-X|R-OR,False,"Ar-F,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-OR,Any-OR,R-OR,H-NR2,Any-NHR,Ar-Imino,Any-Imino","Ar-F,Ar-X,Ar-NR2,Any-NR2,Ar-OR,Any-OR,R-OR,Ar-Imino,Any-Imino",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-OR|Ar-F|Ar-Imino|Ar-OR|Ar-X|R-OR,Any-B(OH)2|Any-Imino|Any-NHR|Any-OR|Ar-B(OH)2|Ar-F|Ar-Imino|Ar-OR|Ar-X|H-NR2|R-OR,Any-Imino|Any-NR2|Any-OR|Ar-F|Ar-Imino|Ar-NR2|Ar-OR|Ar-X|R-OR,87.0,OB(O)c1ccc(F)cc1.COc1cccc(C2=NCCN2)c1>>COc1cccc(C2=NCCN2c2ccc(F)cc2)c1,Cu(OAc)2,,K2CO3 / Et3N,DMSO / EtOAc,,,,0.0
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-OR|Ar-CF3|Ar-Imino|Ar-OR|R-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-OR|Ar-CF3|Ar-Imino|Ar-OR|R-OR,False,"Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-CF3,H-NR2,Any-NHR,Ar-Imino,Any-Imino","Ar-CF3,Ar-NR2,Any-NR2,Ar-OR,Any-OR,R-OR,Ar-Imino,Any-Imino",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-OR|Ar-CF3|Ar-Imino|Ar-OR|R-OR,Any-B(OH)2|Any-Imino|Any-NHR|Any-OR|Ar-B(OH)2|Ar-CF3|Ar-Imino|Ar-OR|H-NR2|R-OR,Any-Imino|Any-NR2|Any-OR|Ar-CF3|Ar-Imino|Ar-NR2|Ar-OR|R-OR,58.0,COc1ccc(B(O)O)cc1.FC(F)(F)c1ccc(C2=NCCN2)cc1>>COc1ccc(N2CCN=C2c2ccc(C(F)(F)F)cc2)cc1,Cu(OAc)2,,K2CO3 / Et3N,DMSO / EtOAc,,,,0.0
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Ar-Cl|Ar-Imino|Ar-X,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Ar-Cl|Ar-Imino|Ar-X,False,"Ar-Cl,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-Cl,Ar-X,H-NR2,Any-NHR,Ar-Imino,Any-Imino","Ar-Cl,Ar-X,Ar-NR2,Any-NR2,Ar-Imino,Any-Imino",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Ar-Cl|Ar-Imino|Ar-X,Any-B(OH)2|Any-Imino|Any-NHR|Ar-B(OH)2|Ar-Cl|Ar-Imino|Ar-X|H-NR2,Any-Imino|Any-NR2|Ar-Cl|Ar-Imino|Ar-NR2|Ar-X,76.0,OB(O)c1ccc(Cl)cc1.Clc1ccccc1C1=NCCN1>>Clc1ccc(N2CCN=C2c2ccccc2Cl)cc1,Cu(OAc)2,,K2CO3 / Et3N,DMSO / EtOAc,,,,0.0
Ar-B(OH)2|Ar-CONH2 -> H-Amide || Ar-R,Ar-B(OH)2|Ar-CONH2 -> H-Amide || Ar-R,False,"Ar-R,Ar-CONH2,Any-CONH2","Ar-B(OH)2,Any-B(OH)2","Ar-R,H-Amide,Any-Amide",Ar-B(OH)2|Ar-CONH2 -> H-Amide || Ar-R,Any-B(OH)2|Any-CONH2|Ar-B(OH)2|Ar-CONH2|Ar-R,Any-Amide|Ar-R|H-Amide,65.0,Cc1ccc(C(N)=O)cc1.OB(O)c1ccc2ccccc2c1>>Cc1ccc(C(=O)Nc2ccc3ccccc3c2)cc1,1832622-30-6,,,MeOH,,,,-1.1042686641847734
Ar-B(OH)2|Ar-CONH2 -> H-Amide || Any-NO2|Ar-NO2,Ar-B(OH)2|Ar-CONH2 -> H-Amide || Any-NO2|Ar-NO2,False,"Ar-CONH2,Any-CONH2","Ar-B(OH)2,Any-B(OH)2,Ar-NO2,Any-NO2","Ar-NO2,Any-NO2,H-Amide,Any-Amide",Ar-B(OH)2|Ar-CONH2 -> H-Amide || Any-NO2|Ar-NO2,Any-B(OH)2|Any-CONH2|Any-NO2|Ar-B(OH)2|Ar-CONH2|Ar-NO2,Any-Amide|Any-NO2|Ar-NO2|H-Amide,80.0,NC(=O)c1ccccc1.O=[N+]([O-])c1cccc(B(O)O)c1>>O=C(Nc1cccc([N+](=O)[O-])c1)c1ccccc1,1832622-30-6,,,MeOH,,,,0.0
Ar-B(OH)2|Ar-CONH2 -> H-Amide || None,Ar-B(OH)2|Ar-CONH2 -> H-Amide || None,False,"Ar-CONH2,Any-CONH2","Ar-B(OH)2,Any-B(OH)2","H-Amide,Any-Amide",Ar-B(OH)2|Ar-CONH2 -> H-Amide || None,Any-B(OH)2|Any-CONH2|Ar-B(OH)2|Ar-CONH2,Any-Amide|H-Amide,69.0,NC(=O)c1ccccc1.OB(O)c1ccc2ccccc2c1>>O=C(Nc1ccc2ccccc2c1)c1ccccc1,1832622-30-6,,,MeOH,,,,0.41334516473503957
Ar-B(OH)2|Ar-CONH2 -> H-Amide || Ar-R,Ar-B(OH)2|Ar-CONH2 -> H-Amide || Ar-R,False,"Ar-B(OH)2,Any-B(OH)2","Ar-R,Ar-CONH2,Any-CONH2","Ar-R,H-Amide,Any-Amide",Ar-B(OH)2|Ar-CONH2 -> H-Amide || Ar-R,Any-B(OH)2|Any-CONH2|Ar-B(OH)2|Ar-CONH2|Ar-R,Any-Amide|Ar-R|H-Amide,72.0,OB(O)c1ccccc1.Cc1ccc(C(N)=O)cc1>>Cc1ccc(C(=O)Nc2ccccc2)cc1,1832622-30-6,,,MeOH,,,,0.25982792098465146
Ar-B(OH)2|Ar-CONH2 -> H-Amide || Any-NO2|Ar-NO2,Ar-B(OH)2|Ar-CONH2 -> H-Amide || Any-NO2|Ar-NO2,False,"Ar-CONH2,Any-CONH2","Ar-B(OH)2,Any-B(OH)2,Ar-NO2,Any-NO2","Ar-NO2,Any-NO2,H-Amide,Any-Amide",Ar-B(OH)2|Ar-CONH2 -> H-Amide || Any-NO2|Ar-NO2,Any-B(OH)2|Any-CONH2|Any-NO2|Ar-B(OH)2|Ar-CONH2|Ar-NO2,Any-Amide|Any-NO2|Ar-NO2|H-Amide,80.0,NC(=O)c1ccccc1.O=[N+]([O-])c1ccc(B(O)O)cc1>>O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1,1832622-30-6,,,MeOH,,,,0.0
Ar-Bpin|Ar-SO2NH2 -> H-Sulfonamide || Any-CO2R|Ar-CO2R|Ar-R,Ar-Bpin|Ar-SO2NH2 -> H-Sulfonamide || Any-CO2R|Ar-CO2R|Ar-R,False,"Ar-R,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-Bpin,Any-Bpin,Ar-CO2R,Any-CO2R","Ar-R,Ar-CO2R,Any-CO2R,H-Sulfonamide,Any-Sulfonamide",Ar-Bpin|Ar-SO2NH2 -> H-Sulfonamide || Any-CO2R|Ar-CO2R|Ar-R,Any-Bpin|Any-CO2R|Any-SO2NH2|Any-SO2R|Ar-Bpin|Ar-CO2R|Ar-R|Ar-SO2NH2,Any-CO2R|Any-Sulfonamide|Ar-CO2R|Ar-R|H-Sulfonamide,53.0,Cc1ccc(S(N)(=O)=O)cc1.COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1>>COC(=O)c1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1,tetrakis(acetonitrile)copper(I) hexafluorophosphate,,K3PO4,MeCN,,,,0.0
