Reaction_Type_Standardized,Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,Reactant_Types_Key,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-Br|Ar-OR|Ar-X|Pyridine|R-OR,Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-Br|Ar-OR|Ar-X|Pyridine|R-OR,False,"Ar-Br,Ar-X,H-AromN,AromN-H,Pyridine","Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-Br,Ar-X,Ar-AromN,Any-AromN,Ar-OR,Any-OR,R-OR,Pyridine",Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-Br|Ar-OR|Ar-X|Pyridine|R-OR,Any-B(OH)2|Any-OR|Ar-B(OH)2|Ar-Br|Ar-OR|Ar-X|AromN-H|H-AromN|Pyridine|R-OR,Any-AromN|Any-OR|Ar-AromN|Ar-Br|Ar-OR|Ar-X|Pyridine|R-OR,77.0,O=c1cccc(Br)[nH]1.COc1cc(B(O)O)cc(OC)c1OC>>COc1cc(-n2c(Br)cccc2=O)cc(OC)c1OC,Cu(OAc)2,,Py,DCM,,,,0.577350269189626
Ar-B(OH)2|H-AromN -> Ar-AromN || Ar-R,Ar-B(OH)2|H-AromN -> Ar-AromN || Ar-R,False,"Ar-B(OH)2,Any-B(OH)2","Ar-R,H-AromN,AromN-H,Imidazole","Ar-R,Ar-AromN,Any-AromN",Ar-B(OH)2|H-AromN -> Ar-AromN || Ar-R,Any-B(OH)2|Ar-B(OH)2|Ar-R|AromN-H|H-AromN|Imidazole,Any-AromN|Ar-AromN|Ar-R,79.0,OB(O)c1ccccc1.Cc1ncc[nH]1>>Cc1nccn1-c1ccccc1,199852-14-7,,K2CO3,iPrOH,,,,-0.3996274346580255
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R,False,"Ar-B(OH)2,Any-B(OH)2","Ar-R,H-NHR,Any-NH2","Ar-R,Ar-NHAr",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Ar-R|H-NHR,Ar-NHAr|Ar-R,85.0,OB(O)c1ccccc1.Cc1cccc(N)c1>>Cc1cccc(Nc2ccccc2)c1,199852-14-7,,K2CO3,water,,,,0.8629929541460776
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-F|Ar-R|Ar-X,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-F|Ar-R|Ar-X,False,"Ar-R,H-NHR,Any-NH2","Ar-F,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-R,Ar-F,Ar-X,Ar-NHAr",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-F|Ar-R|Ar-X,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Ar-F|Ar-R|Ar-X|H-NHR,Ar-F|Ar-NHAr|Ar-R|Ar-X,76.0,Cc1ccc(N)cc1.OB(O)c1ccc(F)cc1>>Cc1ccc(Nc2ccc(F)cc2)cc1,199852-14-7,,K2CO3,water,,,,0.800640769025438
Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-OR|Ar-R|Pyridine|R-OR,Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-OR|Ar-R|Pyridine|R-OR,False,"Ar-R,H-AromN,AromN-H,Pyridine","Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-R,Ar-AromN,Any-AromN,Ar-OR,Any-OR,R-OR,Pyridine",Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-OR|Ar-R|Pyridine|R-OR,Any-B(OH)2|Any-OR|Ar-B(OH)2|Ar-OR|Ar-R|AromN-H|H-AromN|Pyridine|R-OR,Any-AromN|Any-OR|Ar-AromN|Ar-OR|Ar-R|Pyridine|R-OR,18.0,Cc1ccc(=O)[nH]c1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2cc(C)ccc2=O)cc1,Cu(OAc)2,,Py,DCM,,,,0.0
Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-OR|R-OR,Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-OR|R-OR,False,"H-AromN,AromN-H,Imidazole","Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-AromN,Any-AromN,Ar-OR,Any-OR,R-OR",Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-OR|R-OR,Any-B(OH)2|Any-OR|Ar-B(OH)2|Ar-OR|AromN-H|H-AromN|Imidazole|R-OR,Any-AromN|Any-OR|Ar-AromN|Ar-OR|R-OR,88.0,c1c[nH]cn1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2ccnc2)cc1,199852-14-7,,K2CO3,iPrOH,,,,0.7092536589754697
Ar-B(OH)2|H-AromN -> Ar-AromN || Any-CN|Ar-CN|Ar-R|Pyridine,Ar-B(OH)2|H-AromN -> Ar-AromN || Any-CN|Ar-CN|Ar-R|Pyridine,False,"Ar-R,H-AromN,AromN-H,Pyridine","Ar-B(OH)2,Any-B(OH)2,Ar-CN,Any-CN","Ar-R,Ar-CN,Any-CN,Ar-AromN,Any-AromN,Pyridine",Ar-B(OH)2|H-AromN -> Ar-AromN || Any-CN|Ar-CN|Ar-R|Pyridine,Any-B(OH)2|Any-CN|Ar-B(OH)2|Ar-CN|Ar-R|AromN-H|H-AromN|Pyridine,Any-AromN|Any-CN|Ar-AromN|Ar-CN|Ar-R|Pyridine,26.0,Cc1ccc(=O)[nH]c1.N#Cc1ccc(B(O)O)cc1>>Cc1ccc(=O)n(-c2ccc(C#N)cc2)c1,Cu(OAc)2,,Py,DCM,,,,0.0
Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-Br|Ar-OR|Ar-X|Pyridine|R-OR,Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-Br|Ar-OR|Ar-X|Pyridine|R-OR,False,"Ar-Br,Ar-X,H-AromN,AromN-H,Pyridine","Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-Br,Ar-X,Ar-AromN,Any-AromN,Ar-OR,Any-OR,R-OR,Pyridine",Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-Br|Ar-OR|Ar-X|Pyridine|R-OR,Any-B(OH)2|Any-OR|Ar-B(OH)2|Ar-Br|Ar-OR|Ar-X|AromN-H|H-AromN|Pyridine|R-OR,Any-AromN|Any-OR|Ar-AromN|Ar-Br|Ar-OR|Ar-X|Pyridine|R-OR,77.0,O=c1cccc(Br)[nH]1.COc1cc(B(O)O)cc(OC)c1OC>>COc1cc(-n2c(Br)cccc2=O)cc(OC)c1OC,Cu(OAc)2,,Py,DCM,,,,0.577350269189626
Ar-B(OH)2|H-NHR -> Ar-NHAr || None,Ar-B(OH)2|H-NHR -> Ar-NHAr || None,False,"H-NHR,Any-NH2","Ar-B(OH)2,Any-B(OH)2",Ar-NHAr,Ar-B(OH)2|H-NHR -> Ar-NHAr || None,Any-B(OH)2|Any-NH2|Ar-B(OH)2|H-NHR,Ar-NHAr,80.0,Nc1ccccc1.OB(O)c1ccccc1>>c1ccc(Nc2ccccc2)cc1,1478738-98-5,,DBU,MeCN,,,,-0.5605135981023511
Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-Ar|Ar-OR|R-OR,Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-Ar|Ar-OR|R-OR,False,"Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-Ar,Ar-OR,Any-OR,R-OR,H-AromN,AromN-H","Ar-Ar,Ar-AromN,Any-AromN,Ar-OR,Any-OR,R-OR,Pyridine",Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-Ar|Ar-OR|R-OR,Any-B(OH)2|Any-OR|Ar-Ar|Ar-B(OH)2|Ar-OR|AromN-H|H-AromN|R-OR,Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OR|Pyridine|R-OR,26.0,COc1ccc(B(O)O)cc1OC.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1ccc(-n2c(-c3cc(OC)c(OC)c(OC)c3)cccc2=O)cc1OC,Cu(OAc)2,,Py,DCM,,,,-0.7835233709990268
