reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Decarboxylative_arylation,91,0.71,H-Acid,Ar-Br,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,False,O=C(O)C(=O)c1ccccc1.N#Cc1ccc(Br)cc1>>N#Cc1ccc(C(=O)c2ccccc2)cc1,COR / CN,"Organic Letters (2020), 22(17), 6832-6837"
Decarboxylative_arylation,93,0.0,H-Acid,Ar-I,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,False,O=C(O)C(=O)c1ccccc1.N#Cc1ccc(I)cc1>>N#Cc1ccc(C(=O)c2ccccc2)cc1,COR / CN,"Organic Letters (2020), 22(17), 6832-6837"
Decarboxylative_arylation,86,0.0,Any-X,H-Acid,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,False,FC(F)(F)c1ccc(Br)cc1.O=C(O)C(=O)c1ccccc1>>O=C(c1ccccc1)c1ccc(C(F)(F)F)cc1,CF3 / F / X / COR,"Organic Letters (2020), 22(17), 6832-6837"
Decarboxylative_arylation,84,0.0,Ar-Br,H-Acid,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,False,CC(=O)c1ccc(Br)cc1.O=C(O)C(=O)c1ccccc1>>CC(=O)c1ccc(C(=O)c2ccccc2)cc1,COR / acidic,"Organic Letters (2020), 22(17), 6832-6837"
Decarboxylative_arylation,85,0.53,H-Acid,Ar-Br,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,False,O=C(O)C(=O)c1ccccc1.COC(=O)c1ccc(Br)cc1>>COC(=O)c1ccc(C(=O)c2ccccc2)cc1,COR / CO2R,"Organic Letters (2020), 22(17), 6832-6837"
Decarboxylative_arylation,87,0.62,H-Acid,Ar-Br,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,False,O=C(O)C(=O)c1ccccc1.CCOC(=O)c1ccc(Br)cc1>>CCOC(=O)c1ccc(C(=O)c2ccccc2)cc1,COR / CO2R,"Organic Letters (2020), 22(17), 6832-6837"
Decarboxylative_arylation,61,0.0,H-Acid,Ar-Br,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,False,O=C(O)C(=O)c1ccccc1.O=Cc1ccc(Br)cc1>>O=Cc1ccc(C(=O)c2ccccc2)cc1,COR / CHO,"Organic Letters (2020), 22(17), 6832-6837"
Decarboxylative_arylation,58,-0.71,H-Acid,Ar-Br,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,False,O=C(O)C(=O)c1ccccc1.N#Cc1ccccc1Br>>N#Cc1ccccc1C(=O)c1ccccc1,COR / CN,"Organic Letters (2020), 22(17), 6832-6837"
Decarboxylative_arylation,49,-1.15,Ar-Br,H-Acid,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,False,COC(=O)c1ccccc1Br.O=C(O)C(=O)c1ccccc1>>COC(=O)c1ccccc1C(=O)c1ccccc1,CO2R / COR,"Organic Letters (2020), 22(17), 6832-6837"
Decarboxylative_arylation,41,-0.71,H-Acid,Ar-Br,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,False,O=C(O)C(=O)c1ccccc1.O=C(c1ccccc1)c1ccccc1Br>>O=C(c1ccccc1)c1ccccc1C(=O)c1ccccc1,COR,"Organic Letters (2020), 22(17), 6832-6837"
Decarboxylative_arylation,84,0.71,H-Acid,Any-X,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,False,O=C(O)C(=O)c1ccccc1.N#Cc1ccc(Br)cc1C(F)(F)F>>N#Cc1ccc(C(=O)c2ccccc2)cc1C(F)(F)F,COR / CF3 / F / X / CN,"Organic Letters (2020), 22(17), 6832-6837"
Decarboxylative_arylation,86,0.0,Any-X,H-Acid,NiCl2(dme),dtbbpy,Li2CO3,,,,,,86-39-5,DMF/H2O,False,FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1.O=C(O)C(=O)c1ccccc1>>O=C(c1ccccc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CF3 / F / X / COR,"Organic Letters (2020), 22(17), 6832-6837"
