reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,Secondary Solvent,Coupling Reagent,Is_Intramolecular,reaction_smiles
C_N_Coupling,64.0,0.0,RCH2-OR,Ar-Cl,Pd(OAc)2,RuPhos,NaOtBu / NaOH,PhMe / water / Me2CO / EtOAc,NH4Cl,,,False,C1CC2(CCN1)OCCO2.Clc1ccc2sccc2c1>>O=C1CCN(c2ccc3sccc3c2)CC1
C_N_Coupling,85.0,0.0,R2CH-NH2,Ar-OH,Pd2(dba)3,DavePhos,NaOtBu / Et3N,"1,4-Dioxane",,,,False,CC(C)(C)OC(=O)N1CCCC[C@H](N)C1.Oc1cc(Br)c2ccncc2c1.O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F>>CC(C)(C)OC(=O)N1CCCC[C@H](Nc2cc(OS(=O)(=O)C(F)(F)F)cc3cnccc23)C1
C_N_Coupling,57.0,0.0,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco,MTBE / DCM,,,,False,COC(=O)CC1CNc2ccccc21.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>COC(=O)Cc1cn([C@]2(CCN=[N+]=[N-])C(=O)Nc3ccccc32)c2ccccc12
C_N_Coupling,82.0,0.0,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Clc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3cc(Cl)ccc32)C(=O)Nc2ccccc21
C_N_Coupling,85.0,0.7071067811865476,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Brc1ccc2c(c1)NCC2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccc(Br)cc32)C(=O)Nc2ccccc21
C_N_Coupling,71.0,-0.7071067811865476,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Brc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3cc(Br)ccc32)C(=O)Nc2ccccc21
C_N_Coupling,87.0,0.7071067811865476,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,c1ccc2c(c1)CCN2.COc1ccc2c(c1)C(Br)(CCN=[N+]=[N-])C(=O)N2>>COc1ccc2c(c1)[C@](CCN=[N+]=[N-])(N1CCc3ccccc31)C(=O)N2
C_N_Coupling,90.0,0.5649013837894202,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,K3PO4,THF,,,,False,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21
C_N_Coupling,86.0,0.7071067811865476,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Fc1ccc2c(c1)NCC2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccc(F)cc32)C(=O)Nc2ccccc21
C_N_Coupling,72.0,0.0,Ar-NHR,Any-X,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccc(Cl)cc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccc(Cl)cc21
C_N_Coupling,87.0,0.21183801892103238,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21
C_N_Coupling,82.0,-0.7071067811865475,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,c1ccc2c(c1)CCN2.COC(=O)CC1(Br)C(=O)Nc2ccccc21>>COC(=O)C[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21
C_N_Coupling,76.0,-1.0,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Clc1cccc2c1CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3c(Cl)cccc32)C(=O)Nc2ccccc21
C_N_Coupling,68.0,0.0,RCH2-NHR,Ar-CF3,Cu(OAc)2,N,K3PO4,DMF,,,,False,C1CCNC1.O=C(Cc1c(C(F)(F)F)nc2ccc(Cl)nn12)Nc1cccc(F)c1>>NC(F)(F)c1nc2ccc(N3CCCC3)nn2c1CC(=O)Nc1cccc(F)c1
C_N_Coupling,83.0,0.8907986681660889,Ar-NHR,Any-CO2R,Ni(cod)2,244261-66-3,,t-AmylOH,,,,False,CNc1ccccc1.COC(=O)OC(C)C#Cc1cccc(F)c1>>C[C@H](C#Cc1cccc(F)c1)N(C)c1ccccc1
C_N_Coupling,52.0,-1.0816840970588222,Ar-NHR,Any-CO2R,Ni(cod)2,244261-66-3,,t-AmylOH,,,,False,CNc1ccccc1.COC(=O)OC(C)C#Cc1ccccc1F>>C[C@H](C#Cc1ccccc1F)N(C)c1ccccc1
C_N_Coupling,90.0,0.0,Ar-NHR,Any-CO2R,Ni(cod)2,244261-66-3,,t-AmylOH,,,,False,CNc1ccccc1.COC(=O)OC(C)C#Cc1ccc(Br)cc1>>C[C@H](C#Cc1ccc(Br)cc1)N(C)c1ccccc1
C_N_Coupling,72.0,0.19088542889273333,Ar-NHR,Any-CO2R,Ni(cod)2,244261-66-3,,t-AmylOH,,,,False,CNc1ccccc1.COC(=O)OC(C)C#Cc1ccc(F)cc1>>C[C@H](C#Cc1ccc(F)cc1)N(C)c1ccccc1
C_N_Coupling,9.0,0.0,Ar-NHR,Any-X,CuI,,Cs2CO3,water,,,,False,NNc1ccccc1.BrCc1ccccc1Br>>c1ccc(-n2cc3ccccc3n2)cc1.NN(Cc1ccccc1Br)c1ccccc1
C_N_Coupling,75.0,0.0,CH3-I,Ar-Cl,HCl,,Cs2CO3 / NaHCO3,MeCN / iPrOH / water,,,,False,CI.N#Cc1ccc(Nc2nccc(Cl)n2)cc1.Nc1c(F)cc(Br)cc1F>>CN(c1ccc(C#N)cc1)c1nccc(Nc2c(F)cc(Br)cc2F)n1
C_N_Coupling,84.0,0.7071067811865476,Ar-NH2,Ar-Br,Pd2(dba)3·CHCl3,XPhos,NaOtBu / NaH,"1,4-Dioxane / DMF",,,,False,Cc1cc(N)c2ccccc2n1.COCc1cc2cc(Br)ccc2n1C.CI>>COCc1cc2cc(N(C)c3cc(C)nc4ccccc34)ccc2n1C
C_N_Coupling,73.0,-0.7071067811865476,Ar-NH2,Ar-Br,Pd2(dba)3·CHCl3,XPhos,NaOtBu / NaH,"1,4-Dioxane / DMF",,,,False,Cc1cc(N)c2ccccc2n1.COCOCc1cc2cc(Br)ccc2n1C.CI>>COCOCc1cc2cc(N(C)c3cc(C)nc4ccccc34)ccc2n1C
C_N_Coupling,71.0,0.0,Ar-NH2,Ar-Br,Pd2(dba)3·CHCl3,XPhos,NaOtBu / NaH,"1,4-Dioxane / DMF",,,,False,Cc1cc(N)c2ccccc2n1.Brc1ccc2c(c1)cc1n2CC=CC1.CI>>Cc1cc(N(C)c2ccc3c(c2)cc2n3CC=CC2)c2ccccc2n1
C_N_Coupling,61.0,0.0,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,c1ccc2c(c1)CCN2.O=C1c2ccccc2C(=O)N1CCC1(Br)C(=O)Nc2ccccc21>>O=C1c2ccccc2C(=O)N1CC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21
C_N_Coupling,73.0,-1.4357910171314443,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Cc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>Cc1ccc2c(c1)CCN2[C@]1(CCN=[N+]=[N-])C(=O)Nc2ccccc21
