reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Oxidation_of_Aromatic_Side_Chains,0.0,-0.45,Ar-R,,,,,,,O2,,True,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(Cc2cc(C)ccc2C)cc1.Cc1ccc(COO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1.Cc1ccc(COCc2ccc(C)cc2)cc1,,"Catalysis Communications (2011), 12(7), 669-672"
Oxidation_of_Aromatic_Side_Chains,0.0,-0.45,Ar-R,,,,,,,110-83-8/O2,,True,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,,"Tetrahedron Letters (2007), 48(19), 3417-3421"
Oxidation_of_Aromatic_Side_Chains,0.0,-0.45,Ar-R,,,,,,,7782-42-5,,True,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,,"Tetrahedron Letters (2007), 48(19), 3417-3421"
Oxidation_of_Aromatic_Side_Chains,0.0,-0.45,Ar-R,,,,,,,110-83-8/O2/7782-42-5,,True,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1,,"Tetrahedron Letters (2007), 48(19), 3417-3421"
Oxidation_of_Aromatic_Side_Chains,99.0,0.0,Ar-R,,,,,,,7758-02-3/Oxone/Sodium sulfite,DCM/H2O,True,Cc1ccc([N+](=O)[O-])cc1>>O=C(O)c1ccc([N+](=O)[O-])cc1,NO2 / NR2,"Organic Letters (2012), 14(9), 2414-2417"
Oxidation_of_Aromatic_Side_Chains,53.0,-1.25,Ar-R,,FeCl3,,Pyridine,,,TBHP/HCl,H2O,True,COc1ccc(C)cc1>>COc1ccc(C(=O)O)cc1,OR,"Advanced Synthesis & Catalysis (2007), 349(6), 861-864"
Oxidation_of_Aromatic_Side_Chains,46.0,0.0,Bn-CN,,,,,,,TBHP/151-21-3/10028-22-5,H2O,True,N#CCc1ccccc1>>O=C(O)c1ccccc1,,"RSC Advances (2013), 3(15), 4903-4908"
Oxidation_of_Aromatic_Side_Chains,55.0,-1.15,Ar-R,,Co(acac)2,,,,,TBHP,Me2CO,True,Cc1ccccc1C>>Cc1ccccc1C(=O)O,,"Synthesis (2013), 45(5), 615-620"
Oxidation_of_Aromatic_Side_Chains,99.0,0.0,Ar-R,,,,,,,7758-02-3/Oxone/Sodium sulfite,DCM/H2O,True,COC(=O)c1ccc(C)cc1>>COC(=O)c1ccc(C(=O)O)cc1,CO2R,"Organic Letters (2012), 14(9), 2414-2417"
Oxidation_of_Aromatic_Side_Chains,46.0,-2.17,Ar-R,,,,Pyridine,,,TBHP/O2/HCl/13682-61-6/124-18-5,H2O,True,c1ccc(CCc2ccccc2)cc1>>O=C(O)c1ccccc1,,"Tetrahedron (2009), 65(9), 1856-1858"
Oxidation_of_Aromatic_Side_Chains,64.0,-0.46,Ar-R,,,,,,,TBHP/1384190-41-3,H2O,True,COc1ccc(C)cc1>>COc1ccc(C(=O)O)cc1,OR,"European Journal of Organic Chemistry (2012), 2012(16), 3088-3092, S3088/1-S3088/45"
Oxidation_of_Aromatic_Side_Chains,58.0,-0.89,Ar-R,,,,Pyridine,,,TBHP/O2/HCl/13682-61-6/124-18-5,H2O,True,COc1ccc(C)cc1>>COc1ccc(C(=O)O)cc1,OR,"Tetrahedron (2009), 65(9), 1856-1858"
Oxidation_of_Aromatic_Side_Chains,99.0,1.26,Ar-R,,,,,,,7758-02-3/Oxone/Sodium sulfite,DCM/H2O,True,Cc1ccc(Cl)cc1>>O=C(O)c1ccc(Cl)cc1,Cl / X,"Organic Letters (2012), 14(9), 2414-2417"
Oxidation_of_Aromatic_Side_Chains,93.0,0.58,Ar-R,,,,,,,7758-02-3/Oxone/Sodium sulfite,DCM/H2O,True,Cc1cccc(Br)c1>>O=C(O)c1cccc(Br)c1,Br / X,"Organic Letters (2012), 14(9), 2414-2417"
Oxidation_of_Aromatic_Side_Chains,41.0,-1.15,Ar-R,,,,,,,TBHP/1384190-41-3,H2O,True,Cc1ccc(Br)cc1>>O=C(O)c1ccc(Br)cc1.O=Cc1ccc(Br)cc1,Br / X,"European Journal of Organic Chemistry (2012), 2012(16), 3088-3092, S3088/1-S3088/45"
Oxidation_of_Aromatic_Side_Chains,95.0,0.0,Ar-R,,,,,,,O2/106-95-6,EtOAc,True,COc1cc2c(cc1C)C(C)(C)CCC2(C)C>>COc1cc2c(cc1C(=O)O)C(C)(C)CCC2(C)C,OR,"Green Chemistry Letters and Reviews (2012), 5(4), 535-538"
Oxidation_of_Aromatic_Side_Chains,7.0,-0.71,Ar-R,Any-OH,,,Pyridine,,,505-07-7/O2,MeCN/DCM,False,Cc1ccc(C(C)(C)C)cc1.O=C1c2ccccc2C(=O)N1O>>CC(C)(C)c1ccc(C(=O)O)cc1.CC(C)(C)c1ccc(C=O)cc1.CC(C)(C)c1ccc(CON2C(=O)c3ccccc3C2=O)cc1,CONR2 / Amide / LactamN,"Journal of the American Chemical Society (2022), 144(33), 15295-15302"
Oxidation_of_Aromatic_Side_Chains,8.0,0.71,Ar-R,Any-OH,,,Pyridine,,,505-07-7/O2,MeCN/DCM,False,Cc1ccc(C(C)(C)C)cc1.O=C1c2ccccc2C(=O)N1O>>CC(C)(C)c1ccc(C(=O)O)cc1.CC(C)(C)c1ccc(C=O)cc1.CC(C)(C)c1ccc(CON2C(=O)c3ccccc3C2=O)cc1.CC(C)(C)c1ccc(Cn2oc(=O)c3ccccc3c2=O)cc1,CONR2 / Amide / LactamN,"Journal of the American Chemical Society (2022), 144(33), 15295-15302"
Oxidation_of_Aromatic_Side_Chains,80.0,0.7,Ar-R,,,,,,,1262958-39-3/Sodium sulfite,MeCN/H2O,True,COc1ccc(C)cc1>>COc1ccc(C(=O)O)cc1,OR,"Organic Preparations and Procedures International (2022), 54(6), 511-516"
Oxidation_of_Aromatic_Side_Chains,85.0,0.47,Ar-R,,,,,,,1262958-39-3/Sodium sulfite,MeCN/H2O,True,CCc1ccc(C)cc1>>CC(=O)c1ccc(C)cc1.CC(=O)c1ccc(C(=O)O)cc1,,"Organic Preparations and Procedures International (2022), 54(6), 511-516"
Oxidation_of_Aromatic_Side_Chains,80.0,0.7,Ar-R,,Pd(MeCN)2Cl2,,KOH,,,1450840-09-1/Sodium sulfite,H2O,True,COc1ccc(C)cc1>>COc1ccc(C(=O)O)cc1,OR,"Synthetic Communications (2022), 52(24), 2301-2310"
Oxidation_of_Aromatic_Side_Chains,91.0,0.88,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccccc1>>O=C(O)c1ccccc1,,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,89.0,0.68,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(C(C)(C)C)cc1>>CC(C)(C)c1ccc(C(=O)O)cc1,,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,93.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(-c2ccccc2)cc1>>O=C(O)c1ccc(-c2ccccc2)cc1,,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,95.0,0.72,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(Cl)cc1>>O=C(O)c1ccc(Cl)cc1,Cl / X,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,87.0,1.2,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,COc1ccc(C)cc1>>COc1ccc(C(=O)O)cc1,OR,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,94.0,1.08,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(F)cc1>>O=C(O)c1ccc(F)cc1,F / X,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,90.0,0.05,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccccc1Cl>>O=C(O)c1ccccc1Cl,Cl / X,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,93.0,0.58,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(Br)cc1>>O=C(O)c1ccc(Br)cc1,Br / X,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,87.0,-0.18,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(F)c(F)c1>>O=C(O)c1ccc(F)c(F)c1,F / X,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,84.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(C#N)cc1>>N#Cc1ccc(C(=O)O)cc1,CN,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,90.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(F)cc1Cl>>O=C(O)c1ccc(F)cc1Cl,Cl / X / F,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,92.0,0.32,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(Cl)c(Cl)c1>>O=C(O)c1ccc(Cl)c(Cl)c1,Cl / X,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,90.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(C(F)(F)F)cc1>>O=C(O)c1ccc(C(F)(F)F)cc1,CF3 / F / X,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,94.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,CC(=O)c1ccc(C)cc1>>CC(=O)c1ccc(C(=O)O)cc1,COR / acidic,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,80.0,-1.31,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1cc(Cl)ccc1Cl>>O=C(O)c1cc(Cl)ccc1Cl,Cl / X,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,80.0,0.14,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(C)cc1>>O=C(O)c1ccc(C(=O)O)cc1,,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,83.0,-0.9,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(F)cc1F>>O=C(O)c1ccc(F)cc1F,F / X,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,83.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,CC(=O)Nc1ccc(C)cc1>>CC(=O)Nc1ccc(C(=O)O)cc1,Amide / CONHR / acidic,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,82.0,-1.04,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(Cl)cc1Cl>>O=C(O)c1ccc(Cl)cc1Cl,Cl / X,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,74.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1cc(Br)cs1>>O=C(O)c1cc(Br)cs1,Br / X / Thiophene,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,74.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1cc2ccccc2o1>>O=C(O)c1cc2ccccc2o1,Benzofuran,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,88.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1cccs1>>O=C(O)c1cccs1,Thiophene,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,84.0,0.41,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccccc1C>>O=C(O)c1ccccc1C(=O)O,,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,57.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccco1>>O=C(O)c1ccco1,Furan,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,82.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(C(=O)O)cc1>>O=C(O)c1ccc(C(=O)O)cc1,Acid / CO2H,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,86.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,Cc1ccc(OC(F)(F)F)cc1>>O=C(O)c1ccc(OC(F)(F)F)cc1,OCF3 / OR / F / X,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,81.0,0.2,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,c1ccc2c(c1)CCC2>>O=C(O)c1ccccc1C(=O)O,,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,54.0,1.79,Ar-R,,,,,,,HCl/O2,MeCN,True,Cc1ccccc1>>O=C(O)c1ccccc1.ClCc1ccccc1,,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,86.0,0.54,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,c1ccc(CCc2ccccc2)cc1>>O=C(O)c1ccccc1,,"Green Chemistry (2023), 25(3), 940-945"
Oxidation_of_Aromatic_Side_Chains,78.0,0.0,Ar-R,,,,,,,O2/855785-75-0,MeCN,True,c1ccc2c(c1)CCCC2>>O=C(O)c1ccccc1C(=O)O,,"Green Chemistry (2023), 25(3), 940-945"
