reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,Secondary Solvent,Coupling Reagent,Is_Intramolecular,reaction_smiles
C-O_Coupling,89.0,0.7071067811865476,RCH2-OR,Ar-OH,546-68-9,13811-71-7,Et3N / Cs2CO3,DCM / DMF / THF / MeOH,HOAc / Zn,,,False,OC[C@H]1CO1.Oc1ccc(S)cc1.O=[N+]([O-])c1ccc(F)cc1.CC(=O)Cl>>CC(=O)Nc1ccc(Oc2ccc([S@@](=O)C[C@H]3CS3)cc2)cc1
C-O_Coupling,86.0,-0.7071067811865476,RCH2-OR,Ar-OH,546-68-9,13811-71-7,Et3N / Cs2CO3,DCM / DMF / THF / MeOH,HOAc / Zn,,,False,OCC1CO1.Oc1ccc(S)cc1.O=[N+]([O-])c1ccc(F)cc1.CC(=O)Cl>>CC(=O)Nc1ccc(Oc2ccc([S@](=O)C[C@H]3CS3)cc2)cc1
C-O_Coupling,75.0,0.0,AromN-H,RCH2-CO2R,HOAc,,K2CO3,Me2CO / EtOH / DMF,,,,False,c1ccc2[nH]nnc2c1.CCOC(=O)CCl.Cc1ccc(O)cc1.O=Cc1ccc(F)cc1>>Cc1ccc(Oc2ccc(C=NNC(=O)Cn3nnc4ccccc43)cc2)cc1
C-O_Coupling,72.0,0.0,AromN-H,RCH2-CO2R,HOAc,,K2CO3,Me2CO / EtOH / DMF,,,,False,c1ccc2[nH]nnc2c1.CCOC(=O)CCl.Cc1cc(O)ccc1Cl.O=Cc1ccc(F)cc1>>Cc1cc(Oc2ccc(C=NNC(=O)Cn3nnc4ccccc43)cc2)ccc1Cl
C-O_Coupling,76.0,0.0,AromN-H,RCH2-CO2R,HOAc,,K2CO3,Me2CO / EtOH / DMF,,,,False,c1ccc2[nH]nnc2c1.CCOC(=O)CCl.Oc1ccc(Cl)cc1.O=Cc1ccc(F)cc1>>O=C(Cn1nnc2ccccc21)NN=Cc1ccc(Oc2ccc(Cl)cc2)cc1
C-O_Coupling,78.0,0.0,AromN-H,RCH2-CO2R,HOAc,,K2CO3,Me2CO / EtOH / DMF,,,,False,c1ccc2[nH]nnc2c1.CCOC(=O)CCl.Oc1ccc(Br)cc1.O=Cc1ccc(F)cc1>>O=C(Cn1nnc2ccccc21)NN=Cc1ccc(Oc2ccc(Br)cc2)cc1
C-O_Coupling,74.0,0.0,AromN-H,RCH2-CO2R,HOAc,,K2CO3,Me2CO / EtOH / DMF,,,,False,c1ccc2[nH]nnc2c1.CCOC(=O)CCl.O=[N+]([O-])c1ccc(O)cc1.O=Cc1ccc(F)cc1>>O=C(Cn1nnc2ccccc21)NN=Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1
C-O_Coupling,74.0,0.0,AromN-H,RCH2-CO2R,HOAc,,K2CO3,Me2CO / EtOH / DMF,,,,False,c1ccc2[nH]nnc2c1.CCOC(=O)CCl.Oc1ccc(F)cc1.O=Cc1ccc(F)cc1>>O=C(Cn1nnc2ccccc21)NN=Cc1ccc(Oc2ccc(F)cc2)cc1
C-O_Coupling,75.0,0.7071067811865475,Ar-OH,Ar-F,18C6,,Potassium Fluoride,DMSO / MeCN,,,,False,Oc1ccc(F)cc1.O=[N+]([O-])c1cc2[nH]cnc2cc1F>>O=[N+]([O-])c1c(Oc2ccc(F)cc2)ccc2nc[nH]c12
C-O_Coupling,75.0,-1.300022491933181,Ar-Cl,Ar-OH,CuSO4,DMF,K2CO3,,,,,False,O=C(O)c1cccc(Cl)c1Cl.Oc1ccc(Cl)cc1Cl>>O=C(O)c1ccc(Cl)cc1Oc1ccc(Cl)cc1Cl
C-O_Coupling,78.0,-0.2676516895156532,Ar-Cl,Ar-OH,CuSO4,DMF,K2CO3,,,,,False,O=C(O)c1cccc(Cl)c1Cl.Oc1ccccc1Cl>>O=C(O)c1ccc(Cl)cc1Oc1ccccc1Cl
C-O_Coupling,3.0,0.0,CH3-OH,,CuBr,2,NaOMe,MeOH / water,,,,False,CO.[Na].CC(C)c1cc(Br)ccc1O>>CC(C)c1ccccc1O.COc1ccc(O)c(C(C)C)c1.COc1cc(-c2cc(OC)cc(C(C)C)c2O)c(O)c(C(C)C)c1.COc1ccc(Oc2ccc(O)c(C(C)C)c2)c(C(C)C)c1
C-O_Coupling,6.0,-0.37839373433213475,H-Acid,Ar-OH,Cu(0),Cu2O,NaOH,MeOH / water / THF / 79-24-3,MeOH / water,,,False,O=C(O)c1ccc(Cl)c(Cl)c1Cl.Oc1cc(Cl)cc(Cl)c1.CCN(CC)CCN>>CCN(CC)CCNc1cc(Cl)cc2oc3c(Cl)c(Cl)ccc3c(=O)c12
C-O_Coupling,9.0,1.1351812029964043,H-Acid,Ar-OH,Cu(0),Cu2O,NaOH,MeOH / THF / water / 79-24-3,MeOH / water,,,False,O=C(O)c1c(Cl)cccc1Cl.Oc1cccc(Cl)c1Cl.CCN(CC)CCN>>CCN(CC)CCNc1cccc2oc3c(Cl)c(Cl)ccc3c(=O)c12
C-O_Coupling,85.0,0.0,Ar-OH,H-Acid,48209-28-5,,Cs2CO3,PhMe / EtOAc / water,,,,False,Oc1ccc(Br)cc1.O=C(O)c1cc(I)ccc1I>>O=c1c2cc(Br)ccc2oc2ccc(I)cc12
C-O_Coupling,88.0,0.0,Ar-CO2R,Ar-R,Cu(OTf)2,,,EDC,,,,False,COC(=O)c1cc(OC)ccc1O.CC(C)(C)c1ccc([I+]c2ccc(C(C)(C)C)cc2)cc1.O=S(=O)([O-])C(F)(F)F>>COc1ccc2oc3ccc(C(C)(C)C)cc3c(=O)c2c1
C-O_Coupling,85.0,0.0,H-Acid,H-Acid,ZnCl2,,,,,,POC,False,O=C(O)Cc1ccccc1O.Cc1c(Br)cc(C(=O)O)c(Br)c1C>>Cc1c(Br)cc2c(=O)c3cccc(CC(=O)O)c3oc2c1C
C-O_Coupling,71.0,-0.7071067811865475,H-Acid,Ar-OH,Cu2O,Cu(0),,MeOH / water,,,,False,O=C(O)c1cccc(Cl)c1Cl.Cc1ccccc1O>>Cc1cccc2c(=O)c3cccc(Cl)c3oc12
