reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,Secondary Solvent,Coupling Reagent,Is_Intramolecular,reaction_smiles,spectator_groups
C-N Coupling,90.0,0.0,Ar-NHR,Any-CO2R,Ni(cod)2,244261-66-3,,t-AmylOH,,,,False,CNc1ccccc1.COC(=O)OC(C)C#Cc1ccc(Br)cc1>>C[C@H](C#Cc1ccc(Br)cc1)N(C)c1ccccc1,C#C / Br / X / Any-C#C
C-N Coupling,72.0,0.19,Ar-NHR,Any-CO2R,Ni(cod)2,244261-66-3,,t-AmylOH,,,,False,CNc1ccccc1.COC(=O)OC(C)C#Cc1ccc(F)cc1>>C[C@H](C#Cc1ccc(F)cc1)N(C)c1ccccc1,C#C / F / X / Any-C#C
C-N Coupling,9.0,0.0,Ar-NHR,Any-X,CuI,,Cs2CO3,water,,,,False,NNc1ccccc1.BrCc1ccccc1Br>>c1ccc(-n2cc3ccccc3n2)cc1.NN(Cc1ccccc1Br)c1ccccc1,Hydrazine / NH2 / NHR / Br / X
C-N Coupling,75.0,0.0,CH3-I,Ar-Cl,HCl,,Cs2CO3 / NaHCO3,MeCN / iPrOH / water,,,,False,CI.N#Cc1ccc(Nc2nccc(Cl)n2)cc1.Nc1c(F)cc(Br)cc1F>>CN(c1ccc(C#N)cc1)c1nccc(Nc2c(F)cc(Br)cc2F)n1,X / NHAr / NHR / CN / Pyrimidine / Br / F
C-N Coupling,84.0,0.71,Ar-NH2,Ar-Br,Pd2(dba)3·CHCl3,XPhos,NaOtBu / NaH,"1,4-Dioxane / DMF",,,,False,Cc1cc(N)c2ccccc2n1.COCc1cc2cc(Br)ccc2n1C.CI>>COCc1cc2cc(N(C)c3cc(C)nc4ccccc34)ccc2n1C,Quinoline / Pyridine / OR / AromN
C-N Coupling,73.0,-0.71,Ar-NH2,Ar-Br,Pd2(dba)3·CHCl3,XPhos,NaOtBu / NaH,"1,4-Dioxane / DMF",,,,False,Cc1cc(N)c2ccccc2n1.COCOCc1cc2cc(Br)ccc2n1C.CI>>COCOCc1cc2cc(N(C)c3cc(C)nc4ccccc34)ccc2n1C,Quinoline / Pyridine / OR / AromN
C-N Coupling,71.0,0.0,Ar-NH2,Ar-Br,Pd2(dba)3·CHCl3,XPhos,NaOtBu / NaH,"1,4-Dioxane / DMF",,,,False,Cc1cc(N)c2ccccc2n1.Brc1ccc2c(c1)cc1n2CC=CC1.CI>>Cc1cc(N(C)c2ccc3c(c2)cc2n3CC=CC2)c2ccccc2n1,Quinoline / Pyridine / C=C / Dienophile / Cyclohexene / AromN / Motif-C=C / Any-Dienophile
C-N Coupling,61.0,0.0,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,c1ccc2c(c1)CCN2.O=C1c2ccccc2C(=O)N1CCC1(Br)C(=O)Nc2ccccc21>>O=C1c2ccccc2C(=O)N1CC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,Amide / LactamN / CONHR / CONR2
C-N Coupling,73.0,-1.44,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Cc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>Cc1ccc2c(c1)CCN2[C@]1(CCN=[N+]=[N-])C(=O)Nc2ccccc21,Amide / LactamN / CONHR / N3
C-N Coupling,87.0,0.71,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,c1ccc2c(c1)CCN2.COC(=O)CCC1(Br)C(=O)Nc2ccccc21>>COC(=O)CC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,Amide / LactamN / CONHR / CO2R / Ester / acidic
C-N Coupling,75.0,-0.71,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,COc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>COc1ccc2c(c1)CCN2[C@]1(CCN=[N+]=[N-])C(=O)Nc2ccccc21,OR / Amide / LactamN / CONHR / N3
C-N Coupling,95.0,1.15,Ar-NHR,R3C-Br,NiOAc2,174500-20-0,K3PO4,THF,,,,False,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,Amide / LactamN / CONHR / N3
C-N Coupling,81.0,-0.49,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,c1ccc2c(c1)CCCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCCc3ccccc32)C(=O)Nc2ccccc21,Amide / LactamN / CONHR / N3
C-N Coupling,79.0,-0.71,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Fc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3cc(F)ccc32)C(=O)Nc2ccccc21,F / X / Amide / LactamN / CONHR / N3
C-N Coupling,88.0,1.0,Ar-NHR,R3C-Br,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,False,Clc1ccc2c(c1)NCC2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccc(Cl)cc32)C(=O)Nc2ccccc21,Cl / X / Amide / LactamN / CONHR / N3
C-N Coupling,72.0,0.71,RCH2-CONHR,H-Alkynyl,Ni(cod)2,CuI,,PhMe,,,,False,CC(=O)CC(=O)Nc1ccc(Cl)cc1.C#CC(O)c1ccccc1>>Cc1c(C(=O)Nc2ccc(Cl)cc2)c(C)n(-c2ccc(Cl)cc2)c1-c1ccccc1,Amide / CONHR / Cl / X
