reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Negishi_coupling,75,0.71,Ar-OAr,Ar-OTf,"Zincbromidehydrate,Puratronic(R),(metalsbasis)/Pd2(dba)3",,n-BuLi,HCl,,,,,1246888-90-3,n-Hexane/THF/H2O,False,c1ccc(Oc2cccc(Oc3ccccc3)c2)cc1.O=P1([c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)COc2cccc(OS(=O)(=O)C(F)(F)F)c21>>O=P1([c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)COc2cccc(-c3c(Oc4ccccc4)cccc3Oc3ccccc3)c21,OAr / OR,"Journal of Organic Chemistry (2016), 81(2), 729-736"
Negishi_coupling,70,0.0,R2CH-Zn,Ar-X,CuI,,,,,,LiCl,,,DMF,False,[Br][Zn][CH]1CCCCC1.Clc1cc(I)ccn1>>Clc1cc(C2CCCCC2)ccn1,Cl / X / Pyridine,"Angewandte Chemie, International Edition (2015), 54(28), 8236-8240"
Negishi_coupling,70,0.0,Ar-I,,Pd(OAc)2,SPhos,,,,,NH4Cl,,,THF/H2O,False,CCOC(=O)CNS(=O)(=O)c1ccc(I)cc1.N#CCC[CH2-]->[Zn+2]([Cl-])[Br-].[Li+]>>CCOC(=O)CNS(=O)(=O)c1ccc(CCCC#N)cc1,SO2NHR / SO2R / SR / Sulfonamide / CO2R / Ester / acidic,"Journal of Chemical Research (2017), 41(10), 569-570"
Negishi_coupling,98,0.0,Ar-I,,Pd(OAc)2,SPhos,,,,,NH4Cl,,,THF/H2O,False,Cc1ccc(S(=O)(=O)Nc2ccc(I)cc2)cc1.ClC1=C([CH2-]->[Zn+2]([Cl-])[Cl-])C=CC=C1.[Li+]>>Cc1ccc(S(=O)(=O)Nc2ccc(Cc3ccccc3Cl)cc2)cc1,Sulfonamide / SO2NHR / SO2R / SR / X,"Journal of Chemical Research (2017), 41(10), 569-570"
Negishi_coupling,98,0.0,Ar-I,,Pd(OAc)2,SPhos,,,,,NH4Cl,,,THF/H2O,False,Cc1ccc(S(=O)(=O)Nc2ccc(I)cc2)cc1.N#CC1=CC=CC([CH2-]->[Zn+2]([Cl-])[Cl-])=C1.[Li+]>>Cc1ccc(S(=O)(=O)Nc2ccc(Cc3cccc(C#N)c3)cc2)cc1,Sulfonamide / SO2NHR / SO2R / SR,"Journal of Chemical Research (2017), 41(10), 569-570"
Negishi_coupling,83,0.0,Ar-Br,,Pd(OAc)2,SPhos,,,,,NH4Cl,,,THF/H2O,False,O=C(NC1CC1)c1ccc(Br)cc1.N#CC1=CC=CC([CH2-]->[Zn+2]([Cl-])[Cl-])=C1.[Li+]>>N#Cc1cccc(Cc2ccc(C(=O)NC3CC3)cc2)c1,CONHR / Amide,"Journal of Chemical Research (2017), 41(10), 569-570"
Negishi_coupling,90,0.0,Ar-I,,Pd(OAc)2,SPhos,,,,,NH4Cl,,,THF/H2O,False,Cc1ccc(S(=O)(=O)Nc2ccc(I)cc2)cc1.CCCCC(=O)C1=CC([CH2-]->[Zn+2]([Cl-])[Cl-])=CC=C1.[Li+]>>CCCCC(=O)c1cccc(Cc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2)c1,Sulfonamide / SO2NHR / SO2R / SR,"Journal of Chemical Research (2017), 41(10), 569-570"
Negishi_coupling,98,0.71,Ar-Br,RCH2-Zn,Palladacycle Gen. 3,CPhos,,,,,,,,THF/H2O,False,CC(C)c1cc(C(C)C)c(Br)c(C(C)C)c1.CC(C)=C[CH2][Zn][Br]>>CC(C)=CCc1c(C(C)C)cc(C(C)C)cc1C(C)C,C=C / Dienophile / Motif-C=C / Any-Dienophile,"Angewandte Chemie, International Edition (2013), 52(52), 14098-14102"
Negishi_coupling,93,0.0,Ar-I,RCH2-Zn,CuI,,,,,,LiCl,,,DMF,False,Ic1nccc2ccccc12.[Br][Zn][CH2]C1CCCCC1>>c1ccc2c(CC3CCCCC3)nccc2c1,Isoquinoline,"Angewandte Chemie, International Edition (2015), 54(28), 8236-8240"
Negishi_coupling,93,0.85,Ar-Br,RCH2-Zn,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,COC(=O)c1ccc(Br)cc1.[Br][Zn][CH2]c1ccccc1>>COC(=O)c1ccc(Cc2ccccc2)cc1,CO2R,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,96,0.0,Ar-Br,RCH2-Zn,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,COc1ccc(Br)cc1.[Br][Zn][CH2]c1ccccc1>>COc1ccc(Cc2ccccc2)cc1,OR,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,70,-1.77,Ar-Br,R2CH-Zn,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,COC(=O)c1ccc(Br)cc1.[Br][Zn][CH]1CC1>>COC(=O)c1ccc(C2CC2)cc1,CO2R,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
